"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00424565","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu","M. L. Kawasaki","E. P. Heringer","2425","1979","10","10","South America","Brazil","Goiás",NA,"Estrada Alto Paraíso - Nova Roma margem da Estrada",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424565","NY00424565_01","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","424560","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi selloi","Warm.",NA,"G. Davidse","11906","1976","04","03","South America","Brazil","Bahia","Morro do Chapéu","19 km E of Morro do Chapéu along Highway BA-052; Chapada da Diamantina","-41.1558","-11.5503","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=430329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424560","NY00424560_01","selloi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-26 23:47:00-03","NY","NYBG","1016","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi selloi","Warm.",NA,"F. Sellow","[346]",NA,NA,NA,"South America","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=430330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001016","NY00001016_01","selloi","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-18 09:30:53-03","UNESP-IBB","BOTU","31205","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.",NA,"Giles, A.L.O.","26","2014","11","26",NA,"Brasil","São Paulo","Pardinho","Fazenda Águas de Janeiro",NA,NA,NA,NA,NA,NA,"BOTU031205",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:08:21-03","NBC","NL-BOTANY","U 0007135","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Stafleu FA","Sello F",NA,NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"Sao Paulo","-46.633333","-23.55",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007135","NL-U0007135",NA,"isotype","-46.633333","-23.55","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:08:21-03","NBC","NL-BOTANY","U.1768992","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu",NA,"Haas Sr de; Haas JH de; Belém RP",NA,"1967","09","23","Southern America","Brazil",NA,NA,"Rio De Janeiro - Brasil. Goias, Parque Nacional do Tocantins, estrada Veadeiros-Colinas, km W de Veadeiros. Arvoreta de Cerrado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1768992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1768992","NL-U1768992","pubescens",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:08:21-03","NBC","NL-BOTANY","U.1768993","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu",NA,"Harley RM; et al.",NA,"1980","05","23","Southern America","Brazil",NA,NA,"Serras dos Lencois. ca. 4Km N.E. of Lencois by old road. Open area on deep sand.","-41.366667","-12.533333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1768993 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1768993","NL-U1768993","pubescens",NA,"-41.366667","-12.533333","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:08:21-03","NBC","NL-BOTANY","U.1768994","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","selloi","Qualea selloi pubescens","Stafleu",NA,"Harley RM; et al.",NA,"1980","05","26","Southern America","Brazil",NA,NA,"Estado Da Bahia. Serras dos Lencois. Lower slopes of Morro do Pai Inacio, ca. 14.5 km N.W. of Lencois just N. of the main Seabra-Itaberaba road. Municipio of Palmeiras. Open grassy slopes with marshy ground; low shrubs & low evergreen woodland in valleys by small stream & in shelter of sandstone rocks. E6.","-41.466667","-12.45",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1768994 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1768994","NL-U1768994","pubescens",NA,"-41.466667","-12.45","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:20:59-03","ESALQ","ESA","12477","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Kawasaki, M.L.","Souza, V.C. et al.","4741.0","1993","11","27",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA012477","ESA012477",NA,NA,NA,NA,NA,"1994","01","01","27729","auto",NA,NA,NA
"20","2020-11-04 11:20:59-03","ESALQ","ESA","71884","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi",NA,NA,"Farah, F.T. et al.","610.0","1998","12","15",NA,"Brasil","Minas Gerais","Patrocínio",NA,"-46.9925003051758","-18.9438991546631",NA,NA,NA,NA,"ESA071884","ESA071884",NA,NA,NA,NA,NA,NA,NA,NA,"44638","auto",NA,NA,NA
"21","2020-11-04 11:20:59-03","ESALQ","ESA","15562","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Kawasaki, M.L.","Souza, V.C. et al.","6044.0","1994","06","02",NA,"Brasil","São Paulo","Itapeva",NA,"-48.8699989318848","-23.9799995422363",NA,NA,NA,NA,"ESA015562","ESA015562",NA,NA,NA,NA,NA,"1994","01","01","42926","auto",NA,NA,NA
"22","2021-01-14 15:33:58-03","MN","R","7554","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M.","Glaziou, A.F.M.","12664 a","1881","11","17",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007554","R000007554_001 R000007554_002",NA,NA,NA,NA,NA,"2000","08","07",NA,NA,NA,NA,NA
"23","2021-01-14 15:33:58-03","MN","R","7553","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M.","Glaziou, A.F.M.","12664","1881","10","14",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,"Plantas do Brasil Central","R000007553","R000007553_001",NA,NA,NA,NA,NA,"2000","08","07","33190","auto",NA,NA,NA
"24","2021-01-14 15:33:58-03","MN","R","72842","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M.","Glaziou, A.F.M.","12664",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,"Plantae Flum. Ex Herb. Glaziou; Herb. J. de Saldanha, 6106","R000072842","R000072842_001",NA,NA,NA,NA,NA,"2000","08","07","33190","auto",NA,NA,NA
"25","2020-11-19 10:25:41-03","CPAP","CPAP","16514","PreserverdSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","M. L. Kawasaki","Souza, V. C.","4741","1993","11","27",NA,"Brasil","SP","Itararé","Fazenda Santa Andréia","-49.3400001525879","-24.1100006103516",NA,NA,NA,"Arbusto, 2m de altura. FLOR: pétalas róseas. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Escarpa rochosa recoberto por campo graminoso, formando escrube esparso com mata em direção ao vale. SUBSTRATO: . RELEVO: escarpa rochosa.",NA,NA,NA,NA,NA,NA,NA,"1994",NA,NA,"27729","auto",NA,NA,NA
"26","2015-07-02 14:04:33-03","JBP","HPL","8753","S","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi",NA,"K. Yamamoto","G.F. Arbocz","899","1994","10","14",NA,"Brasil","SP","Joanópolis","Coletado na estrada para Cachoeira dos Pretos (ca. 900m de altitude; em área de mata de altitude).","-46.27","-22.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1995","10","10","22329","auto",NA,NA,NA
"27","2019-02-15 11:52:07-02","IPA","IPA","9651","S","Plantae","Plantae",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.",NA,"Pickel, B.","5690","1942","05","04","Southern America","Brasil","São Paulo","São Paulo","linha Santo Amaro - Chácara dos PP de Stevl., na capoeira.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"IPA0009651",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"28","2019-02-15 11:52:07-02","IPA","IPA","9653","S","Plantae","Plantae",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.",NA,"Krieger, L.","s.n.","1942","11",NA,"Southern America","Brasil","São Paulo","São Paulo","Santo Amaro, Seminário do Espírito Santo.","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Árvore pequena; flores estriadas de roxo.","IPA0009653",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"29","2019-02-15 11:52:07-02","IPA","IPA","9652","S","Plantae","Plantae",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.",NA,"Krieger, L.","s.n.","1942","11",NA,"Southern America","Brasil","São Paulo","São Paulo","Santo Amaro, Seminário do Espírito Santo.","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Árvore pequena. Flores estriadas de roxo.","IPA0009652",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"30","2020-12-20 21:19:42-03","UFV","VIC","008117","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.",NA,"Barroso, G.","s.n.","1955","09","01",NA,"Brasil","Minas Gerais","Paraopeba",NA,"-44.4042015075684","-19.2744007110596",NA,NA,NA,"Cerrado.","VIC008117","VIC008117",NA,NA,NA,NA,NA,NA,NA,NA,"26090","auto",NA,NA,NA
"31","2019-11-21 14:49:03-03","UFJF","CESJ","24380","PreservedSpecimen","Plantae","Angiosperma",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","M.L.G. Lisboa","L. Krieger; Orlando","CESJ24380","1988","10","10","América do Sul","Brasil","Minas Gerais","Bom Jardim de Minas",NA,"-44.1911010742188","-21.9472007751465",NA,NA,NA,"Árvore pequena, em cerrado, flores róseas com desenhos vermelhos no labelo.","CESJ024380",NA,NA,NA,NA,NA,NA,"2000","08","07","20996","auto",NA,NA,NA
"32","2019-11-21 14:49:03-03","UFJF","CESJ","26112","PreservedSpecimen","Plantae","Angiosperma",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","M.L.G. Lisboa","M.C. Brügger; R.C. Forzza; R.G. Silveira","791","1991","11","29","América do Sul","Brasil","Minas Gerais","Juiz de Fora","distrito de Toledos","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Árvore no campo de pastagens. Flores lilacíneas em solo arenoso de montanha.","CESJ026112",NA,NA,NA,NA,NA,NA,"2000","08","07","36144","auto",NA,NA,NA
"33","2021-04-07 11:49:22-03","UFMS","CGMS","74607","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","M.L. Kawasaki","V.C. Souza; K. Yamamoto, J. R. Stehmann & J. A. Dutilh","4741","1993","11","27",NA,"Brasil","São Paulo","Itararé","Fazenda Santa Andreia.","-49.3400001525879","-24.1100006103516",NA,NA,NA,"Flor com pétalas róseas. CPAP - 16514. Habitat: Escarpa rochosa recoberta por campo graminoso, formando escrube esparso, com mata em direção ao vale. Habito: Arbusto, 2 m de altura.","CGMS1107473",NA,NA,NA,NA,NA,NA,"1994",NA,NA,"27729","auto",NA,NA,NA
"34","2021-03-01 16:43:16-03","UNICAMP","UEC","15752","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M","Cruz, ND; Shepherd, GJ; et al.","6230","1977","11","17",NA,"Brazil","Minas Gerais","Serra Do Caraça","ca. 70km Suleste de Belo Horizonte.",NA,NA,NA,NA,NA,"Árvore até 4m. Flores branca-rosadas.; Beira de mata e campo rupestre.","UEC099574","UEC099574",NA,NA,NA,NA,NA,"2000","08","07",NA,NA,NA,NA,NA
"35","2021-03-01 16:43:16-03","UNICAMP","UEC","180835","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Shimizu, GH","Guarçoni, EAE; Sartori, MA","624","2003","10","18",NA,"Brazil","Minas Gerais",NA,"Cadeia do Espinhaço, Serra da Moeda, Congonhas, RPPN Poço Fundo - CVRD",NA,NA,NA,NA,NA,"Árvore de 14 m, frequente, folha verde discolor, sépala verde, pétala branca com estrias vinho. Fruto cápsula.; Mata terciária.","UEC033717","UEC033717",NA,NA,NA,NA,NA,"2016","02",NA,NA,NA,NA,NA,NA
"36","2021-03-01 16:43:16-03","UNICAMP","UEC","182773","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Yamamoto, K","Torres, RB; Franceschinelli, EV","790","1999","10","13",NA,"Brazil","Minas Gerais","Camanducaia","Mata dos Mota.","-46.133333","-22.733333",NA,NA,NA,"Mata de altiitude, área de mata desbatada.","UEC103699","UEC103699",NA,NA,"-46.133333","-22.733333",NA,"2002","11",NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:43:16-03","UNICAMP","UEC","133086","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Shimizu, GH","Assis, LCS","116","2001","04","30",NA,"Brazil","Minas Gerais","Barroso","Mata do Baú","-43.9757995605469","-21.1868991851807",NA,NA,NA,"Árvore com aproximadamente 12m encontrada na borda da mata, apresentando tronco amarronzado e fortemente sulcado, folhas discolores. Havia apenas esse indivíduo no local.",NA,NA,NA,NA,NA,NA,NA,"2008","02",NA,"7934","auto",NA,NA,NA
"38","2021-03-01 16:43:16-03","UNICAMP","UEC","124901","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Shimizu, GH","Assis, LCS; Ladeira, MK","398","2001","11","25",NA,"Brazil","Minas Gerais","Barroso","Mata do Baú","-43.9757995605469","-21.1868991851807",NA,NA,NA,"Árvore ca. 9m, borda da mata, tronco acinzentado, CAP 70cm, flores brancas e rosas. Pouco frequente.",NA,NA,NA,NA,NA,NA,NA,"2008","02",NA,"7934","auto",NA,NA,NA
"39","2021-03-01 16:43:16-03","UNICAMP","UEC","133087","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Shimizu, GH","Menini Neto, L; Assis, LCS; Magalhães, MS; Ladeira, MK","12","2002","05","24",NA,"Brazil","Minas Gerais","Barroso","Mata do Baú","-43.9757995605469","-21.1868991851807",NA,NA,NA,"Árvore ca. 6m de alt., na borda da mata. Folhas discolores, pecíolo verde acastanhado com indumento levemente alvacento. Frutos imaturos verde-escuros, maduros castanhos.",NA,NA,NA,NA,NA,NA,NA,"2008","02",NA,"7934","auto",NA,NA,NA
"40","2021-03-01 16:43:16-03","UNICAMP","UEC","133089","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Shimizu, GH","Assis, LCS; Ladeira, MK","389","2001","11","25",NA,"Brazil","Minas Gerais","Barroso","Mata do Baú","-43.9757995605469","-21.1868991851807",NA,NA,NA,"Árvore ca 9m, borda da mata, tronco acinzentadom CAP 70cm, flores brancas e rosas. Pouco frequente.",NA,NA,NA,NA,NA,NA,NA,"2008","02",NA,"7934","auto",NA,NA,NA
"41","2021-03-01 16:43:16-03","UNICAMP","UEC","62866","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M","Andrade, P; et al.","1073","1987","11","27",NA,"Brazil","Minas Gerais","Lima Duarte","Pq. Estadual do Ibitipoca.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Árbore, 15m, Pétala branca, com borda lilás, rajada de lilás no centro.; Mata (portaria)","UEC016772","UEC016772",NA,NA,NA,NA,NA,"2000","08","07","30417","auto",NA,NA,NA
"42","2019-08-20 10:28:17-03","UNICAMP","UEC","88296","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Tameirão Neto, E","Tameirão Neto, E; Werneck, MS","1694","1994","08","25",NA,"Brazil","Minas Gerais","Perdizes","Acesso à Mata do Alaor (na ilha), CEMIG","-47.2928009033203","-19.3528003692627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1995","01",NA,"45889","auto",NA,NA,NA
"43","2021-03-01 16:43:16-03","UNICAMP","UEC","62868","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M","Andrade, FR","45","1986","12","12",NA,"Brazil","Minas Gerais","Santa Bárbara","Caraça, Caminho para Cachoeira Belchior.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Arbusto 3m de altura, flores róseas.; Mata.","UEC016802","UEC016802",NA,NA,NA,NA,NA,"2000","08","07","33136","auto",NA,NA,NA
"44","2021-03-01 16:43:16-03","UNICAMP","UEC","152102","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Shimizu, GH","Meira, J; Meira Neto, JAA; Meira, JHA","58","1993","04","25",NA,"Brazil","Minas Gerais","Santa Bárbara","Caraça, Trilha da Cascatinha.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Arbusto com 3m de altura, frutos secos.","UEC072528",NA,NA,NA,NA,NA,NA,"2008","03",NA,"33136","auto",NA,NA,NA
"45","2021-03-01 16:43:16-03","UNICAMP","UEC","58180","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, MLG","Yamamoto, K","25661","1991","11","30",NA,"Brazil","Minas Gerais","Santa Bárbara","Santuário do Caraça.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Arvoreta com ca. 1,5-2,0 m alt. pétalas rósea com mancha vinosa na fauce.","UEC010087","UEC010087",NA,NA,NA,NA,NA,"2000","08","07","33136","auto",NA,NA,NA
"46","2021-03-01 16:43:16-03","UNICAMP","UEC","15754","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M","Michelin, ME; Garcia, AM; Rosim, R; Monteiro, R","9710","1978","12","14",NA,"Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Subarbusto até 1m; pétalas róseas.; Em campos rupestres e mata de altitude.","UEC016771","UEC016771",NA,NA,NA,NA,NA,"2000","08","07","33136","auto",NA,NA,NA
"47","2021-03-01 16:43:16-03","UNICAMP","UEC","15753","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Qualea","selloi","Qualea selloi","Warm.","Lisboa, M","Cruz, ND; et al.","6377","1977","11","18",NA,"Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça, caminho para cascatinha.","-43.4152984619141","-19.959400177002",NA,NA,NA,"Árvore até 3m, flores rosadas com fruto.; Beira de mata e campo aberto.","UEC016787","UEC016787",NA,NA,NA,NA,NA,"2000","08","07","33136","auto",NA,NA,NA
