"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"12","2021-03-15 16:37:00-03","NY","NYBG","1839820","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","J. L. da Costa Lima","2011","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2069901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01839820","Magnoliophyta","Santalales",NA,"L.",NA,"383","Rio Grande do Norte","Goianinha, Fazenda Nossa Senhora do Carmo","-35.2194","-6.3197","NY01839820_01",NA,"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","396118","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","C. F. P. von Martius","1855",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396118","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer",NA,"Bahia",NA,"-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1738415","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","P. da C. Gadelha Neto","2011","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007441' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738415","Magnoliophyta","Santalales",NA,"L.",NA,"3119","Paraíba","Mataraca. Millennium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022","NY01738415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","396104","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","H. F. Pittier","1913","05","18","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396104","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","6185","Distrito Capital","Bosque de Catuche, above Caracas",NA,NA,NA,NA,"1200","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","396117","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","J. R. Pirani","1994","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396117","Magnoliophyta","Santalales",NA,"L.","J. R. Pirani","3507","Espírito Santo","Ca. 3 km S do Morro do Aghá, na rodovia ES-060","-40.77","-20.87","NY00396117_01","Piúma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","396116","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","B. Luschnath","1839","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396116","Magnoliophyta","Santalales",NA,"L.","J. A. Kallunki","1841","Bahia",NA,"-39.039072","-15.159747","NY00396116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","687188","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","F. de Barros","1990","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687188","Magnoliophyta","Santalales",NA,"L.","O. Bastos","1969","São Paulo","Ilha do Cardoso, Morro do Pereirinha","-47.91496","-25.104184","NY00687188_01","Cananéia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","230247","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","M. H. Nee","1998","01","03","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230247","Magnoliophyta","Santalales",NA,"L.","M. H. Nee","47772","Santa Cruz","6 km (by air) SSW of Mairana, Quebrada Los Cántaros","-63.97","-18.17",NA,"Florida","1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1182796","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","D. B. O. S. Cardoso","2006","04","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408983' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182796","Magnoliophyta","Santalales",NA,"L.","D. B. O. S. Cardoso","1238","Bahia","ARIE Serra do Orobó. Fragmento de floresta estacional semidecidual em frente da sede da Faz. Rancho de Deus.","-40.4761","-12.3286","NY01182796_01","Ruy Barbosa","591","591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1758914","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","D. M. Cavalcanti Ferreira","2011","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2013771' target='other'> <mi>dwc_moreinfo</mi></a>","NY01758914","Magnoliophyta","Santalales",NA,"L.","J. A. Kallunki","637","Pernambuco","RPPN Fazenda Tabatinga.","-34.8206","-7.6061","NY01758914_01","Goiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-27 01:27:00-03","NY","NYBG","1507837","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","C. D. Adams","1977","12","20","South America","Trinidad and Tobago","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1780739' target='other'> <mi>dwc_moreinfo</mi></a>","NY01507837","Magnoliophyta","Santalales",NA,NA,NA,"14316",NA,"Trinidad. Erin Beach east. Mangrove thicket.",NA,NA,"NY01507837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02269595","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","B. Maguire","1963","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2784044' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269595","Magnoliophyta","Santalales",NA,"L.",NA,"56787","Rondônia","Between Riozinho and Rio Barao de Melgaco",NA,NA,"NY02269595_01",NA,"330","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","396111","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","A. P. Duarte","1953","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396111","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","3996","Espírito Santo","Norte do Espíritu Santo, Serra de Cima","-40.4006","-18.7108","NY00396111_01","Nova Venécia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00841262","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","S. L. M. Moore","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841262","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","458","Mato Grosso","Iter Matogrossense",NA,NA,"NY00841262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00841264","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","J. A. Ratter","1985","09","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841264","Magnoliophyta","Santalales","americana","L.","J. A. Kallunki","R.5057","Minas Gerais","Projeto Integrado de Colinização (INCRA), NW Minas Gerais",NA,NA,"NY00841264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","396115","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","R. M. Harley","1977","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396115","Magnoliophyta","Santalales",NA,"L.","R. M. Harley","19036","Bahia","Serra do Açuruá. Sao Inácio, on rocky hillside called Pedra da Mulher just south of town","-42.73","-11.12","NY00396115_01",NA,"500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00841256","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","F. E. Drouet","1935","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2784023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841256","Magnoliophyta","Santalales","americana","L.",NA,"2521","Ceará","2 km South of Mucuripe","-38.5431","-3.7172","NY00841256_01","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","396107","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","J. C. Lindeman","1954","09","20","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396107","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","6689",NA,"Savanna Oreala, Corantine R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00841263","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841263","Magnoliophyta","Santalales","americana","L.","J. A. Kallunki","1174",NA,"Brasilia",NA,NA,"NY00841263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","396108","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","R. Romero-Castañeda","1963","04","13","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396108","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","9632","Bolívar","Corozal, en alrededores de Beltrán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","396120","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","G. G. Hatschbach","1969","12","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396120","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","23113","Paraná","Canta galo","-52.1225","-25.37603","NY00396120_01","Guarapuava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1182750","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","D. B. O. S. Cardoso","2005","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182750","Magnoliophyta","Santalales",NA,"L.","L. P. de Queiroz; D. B. O. S. Cardoso","292","Bahia","Parte da ARIE Srra do Orobó perencente a Itaberaba. Fazenda Gameleira, Serra I.","-40.5372","-12.2478","NY01182750_01","Itaberaba","675","675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1146326","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","D. B. O. S. Cardoso","2005","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1337093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146326","Magnoliophyta","Santalales",NA,"L.","L. P. de Queiroz; D. B. O. S. Cardoso","266","Bahia","Rui Barbosa: Serra do Orobó. Riacho de Seu Chiquinho, próximo ao Pátio das Orquídeas.","-40.345","-12.3031","NY01146326_01","Ruy Barbosa","631","631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","396113","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","J. R. Pirani","1993","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396113","Magnoliophyta","Santalales",NA,"L.","J. R. Pirani","2760","Bahia","Estrada Nossa Senhora da Ajuda a Porto Seguro, a 1,5 km de ossa senhora da Ajuda","-39","-16.23","NY00396113_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1019240","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana","A. A. Conceição","2005","12","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019240","Magnoliophyta","Santalales",NA,"L.","J. G. Jardim","1535","Bahia","Caminho para Brejo do Zacarias (Brejinho).","-42.7997","-10.0164","NY01019240_01","Pilão Arcado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00841261","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","G. Gardner","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841261","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","1478","Ceará",NA,NA,NA,"NY00841261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","396110","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","B. A. Krukoff","1939","07","27","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396110","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","10593","La Paz","Basin of Rio Bopi, Asunta (near Evenay)",NA,NA,NA,"Sud Yungas","690","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-26 23:44:00-03","NY","NYBG","396106","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","J. J. Pipoly","1987","04","14","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396106","Magnoliophyta","Santalales","americana","L.","J. C. Lindeman","11597","East Berbice-Corentyne","W bank Canje River, cow Savanna, +- 1 km N of Digitima Creek","-57.58","5.62",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00841257","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","P. Clausen","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841257","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","254","Minas Gerais",NA,NA,NA,"NY00841257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00841260","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","R. S. Santos","1963","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899324' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841260","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","28557","Minas Gerais","Entre Montes Claros e Riacho dos Machados. S. do Espinhaço","-43.426363","-16.403631","NY00841260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00841258","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","W. J. Burchell","1828","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=899319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00841258","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","7512","Goiás","Ribeirao dos Macácos to Olhos de Agoa (Olhos de Agua, ca. 16°, just above on AGS map and just below on Inst. Bras. map., W 48°45' on AGS map and 48°36' on Inst. Bras. map. In this move he retraces his steps also)",NA,NA,"NY00841258_01 NY00841258_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","396112","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","P. K. H. Dusén","1911","01","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396112","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer","11039","Paraná","Imbituva","-50.6042","-25.23",NA,"Imbituva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","396119","PreservedSpecimen","Plantae","Olacaceae","Ximenia","americana","Ximenia americana americana","J. S. Blanchet","1841","11","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396119","Magnoliophyta","Santalales","americana","L.","H. O. Sleumer",NA,"Bahia",NA,"-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
