"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","locality","barcode","imagecode","recordNumber","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","typeStatus","fieldNumber","sex","preparationType"
"11","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","16738",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","R.R. Vervloet; et al","2002","04","09","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075","40W33'11","19S54'27","Reserva Biológica Augusto Ruschi - Nova Lombardia","MBML016738","MBML016738","90",NA,NA,"L. Kollmann/09-08-2002",NA,NA,NA,"Epífita árvore caída, folhas verde clara com manchas vinho, frutos imaturos de cor verde e manchas vinho, espata verde com brácteas e manchas vinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","17516",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","R.R. Vervloet; et al","2002","07","16","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075","40W33'11","19S54'27","Reserva Biológica Augusto Ruschi - Nova Lombardia","MBML017516","MBML017516","474",NA,NA,"L. Kollmann/04-12-2002",NA,NA,NA,"Epífita, em tronco caído, folha de cor verde claro com pintas vináceas, escapo brácteas e frutos de cor verde claro com pintas vinho, frutos imaturos. Topo de morro, dossel aproximado 22m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","17963",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","R.R. Vervloet; et al","2002","08","28","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075","40W33'11","19S54'27","Reserva Biológica Augusto Ruschi - Nova Lombardia","MBML017963","MBML017963","789",NA,NA,"L. Kollmann/04-12-2002",NA,NA,NA,"Epífita, flor com sépalas verde e pintas vinho, pétalas amarelas, brácteas verde com pintas vinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","23905",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","L. Kollmann; et al","2005","03","11","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.820556","40W33'11","19S49'14","Lombardia","MBML023905","MBML023905","7501",NA,NA,"L. Kollmann/21-06-2005",NA,NA,NA,"Epífita na sombra, botões verdes, pétalas marrons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","49331",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","D.R. Couto; J.H.M.Couto","2008","02","05","Brasil","Espírito Santo","Mimoso do Sul","-41.468611","-20.898611","41W28'7","20S53'55","São Rafael: Mata da Chorona","MBML049331","MBML049331","428",NA,NA,"D.R. Couto/20-04-2008",NA,NA,NA,"Holoepífita na copa interna. Lâmina verde com máculas vinosas. Brácteas do pedúnculo e brácteas florais verdes com máculas vinosas. Corola branco leitoso. Planta resgatada de grande forófito caido em borda de floresta bem preservada.",NA,NA,"805","805",NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","39628",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","D.R. Couto","2009","04","12","Brasil","Espírito Santo","Mimoso do Sul","-41.3664016723633","-21.0641994476318",NA,NA,"São Rafael","MBML039628","MBML039628","1135","29430","auto","E. Leme","2009","04","13","Epífita, pétalas albas, sépalos verdes com máculas vináceas. Brácteas escapais verdes maculadas de vinho. Lâmina verde com máculas vinho. Forófito caído as margens da estrada, Pedra da Chorona.",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","51818",NA,"Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B.Smith","A. P. Fontana; L.N. Lima, L. Kollmann & S. Krause","2006","03","23","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"Santo Anselmo, propriedade do Naudorf","MBML051818","MBML051818","2046","23813","auto","A.P. Fontana/23-03-2006",NA,NA,NA,"Epífita. Folhas verdes com pintas marrons. Inflorescência marrom. Frutos marrons.",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","3149440","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","H. Q. Boudet Fernandes","1987","6","8","Brazil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"herb.","US01914130","US01914130_01","2163","23813","auto",NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2340023","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L.B. Sm.","A. Seidel","1960","11",NA,"Brazil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"(type locality)","US01914131","US01914131_01","s.n.","23813","auto",NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Monocotyledonae","Bromeliales","1",NA,NA,NA,NA
"20","2010-08-16 16:43:20-03","GH","HU-HERB","GH 00029526","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","racinae","Vriesea racinae","L. B. Smith","M. B. Foster & R. Foster","1939","7","26","Brazil","Espirito Santo",NA,NA,NA,NA,NA,"Santa Teresa, alt. 2550 feet",NA,NA,"270",NA,NA,NA,NA,NA,NA,NA,NA,"South America","777",NA,NA,NA,NA,"Type","270","undetermined","Sheet"
