"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"347","2021-02-08 12:45:27-03","UFRGS","ICN","137975","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Hagelund, K","16143","1987","04","07","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"ICN00002043","ICN00002043","é o mesmo que o ICN 142743","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"348","2021-02-08 12:45:27-03","UFRGS","ICN","131895","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Barboza, G","2003","11","21","Hagelund, K","16215","1987","04","07","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"ICN00002048","ICN00002048 ICN00002048_1 ICN00002048_2",NA,"Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"349","2021-02-08 12:45:27-03","UFRGS","ICN","145162","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","G.; E.L.C. Soares, LA Mentz",NA,NA,NA,"Lima, LF","347","2006","05","19","Brasil","RS","São Francisco de Paula","Floresta Nacional de São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"924","924","ICN00002036","ICN00002036","Interior de Floresta Ombrófila Mista. 29°25'23.5S; 50°23'12.0W (sede).","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"350","2021-02-08 12:45:27-03","UFRGS","ICN","183147","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Mentz, LA",NA,NA,NA,"Seger, GDS","102","2006","03","20","Brasil","RS","São Francisco de Paula","Floresta Nacional (FLONA-SFP)","-50.5835990905762","-29.4480991363525",NA,NA,"923","923","ICN00002026","ICN00002026","Flores; Interior de mata nativa, junto a um córrego","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"351","2021-02-08 12:45:27-03","UFRGS","ICN","156413","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, ELC","2005","04",NA,"Soares, ELC","87","2005","04",NA,"Brasil","RS","São Francisco de Paula","José Velho","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"ICN00032848",NA,NA,"Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"352","2021-02-08 12:45:27-03","UFRGS","ICN","122902","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, ELC","2006","08","24","Mentz, LA; Sobral, M","167","1995","04","18","Brasil","RS","São Francisco de Paula","na estrada para José Velho ao lado de ponte sobre o arroio","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"ICN00032846",NA,NA,"Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"353","2021-02-08 12:45:27-03","UFRGS","ICN","147501","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Vendruscolo, LA Mentz; G.S.",NA,NA,NA,"Vendruscolo, GS","735","2007","01","29","Brasil","RS","São Francisco de Paula","Pró-Mata (PUCRS)","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"ICN00002034","ICN00002034 ICN00002034_1","Arbusto com 1,50 m de altura, flores brancas, frutos verdes, comum.; Interior de Floresta Ombrófila Mista.","Dicotyledon",NA,"América do Sul",NA,"76715","auto",NA,NA,NA,NA,NA,NA
"354","2021-02-08 12:45:27-03","UFRGS","ICN","060667","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, ELC","2006","08","24","Klein; Souza S.","7316","1967","03","16","Brasil","SC","Florianópolis","Morro da Costa da Lagoa","-48.5491981506348","-27.596700668335",NA,NA,"200","200","ICN00032858",NA,"Arbusto, 3 m, flôr branca; Mata, beira de regato","Dicotyledon",NA,"América do Sul",NA,"27000","auto",NA,NA,NA,NA,NA,NA
"355","2021-02-08 12:45:27-03","UFRGS","ICN","196562","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza","Soares, ELC","2009","02","16","Verdi, M; Carneiro, FE","635","2008","05","01","Brasil","SC","Otacílio Costa","Vila Santa Aparecida","-50.121898651123","-27.4831008911133",NA,NA,"888","888","ICN00032854",NA,"FURB: 8047 / 594834 S 6953344 O; Flor branca. Fruto imaturo verde; FOM. Floresta em estágio médio de regeneração","Dicotyledon",NA,"América do Sul",NA,"48988","auto",NA,NA,NA,NA,NA,NA
"356","2021-02-08 12:45:27-03","UFRGS","ICN","140791","S","Plantae","Solanaceae","Aureliana","wettsteiniana","Aureliana wettsteiniana","(Witasek) Hunz. & Barboza",NA,NA,NA,NA,"Jarenkow, M Sobral; J. A.","8027",NA,NA,NA,"Brasil","RS","Morrinhos do Sul","Morro do Forno","-49.934700012207","-29.3649997711182",NA,NA,NA,NA,NA,NA,"Arbusto 2 m; flores brancas, sem odor pronunciado; frutos imaturos.; Região de mata atlântica, na subida da trilha Morro do Forno-Josafá, 100-150 m.s.m.; em interior de mata junto a arroio.","Dicotyledon",NA,"América do Sul",NA,"12766","auto",NA,NA,NA,NA,NA,NA
