"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","phylum","identifiedBy","yearIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","monthIdentified","dayIdentified","class","order","individualCount"
"11","2018-06-22 05:25:00-03","MO","MOBOT","2452191","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Pe. Raulino Reitz","Reitz 4674","1951","12","1","Brazil","Santa Catarina",NA,"Taió, Riberão Grande, Serra do Mirador",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-04 11:04:39-03","UFRB","HURB","20525","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Souza, E.H.; Ferreira, F.R.",NA,"2016","11","19","Brasil","Mucugê","Rodovia Ba 026","Sentido Planaltino-Mucugê;","-41.462417","-13.398167",NA,"HURB000020525",NA,NA,NA,"E.H.Souza e F.R.Ferreira","2016",NA,"41º27'44,70W","13º23'53,40S",NA,NA,"Acesso coletado e incorporado no Banco Ativo de Germoplasma da Embrapa Mandioca e Fruticultura sob o numero BGB215.","11",NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2028705","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","R. Reitz","4069*",NA,NA,NA,"Brazil","Santa Catarina",NA,"Serra da Uirador-Taié [interpreted].",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"1700",NA,NA,NA,NA,"Monocotyledonae","Bromeliales","1"
"14","2020-11-12 17:02:25-03","UEL","FUEL","50269","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Estevan, DA","1869","2008","10","09","Brasil","Paraná","Ventania","Sítio do Pinheiro","-50.2428016662598","-24.2458000183105","32424","OK",NA,"auto","Tracheophyta","Estevan, DA","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poales",NA
"15","2020-11-12 17:02:25-03","UEL","FUEL","50270","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Estevan, DA","1868","2007","10","29","Brasil","Paraná","Ventania","Sítio do Pinheiro","-50.2428016662598","-24.2458000183105","32424",NA,NA,"auto","Tracheophyta","Estevan, DA","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poales",NA
"16","2020-11-12 17:02:25-03","UEL","FUEL","50271","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Estevan, DA","1870","2007","04","16","Brasil","Paraná","Ventania","Sítio do Pinheiro","-50.2428016662598","-24.2458000183105","32424","OK",NA,"auto","Tracheophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poales",NA
"17","2020-03-11 17:17:51-03","UFMT","UFMT","43339","S","Plantae","Bromeliaceae","Billbergia","alfonsijoannis","Billbergia alfonsijoannis","Reitz","Petini-Benelli, A.","APB1103","2016","09","18","Brasil","Mato Grosso","Rondonópolis","Ex hort. E Gentile & F. Rodrigues.","-54.6356010437012","-16.4708003997803","69781",NA,NA,"auto",NA,"Petini-Benelli, A.","2016",NA,NA,NA,NA,NA,"Erva epífita. Flores em solução (SPIRIT 1103). Tépalas azuis.; Floresta ombrófila mista.","09","18",NA,NA,NA
"18","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","19738","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Strehl, T.","751","1983","10",NA,"Brasil","Rio Grande do Sul","Arroio dos Ratos","Fazenda Faxinal","-51.7291984558105","-30.0771999359131","29956","HAS0019738",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,"Cultivada no Jardim Botânico, sob o nº 8500; Flor verde-azul; pétalas espiraladas para trás; folhas serradas; as brácteas s]ao rosa luminoso forte; de até 30 cm de comprimento.",NA,NA,NA,NA,NA
"19","2019-11-21 10:02:30-03","IBt","SP","412785a","Extra","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Monteiro, RF","8","2003","10","19","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata em frente ao alojamento, próximo da caixa d'água.","-43.793098449707","-21.8425006866455","30417","SP051001","SP051001","auto",NA,"Monteiro, RF","2006",NA,NA,NA,NA,NA,NA,"08","04",NA,NA,NA
"20","2019-11-21 10:02:30-03","IBt","SP","412785b","Extra","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Monteiro, RF","8","2003","10","19","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata em frente ao alojamento, próximo da caixa d'água.","-43.793098449707","-21.8425006866455","30417","SP051000","SP051000","auto",NA,"Monteiro, RF","2006",NA,NA,NA,NA,NA,NA,"08","04",NA,NA,NA
"21","2019-11-21 10:02:30-03","IBt","SP","412785","S","Plantae","Bromeliaceae","Billbergia","alfonsi-joannis","Billbergia alfonsi-joannis","Reitz","Monteiro, RF","8","2003","10","19","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata em frente ao alojamento, próximo da caixa d'água.","-43.793098449707","-21.8425006866455","30417","SP050999","SP050999","auto",NA,"Monteiro, RF","2006",NA,NA,NA,NA,NA,NA,"08","04",NA,NA,NA
