"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","typeStatus","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","sex"
"11","2016-11-01 12:39:00-02","NY","NYBG","418859","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","S. B. d. Silva","367","1984","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418859","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Malhadinha. Folha SC.23-Y-D. Ponto 20","NY00418859_01","R. C. Barneby","-45.07","-11.18",NA,NA,"Formosa do Rio Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","418857","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","H. S. Irwin","31582","1971","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418857","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Valley of the Rio das Ondas. Lower slopes of Espigao Mestre, ca. 4km N of Barreiras, road to Santa Rita da Cassia","NY00418857_01","R. C. Barneby","-44.99","-12.15","550","550","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00932595","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula ferrea","G. Eiten","10508","1970","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932595","Magnoliophyta","Fabales","ferrea","Barneby","Maranhão","Ilha da Balsas region, between the Balsas and Parnaíba Rivers. Ca. 35 km south of Loreto. Just west of Chapada do Gigante a few km SW of main house of Fazenda Morros","NY00932595_01","R. C. Barneby","-45.08","-7.38","350","350","Lorêto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2480417","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula","H. C. de Lima","7173","2011","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706485' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480417","Magnoliophyta","Fabales",NA,"(Mart.) Benth.","Pará","Mina N 5-W sul, próxima a lagoa","NY02480417_01",NA,"-50.1242","-6.0958","600",NA,"Parauapebas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-11-01 12:22:00-02","NY","NYBG","590320","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","S. M. de Faria","1357","1997","04","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590320","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Xique/Xique. Irece","NY00590320_01","J. Santos Silva","-42.7308","-10.8219",NA,NA,"Xique-Xique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","418863","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","G. G. Hatschbach","61971","1995","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418863","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Rod. BA-160, 5-10km na direcao de Ibotirama","NY00418863_01",NA,"-43.41","-13.25",NA,NA,"Bom Jesus da Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","418864","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","G. G. Hatschbach","67747","1998","03","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418864","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Velha Marreca, arredores","NY00418864_01",NA,"-42.7308","-10.8219",NA,NA,"Xique-Xique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00418861","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula","A. F. Fuentes","496","1995","03","16","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418861","Magnoliophyta","Fabales",NA,"(Mart.) Benth.","Santa Cruz","Estancia San Miguelito; 200km NE de Santa Cruz; campamento La Pascana WCS",NA,"R. C. Barneby","-61.78","-17.075","280","280","Ñuflo de Chávez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 21:58:00-03","NY","NYBG","00932574","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","G. Gardner","2135","1840",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932574","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Piauí","Brasil trop. Prov. Piauhy","NY00932574_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","418854","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","R. M. Harley","21358","1980","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418854","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Basin of the Upper Sao Francisco River. 2km E of Igapora, on the BR 430 and about 44km from Caitité. F5","NY00418854_01","R. C. Barneby","-42.68","-13.77","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01344768","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula ferrea","B. G. S. Ribeiro","1335","1976","06","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1594257' target='other'> <mi>dwc_moreinfo</mi></a>","NY01344768","Magnoliophyta","Fabales","ferrea","Barneby","Pará","Serra dos Carajás - Margem da Estrada 1-4","NY01344768_01","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","418855","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","R. M. Harley","19143","1977","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418855","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","5.6km S of Sao Inacio on the road to Gentio do Ouro","NY00418855_01","R. C. Barneby","-42.73","-11.13","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","442756","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","H. S. Irwin","30986","1971","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=84902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442756","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Serra da Agua de Rega. Rio Riachao, ca. 27km N of Seabra, road to Agua da Rega","NY00442756_01","J. Santos Silva","-41.7703","-12.4186","1000","1000","Seabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00932572","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula ferrea","G. Eiten","4184","1962","04","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932572","Magnoliophyta","Fabales","ferrea","Barneby","Maranhão","Ilha de Balsas region, between the Rios Balsas and Parnaíba. About 20 km. south of Lorêto. Along trail to Lorêto, north of main house of Fazenda Trabalhosa","NY00932572_01","R. C. Barneby","-45.1411018371582","-7.08444023132324","300","300","Loreto","79629","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","442791","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","L. P. de Queiroz","3389","1993","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=84886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442791","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Ca. 4km S de Agua de Rega na estrada para Lagoa da Boa Vista","NY00442791_01","J. Santos Silva","-41.7817","-12.2044","960","960","Iraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-30 12:54:00-03","NY","NYBG","01912625","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula","D. C. Daly","1754","1981","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2198612' target='other'> <mi>dwc_moreinfo</mi></a>","NY01912625","Magnoliophyta","Fabales",NA,NA,"Pará","Serra dos Carajás, 25-30 Km NW of Serra Norte mining camp","NY01912625_01","R. C. Barneby","-50.433333","-5.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 04:14:00-03","NY","NYBG","1306164","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","E. P. Heringer","6871","1981","04","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1552588' target='other'> <mi>dwc_moreinfo</mi></a>","NY01306164","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Distrito Federal","Estação Biológica da UnB.","NY01306164_01",NA,"-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-29 21:58:00-03","NY","NYBG","00932598","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. Fernandes","s.n.","1979","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932598","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Maranhão","Na estrada piçarra entre Barao de Grajaú e S. Joao dos Patos, Barao de Grajaú","NY00932598_01",NA,NA,NA,NA,NA,"Barao do Grajaú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-10-28 14:54:00-02","NY","NYBG","00932603","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. Gomes","s.n.","1980","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932603","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Ceará","Estaçao Ecológica de Aiuaba","NY00932603_01",NA,"-40.1233","-6.5736",NA,NA,"Aiuaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-10-28 16:52:00-02","NY","NYBG","00980758","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. Nascimento","243","2000","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980758","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Saída de Remanso para Pilão Arcado","NY00980758_01","J. Santos Silva","-42.3969444","-9.7380556",NA,NA,"Remanso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-10-28 14:54:00-02","NY","NYBG","00932602","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. G. Fernandes","s.n.","1980","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932602","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Ceará","Cachoeira do Boi Morto","NY00932602_01",NA,"-40.9208","-3.8544",NA,NA,"Ubajara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","418858","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","H. S. Irwin","31582","1971","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418858","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Valley of the Rio das Ondas. Lower slopes of Espigao Mestre, ca. 4km N of Barreiras, road to Santa Rita da Cassia","NY00418858_01","R. C. Barneby","-44.99","-12.15","550","550","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 13:01:00-03","NY","NYBG","418853","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. M. V. de Carvalho","3957","1992","06","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418853","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Ca. 16km na estrada de Bom Jesus da Lapa para Ibotirama","NY00418853_01",NA,"-43.41","-13.25",NA,NA,"Bom Jesus da Lapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-10-28 14:55:00-02","NY","NYBG","00932597","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. G. Fernandes","s.n.","1980","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932597","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Piauí","entre Gaturiano e Oeiras, Oeiras","NY00932597_01",NA,"-42.1308","-7.0256",NA,NA,"Oeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-10-28 14:55:00-02","NY","NYBG","00932600","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","A. Fernandes","s.n.","1979","04","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932600","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Piauí",NA,"NY00932600_01","R. C. Barneby","-42.6992","-9.0156",NA,NA,"São Raimundo Nonato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-11-01 12:39:00-02","NY","NYBG","418867","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","B. A. S. Pereira","1627","1991","03","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418867","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Margem da rodovia Barreiras/Ibotirama. No km 181 da rodovia Barreiras/Ibotirama","NY00418867_01",NA,"-43.14","-11.08",NA,NA,"Barra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-11-01 12:39:00-02","NY","NYBG","418869","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","L. Coradin","5736","1983","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418869","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Estrada Barreiras-Corrente km 45","NY00418869_01","R. C. Barneby","-44.92","-11.78","500","500","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-11-01 12:39:00-02","NY","NYBG","418866","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","B. A. S. Pereira","1631","1991","03","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418866","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Margem da rodovia Barreiras/Ibotirama. No km 147 da rodovia Barreiras/Ibotirama","NY00418866_01",NA,"-43.14","-11.08",NA,NA,"Barra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 21:58:00-03","NY","NYBG","00932575","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","L. A. Dambros","7-163-90","1990","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932575","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Goiás","Estrada de Iaciara- Nova Roma km 10. Folha: SD23YA Ponto 04","NY00932575_01",NA,"-46.7314","-14.1267",NA,NA,"Iaciara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-11-01 12:39:00-02","NY","NYBG","418860","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","L. A. Dambros","1016390","1990","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418860","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Goiás","Estrada Iaciara Alvorada, proximidades do Rio da Prata. Folha SD23YA. Ponto 07","NY00418860_01",NA,"-46.6517","-14.2919",NA,NA,"Posse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","418868","PreservedSpecimen","Plantae","Fabaceae","Mimosa","acutistipula","Mimosa acutistipula acutistipula","L. Coradin","5746","1983","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418868","Magnoliophyta","Fabales","acutistipula","(Mart.) Benth.","Bahia","Estrada para Santa Rita de Cassia. Margem do Rio Preto proximidades da cidade","NY00418868_01","R. C. Barneby","-44.52","-11.02","490","490","Santa Rita de Cassia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
