"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","individualCount","dayIdentified"
"11","2020-12-11 11:38:15-03","UFMG","BHCB","71577","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"Lombardi, JA; Salino, A; Mota, RC da; Viana, PL","4890","2002","06","15","Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto, próximo ao córrego da Lapa","-43.331583","-18.238333",NA,NA,NA,"Fendas de rochas de afloramento no cerrado. Erva, folhas papiráceas, cálice verde, corola rosada, estames amarelos",NA,NA,"São Gonçalo do Rio Preto",NA,NA,NA,"-43.331583","-18.238333",NA,NA,NA,NA
"12","2021-02-11 17:19:50-03","UFPR","UPCB","46238","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Lombardi, J.A.","Lombardi, J.A.","4890","2002","06","15",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Preto, próximo ao córrego da Lapa","-43.3908004760742","-18.0041999816895",NA,NA,NA,"Erva, folhas papiráceas, cálice verde, corola rosada, estames amarelos. Fendas de rochas de afloramento no cerrado..","UPCB0014720","UPCB0014720","São Gonçalo do Rio Preto","26697","auto",NA,NA,NA,"2002","06",NA,NA
"13","2020-09-12 05:00:02-03","US","US","2591365A","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"H. S. Irwin, R. R. Santos, R. Souza, R. R. Santos & J. Ramos","27574","1970","3","15","South America - Neotropics","Brazil","Minas Gerais","25 nkm E of Diamantina, near Rio Jequiti.",NA,NA,"800",NA,NA,NA,"US01894035","US01894035_01 US01894035_02",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"14","2020-09-12 05:00:02-03","US","US","2591366A","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"H. S. Irwin, R. R. Santos, R. Souza, R. R. Santos & J. Ramos","27105","1970","3","7","South America - Neotropics","Brazil","Minas Gerais","Ca. 8 Km W of Joaquim Felício",NA,NA,"1200",NA,NA,NA,"US01894036","US01894036_01 US01894036_02",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"15","2020-09-12 05:00:02-03","US","US","2857509","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"H. S. Irwin, R. R. Santos, R. Souza & S. F. Fonsêca","22887","1969","1","30","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaço. Campo with large outcrops, ca. 15km N.E. of Diamantina, road toendanha.",NA,NA,"1275",NA,NA,NA,"US01894034","US01894034_01 US01894034_02",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"16","2021-03-15 18:28:43-03","USP","SPF","209641","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Zappi, DC; Woodgyer, EM","Zappi, DC","2616","2009","11","25",NA,"Brasil","Minas Gerais","Serra do Cipó, Capela de São José. Trilha da Senhorinha, caminho a Congonhas do Norte.","-43.755179","-18.951335",NA,NA,NA,"Erva crescendo em frestas de rocha, local sombreado, pétalas rosa-claras, anteras amarelas.; Campo limpo com afloramentos rochosos pequenos.","SPF00209641",NA,"Santana de Pirapama",NA,NA,NA,"-43.755179","-18.951335","2010","12",NA,NA
"17","2019-11-13 11:25:26-03","USP","SPF","35760","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Martins, AB","Harley, RM","CFCR6160","1984","11","18",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"SPF00035760",NA,"Diamantina","101169","auto",NA,NA,NA,"2003",NA,NA,NA
"18","2019-11-13 11:25:26-03","USP","SPF","190137","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Goldenberg, R; Michelangeli, FA","Mello-Silva, R","3146","2009","02","06",NA,"Brasil","Minas Gerais",NA,"-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,"SPF00190137",NA,"Gouveia","37970","auto",NA,NA,NA,"2011",NA,NA,NA
"19","2015-08-19 12:35:17-03","F","FMNH-SEEDPLANTS","V0329161F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0329161F","V0329161F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"20","2019-11-01 15:04:02-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Faria, JEQ","Faria, JEQ; Pinheiro, AC; Castro, AC","8514","2018","04","01","Southern America","Brasil","Minas Gerais","Chácara Solar das Pedras, no distrito de Mendanha","-43.5375","-18.108333","714","714",NA,"Erva crescendo em fóvea de rocha, flores comumente trímeras ou tetrâmeras, pétalas rosas, estames brancos; Ambiente rupestre em borda de cachoeira",NA,NA,"Diamantina",NA,NA,NA,"-43.5375","-18.108333","2018","04",NA,NA
"21","2019-05-06 11:59:30-03","UFU","HUFU","45286","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Romero, R.","Viana, P.L.; Menini-Neto, L.; Konno, T.U.P.; Salimena, F.R.; Bispo, H. & Bispo, F.","2165","2006","06","11",NA,"Brasil","Minas Gerais","APA Felício","-43.246898651123","-18.0771999359131",NA,NA,NA,"Campo rupestre.","HUFU00037747","HUFU00037747","Felício dos Santos","21878","auto",NA,NA,NA,"2011","09",NA,"09"
"22","2019-05-06 11:59:30-03","UFU","HUFU","26846","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Romero, R.","Volpi, R.L.; Pacheco, R.A.; Romero, R. & Nakajima, J.N.","173","2002","04","11",NA,"Brasil","Minas Gerais","Trilha Casinha Branca, Fazenda Zé Antunes.","-46.786111","-20.333056",NA,NA,NA,"Herbácea, ca. 0,7 m. Corola púrpura, anteras arroxeadas.; Campo rupestre.","HUFU00037743","HUFU00037743","Delfinópolis",NA,NA,NA,"-46.786111","-20.333056","2004","12",NA,NA
"23","2019-05-06 11:59:30-03","UFU","HUFU","30881","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Romero, R.","Nakajima, J.N.; Romero, R.; Volpi, R.L.; Pacheco, R.A. & Faria, C.A.","3514","2003","03","13",NA,"Brasil","Minas Gerais","Fazenda Águas da Serra, Trilha das cachoeiras.","-46.767222","-20.4425","996","996",NA,"Herbácea, ca. 0,1 m. Hipanto vinho, corola lilás e anteras arroxeadas.; Mata de galeria, entre rochas.","HUFU00037745","HUFU00037745","Delfinópolis",NA,NA,NA,"-46.767222","-20.4425","2003","07",NA,NA
"24","2019-05-06 11:59:30-03","UFU","HUFU","30908","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Romero, R.","Volpi, R.L.; Romero, R.; Nakajima, J.N.; Pacheco, R.A. & Faria, C.A.","517","2003","03","10",NA,"Brasil","Minas Gerais","Trilha da Escada da Pedra, Fazenda José Antunes.","-46.653333","-20.434444","841","841",NA,"Herbácea, ca. 0,1 m. Corola pink, anteras vinho.; Campo rupestre.","HUFU00037742","HUFU00037742","Delfinópolis",NA,NA,NA,"-46.653333","-20.434444","2003","07",NA,NA
"25","2019-05-06 11:59:30-03","UFU","HUFU","32534","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Romero, R.","Pacheco, R.A.; Cruz, M.P.; Carvalho, S.M.; Rezende, I.M.; Alves, A.S.S.; et al.","608","2003","05","17",NA,"Brasil","Minas Gerais","Condominio de Pedras","-46.756389","-20.367778","1178","1178",NA,"Herbácea. Cálice e corola arroxeados e estames amarelos.; Campo rupestre.","HUFU00037746","HUFU00037746","Delfinópolis",NA,NA,NA,"-46.756389","-20.367778","2003","07",NA,NA
"26","2019-05-06 11:59:30-03","UFU","HUFU","63633","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Araújo, I.M.","Araújo, I.M.; Marques, D.; Franco, I.M. & Silva, K.R.","292","2012","06","25",NA,"Brasil","Minas Gerais","Parque Estadual do Biribiri, Serra do Carimbo.","-43.654722","-18.139167","891","891",NA,"Erva. Pétalas lilases, filetes lilases, anteras amarelas.; Campo rupestre, em fenda de rocha.","HUFU00061588","HUFU00061588","Diamantina",NA,NA,NA,"-43.654722","-18.139167","2012",NA,NA,NA
"27","2019-05-06 11:59:30-03","UFU","HUFU","66436","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Versiane, A.F.A.","Franco, I.M.; Versiane, A.F.A. & Silva, K.R.","1156","2012","12","04",NA,"Brasil","Minas Gerais","Parque Estadual do Biribiri, Segunda Porteira da fazenda Duas Pontes","-43.575556","-18.158889","1172","1172",NA,"Erva rupícola. Flores rosas, anteras creme; Campo rupestre. Erva rupícola, em fenda de rocha, em afloramento rochoso.","HUFU00061587","HUFU00061587","Diamantina",NA,NA,NA,"-43.575556","-18.158889","2012","12",NA,NA
"28","2019-05-06 11:59:30-03","UFU","HUFU","30834","S","Plantae",NA,NA,"Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.","Romero, R.","Volpi, R.L.; Romero, R.; Nakajima, J.N.; Pacheco, R.A. & Faria, C.A.","571","2003","03","12",NA,"Brasil","Minas Gerais","Estrada para Casinha Branca, Cidade das Pedras.","-46.8539009094238","-20.343900680542",NA,NA,NA,"Herbácea, ca. 0,1 m. Corola magenta e anteras vináceas.; Cerrado rupestre.","HUFU00037744","HUFU00037744","Delfinópolis","41380","auto",NA,NA,NA,"2003","07",NA,NA
"29","2014-12-08 10:56:40-02","CAS","CAS-BOT","416503","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9576","2009","2",NA,"South America","Brazil","Minas Gerais","Municipio Diamantina. Cadeia do Espinhaço. About 15 km northeast of Diamantina on the road to Mendanha, left-hand side of road heading northeast.","-43.52682","-18.1798","1173",NA,NA,"Herbs to 7 cm tall from a small tuber. Above-ground parts wither away during dry season to regenerate after rain. Leaves flushed with red. Flowers 3- or 4-merous. Petals pale pink. Anthers pale yellowish white and unappendaged. Local.",NA,NA,NA,NA,NA,"Magnoliopsida","43.52682° W","18.1798° S",NA,NA,NA,NA
"30","2016-04-07 11:25:10-03","CAS","CAS-BOT","499248","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lithobium","cordatum","Lithobium cordatum","Bong.",NA,"Pacheco, R. A.; Volpi, R. L.; Romero, R.; Nakajima, J. N.","173","2002","4",NA,"South America","Brazil","Minas Gerais","Trilha casinha branca, Fazenda Zé Antunes","-46.7861111111","-20.3330555556",NA,NA,NA,"Herbácea cerca 0.7m. Coróla púrpura, antera arroxeadas.",NA,NA,"Delfinopolis",NA,NA,"Magnoliopsida","46° 47' 10 W","20° 19' 59 S",NA,NA,NA,NA
