"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00858297","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"R. de Lemos Fróes","1939","02",NA,"Brazil","Maranhão","São Luís","Estrada do Barreto. Island of São Luiz.","-44.3028","-2.5297",NA,NA,"NY00858297","NY00858297_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954448' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","11618","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","484379","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"L. Riedel","1832","09",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"NY00484379","NY00484379_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339224' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","889","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","484382","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","J. A. Kallunki",NA,NA,NA,"S. A. Mori","1978","10","17","Brazil","Bahia","Santa Cruz Cabrália","Torre da EMBRATEL. Ramal com entrada no km 26 da Rod. BR 367 (Eunápolis/Porto Seguro)","-39.0244","-16.2783",NA,NA,"NY00484382","NY00484382_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339203' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","10770","South America","sheet","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","484394","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","E. F. Guimarães",NA,NA,NA,"S. A. Mori","1978","06","07","Brazil","Bahia","Itacaré","Cerca de 1 km ao S de Itacaré, beira-mar. Folha SD-24 (14-39c)","-38.995183","-14.2890182",NA,NA,"NY00484394","NY00484394_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339195' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","10149","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","484494","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","J. S. Miller",NA,NA,NA,"D. N. Smith",NA,NA,NA,"Peru","San Martín","Rioja","Pedro Ruíz Moyobamba road, km 390-394, Venceremos","-77.75","-5.83",NA,NA,"NY00484494",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339183' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","4537","South America","sheet","1910","2040",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","484396","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"J. S. Blanchet","1831",NA,NA,"Brazil","Bahia",NA,"Circa Bahia",NA,NA,NA,NA,"NY00484396","NY00484396_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339215' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","662","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2148719","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"M. G. da Silva","1976","09","01","Brazil","Pará",NA,"Transamazônica, Itupiranga, Rio Tocantins.","-49.324539","-5.1348509",NA,NA,"NY02148719","NY02148719_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298133' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","2745","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-27 00:41:00-03","NY","NYBG","1352981","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor",NA,NA,NA,NA,NA,"N. Y. Sandwith","1937","10","07","Trinidad and Tobago",NA,NA,"Tobago. Lambeau Hill.",NA,NA,NA,NA,"NY01352981","NY01352981_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1579359' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1643","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00858302","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","E. P. Killip",NA,NA,NA,"R. de Lemos Fróes","1932","10","26","Brazil","Maranhão",NA,"Maracassumé River Region. Campo do Cabeca.","-45.8917809","-1.8926301",NA,NA,"NY00858302","NY00858302_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954554' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1989","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","484398","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","S. R. Hill",NA,NA,NA,"R. P. Belém","1965","08","12","Brazil","Espírito Santo","Linhares","Margem do Rio Doce","-40.0719","-19.3911",NA,NA,"NY00484398","NY00484398_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339191' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1581","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00858299","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"Y. E. J. Mexia","1930","09","24","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda do Deserto.","-42.8817","-20.7542",NA,NA,"NY00858299","NY00858299_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954457' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","5096","South America","sheet","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00858296","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","G. T. Prance",NA,NA,NA,"G. T. Prance","1964","10","27","Brazil","Goiás","Caiapônia","Serra do Caiapó. 42 km south of Caiaponia. Riverine forest of Rio Claro.","-51.8103","-16.9569",NA,NA,"NY00858296","NY00858296_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954444' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","59696","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1352975","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"R. S. Cowan","1959","03","25","Trinidad and Tobago",NA,NA,"Moist shady ravine in Carlsen Field.",NA,NA,NA,NA,"NY01352975","NY01352975_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1579345' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1238","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","777275","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","S. M. Silva",NA,NA,NA,"G. Gatti","2000","01","21","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Area Projeto Sucessao","-48.28","-25.15",NA,NA,"NY00777275","NY00777275_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339197' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","653","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","484385","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","J. A. Kallunki",NA,NA,NA,"R. P. Belém","1965","03","31","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau; CEPLAC, CEPEC","-39.2273659","-14.771874",NA,NA,"NY00484385","NY00484385_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339198' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","597","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2148693","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"B. G. S. Ribeiro","1975","09","20","Brazil","Pará",NA,"Estrada Belém-Brasília, próximo a Ipixuna.",NA,NA,NA,NA,"NY02148693","NY02148693_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298104' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1141","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2148697","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"C. A. Cid Ferreira","1982","10","16","Brazil","Amazonas","Tefé","Paraná de Tefé, rio Solimões, 20 minutos de motor de popa antes de chegar na cidade, lugar Santa Missões","-64.666667","-3.366667",NA,NA,"NY02148697","NY02148697_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298108' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","3263","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","2148707","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"A. A. de Oliveira","1995","07","02","Brazil","Amazonas",NA,"Ilha Jacaré.","-61.1858","-2.01",NA,NA,"NY02148707","NY02148707_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298120' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","2636","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","3837246","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"H. S. Irwin","1963","09","26","Suriname",NA,NA,"Wilhelmina Gebergte. Zuid Rivier. Disturbed area, Kayser Airstrip, U5 km above confluence with Lucie Rivier.",NA,NA,NA,NA,"NY03837246",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4158442' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","57628","South America","sheet","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","484403","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","L. B. Smith",NA,NA,NA,"R. Reitz","1956","09","20","Brazil","Santa Catarina","Ibirama",NA,"-49.5178","-27.0569",NA,NA,"NY00484403","NY00484403_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339207' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","3714","South America","sheet","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","484376","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"G. Gardner","1836","08","01","Brazil","Rio de Janeiro",NA,"Valley of Rio Comprido",NA,NA,NA,NA,"NY00484376","NY00484376_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339221' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","83","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2148706","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"J. L. Zarucchi","1979","10","14","Brazil","Rondônia",NA,"Mineração Campo Novo (ca 100 km SW of Ariquemes).","-63.616667","-10.566667",NA,NA,"NY02148706","NY02148706_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298119' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","2688","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2148703","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"P. Acevedo-Rodríguez","1996","08","07","Brazil","Amazonas",NA,"Lateral channels of Rio Negro toward entrance to Rio Acará. Boat stationed at coordinates. Collected in radius of 2 km from boat.","-62.9508","-0.7589",NA,NA,"NY02148703","NY02148703_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298116' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","8048","South America","sheet","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","484388","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","J. A. Kallunki",NA,NA,NA,"R. P. Belém","1965","03","31","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau; CEPLAC, CEPEC","-39.2273659","-14.771874",NA,NA,"NY00484388","NY00484388_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339201' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","607","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","484399","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","E. F. Guimarães",NA,NA,NA,"T. S. dos Santos","1970","10","26","Brazil","Bahia","Ipiaú","Ipiaú, estrada a Itagi","-39.7339","-14.1372",NA,NA,"NY00484399","NY00484399_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339196' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1200","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","484387","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.","J. A. Kallunki",NA,NA,NA,"R. P. Belém","1965","08","07","Brazil","Bahia","Mucuri","Fazenda Afonsópolis, margem do Rio Mucuri","-39.5506","-18.0867",NA,NA,"NY00484387","NY00484387_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339200' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1439","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","484375","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"A. F. M. Glaziou","1880",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00484375","NY00484375_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339223' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","2148712","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"G. T. Prance","1967","01","22","Brazil","Roraima",NA,"Canto Galo, Rio Mucajaí between Pratinha and Rio Apiaú","-61.1802006","2.6780147",NA,NA,"NY02148712","NY02148712_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298125' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","3990","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","484381","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"L. Riedel","1821","09",NA,"Brazil","Bahia","Ilhéus","Pr. Ilheos","-39.0492","-14.7892",NA,NA,"NY00484381","NY00484381_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339226' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","338","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","2148714","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"D. C. Daly","1981","11","03","Brazil","Pará",NA,"25-35km SW of Tucurui near road which serves Fezendes. Area to be inundated by dam project. Forest on terra firme and Euterpe palm swamp.","-49.6735668","-3.9906516",NA,NA,"NY02148714","NY02148714_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298128' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","1202","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","2148709","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"L. A. Maia","1979","06","25","Brazil","Amazonas",NA,"Rio Negro, Paraná Tauatú, acima de Manaus, 1 dia de viagem em motor de 116 HP. &nf;Mata de igapó.",NA,NA,NA,NA,"NY02148709","NY02148709_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2298122' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","10","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1352979","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor","Sw.",NA,NA,NA,NA,"C. E. O. Kuntze","1874","04","06","Trinidad and Tobago",NA,NA,"Trinidad",NA,NA,NA,NA,"NY01352979","NY01352979_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1579357' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","827","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-27 00:41:00-03","NY","NYBG","1352983","PreservedSpecimen","Plantae","Boraginaceae","Tournefortia","bicolor","Tournefortia bicolor",NA,NA,NA,NA,NA,"W. E. Broadway","1922","01","10","Trinidad and Tobago",NA,NA,"Heights of Aripo, Trinidad",NA,NA,NA,NA,"NY01352983","NY01352983_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1579361' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Boraginales","9844","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
