"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","fieldNumber","individualCount"
"14","2017-07-04 17:57:00-03","MO","MOBOT","100740495","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy","A. Fuentes (LPB)",NA,"Beatriz Nieto Ariza|Gabriel Arellano|Huber Villca Corani|A.S. Poma C.|Cartagena Chuqui, Julio Teddy|Racua Amutari, Belisario|Rubín de Celis Castillo, Daniel Fernando|Ibahuari, Basilio","Nieto Ariza 301","2014","5","28","South America","Bolivia","La Paz","Tumupasa, Infierno, Río Siriuna","-67.8240556","-14.0934166",NA,NA,NA,NA,NA,NA,NA,"Abel Iturralde",NA,NA,"238.00000000",NA,NA,NA,"14-07","3"
"15","2008-08-07 03:32:00-03","MO","MOBOT","1788650","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy",NA,NA,"Lourdes Vargas|Alan Perry|Oscar Llanque|Robin B. Foster","Vargas Ramírez 908","1992","7","13","South America","Bolivia","Pando",NA,"-65.7","-9.86666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.00000000",NA,NA,NA,NA,NA
"16","2009-07-24 16:01:00-03","MO","MOBOT","3266003","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy","C.C. Berg",NA,"C.A. Cid Ferreira","Cid Ferreira 8992","1987","5","1","South America","Brazil","Rondônia","Mun. Alvorado do Oeste. Linha 64, a 07 km da BR-429 em direçao a Costa Marques. Cerradfo, solo argilo pedregoso.","-62.5","-11.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","977216","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy","C.C. Berg",NA,"Paul F. Foster|Nur Ritter|Juan Surubí|J. Guillén","Foster 265","1995","9","25","South America","Bolivia","Santa Cruz","Parcela Montecristo 1. 1.5 km al N del camino El Divisorio y el arroyo Montecristo. Bosque inundado estacional hasta 2 m.","-61.15916","-14.66416",NA,NA,NA,NA,NA,NA,NA,"Velasco",NA,NA,"210.00000000",NA,NA,NA,NA,"4"
"18","2013-01-28 05:13:00-02","MO","MOBOT","978601","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg & Kooy","C.C. Berg (BG)",NA,"René Guillén V.|V. Choré","Guillén Villarroel 3729","1995","5","17","South America","Bolivia","Santa Cruz","Reserva Ecológica El Refugio, a 500 m al SE del campamento Toledo. Bosque de goma. Suelos arcillosos anegados temporalmente.","-61.15611","-14.70972",NA,NA,NA,NA,NA,NA,NA,"Velasco",NA,NA,"180.00000000",NA,NA,NA,NA,"7"
"19","2020-08-31 09:17:03-03","INPA","INPA","153645","S","Plantae","Dicotyledon Rosids","Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy","Pelissari, G",NA,"Ferreira, CAC","8992","1987","05","01","Southern America","Brasil","Rondônia","BR 429, 7 km em direção a Costa Marques, Linha 64, a 07 Km da BR-429 em direção a Costa Marques","-62.5","-11.416667",NA,NA,"INPA0153645","INPA0153645 INPA0153645_e INPA0153645_e1","2016","03","01","Alvorada d'Oeste","-62.5","-11.416667",NA,NA,NA,NA,NA,NA
"20","2020-08-31 09:17:03-03","INPA","INPA","41779","S","Plantae","Dicotyledon Rosids","Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy","Pelissari, G","holotype","Berg, CC","P18477","1973","10","13","Southern America","Brasil","Mato Grosso","Rio Aripuanã, at base of Salto dos Dardanelos, west side of river","-59.35","-10.2",NA,NA,"INPA0041779","INPA0041779 INPA0041779_e INPA0041779_e1","2016","03","01","Aripuanã","-59.35","-10.2",NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2789368","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C. Berg",NA,"Isotype","C. C. Berg","P 18477","1973","10","13","South America - Neotropics","Brazil","Mato Grosso","Rio Aripuana, base of Salto dos Dardanelos, w side of river.",NA,NA,NA,NA,"US00169808","US00169808_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"22","2019-10-07 09:36:25-03","UEFS","HUEFS","173151","PreservedSpecimen","Plantae","Angiospermae","Rosales","Moraceae","Ficus","aripuanensis","Ficus aripuanensis","C.C.Berg & Kooy",NA,NA,"Santos, A.A.","3157","2009","09","17",NA,"Brasil","Tocantins","Tupirantins, Margem esquerda do Rio Tocantins, faz. 02, prop. Brandão S. Rezende, perfeito da cidade.","-48.137222","-8.3075",NA,"Resto de Mata Ciliar.","HUEFS0173151","HUEFS0173151",NA,NA,NA,NA,"48W8'14''","8S18'27''","169","169","Rosanae",NA,NA,NA
"23","2019-01-23 10:12:32-02","F","FMNH-SEEDPLANTS","V0360722F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","aripuanensis","Ficus aripuanensis",NA,NA,"Isotype","C. C. Berg","P18477","1973","10","13","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0360722F","V0360722F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
