"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","monthIdentified","locality","occurrenceRemarks","imagecode","class","order","typeStatus","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-11-13 11:21:18-03","USP","SPF","83060","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart.","Baitello, JB","2011","Vecchi, O","56","1918","12",NA,"Brasil",NA,NA,NA,NA,NA,"SPF00083060",NA,"01",NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA
"12","2019-11-13 11:21:18-03","USP","SPF","161510","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart.","Assis, LCS","2009","Stehmann, JR","2995","2001","10","22","Brasil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","SPF00161510","auto","10","Estrada para São Mateus.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-13 11:21:18-03","USP","SPF","176609","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart.","Assis, LCS","2009","Vilela, EA","s.n.","1983","11","22","Brasil","Minas Gerais","Careaçu","-45.6991996765137","-22.0431003570557","15274","SPF00176609","auto","10","Margem Fernão Dias.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-13 11:21:18-03","USP","SPF","162549","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart.","Anônimo",NA,"Toledo, DV","s.n.","1987","09","29","Brasil","São Paulo","Mogi Mirim","-46.9500007629395","-22.4300003051758","19575","SPF00162549","auto",NA,"Estação Experimental de Mogi Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-09-04 19:54:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa",NA,NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,"South America",NA,NA,NA,NA
"16","2021-03-04 15:44:22-03","IF","SPSF","30513","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","L.D.Meireles","1159 & B.Z.Gomes","2002","09","15","Brasil","MG","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"auto","08","Monte Verde, Serra da Mantiqueira","COLETA: XLS: SPSFAntigo; GEOGRAFIA: Pedra do Selado&nf;;",NA,"Magnoliopsida","Laurales",NA,"15","América do Sul",NA,NA,NA,NA
"17","2021-03-04 15:44:22-03","IF","SPSF","38477","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2011","A.G.Ribeiro","180","1995","11","23","Brasil","MG","Muzambinho","-46.5256004333496","-21.3757991790771","18148",NA,"auto","01","estrada dos Canelas","COLETA: Árvore com minteresse econômico florestal, 4m altura, frutos imaturos verdes.;",NA,"Magnoliopsida","Laurales",NA,"20","América do Sul",NA,NA,NA,NA
"18","2021-03-04 15:44:22-03","IF","SPSF","04331","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","L.C.S.Assis","2009","O.Vecchi",NA,NA,NA,NA,"Brasil","SP","Loreto",NA,NA,NA,NA,NA,"10",NA,"COLETA: XLS: SPSFAntigo&nf;Nome popular: sassafrazinho-do-campo;",NA,"Magnoliopsida","Laurales",NA,"30","América do Sul",NA,NA,NA,NA
"19","2021-03-04 15:44:22-03","IF","SPSF","28071","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","L.C.S.Assis","2009","P.L.R.Moraes","2178","2000","08","12","Brasil","SP","Mogi Mirim","-46.938611","-22.451111",NA,NA,NA,"10",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 6m; flores brancas, perfumadas.;",NA,"Magnoliopsida","Laurales",NA,"30","América do Sul",NA,NA,NA,NA
"20","2021-03-04 15:44:22-03","IF","SPSF","35279","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J. B. Baitello","2011","F.A.R.D.P.Arzolla","989","2005","09","07","Brasil","SP","Campos do Jordão","-45.457222","-22.718056",NA,NA,NA,"01","Parque Estadual de Campos do Jordão","COLETA: XLS: SPSFNovo&nf;Floresta Ombrofila Densa Altomaontana.&nf;Árvore 5m; flores creme-esverdeadas.;",NA,"Magnoliopsida","Laurales",NA,"20","América do Sul",NA,NA,"1900","1900"
"21","2021-03-04 15:44:22-03","IF","SPSF","40336","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2011","N.M.Ivanaukas & F.M.Souza & G.Durigan & A.C.Dias","6256",NA,NA,NA,"Brasil","SP","Itaberá","-49.141111","-23.846944",NA,NA,NA,"01","Estação Ecológica de Itaberá","COLETA: Árvore de 8 m. Frutos.; GEOGRAFIA: Floresta Estacional Semidecidual com elementos de floresta ombrofila mista (Araucarias);",NA,"Magnoliopsida","Laurales",NA,"20","América do Sul",NA,NA,"660","660"
"22","2021-03-04 15:44:22-03","IF","SPSF","45033","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","F.A.R.D.P.Arzolla & F.E.S.P.Vilela & J.D.Braz","1487","2011","08","30","Brasil","SP","Pindamonhangaba","-45.475556","-22.736944",NA,NA,NA,"08","Fazenda São Sebastião do Ribeirão Grande","COLETA: Floresta Ombrófila Densa Altomontana&nf;Árvore 8m altura, flores;",NA,"Magnoliopsida","Laurales",NA,"15","América do Sul",NA,NA,"1660","1660"
"23","2021-03-04 15:44:22-03","IF","SPSF","30514","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","L.D.Meireles","1158 & B.Z.Gomes","2002","09","15","Brasil","MG","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"auto","08","Monte Verde, Serra da Mantiqueira","COLETA: XLS: SPSFAntigo; GEOGRAFIA: Pedra do Selado&nf;;",NA,"Magnoliopsida","Laurales",NA,"15","América do Sul",NA,NA,NA,NA
"24","2021-03-04 15:44:22-03","IF","SPSF","30512","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","L.D.Meireles & B.Z.Gomes","1160","2002","09","15","Brasil","MG","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"auto","08","Monte Verde, Serra da Mantiqueira","COLETA: Borda de afloramento&nf;Arvoreta 3ma ltura; flores cor creme; cúpula do fruto evelhecido.; GEOGRAFIA: Pedra do Selado.;",NA,"Magnoliopsida","Laurales",NA,"15","América do Sul",NA,NA,NA,NA
"25","2021-03-04 15:44:22-03","IF","SPSF","30516","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","L.D.Meireles","1151 & B.Z.Gomes","2002","09","14","Brasil","MG","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"auto","08","Monte Verde, Serra da Mantiqueira","COLETA: XLS: SPSFAntigo; GEOGRAFIA: Serra da Mantiqueira, Pedra Redonda&nf;;",NA,"Magnoliopsida","Laurales",NA,"15","América do Sul",NA,NA,NA,NA
"26","2021-03-04 15:44:22-03","IF","SPSF","30515","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","L.D.Meireles","1156 & B.Z.Gomes","2002","09","15","Brasil","MG","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"auto","08","Monte Verde, Serra da Mantiqueira","COLETA: XLS: SPSFAntigo; GEOGRAFIA: Pedra do Selado&nf;;",NA,"Magnoliopsida","Laurales",NA,"15","América do Sul",NA,NA,NA,NA
"27","2021-03-04 15:44:22-03","IF","SPSF","14662","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","L.C.S.Assis","2009","D.V.Toledo Filho",NA,"1991","07","09","Brasil","SP","Amparo","-46.7599983215332","-22.7000007629395","18036",NA,"auto","10","estrada para o Município","COLETA: XLS: SPSFAntigo&nf;Árvore, flores cor creme.;",NA,"Magnoliopsida","Laurales",NA,"30","América do Sul",NA,NA,NA,NA
"28","2021-03-04 15:44:22-03","IF","SPSF","46252","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2012","J.B.Baitello & O.T.Aguiar","2586","2008","06","24","Brasil","SP","Itaberá","-49.1300010681152","-23.8600006103516","29370",NA,"auto","12","Estação Ecológica de Itaberá","COLETA: Arvoreta com 4m, fruto.&nf;N.V.: Canelinha; GEOGRAFIA: Trilha principal da Floresta Estacional Semidecidual.;",NA,"Magnoliopsida","Laurales",NA,"03","América do Sul",NA,NA,NA,NA
"29","2021-03-04 15:44:22-03","IF","SPSF","12331","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","J.B.Baitello","2011","D.V.Toledo Filho",NA,"1987","09","29","Brasil","SP","Itaberá","-49.1300010681152","-23.8600006103516","29370",NA,"auto","11","Estação Experimental","COLETA: XLS: SPSFAntigo&nf;Na mata&nf;Arvoreta 6m; copa ampla, flores creme.;",NA,"Magnoliopsida","Laurales",NA,"20","América do Sul",NA,NA,NA,NA
"30","2021-03-04 15:44:22-03","IF","SPSF","04652","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","L.C.S.Assis","2009","O.Vecchi","56",NA,NA,NA,"Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"auto","10",NA,"COLETA: XLS: SPSFAntigo;",NA,"Magnoliopsida","Laurales",NA,"30","América do Sul",NA,NA,NA,NA
"31","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Lauraceae","Nectandra","virgultosa","Nectandra virgultosa","Nees",NA,NA,"Martius, C","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"in sylvulis depressis udis Capoôes dictis, prov. Minarum","Oreas, Hamadryas; HABITAT: Oreas, Hamadryas",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"32","2020-08-26 10:49:25-03","MCN-FZBRS","HAS","85915","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","virgultosa","Ocotea virgultosa","(Nees) Mart. ex Mez","Moraes, P.","2014","Mattos, J.","s.n.","1964","09",NA,"Brasil","São Paulo","São Pedro","-47.9099998474121","-22.5400009155273","19379","HAS0085915","auto","08",NA,"Árvore, em lugar arenoso.",NA,NA,NA,NA,"29",NA,NA,NA,NA,NA
