"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","class","order","continentOcean","locality","occurrenceRemarks","imagecode","phylum","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","fieldNumber","preparationType","individualCount","typeStatus","relatedCatalogItem"
"11","2020-12-21 16:11:09-03","MBM","MBM","430167","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Völtz, R.R.","2020","04","09","Völtz, R.R.; Meyer, F.S.; Brotto, M.L.; Meyer, F.S.; Brotto, M.L.","2192","2019","08","08","Brazil","Rio de Janeiro","Teresópolis","-42.816389","-22.376111","-42.816389","-22.376111","MBM430167",NA,NA,"Southern America","Morro do Seio da Mulher de Pedra","Erva ereta ca 1,4 m alt.; botões florais verdes, flores com sépalas e pétalas rosadas; interior de Floresta Ombrófila Densa Montana em fundo de vale.; Floresta Ombrófila Densa Montana.",NA,NA,NA,"1050","1050",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:11:09-03","MBM","MBM","356365","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Braz, D.M.","2009","10","07","Marques, M.C.","107",NA,NA,NA,"Brazil","Rio de Janeiro","Paraty","-44.7131004333496","-23.2178001403809",NA,NA,"MBM356365",NA,NA,"Southern America","São Roque","Arbusto 1,50m, inflorecencia vinosa.","MBM356365",NA,"34470",NA,NA,"auto",NA,NA,NA,NA,NA
"13","2015-09-04 08:31:56-03","MNHN","RECOLNAT_MNHN_P","P02846676","PreservedSpecimen",NA,"Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Saint-Hilaire, A.",NA,"1816","1","1","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"P02846676",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02846676' target='other'> <mi>dwc_moreinfo</mi></a>","P02846676_01",NA,NA,NA,NA,NA,"369","hb",NA,NA,NA
"14","2015-09-04 08:31:56-03","MNHN","RECOLNAT_MNHN_P","P02846678","PreservedSpecimen",NA,"Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Glaziou",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"P02846678",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02846678' target='other'> <mi>dwc_moreinfo</mi></a>","P02846678_01",NA,NA,NA,NA,NA,"18398","hb",NA,NA,NA
"15","2015-09-04 08:31:56-03","MNHN","RECOLNAT_MNHN_P","P02846677","PreservedSpecimen",NA,"Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Glaziou, A.",NA,"1890","6","15","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,NA,"P02846677",NA,NA,NA,"Alto Macahé.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02846677' target='other'> <mi>dwc_moreinfo</mi></a>","P02846677_01",NA,"33190",NA,NA,"auto","18398","hb",NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","3085449","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"BRADE","BRADE 18102","1946","5","13","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,"South America","Mun. de Itaguaçú-Jatiboca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-03 12:03:27-03","MBML","MBML-HERBARIO","15002",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"L. Kollmann","4316","2001","08","05","Brasil","Espírito Santo","Afonso Cláudio","-41.095833","-20.004167","41W5'45","20S0'15","MBML015002",NA,NA,NA,"Lajinha","Erva 1m no sol. Flores lilás.","MBML015002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","1728",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","D. C. Wasshausen/1991",NA,NA,NA,"W. Boone","230","1984","06","19","Brasil","Espírito Santo","Santa Teresa","-40.683333","-19.931111","40W41'0","19S55'52","MBML001728",NA,NA,NA,"Mata Fria","Porte arbustivo com flores roxas, solo avermelhado.","MBML001728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","31062",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"R.R. Vervloet; V. Demuner, E. Bausen","3153","2007","08","02","Brasil","Espírito Santo","Governador Lindenberg","-40.463333","-19.275833","40W27'48","19S16'33","MBML031062",NA,NA,NA,"Santa Luzia. Firmino","Erva, flores com cálice de cor verde, e corola de cor azul. Frutos imaturos de cor verde.","MBML031062",NA,NA,"350","350",NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","32255",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"V. Demuner; T. A. Cruz, R. R. Vervloet e J.L. Thomazini.","4542","2007","11","20","Brasil","Espírito Santo","Águia Branca","-40.769444","-18.975556","40W46'10","18S58'32","MBML032255",NA,NA,NA,"Pedra Redonda, propr.: Jorge Wroblewski","Herbácea pétalas azuis, brácteas verdes. Fundo de vale, interior de mata.","MBML032255",NA,NA,"300","300",NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","32570",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"V. Demuner; T. A. Cruz, M.Belizário.","4811","2007","12","19","Brasil","Espírito Santo","Águia Branca","-40.801389","-18.955833","40W48'5","18S57'21","MBML032570",NA,NA,NA,"Rochedo, Trilha do Córrego, propr.: Ailton Corteleti.","Porte arbustivo 1m, flores lilás. Interior de mata, riacho.","MBML032570",NA,NA,"300","300",NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","36185",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"A. M. Amorim; et al","7567","2008","07","20","Brasil","Espírito Santo","Cariacica","-40.432778","-20.299167","40W25'58","20S17'57","MBML036185",NA,NA,NA,"Reserva Biológica Duas Bocas",NA,"MBML036185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","30553",NA,"Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","A.L.A. Côrtes/01-10-2009",NA,NA,NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","9799","2007","05","23","Brasil","Espírito Santo","Afonso Cláudio","-41.1239013671875","-20.0741996765137",NA,NA,"MBML030553",NA,NA,NA,"Estrada Garrafão, 3 Pontões, Serra Pelada, Mata Fria.","Erva 50cm na meia sombra. Flores lilás.","MBML030553",NA,"25110",NA,NA,"auto",NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"L. Riedel","362","1824","7",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","Pr. Praesidio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"L. Riedel","362","1824","7",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","Praesidio Brasiliae.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","3258299","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"C. Kameyama & J. Prado","18","1992","7","16","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"US02875298","Dicotyledonae","Scrophulariales","South America - Neotropics","Teresópilis. Rodovia BR 116, km 86,5. Mata ao lado direito na direção Teresópolis - Além Paraíba, margem de rio.",NA,"US02875298_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"27","2020-09-12 05:00:02-03","US","US","3238629","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","55680","1991","6","16","Brazil","Espírito Santo",NA,NA,NA,NA,NA,"US02875293","Dicotyledonae","Scrophulariales","South America - Neotropics","Alto Bananal (mun. Venda Nova do Emigrante).",NA,"US02875293_01",NA,NA,"1000",NA,NA,NA,NA,"1",NA,NA
"28","2020-09-12 05:00:02-03","US","US","3363527","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"P. Martuscelli","168","1985","8","5","Brazil","São Paulo",NA,NA,NA,NA,NA,"US02875292","Dicotyledonae","Scrophulariales","South America - Neotropics","Miracatú, Sítio Irapuã Br 116, Km 343,5.",NA,"US02875292_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"29","2020-09-12 05:00:02-03","US","US","3197624","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"W. Boone","230","1984","6","19","Brazil","Espírito Santo",NA,NA,NA,NA,NA,"US02875295","Dicotyledonae","Scrophulariales","South America - Neotropics","Município de Santa Teresa, Mata Fria.",NA,"US02875295_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2020-09-12 05:00:02-03","US","US","3366696","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"G. Hatschbach & J. M. Silva","65289","1996","8","10","Brazil","Espírito Santo",NA,NA,NA,NA,NA,"US02875294","Dicotyledonae","Scrophulariales","South America - Neotropics","Alto Bananal (mun. Venda Nova do Emigrante).",NA,"US02875294_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"31","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"L. Riedel & B. Luschnath","796","1831","6",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","Macahé.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"32","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"L. Riedel","362","1824","7",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Scrophulariales","South America - Neotropics","Praesidio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"33","2020-09-12 05:00:02-03","US","US","3429802","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"R. Salviani","1167","2000","2","18","Brazil","São Paulo",NA,NA,NA,NA,NA,"US02875297","Dicotyledonae","Scrophulariales","South America - Neotropics","Piquete.",NA,"US02875297_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"34","2019-11-13 11:14:06-03","USP","SPF","193759","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Braz, DM","2009","10",NA,"Marques, MC","107",NA,NA,NA,"Brasil","Rio de Janeiro","Paraty","-44.7131004333496","-23.2178001403809",NA,NA,"SPF00193759",NA,NA,NA,NA,NA,"SPF00193759",NA,"34470","600","600","auto",NA,NA,NA,NA,NA
"35","2019-11-13 11:14:06-03","USP","SPF","75407","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Anônimo",NA,NA,NA,"Kameyama, C","18","1992","07","16","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"SPF00075407",NA,NA,NA,NA,NA,"SPF00075407",NA,"38539",NA,NA,"auto",NA,NA,NA,NA,NA
"36","2019-11-13 11:14:06-03","USP","SPF","110244","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Anônimo",NA,NA,NA,"Pastore, JA","606","1995","07","21","Brasil","São Paulo","Ibiúna","-47.2200012207031","-23.6499996185303",NA,NA,"SPF00110244",NA,NA,NA,"Parque Estadual do Jurupará",NA,"SPF00110244",NA,"43112",NA,NA,"auto",NA,NA,NA,NA,NA
"37","2019-11-13 11:14:06-03","USP","SPF","118903","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Hirao, YV","2012","05",NA,"Árbocz, GF","2801","1996","05","25","Brasil","São Paulo","Piquete","-45.1699981689453","-22.6100006103516",NA,NA,"SPF00118903",NA,NA,NA,NA,NA,"SPF00118903",NA,"13434",NA,NA,"auto",NA,NA,NA,NA,NA
"38","2021-03-04 11:15:27-03","UEFS","HUEFS","152860","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Boone, W.",NA,"1984","06","19","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"HUEFS0152860","Asteranae","Lamiales",NA,"Santa Teresa, Mata Fria",NA,"HUEFS0152860","Angiospermae","23813",NA,NA,"auto",NA,NA,NA,NA,NA
"39","2018-04-04 16:15:21-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,"RRC ID Flag",NA,NA,NA,"C. Kameyama","18",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"South America",NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"18",NA,NA,NA,NA
"40","2019-09-04 19:07:49-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,NA,NA,NA,NA,"J. Lhotsky",NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"Dicotyledoneae",NA,"South America",NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA
"41","2015-03-13 19:31:28-03","F","FMNH-SEEDPLANTS","V0267517F","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0267517F","Dicotyledoneae",NA,"South America",NA,NA,"V0267517F_01","Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-01-25 15:38:00-02","IAC","IAC","51947","S","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","M.C. Rodrigues","2009","12","02","M.C. Rodrigues; B.O. Polisello & E.J. Carvalho","152","2009","11","05","Brasil","São Paulo","São José do Rio Preto","-49.3163889","-20.7080556","-49.3163889","-20.7080556",NA,NA,NA,NA,"Subdistrito de Talhado; Sítios Nossa Senhora Aparecida e São Sebastião",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-01-25 15:38:00-02","IAC","IAC","51997","S","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","M.C. Rodrigues","2009","12","15","M.C. Rodrigues & B.O. Polisello","170","2009","12","03","Brasil","São Paulo","São José do Rio Preto","-49.3163889","-20.7080556","-49.3163889","-20.7080556",NA,NA,NA,NA,"Subdistrito de Talhado; Sítios Nossa Senhora Aparecida e São Sebastião",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-07-23 11:56:33-03","CEPLAC","CEPEC","120617","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,"A. L. A. Côrtes",NA,NA,NA,"A. M. Amorim","7567","2008","07","20","Brasil","Espírito Santo","cariacica","-40.519444","-20.291389","40W31'10","20S17'29",NA,NA,NA,NA,"Reserva Biológica de Duas Bocas. Localidade de Alegre. Trilha do Pau-oco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2013"
"45","2020-07-23 11:56:33-03","CEPLAC","CEPEC","80306","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,"A. L. A. Côrtes",NA,NA,NA,"G. Hatschbach","65289","1996","08","10","Brasil","Espírito Santo","venda nova do imigrante","-41.1347007751465","-20.3397006988525",NA,NA,NA,NA,NA,NA,"Alto Bananal.",NA,NA,NA,"15909",NA,NA,"auto",NA,NA,NA,NA,"30/12/2013"
"46","2020-08-11 15:54:02-03","CEPLAC","CEPEC","58326","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,"D. C. Wasshaussen",NA,NA,NA,"G. Hatschbach","55680","1987","11","19","Brasil","Espírito Santo","venda nova do imigrante","-41.1347007751465","-20.3397006988525",NA,NA,NA,NA,NA,NA,"Alto Bananal.",NA,NA,NA,"15909",NA,NA,"auto",NA,NA,NA,NA,"30/12/1992"
"47","2020-08-11 15:54:02-03","CEPLAC","CEPEC","62555","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis",NA,"D. C. Wasshaussen",NA,NA,NA,"W. Boone","230","1964","12","23","Brasil","Espírito Santo","SANTA TERESA","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,"Mata Fria.",NA,NA,NA,"23813",NA,NA,"auto",NA,NA,NA,NA,"30/12/1991"
"48","2021-03-16 09:42:19-03","UnB","UB","146757","PreservedSpecimen","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees","Wasshausen, DC","1993",NA,NA,"Eiten, G","6320","1965","06","24","Brasil","São Paulo","Itapecirica da Serra",NA,NA,NA,NA,"UB0123041",NA,NA,"Southern America","Represa Fumaça, (dam & powerhouse of Cia. Brasileira do alumínio) at the waterfall, Cachoeira do França. Ca. 15km NW of village of São Lourenço da Serra. 23º51-52 1/2'S. 46º57-58 1/2'W.(Turnoff at km 77 on São Paulo-Registro highway & 17 km along","Herb in semishade on path at forest edge. Corolla reddish-violet, filaments & style light reddish-violet.; Tall secundary forest below dam.","UB0123041","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-04 15:46:56-03","IF","SPSF","19221","PreservedSpecimen","Plantae","Cucurbitaceae","Stenostephanus","lobeliformis","Stenostephanus lobeliformis","Nees","C.Kameyama","2011","01","20","J.A.Pastore & J.B.Baitello","606","1995","07","21","Brasil","SP","Ibiúna","-47.2200012207031","-23.6499996185303",NA,NA,NA,"Magnoliopsida","Violales","América do Sul","Parque Estadual de Jurupará, Fazenda Tucano","COLETA: XLS: SPSFAntigo&nf;Próximo a um córrego&nf;Herbácea com flores lilás e frutos verdes.;",NA,"Magnoliophyta","43112",NA,NA,"auto",NA,NA,NA,NA,NA
"50","2017-09-11 16:26:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Acanthaceae","Stenostephanus","lobeliiformis","Stenostephanus lobeliiformis","Nees",NA,NA,NA,NA,"Riedel, L","s.n.",NA,NA,NA,"Brazil","Minas Gerais","São João Batista do Glória","-46.51","-20.64","-46.51","-20.64",NA,NA,NA,"Southern America","in sylvis prope Praesidio de S. João Baptista, prov. Minarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
