"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","eventTime","fieldNumber"
"21","2016-09-27 00:13:00-03","NY","NYBG","542261","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,"A. G. Schulz","T. M. Pedersen","2914","1954","10","22","Argentina","Corrientes","Santo Tome","Colonia Garruchos",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542261",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-30 19:15:00-03","NY","NYBG","02341830","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"Collector unspecified","87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony 87. Fragment ex herb. Washington. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2534948' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341830","NY02341830_01 NY02341830_02","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 16:40:00-03","NY","NYBG","542246","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,"B. Rambo","B. Rambo","37900","1948","11","08","Brazil","Rio Grande do Sul","Porto Alegre","Morro da Policia","-51.23","-30.0331",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542246","NY00542246_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","542245","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","E. Henz","35480","1946","10","10","Brazil","Rio Grande do Sul","Dois Irmaos","S. Leopoldo. Dois Irmaos","-51.0853","-29.5806",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542245","NY00542245_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-30 11:25:00-03","NY","NYBG","01788490","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,NA,"G. Gardner","5714",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2100023' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788490","NY01788490_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","542251","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","A. Löfgren","s.n.","1894","10","25","Brazil","São Paulo",NA,"Jurú-Mirim (Rio Ribeira)",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542251","NY00542251_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-29 16:40:00-03","NY","NYBG","542258","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis",NA,"M. Sobral","M. Sobral","3245","1984","10",NA,"Brazil","Rio Grande do Sul",NA,"Itati, Osório",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542258","NY00542258_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00955671","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","J. Evangelista de Oliveira","1311","1943","10","16","Brazil","Minas Gerais","Pedro Leopoldo","Nova Granja.","-44.0431","-19.6183",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955671","NY00955671_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","542248","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","R. Reitz","3497","1956","07","18","Brazil","Santa Catarina","Ibirama","Ibirama","-49.534691","-27.013976",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00542248","NY00542248_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00955669","PreservedSpecimen","Plantae","Verbenaceae","Bouchea","fluminensis","Bouchea fluminensis","(Vell.) Moldenke","H. N. Moldenke","F. C. Hoehne","2767","1919","01","10","Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1033227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955669","NY00955669_01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
