"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"20","2021-03-15 16:37:00-03","NY","NYBG","01251441","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"D. C. Daly","D777","1980","10","26","Brazil","Pará",NA,"Forest by logging road, Fazenda Sata Rosa, entrance behind town of Itinga do Para, W of Belem-Brasilia Highway.","-47.75","-4.333333",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468484' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251441",NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01251463","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"N. T. da Silva","1031","1968","09","27","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468507' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251463","NY01251463_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01251448","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"M. G. da Silva","2301","1969","08","18","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251448","NY01251448_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01251449","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.",NA,NA,NA,NA,"J. M. Pires","51170","1961","09","20","Brazil","Amapá",NA,"Rio Araguari. Downriver from Porto Platón.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251449","NY01251449_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00195222","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"W. L. Balée","2673","1986","10","03","Brazil","Maranhão","Monçao","Urutawy, Ka'apor Indian Reserve, basin of Rio Turiaçu","-45.938086","-3.166032",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195222","NY00195222_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","03687061","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"R. M. Déda","128","2012","04","16","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.41906","-11.4067",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2276055' target='other'> <mi>dwc_moreinfo</mi></a>","NY03687061","NY03687061_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-30 01:41:00-03","NY","NYBG","01251451","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"C. A. Cid Ferreira","7651","1986","08","09","Brazil","Pará","Oriximiná","Margem direita do rio Mapuera, entre Cachoeria Paraiso Grande e Maracaja. Area do reservatorio da 2ª etapa.","-57","-0.966667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330938' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251451","NY01251451_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01251461","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"M. G. da Silva","4019","1978","11","29","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468505' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251461","NY01251461_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00375763","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"A. A. de Oliveira","133","1991","09","24","Brazil","Amazonas",NA,"Distrito Agropecuário. 90 Km NNE de Manaus. Reserva 1501 (Km 41). Projeto Dinamica Biologica de Fragmentos Florestais","-59.6854736","-2.3153702",NA,NA,"50","125","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375763","NY00375763_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01251478","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"C. A. Cid Ferreira","569","1979","08","20","Brazil","Amazonas","Itapiranga","Rio Uatuma, lado esquerdo do iagape Catitu, atras da antiga Usina de Pau-Rosa.","-58.7269878","-2.3065914",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330438' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251478","NY01251478_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01251465","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"G. T. Prance","P25879","1977","11","29","Brazil","Pará",NA,"BR 230, Transamazon highway; 10 km W of Ruropolis Presidente Medici towards Itaituba","-54.984464","-4.123301",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251465",NA,"South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","375771","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"R. Reitz","1967","1954","07","18","Brazil","Santa Catarina","Itajaí","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375771","NY00375771_01","South America","sheet",NA,"Magnoliophyta","Ericales","venosa",NA,NA,NA,NA,NA,NA,NA
"32","2016-09-30 01:40:00-03","NY","NYBG","01251485","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"A. Vicentini","718","1995","09","22","Brazil","Amazonas",NA,"Próximo Igarapé do Acará.","-59.966667","-2.883333",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251485","NY01251485_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01251476","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.",NA,NA,NA,NA,"G. T. Prance","58685","1964","08","12","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468751' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251476","NY01251476_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02447103","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"S. A. Mori","25900","2006","05","22","French Guiana",NA,NA,"Piste de St. Elie, Km. 15.7 S of Sinnamary. Sentier d'interprétation de l'piste de St. Elie. Near the exit (northernmost end of the trail).","-53.05","5.28",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918841' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447103",NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01251453","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"S. A. Mori","20175","1988","12","04","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468496' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251453","NY01251453_01","South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"36","2016-09-29 11:21:00-03","NY","NYBG","375769","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa amazonica","T.D.Penn.","T. D. Pennington",NA,NA,NA,"B. Hoffman","2793","1992","09","23","Guyana",NA,NA,"Region: Pomeroon-Supenaam. Pomeroon R watershed; Kurushi Cr, (trib. of Arapiaco R), 2-4 km SW of landing","-58.72","7.13",NA,NA,"10","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375769",NA,"South America","sheet",NA,"Magnoliophyta","Ericales","amazonica",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","375757","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","L. B. Smith",NA,NA,NA,"R. M. Klein","271","1952","02","27","Brazil","Santa Catarina","Brusque",NA,"-48.9172","-27.0983",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375757","NY00375757_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-09-28 14:38:00-03","NY","NYBG","375766","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"T. D. Pennington",NA,NA,NA,"B. Hoffman","974","1992","02","17","Guyana",NA,NA,"Essequibo. Region: u. Takutu-U. Northern Rupununi savannas; Karanambo Ranch; trail SW of compound","-59.32","3.75",NA,NA,"90","120","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375766","NY00375766_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-30 03:08:00-03","NY","NYBG","01251442","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"T. D. Pennington",NA,NA,NA,"D. C. Daly","110","1983","08",NA,"Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251442","NY01251442_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-30 03:08:00-03","NY","NYBG","01251432","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"T. D. Pennington",NA,NA,NA,"M. G. da Silva","3150","1977","05","26","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251432","NY01251432_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-09-30 03:08:00-03","NY","NYBG","01251429","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"T. D. Pennington",NA,NA,NA,"R. de Lemos Fróes","145","1941","06","12","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1468430' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251429","NY01251429_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","668828","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"S. A. Mori","25552","2003","01","11","French Guiana",NA,NA,"Nouragues Field Station and vicinity. Chemin Terrace, ca. 500 m from Camp Inselberg.","-52.679567","4.0883",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668828",NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","02103561","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","L.A. Gomes",NA,NA,NA,"L.A. Gomes","1112","2013","05","22","Brazil","Sergipe","Maruim","Mata do Caititu: Borda de mata.","-37.1297","-10.7172",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2255539' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103561","NY02103561_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00896565","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","venosa","Pouteria venosa","(Mart.) Baehni","T. D. Pennington",NA,NA,NA,"B. Maguire","56072","1963","08","09","Brazil",NA,NA,"Km 349, Belem-Brasilia Highway","-47.472041","-3.478941",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966472' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896565","NY00896565_01","South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
