"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","infraspecificEpithet","relatedCatalogItem","typeStatus","individualCount","fieldNumber","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","822292","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","R. C. Tardivo",NA,NA,NA,"H. S. Irwin","1971","02","21","Brazil","Bahia","Morro do Chapéu","Serra do Tombador, above brink of nearly dry falls of Rio Ferro Doido, ca. 18 km E. of Morro do Chapéu","-41.0161111","-11.64715",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822292","NY00822292_01","30754","1100","1100",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","873330","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","L. B. Smith",NA,NA,NA,"H. S. Irwin","1971","01","16","Brazil","Minas Gerais",NA,"Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","-43.67613","-19.82237",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873330","NY00873330_01","30464","1800","1800",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3877226","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.",NA,NA,NA,NA,"W. E. Broadway","1923","01","05","Venezuela",NA,NA,"Vicinity of Cristobal Colon",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187296' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877226",NA,"597",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1019268","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","E. de Melo",NA,NA,NA,"A. Moraes",NA,NA,NA,"Brazil","Bahia","Itaberaba","Morro Itibiraba.","-40.0831","-12.5006",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280237' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019268","NY01019268_01","70","270","270",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","486352","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","H. E. Luther",NA,NA,NA,"A. M. Amorim","1998","01","25","Brazil","Bahia","Lençóis","Rodovia de acesso ao município, a partir da BR. Coletas efetuadas a 8 km do município","-41.3897","-12.5633",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486352","NY00486352_01","2142",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3877227","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.",NA,NA,NA,NA,"J. A. Steyermark","1961","01","19","Venezuela","Bolívar",NA,"Cerro El Picacho and vicinity, E. of Hato de Nuria, E. of Miamo. Altiplanicie de Nuria",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187297' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877227",NA,"88597","450","620",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","3877987","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","venusta","Tillandsia venusta","Mez & Wercklé",NA,NA,NA,NA,"W. H. Camp","1945","06","19","Ecuador","Chimborazo",NA,"Cañon of the río Chanchan, from Naranjapata to below Huigra",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189532' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877987",NA,"E3898","610","914",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG1610","S","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri",NA,NA,NA,NA,NA,"M.F.Vasconcelos;L.N.Santos & D.L.H. Oliveira","2013","04","26","Brasil","Minas Gerais","Caeté","Serra da Piedade, vertente norte","-43.666667","-19.816667","43°40'W","19°49'S","Brácteas róseo - clara.",NA,NA,"13-327","1.6","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","28996","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Monteiro, R.F.","2012","03",NA,"Valduga, E.","2011","10",NA,"Brasil","Rio Grande do Sul","Palmares",NA,NA,NA,"9999","9999","Epífita no interio da mata de restinga","BOTU028996",NA,"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","28994","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Monteiro, R.F.","2012","03",NA,"Valduga, E.","2012","01","10","Brasil","Rio Grande do Sul","Cidreira",NA,NA,NA,"9999","9999","Epífita em mata de restinga","BOTU028994",NA,"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:29:40-03","UFRJ","RFA","22205","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.",NA,NA,NA,NA,"E. Pereira; et al.","1988","09","06","Brasil","Rio de Janeiro","Maricá","Morro do Mololô","-42.8185997009277","-22.9193992614746",NA,NA,"Em frutos","RFA51253",NA,"1048",NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-13 09:19:15-03","UFRJ","RFA","29846","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Tânia Wendt","2002","04","10","F. B. Pereira","2001","12","31","Brasil","Rio de Janeiro","Rio Claro","Distrito de Lídice.","-44.179444","-22.8525","44º10'46''W","22º51'9''S","Epífita, flor verde, solo humoso e hidromórfico, abundante na região.","RFA35272",NA,"64/137","634","634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:29:40-03","UFRJ","RFA","31603","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","A.F.N. Freitas",NA,NA,NA,"L.N. Morgado","2004","09",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Vila Dois Rios","-44.3180999755859","-23.0067005157471",NA,NA,"Epífita. Indivíduo em floração","RFA51257",NA,NA,NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:29:40-03","UFRJ","RFA","31602","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","A.F.N. Freitas",NA,NA,NA,"L.N. Morgado","2004","09",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Vila Dois Rios","-44.3180999755859","-23.0067005157471",NA,NA,"Epífita. Indivíduo em floração","RFA51255",NA,NA,NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:29:40-03","UFRJ","RFA","21952","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.",NA,NA,NA,NA,"E.M. Occhioni; C.M. Rizzini (413); A.A.M. Barros (194)","1987","11","20","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia, Praia Grande","-43.2075004577637","-22.9027996063232",NA,NA,"Epífita. Frutos verdes","RFA51251",NA,"598",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:29:40-03","UFRJ","RFA","21934","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.",NA,NA,NA,NA,"E.M. Occhioni; C.M. Rizzini (390); A.A.M. Barros (172)","1987","11","19","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia, Praia Grande","-43.2075004577637","-22.9027996063232",NA,NA,"Epífita. Frutos marrons, folha verde prateada","RFA51252",NA,"576",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-24 17:10:34-03","UTFPR","DVPR","5039","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Minuzzo, JJ","2017","02",NA,"Minuzzo, JJ; et al.","2016","11",NA,"Brasil","Paraná","São Jorge d' Oeste","RPPN Salto do Chopim","-53.043755","-25.364014","-53.043755","-25.364014","Epífita, flores.; Relevo: ondulado. Vegetação: Floresta Estacional Semidecidual","DVPR005039",NA,"1",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-24 17:10:34-03","UTFPR","DVPR","585","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Estevan, DA","2014","08","01","Costa, FP","2011","04","28","Brasil","Paraná","Dois Vizinhos",NA,"-53.057201385498","-25.7336006164551",NA,NA,"Epífita.; Lugares úmidos com pouco sol, originária do Equador.","DVPR000585","DVPR000585","s.n.",NA,NA,"19637","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-19 15:45:20-03","UNEB","HUNEB","10159","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri",NA,NA,NA,NA,NA,"Guedes, M.L.","2006","10","14","Brasil","Bahia","Abaíra","Chapada Diamantina","-41.65","-13.233333","41W39'0''","13S14'0''",NA,"HUNEB0010159",NA,"ALCB 75253",NA,NA,NA,NA,"Angiospermae","Florideophycidae",NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA
"30","2021-04-08 17:44:51-03","EAO","IAN","9547","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","venusta","Tillandsia venusta","Mez & Wercklé",NA,NA,NA,NA,"Werckle",NA,NA,NA,"Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,"IAN009547","IAN009547_f","95",NA,NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:27:37-03","UFBA","ALCB","000927","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Leme, EMC","1987","02",NA,"Sampaio, MA","1979","04","03","Brasil","Bahia","Jaguaribe","Recôncavo Sul, Barreira do Jacuruna","-38.883333","-13.1","-38.883333","-13.1",NA,"ALCB010706","ALCB010706","s/n",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:27:37-03","UFBA","ALCB","000460","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Leme, EMC","1987","02",NA,"Costa, AL","1961","11","03","Brasil","Bahia","Cruz das Almas","Recôncavo Sul","-39.1","-12.666667","-39.1","-12.666667",NA,NA,NA,"s/n",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:27:37-03","UFBA","ALCB","027999","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Coffani-Nunes, JV","1998","07",NA,"Stradmann, MTS","1993","10","15","Brasil","Bahia","Lençóis","Chapada Diamantina, Rio Ribeirão","-41.383333","-12.566667","-41.383333","-12.566667","epífita. Brácteas coriáceas de coloração preta.","ALCB010659","ALCB010659","002",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:27:37-03","UFBA","ALCB","029585","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Coffani-Nunes, JV","1998","07",NA,"Guedes, ML; Accioly, M","1996","10","28","Brasil","Bahia","Cairu","Baixo Sul, Ilha de Tinharé, Mata do Sertão","-38.9","-13.4","-38.9","-13.4","20 cm, epífita. Folhas membranáceas. Inflorescências com brácteas rosas. Frequente.; mata de restinga. Solo areno-argiloso.","ALCB010655","ALCB010655","4809",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:27:37-03","UFBA","ALCB","031806","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Fonseca, MR","1997","11",NA,"Fonseca, MR","1997","11","02","Brasil","Bahia","Ibicoara","Chapada Diamantina, Cascavel, mata ciliar do Rio Riachão","-41.283333","-13.4","-41.283333","-13.4","epífita. Folhas pilosas cinza-claro.","ALCB010704","ALCB010704","989",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:27:37-03","UFBA","ALCB","036874","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Martinelli, G; Wanderley, MGL","1997","10",NA,"Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","1994","10","25","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai In cio, campos aberto e rupestre","-41.466667","-12.45","-41.466667","-12.45","epífita. Folhas simples. Brácteas florais róseo-pálidas, flores com tépalas róseo-palidas. Raro.; Campo aberto com arbustos esparsos. Afloramento rochoso de arenito.","ALCB010697","ALCB010697","PCD1010","1080","1080",NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:27:37-03","UFBA","ALCB","036875","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Martinelli, G; Wanderley, MGL","1997","10",NA,"Orlandi, RP; Stradmann, MTS; Poveda, A; Guedes, ML","1994","08","31","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.45","-12.466667","-41.45","-12.466667","Folhas simples, lineares. Fruto cápsula. Ocasional.; Vegetação rupícola em terreno plano. Afloramento rochoso de arenito.","ALCB010696","ALCB010696","PCD658","930","930",NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:27:37-03","UFBA","ALCB","52270","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Stradmann, MTS","2000","06",NA,"Stradmann, MTS; Gomes, DF; Ribeiro, B; Sales, MC","1999","10","12","Brasil","Bahia","Lençóis","Chapada Diamantina, Foz do rio Capivara, situado a 14 Km de Lençóis, com acesso pela estrada de terra Lençóis/Andaraí. Localizado nos limites do Parque Nacional da Chapada Diamantina e a APA de Iraquara/Marimbus. Dissertação Mestrado em fitossociolog","-41.369167","-12.635556","-41.369167","-12.635556","0,30 m, epífeta. Folhas coriáceas, concolores, esbranquiçadas emargem serrilhada. Frequente.; Vegetação arbustiva/arbórea, pouco antropizada pela ação dos garimpeiros. Influenciada pela vegetação adjacente dos campos rupestres e da Ma","ALCB010699","ALCB010699","0662","950","950",NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:27:37-03","UFBA","ALCB","57019","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Guedes, ML","2002","03",NA,"Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","2001","08","16","Brasil","Bahia","Barra do Rocha","Litoral Sul, Assentamento Coroa Verde","-39.606111","-14.181111","-39.606111","-14.181111","10cm. Inflorescência rósea.; Mata em estádio médio de regeneração.","ALCB010657","ALCB010657","768",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:27:37-03","UFBA","ALCB","61558","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Wanderley, MGL","2007","12","07","Guedes, ML; Lima, DS; et al.","2002","02","19","Brasil","Bahia","Conde","Litoral Norte, antes do Rio Crumaí","-37.6","-11.8","-37.6","-11.8","epífita. Folhas rosuladas, lineares. Fruto cápsula madura. Semente coma.","ALCB010700","ALCB010700","10143",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:27:37-03","UFBA","ALCB","64044","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Fiorato, L","2008","10","07","Bastos, C; et al.","2003","04","23","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Parque Estadual das Sete Passagens","-40.583333","-11.416667","-40.583333","-11.416667","epífita, com folhas basais, recurvada, vilosa. Inflorescência com brácteas vistosas.","ALCB010658","ALCB010658","s/n",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:27:37-03","UFBA","ALCB","67689","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Wnaderley, MGL","2007","12",NA,"Guedes, ML; Cruz, FG; Martins, DV; Gomes, DF; et al.","2004","09","18","Brasil","Bahia","Piatã","Chapada Diamantina, Riacho de Pedras","-41.880278","-13.060833","-41.880278","-13.060833","Folhas rosuladas, vilosas. Flores róseas. Freqüente.","ALCB010702","ALCB010702","11327",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:27:37-03","UFBA","ALCB","73914","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Guedes, ML; Carvalho, G","2006","10",NA,"Sousa, DC de; Santana, FA; Nogueira, TF; Santos, JS; Valadão, RM; Carvalho, G","2006","06","15","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina","-40.538056","-11.3975","-40.538056","-11.3975","Epífita. Folhas rosuladas cartáceas. Inflorecência com botões róseos. Flores liláses.",NA,NA,"35","812","812",NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-10-09 11:27:37-03","UFBA","ALCB","73914","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Guedes, ML; Carvalho, G","2006","10",NA,"Sousa, DC de; Santana, FA; Nogueira, TF; Santos, JS; Valadão, RM; Carvalho, G","2006","06","15","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina","-40.538056","-11.3975","-40.538056","-11.3975","Epífita. Folhas rosuladas cartáceas. Inflorecência com botões róseos. Flores liláses.",NA,NA,"35","812","812",NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:27:37-03","UFBA","ALCB","74035","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Guedes, ML","2006","10",NA,"Carvalho, G; Santos, JS; Sousa, DC de; Santana, W; Guedes, ML; Valadão, RM","2006","08","02","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina, Trilha para a Grota de Dona Antônia","-40.516667","-11.333333","-40.516667","-11.333333","epífita de ca 15 cm. Folhas rosuladas, basais, membranáceas. Flores em botões. Freqüente.","ALCB010703","ALCB010703","115",NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
