"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","class","order","scientificNameAuthorship","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","infraspecificEpithet","phylum","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus","sex"
"11","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696380","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen TM",NA,"1979","03","24","Southern America","Argentina",NA,"Plantae Argentinae. Lomas de Empedrado, Dep. Empedrado, Prov. Corientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696380","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696381","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen TM",NA,"1973","02","08","Southern America","Argentina",NA,"Plantae Argentinae. Some 12 km E. of Ceibas, on the road to A° Martinez, Dep. Gualeguaychú, Prov. Entre Ríos.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696381","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.1696382","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Hassler E",NA,"1913","12","01","Southern America","Paraguay",NA,"Plantae Paraguarienses. Paraguaria centralis: in regione lacus Ypacaray.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696382","Magnoliopsidae","Caryophyllales","Mart.","NL-L1696382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060411","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Renvoize SA; Wilmot-Dear CM; Tur N",NA,"1978","11","26","Southern America","Argentina",NA,"Argentina. Corrientes. Sand road to Santa Ana 1/2 km From Route 12.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060411 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060411","Magnoliopsidae","Caryophyllales","Mart.","NL-U1060411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060412","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Herter WG",NA,"1927","11","01","Southern America","Uruguay",NA,"Plantae Uruguayenses. Dep. de Rio Negro. Bote.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060412","Magnoliopsidae","Caryophyllales","Mart.","NL-U1060412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060473","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Steinbach RF",NA,"1966","04","12","Southern America","Bolivia",NA,"Hierba semi-rastrera - frecuente en la zona terreno seco y pedregoso - Colina San Miguel. Prov.Cercado de Cochabamba.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060473 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060473","Magnoliopsidae","Caryophyllales","Mart.","NL-U1060473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060474","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Fiebrig K",NA,"1904","04","01","Southern America","Bolivia",NA,"Austro-boliviensis. Tarija.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060474","Magnoliopsidae","Caryophyllales","Mart.","NL-U1060474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060475","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Brooke WMA",NA,"1949","07","08","Southern America","Bolivia",NA,"Parotani OWO. On the edge of a dry road.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060475","Magnoliopsidae","Caryophyllales","Mart.","NL-U1060475","-66.833333","-18","-66.833333","-18.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 08:54:30-03","NBC","NL-BOTANY","U.1060476","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Fiebrig K",NA,"1904","01","01","Southern America","Bolivia",NA,"Tarija.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060476","Magnoliopsidae","Caryophyllales","Mart.","NL-U1060476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.3709710","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella albisericea","Pedersen TM",NA,"1989","03","19","Southern America","Argentina",NA,"Cuesta de Miranda (RA-40), descending towards the East. Dep. Chilecito. Prov. La Rioja.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709710 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709710","Magnoliopsidae","Caryophyllales","(E.Holzh.) Pedersen","NL-L3709710",NA,NA,NA,NA,"albisericea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 08:54:30-03","NBC","NL-BOTANY","L.3709269","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella rosea","Pedersen TM",NA,"1989","03","09","Southern America","Argentina",NA,"Sierre grande, along provincial road no.28, between Los Gigantes and the descent towards Taninga. Dep. Cruz del Eje. Prov. Cordoba.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709269 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709269","Magnoliopsidae","Caryophyllales","(Grisb.) Pedersen","NL-L3709269",NA,NA,NA,NA,"rosea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 08:54:30-03","NBC","NL-BOTANY","WAG.1291062","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella rosea","Pedersen TM",NA,"1989","03","09","Southern America","Argentina",NA,"Sierre grande, along provincial road no.28, between Los Gigantes and the descent towards Taninga. Dep. Cruz del Eje. Prov. Cordoba.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1291062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1291062","Magnoliopsidae","Caryophyllales","(Grisb.) Pedersen","NL-WAG1291062",NA,NA,NA,NA,"rosea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 10:59:01-03","ESALQ","ESA","78850","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Schinini, A. et al.","19032.0","1979","11","23",NA,"Argentina","Corrientes",NA,NA,NA,NA,"ESA078850",NA,NA,"Mart.","ESA078850",NA,NA,NA,NA,NA,"Magnoliophyta","Lavalle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 10:59:01-03","ESALQ","ESA","98912","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Paula-Souza, J.; Ferrucci, M.S.; Meza Torres, E.I.","8069.0","2007","01","31",NA,"Argentina","Corrientes","Ruta 43, estrada velha para Santa Ana, ca. 500m da ruta 12. Quebrachal",NA,NA,"Erva, inflorescências róseas","ESA098912",NA,NA,NA,"ESA098912",NA,NA,NA,NA,NA,"Magnoliophyta","San Cosme","60","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 10:59:01-03","ESALQ","ESA","56572","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","8049.0","2007","01","28",NA,"Argentina","Santiago del Estero","Ruta 16, 15km NW de Los Tigres. Chaco",NA,NA,"Erva, inflorescências róseas","ESA056572",NA,NA,"Mart.","ESA056572",NA,NA,NA,NA,NA,"Magnoliophyta","Copo","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:28:30-03","IAP","PACA-AGP","114124","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","L.P. Deble","12189","2010","03","05",NA,"Brasil","RS",NA,NA,NA,"flores rosadas, glomérulos vermelhos Habitat: nos branqueais","PACA114124","Magnoliatae","Caryophyllales","Mart.",NA,"-57.5546989440918","-30.2071990966797",NA,NA,NA,"Magnoliophyta","Barra do Quaraí",NA,NA,"M.S. Marchioretto","2013","03","42332","auto",NA,NA,NA,NA,NA
"27","2019-11-22 13:44:13-03","IAP","PACA-AGP","116015","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Job, M. M.","776","1936","02","01",NA,"Argentina",NA,"Santa Fé, Camino de Reconquista a Dr. Pazos",NA,NA,"SP 38762 Habitat: Em suelo seco","PACA116015","Magnoliatae","Caryophyllales","Mart.",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"Pedersen, T.","1994","01",NA,NA,"01",NA,NA,NA,NA
"28","2019-08-27 13:28:30-03","IAP","PACA-AGP","87195","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Marchioretto, M. S.","187","2003","11","19",NA,"Brasil","RS","BR 472, próximo ao Arroio Imbaá",NA,NA,"Habitat: na beira da estrada","PACA087195","Magnoliatae","Caryophyllales","Mart.",NA,"-56.998333","-29.756944","56°59'54W","29°45'25S",NA,"Magnoliophyta","Uruguaiana","85","85","M. S. Marchioretto","2003","12",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:11:26-03","MBM","MBM","104525","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Arbo, M.M.; Ferrucci, M.S.; Schinini, A.; Ferrucci, M.S.; Schinini, A.","2670","1984","06","14","Southern America","Argentina","Formosa","Ruta 11",NA,NA,"Flores fucsias.; Quebrachal, suelo negro, gredoso. Abundante.","MBM104525",NA,NA,"Mart.","MBM104525",NA,NA,NA,NA,NA,NA,"Laishi",NA,NA,"Pedersen, T.M.","1985",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:11:27-03","MBM","MBM","114481","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Schmitt, D.; Schmitt, G.; Schmitt, G.","56","1984","02","23","Southern America","Bolivia","Santa Cruz","Rio San Isidro",NA,NA,"Annual 1m tall; corolla pink.; Riparian habitat.","MBM114481",NA,NA,"Mart.","MBM114481",NA,NA,NA,NA,NA,NA,"Caballero","1500","1500","Liesner, R.","1986",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:11:27-03","MBM","MBM","147501","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Troncoso, N.; Bacigalupo, N.M.; Bacigalupo, N.M.","2921","1980","10","24","Southern America","Argentina","Entre Rios","Monte Espinillo",NA,NA,"Capitulos violáceo-rojizo.; Suelo arcilloso.","MBM147501",NA,NA,"Mart.","MBM147501",NA,NA,NA,NA,NA,NA,"Gualeguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:11:27-03","MBM","MBM","176525","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","13124","1967","09","22","Southern America","Argentina","Chaco","Arroyo Iné",NA,NA,"Flor lila.","MBM176525",NA,NA,"Mart.","MBM176525",NA,NA,NA,NA,NA,NA,"1º de Mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:11:27-03","MBM","MBM","202008","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen, T.M.","16195","1995","01","16","Southern America","Uruguay","Salto","ROU-31, KM 114/120",NA,NA,"Flowers vermilion.; Roadside, gravel y stony soil.","MBM202008",NA,NA,"Mart.","MBM202008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:11:27-03","MBM","MBM","217462","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Dematteis, M.; Schinini, A.; Schinini, A.","546","1996","12","13","Southern America","Argentina","Corrientes","Ruta 12",NA,NA,"Flores rosadas.; Suelo arenoso, bosque abierto, quebracho y algarrobo.","MBM217462",NA,NA,"Mart.","MBM217462",NA,NA,NA,NA,NA,NA,"Lavalle",NA,NA,"Schinini, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:11:27-03","MBM","MBM","24116","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Krapovickas, A.; Cristóbal, C.L.; Ferraro, L.; Irigoyen, J.; Maruñak, V.; Pire,; Cristóbal, C.L.; Ferraro, L.; Irigoyen, J.; Maruñak, V.; Pire, S.M.;","20124","1971","10","30","Southern America","Argentina","Corrientes","Carlos Pellegrini, Ruta 14",NA,NA,"Rastrera, flores fucsias.; Borde de camino.","MBM024116",NA,NA,"Mart.","MBM024116",NA,NA,NA,NA,NA,NA,"San Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:11:27-03","MBM","MBM","30663","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen, T.M.","10295",NA,NA,NA,"Southern America","Argentina","Entre Rios","Road to Aª Martínez",NA,NA,"Grassland on clay.","MBM030663",NA,NA,"Mart.","MBM030663",NA,NA,NA,NA,NA,NA,"Gualiguaychú",NA,NA,"Pedersen, T.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:11:27-03","MBM","MBM","45652","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Krapovickas, A.","29178","1976","02","16","Southern America","Argentina","Corrientes","Carlos Pellegrini",NA,NA,"Flores purpúreas.; Bosque con quebracho blanco y ñandubay.","MBM045652",NA,NA,"Mart.","MBM045652",NA,NA,NA,NA,NA,NA,"San Martín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:11:27-03","MBM","MBM","63149","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Pedersen, T.M.","12404","1979","03","24","Southern America","Argentina","Corrientes","Lomas de Empredado",NA,NA,"Grassland and open, scruby woodland on clay.","MBM063149",NA,NA,"Mart.","MBM063149",NA,NA,NA,NA,NA,NA,"Empedrado",NA,NA,"Pedersen, T.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:11:27-03","MBM","MBM","148750","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella albisericea","Pedersen, T.M.","15297","1989","03","19","Southern America","Argentina","La Rioja","Ruta 40, Cuesta de Miranda.",NA,NA,"Flowers pink, mostly rather pale, with red or orange anthers.; Rocky ground.","MBM148750",NA,NA,"(E. Holzh.) Pedersen","MBM148750",NA,NA,NA,NA,"albisericea",NA,"Chilecito",NA,NA,"Pedersen, T.M.","1989",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:11:27-03","MBM","MBM","163985","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella albisericea","Pedersen, T.M.","14538","1986","03","12","Southern America","Argentina","Chaco","El Rabón",NA,NA,"Disturbed ground bi the roadside.","MBM163985",NA,NA,"(E. Holzh.) Pedersen","MBM163985",NA,NA,NA,NA,"albisericea",NA,"General Obligado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:11:27-03","MBM","MBM","163986","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella albisericea","Pedersen, T.M.","13995","1984","11","12","Southern America","Argentina","Chaco","Castelli",NA,NA,"Flowera crimson.; Open woodland.","MBM163986",NA,NA,"(E. Holzh.) Pedersen","MBM163986",NA,NA,NA,NA,"albisericea",NA,"General Güemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:11:27-03","MBM","MBM","163987","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella albisericea","Pedersen, T.M.","13929","1984","11","01","Southern America","Argentina","Chaco","Pampa del Infierno",NA,NA,"Flowers pink.; Open, scrubby woodland.","MBM163987",NA,NA,"(E. Holzh.) Pedersen","MBM163987",NA,NA,NA,NA,"albisericea",NA,"Almirante Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:11:27-03","MBM","MBM","148751","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella rosea","Pedersen, T.M.","15180","1989","03","09","Southern America","Argentina","Cordoba","Sierra Grande",NA,NA,"Flowers pink.; Rocky ground.","MBM148751",NA,NA,"(Griseb.) Pedersen","MBM148751",NA,NA,NA,NA,"rosea",NA,"Cruz del Eje",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2015-09-04 20:40:03-03","MNHN","RECOLNAT_MNHN_P","P05257339","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Chiapella, J.|Vitek, E.",NA,"2009","1","13",NA,"Argentina",NA,"Prov. Cordoba, Dept. Cruz del Eje, road 38 from Cruz del Eje to Villa de Soto.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05257339' target='other'> <mi>dwc_moreinfo</mi></a>","P05257339",NA,NA,"Mart.","P05257339_01","-64.93389","-30.82083",NA,NA,NA,NA,NA,"600",NA,NA,NA,NA,NA,NA,NA,"2131",NA,NA,NA
"45","2015-09-04 20:40:03-03","MNHN","RECOLNAT_MNHN_P","P05257340","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Brizuela, J.",NA,"1950","2","6",NA,"Argentina",NA,"Província Catamarca. Dep. La Paz. Localidad El Aibal.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05257340' target='other'> <mi>dwc_moreinfo</mi></a>","P05257340",NA,NA,"Mart.","P05257340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"719",NA,NA,NA
"46","2015-09-04 20:40:04-03","MNHN","RECOLNAT_MNHN_P","P05257341","PreservedSpecimen",NA,"Amaranthaceae","Gomphrena","pulchella","Gomphrena pulchella","Herter",NA,"1919","11","27",NA,"Uruguai",NA,"Rio Negro, Bote.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05257341' target='other'> <mi>dwc_moreinfo</mi></a>","P05257341",NA,NA,"Mart.","P05257341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1022",NA,NA,NA
