"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","locality","imagecode","year","month","day","fieldNumber","identifiedBy","class","individualCount","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","sex"
"12","2019-09-04 18:17:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","Isosyntype","G. Gardner","5149","South America","Brazil",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"1842",NA,NA,NA,NA,"Dicotyledoneae",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA
"13","2019-09-04 18:14:58-03","F","FMNH-SEEDPLANTS","V0061535F","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","Isosyntype","G. Gardner","5149","South America","Brazil",NA,NA,NA,NA,"V0061535F","Spermatophyta",NA,NA,NA,"V0061535F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA
"14","2016-08-23 10:59:38-03","NHMLondon","NHM-LONDON-BOT","BM000947269","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","Syntype","George Gardner; b.1812; d.1849; Gardner","5761",NA,"Brasil",NA,NA,"NHMUK:ecatalogue:584165","<a href=http://www.nhm.ac.uk/services/media-store/asset/5b8d76411e0dff2dee4bd01a5b42ab50b745fddd/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Meisn.",NA,NA,"1840","08",NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA
"15","2016-08-23 10:59:38-03","NHMLondon","NHM-LONDON-BOT","BM000947270","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","Syntype","George Gardner; b.1812; d.1849; Gardner","5149",NA,"Brasil",NA,NA,"NHMUK:ecatalogue:584171","<a href=http://www.nhm.ac.uk/services/media-store/asset/55436a1fa9af4e0c4aa0033ab608f09496b1eb13/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Meisn.",NA,NA,"1840","08",NA,NA,"Jens Gunter Rohwer; b.1958; Rohwer",NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109","1987",NA,NA,NA
"16","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa",NA,"Gardner, G","5161","Southern America","Brazil","Minas Gerais",NA,NA,"Oreas; HABITAT: Oreas",NA,NA,NA,"Meisn.","in prov. Minarum, distr. Adamantium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa",NA,"Gardner, G","5149","Southern America","Brazil","Minas Gerais",NA,NA,"m. Aug.; Oreas; HABITAT: Oreas",NA,NA,NA,"Meisn.","in prov. Minarum, distr. Adamantium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2014-09-23 11:01:43-03","G","G-DC","G00131253","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","LECTOTYPUS of Nectandra venulosa Meisn.","Gardner, G.","5149","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=150938&base=img&lang=en","G00131253",NA,NA,"Meisn.",NA,"G00131253","1846",NA,"00",NA,"CAT.HERB.PRODR.",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778","2008","01","01",NA
"19","2010-08-16 16:36:09-03","GH","HU-HERB","GH 00041965","PreservedSpecimen","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","Isosyntype","George Gardner","5149","South America","Brazil","Minas Gerais","Sheet",NA,NA,NA,NA,NA,"C. F. W. Meissner",NA,NA,NA,NA,NA,"5149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
"20","2014-09-23 10:58:07-03","G","G","G00369277","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","ISOLECTOTYPUS of Nectandra venulosa Meisn.","Gardner, G.","5161","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00369277",NA,NA,"Meisn.",NA,NA,"1842",NA,"00",NA,"Rohwer, J. G.",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778","1993","01","01",NA
"21","2014-09-23 10:58:07-03","G","G","G00369278","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","ISOLECTOTYPUS of Nectandra venulosa Meisn.","Gardner, G.","5161","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00369278",NA,NA,"Meisn.",NA,NA,"1842",NA,"00",NA,"?",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778",NA,NA,NA,NA
"22","2014-09-23 10:58:07-03","G","G","G00369276","S","Plantae","Lauraceae","Nectandra","venulosa","Nectandra venulosa","ISOLECTOTYPUS of Nectandra venulosa Meisn.","Gardner, G.","5161","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00369276",NA,NA,"Meisn.",NA,NA,"1842",NA,"00",NA,"?",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778",NA,NA,NA,NA
