"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-10-01 14:26:22-03","JBB","HEPH","955","S","Plantae","Monocotyledon","Poales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","Ferreira, MB","Ferreira, MB","914","1971","11","15","Southern America","Brasil","Goiás","Luziânia","Sítio Novo, Próximo da divisa com o DF","-47.9502983093262","-16.2525005340576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83221","auto",NA,NA,NA,NA,NA
"12","2020-12-11 11:43:32-03","UFMG","BHCB","26893","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Pepinia","bradei","Pepinia bradei",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:43:32-03","UFMG","BHCB","26893","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Pepinia","bradei","Pepinia bradei",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2009-07-17 14:12:00-03","MO","MOBOT","3014251","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","L.B. Smith","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 8681","1965","9","26","South America","Brazil","Distrito Federal",NA,"Creek valley, Córrego Gama, between Gama and Brasília, near road to Anápolis.",NA,NA,"1175.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2009-12-04 16:40:00-02","MO","MOBOT","3014315","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","E. Pereira","Gert G. Hatschbach|Andrew E. Kasper","Hatschbach 41631","1978","10","21","South America","Brazil","Minas Gerais",NA,"Corrego do Pasto (mun. Grão Mogol).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2457624","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"H. S. Irwin & T. R. Soderstrom","5782","1964","8","31","South America - Neotropics","Brazil","Distrito Federal","Brasília","Parqueunicipal do Gama, ca. 20 km S of Brasília","-47.9296989440918","-15.7797002792358","700","1000",NA,NA,"US01935145","US01935145_01","Monocotyledonae",NA,NA,NA,"70570","auto",NA,NA,"1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","2967101","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"J. H. Kirkbride","4870","1982","9","6","South America - Neotropics","Brazil","Distrito Federal","Brasília",NA,"-48.03","-15.57",NA,NA,NA,NA,"US01935144","US01935144_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2827853","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"D. F. Coêlho",NA,NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"US01935146","US01935146_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2490395","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"H. S. Irwin, R. Souza & R. R. Santos","8681","1965","9","26","South America - Neotropics","Brazil","Distrito Federal","Brasília","Creek valley, Córrego Gama, between Gama and Brasília, near road to Anápolis.","-47.9296989440918","-15.7797002792358","1175",NA,NA,NA,"US01935142","US01935142_01","Monocotyledonae",NA,NA,NA,"70570","auto",NA,NA,"1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","2490403","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"H. S. Irwin, R. Souza & R. R. Santos","10137","1965","11","10","South America - Neotropics","Brazil","Distrito Federal","Brasília","Parqueunicipal do Gama, 25 km S of Brasília","-47.9296989440918","-15.7797002792358","1150",NA,NA,NA,"US01935143","US01935143_01","Monocotyledonae",NA,NA,NA,"70570","auto",NA,NA,"1",NA,NA
"21","2019-10-07 09:20:39-03","UEFS","HUEFS","165384","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.","R.B.Louzada","Queiroz, L.P.de","15001","2010","10","27",NA,"Brasil","Minas Gerais","Monte Azul","Serra da Formosa em frente ao Pico da Formosa.","-42.803889","-15.23","1191","1191",NA,"Mata ciliar dominada por Vochysia pyramidalis.","HUEFS0165384","HUEFS0165384","Lilianae","2011","02",NA,NA,NA,NA,NA,NA,"42W48'14''","15S13'48''"
"22","2019-07-09 12:56:21-03","F","FMNH-SEEDPLANTS","V0404200F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei",NA,NA,"H. S. Irwin et al.","8681","1965","9","26","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0404200F","V0404200F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:02:43-03","IBt","SP","401925","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"Louzada, RB; et al.","73","2007","11","05",NA,"Brasil","Minas Gerais","Grão Mogol","Córrego das Mortes.","-42.902778","-16.571139","876","876",NA,NA,"SP052472","SP052472",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-42.902778","-16.571139"
"24","2019-11-21 10:02:43-03","IBt","SP","224243","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"Mello-Silva, R; et al.","CFCR8327","1985","09","03",NA,"Brasil","Minas Gerais","Grão Mogol","Córrego das Mortes","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"SP052471","SP052471",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"25","2019-11-21 10:02:43-03","IBt","SP","224249","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","bradei","Pitcairnia bradei","Markgr.",NA,"Mello-Silva, R; Cordeiro, I","CFCR10097","1986","09","04",NA,"Brasil","Minas Gerais","Grão Mogol","Vale do Ribeirão das Mortes","-42.8897018432617","-16.5594005584717","970","970",NA,NA,"SP052470","SP052470",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
