"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","locality","month","day","stateProvince","county","decimalLongitude","decimalLatitude","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","sex"
"29","2019-11-06 09:56:00-03","UFOP","OUPR","15574","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Badini, J.",NA,"Brasil",NA,"Arbusto, flores amarelas",NA,NA,"s.n.",NA,"Saramenha",NA,NA,"Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-06 09:56:00-03","UFOP","OUPR","21911","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Quinet, A.","Messias, M.C.T.B.",NA,"Brasil",NA,"Arbusto, 2,3m, em final de frutificação. Campos ferruginosos",NA,NA,"2145","2008","Serra de Antônio Pereira, Samarco. Alegria 7","08","08","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-06 09:56:00-03","UFOP","OUPR","21120","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Quinet, A.","Messias, M.C.T.B.; Silva, J.L.; Tonaco, A.C. & Ataíde, E.S.",NA,"Brasil",NA,"Arbusto, 1,3m, flores amarelo-claras. Campo rupestre",NA,NA,"1790","2008","Serra de Antônio Pereira, Samarco. Alegria 7","02","29","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 09:56:00-03","UFOP","OUPR","3464","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Moraes, P.L.R.","Clemen",NA,"Brasil",NA,"Arbusto, flores amareladas",NA,NA,"s.n.","1976","Serra de Ouro Preto","05","23","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"44599","auto","2001","11","13",NA,NA,NA,NA,NA,NA,NA,NA
"33","2014-10-14 15:56:43-03","BS","M","M-0147194","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Martius, C.F.P. von",NA,"Brasil",NA,NA,"M0147194",NA,NA,NA,"Brasilia Provinc. Minarum",NA,NA,NA,NA,NA,NA,NA,"NOTATYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"34","2014-10-14 15:56:43-03","BS","M","M-0147195","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Martius, C.F.P. von",NA,"Brasil",NA,NA,"M0147195",NA,NA,NA,"Brasilia Provinc. Minarum",NA,NA,NA,NA,NA,NA,NA,"NOTATYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"35","2014-10-14 15:56:43-03","BS","M","M-0147196","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Martius, C.F.P. von",NA,"Brasil",NA,NA,"M0147196",NA,NA,NA,"Habitat in ferruginosis ad Anto. Pereira; Provinciae Minarum",NA,NA,NA,NA,NA,NA,NA,"NOTATYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"36","2020-12-21 16:30:44-03","MBM","MBM","105870","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.","Lorea-Hernández, F.G.","Duarte, A.P.","Southern America","Brazil",NA,NA,"MBM105870","MBM105870","2654",NA,"Serra do Cipó, km 130",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978625","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Glaziou, A.",NA,"Brasil","hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978625' target='other'> <mi>dwc_moreinfo</mi></a>","P01978625","P01978625_01",NA,"1892","Gamba, prés d ´ Ouro Prteo","5","8","Minas Gerais",NA,"-43.50828","-20.38301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19775",NA,NA
"38","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978619","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Schwacke",NA,"Brasil","hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978619' target='other'> <mi>dwc_moreinfo</mi></a>","P01978619","P01978619_01",NA,"1891",NA,"4","1","Minas Gerais","Ouro Preto","-43.5124","-20.38044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7363",NA,NA
"39","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978620","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Riedel",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978620' target='other'> <mi>dwc_moreinfo</mi></a>","P01978620","P01978620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2777",NA,NA
"40","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978621","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Glaziou, A.|Sena|Schwackw",NA,"Brasil","hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978621' target='other'> <mi>dwc_moreinfo</mi></a>","P01978621","P01978621_01",NA,"1892","Gamba, prés d ´ Ouro Preto","5","8","Minas Gerais",NA,"-43.5124","-20.38044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19775",NA,NA
"41","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978622","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Glaziou, A.",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978622' target='other'> <mi>dwc_moreinfo</mi></a>","P01978622","P01978622_01",NA,"1884",NA,"2","1","Minas Gerais","Ouro Preto","-43.5124","-20.38044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15373",NA,NA
"42","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978623","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Gaudichaud",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978623' target='other'> <mi>dwc_moreinfo</mi></a>","P01978623","P01978623_01",NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2015-09-03 18:54:25-03","MNHN","RECOLNAT_MNHN_P","P01978624","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","erythropus","Cinnamomum erythropus","(Nees & Mart.) Kosterm.",NA,"Claussen",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978624' target='other'> <mi>dwc_moreinfo</mi></a>","P01978624","P01978624_01",NA,"1848",NA,"1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108",NA,NA
"44","2015-09-04 12:53:30-03","MNHN","RECOLNAT_MNHN_P","P00128549","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","erythropus","Phoebe erythropus","(Nees & Mart.) Mez","Allen","Martius, W. von",NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128549' target='other'> <mi>dwc_moreinfo</mi></a>","P00128549","P00128549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1238",NA,NA
"45","2015-09-03 18:57:22-03","MNHN","RECOLNAT_MNHN_P","P01959288","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","erythropus","Phoebe erythropus","(Nees & Mart.) Mez",NA,"Saint-Hilaire, A.",NA,"Brasil","hb","381 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01959288' target='other'> <mi>dwc_moreinfo</mi></a>","P01959288","P01959288_01",NA,"1816",NA,"1","1","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 952",NA,NA
"46","2015-09-03 18:57:22-03","MNHN","RECOLNAT_MNHN_P","P01959289","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","erythropus","Phoebe erythropus","(Nees & Mart.) Mez",NA,"Saint-Hilaire, A.",NA,"Brasil","hb","N. 362. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01959289' target='other'> <mi>dwc_moreinfo</mi></a>","P01959289","P01959289_01",NA,"1816","Brésil - Province de Minas Geraes.","1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 952",NA,NA
"47","2015-09-03 18:57:22-03","MNHN","RECOLNAT_MNHN_P","P01959290","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","erythropus","Phoebe erythropus","(Nees & Mart.) Mez",NA,"Saint-Hilaire, A.",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01959290' target='other'> <mi>dwc_moreinfo</mi></a>","P01959290","P01959290_01",NA,"1816",NA,"1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 952",NA,NA
