"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"14","2019-10-09 11:21:12-03","UFBA","ALCB","036512","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","Ibrahim, M; Faria Júnior, JEQ de","Saar, E; Passos Júnior, LA; Funch, L; Guedes, ML; Stannard, B; Atkins, S","PCD4729","1997","01","30","Southern America","Brasil","Bahia","Chapada Diamantina, Caminho para Mata de Remanso","-41.037389","-12.596944","490","490",NA,"4,0 m. Folhas levemente discolores. Frutos imaturos verde. Ocasional.; Mata com algumas espécies emergentes com maçaranduba, quina e pau-dolho",NA,NA,"Lençóis","2010","09",NA,"-41.037389","-12.596944",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:21:12-03","UFBA","ALCB","128958","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","Faria, JEQ","Faria, JEQ","6358","2016","07","19","Southern America","Brasil","Minas Gerais","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá.","-43.633889","-19.7675","1106","1106",NA,"Cerca de 6 m de altura , frutos imaturos verdes; Floresta estacional semidecidual.","ALCB046608","ALCB046608","Caeté","2016","07",NA,"-43.633889","-19.7675",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:21:12-03","UFBA","ALCB","81893","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","(Kiaersk.) G.M. Barroso & Sobral","Guedes, ML","Guedes, ML; et al.","14151","2007","06","14","Southern America","Brasil","Bahia","Recôncavo Sul, Estação Experimental da EBDA","-91","-12.766667",NA,NA,NA,"de ca 3 m de altura. Folhas membranáceas, discolores, com a face abaxial tomentosa. Flores passadas, com cálice tomentoso. Cultivada.",NA,NA,"Conceição do Almeida","2008","01",NA,"-91","-12.766667",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:14:33-03","ESALQ","ESA","105325","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Paciencia, M.B.","2307.0","2006","04","05",NA,"Brasil","Espírito Santo",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"ESA105325","ESA105325","Linhares","2011",NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:14:33-03","ESALQ","ESA","77167","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Árbocz, G.F. et al.","4597.0","1997","01","01",NA,"Brasil","Mato Grosso",NA,"-50.9958000183105","-14.3971996307373",NA,NA,NA,NA,"ESA077167","ESA077167","Cocalinho","2011",NA,NA,NA,NA,"293587","auto",NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:14:33-03","ESALQ","ESA","1960","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Dedecca, D. ; Santoro, J.",NA,"1947","05","28",NA,"Brasil","São Paulo",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"ESA001960","ESA001960","Campinas","2011",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:14:33-03","ESALQ","ESA","68846","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Leitão Filho, H.F.","1020.0","1970","05","08",NA,"Brasil","São Paulo",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"ESA068846","ESA068846","Campinas","2011",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:14:33-03","ESALQ","ESA","51397","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Battaglia, B.",NA,"2005","09","17",NA,"Brasil","São Paulo",NA,"-47.8199996948242","-22.25",NA,NA,NA,NA,"ESA051397","ESA051397","Itirapina","2011",NA,NA,NA,NA,"22843","auto",NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:14:33-03","ESALQ","ESA","41654","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Rodrigues, E.A.","259.0","1994","12","19",NA,"Brasil","São Paulo",NA,"-48.3199996948242","-21.25",NA,NA,NA,NA,"ESA041654","ESA041654","Jaboticabal","2011",NA,NA,NA,NA,"22420","auto",NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:14:33-03","ESALQ","ESA","14999","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Ivanauskas, N.M.","677.0","1993","01","03",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA014999","ESA014999","Piracicaba","2011",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:14:33-03","ESALQ","ESA","10334","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Barreto, K.D. et al.","84.0","1993","03","11",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA010334","ESA010334","Piracicaba","2011",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:14:33-03","ESALQ","ESA","69971","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Bergamin, M.C.","1.0","1996","11","26",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA069971","ESA069971","Piracicaba","2011",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:14:33-03","ESALQ","ESA","83206","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Chaddad Jr., J.","119.0","2002","12","20",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA083206","ESA083206","Piracicaba","2011",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:14:33-03","ESALQ","ESA","118842","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Mazine, F.F.","Colletta, G.D.","627.0","2012","05","01",NA,"Brasil","São Paulo","Mata ao lada da Faz. São Joâo do Guarantã","-48.9799995422363","-22.4599990844727",NA,NA,NA,"Árvore, 3m, frutos secos.","ESA118842",NA,"Agudos",NA,NA,NA,NA,NA,"52219","auto",NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:14:33-03","ESALQ","ESA","1961","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Lima, A. S.",NA,"1944","12","11",NA,"Brasil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"ESA001961","ESA001961","Fraternidade indígena","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:14:33-03","ESALQ","ESA","48317","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Bernacci, L.C. ; Árbocz, G.F.","2597.0","1997","11","25",NA,"Brasil","Mato Grosso",NA,"-52.2566986083984","-15.8900003433228",NA,NA,NA,NA,"ESA048317","ESA048317","Barra do Garças","2011",NA,NA,NA,NA,"123012","auto",NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:14:33-03","ESALQ","ESA","65298","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Equipe de Fitossociologia do CNEC",NA,"1997","01","01",NA,"Brasil","Mato Grosso",NA,"-51.1164016723633","-10.0116996765137",NA,NA,NA,NA,"ESA065298","ESA065298","Vila Rica","2011",NA,NA,NA,NA,"127030","auto",NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:14:33-03","ESALQ","ESA","2664","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Leitão Filho, H.F.",NA,"1970","05","08",NA,"Brasil","São Paulo",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"ESA002664","ESA002664","Campinas","2011",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:14:33-03","ESALQ","ESA","3540","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Mantovani, W. Catharino, E.L.M.",NA,"1985","08","22",NA,"Brasil","São Paulo",NA,"-47.7099990844727","-22.4300003051758",NA,NA,NA,NA,"ESA003540","ESA003540","Ipeúna","2011",NA,NA,NA,NA,"12906","auto",NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:14:33-03","ESALQ","ESA","14747","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Ivanauskas, N.M.",NA,"1993","01","03",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA014747","ESA014747","Piracicaba","2011",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:14:33-03","ESALQ","ESA","64063","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Fernandes, T.M.","Souza, J.P.","2240.0","1998","05","14",NA,"Brasil","São Paulo","Haras Vanguarda. Borda de mata ciliar","-47.310001373291","-22.9400005340576",NA,NA,NA,"Árvore, ca. 6m alt.; flores creme","ESA064063","ESA064063","Monte Mor","2011",NA,NA,NA,NA,"12206","auto",NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:14:33-03","ESALQ","ESA","118282","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana",NA,"Mazine, F.F.","Pastore, J.A.","914.0","2001","01","01",NA,"Brasil","São Paulo","Parque Estadual Alberto Löfgren","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"ESA118282",NA,"São Paulo","2011","04","18",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:14:33-03","ESALQ","ESA","105866","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana",NA,"Aguirre, G.H.","Aguirre, G.H.","718.0","2008","10","03",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"ESA105866",NA,"São Manoel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:14:33-03","ESALQ","ESA","115210","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana",NA,"Lopes, J.C","Lopes, J.C.","273.0","2011","04","20",NA,"Brasil","Espírito Santo",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"ESA115210",NA,"Linhares",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"38","2020-11-19 10:24:25-03","CPAP","CPAP","15253","PreserverdSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M. Sobral","Hatschbach, G.","62762","1995","05","14",NA,"Brasil","MT","Fazenda Salobrinha","-57.2275009155273","-15.3243999481201",NA,NA,NA,"Árvore, 5m de altura. FLOR: alva. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Mata. SUBSTRATO: . RELEVO: .",NA,NA,"Porto Estrela","1995",NA,NA,NA,NA,"59745","auto",NA,NA,NA,NA,NA,NA
"39","2015-07-02 14:03:12-03","JBP","HPL","5511","S","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","V.C. Souza","H. Lorenzi","1331","1994","02","11",NA,"Brasil","SP","Coletado no Horto da Campininha.","-46.9422","-22.3722",NA,NA,NA,NA,NA,NA,"Mogi Guaçu","2012","06","11",NA,NA,"39309","auto",NA,NA,NA,NA,NA,NA
"40","2015-07-02 14:03:12-03","JBP","HPL","5508","S","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","V.C. Souza","H. Lorenzi","2943","1996","10","16",NA,"Brasil","SP","Coletado nas proximidades da cidade.","-46.88","-23.18",NA,NA,NA,NA,NA,NA,"Jundiaí","2012","06","11",NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA
"41","2015-07-02 14:03:12-03","JBP","HPL","5513","S","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","V.C. Souza","G.F. Arbocz","934","1994","10","28",NA,"Brasil","SP","Arboreto Parque Ecológico da UNICAMP.","-47.06","-22.9",NA,NA,NA,NA,NA,NA,"Campinas","2012","06","11",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA
"42","2015-07-02 14:03:12-03","JBP","HPL","5509","S","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","V.C. Souza","E.R. Salviani & H. Lorenzi","237","1998","08","14",NA,"Brasil","SP","Coletado na estrada de terra para Santa Cruz da Conceição.","-47.66","-22.12",NA,NA,NA,NA,NA,NA,"Analândia","2012","06","11",NA,NA,"14271","auto",NA,NA,NA,NA,NA,NA
"43","2015-07-02 14:03:12-03","JBP","HPL","5510","S","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","V.C. Souza","H. Lorenzi","1238","1994","01","12",NA,"Brasil","SP","Coletado no arboreto da campininha.","-46.9422","-22.3722",NA,NA,NA,NA,NA,NA,"Mogi Guaçu","2012","06","11",NA,NA,"39309","auto",NA,NA,NA,NA,NA,NA
"44","2015-07-02 14:03:12-03","JBP","HPL","5512","S","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg","V.C. Souza","H. Lorenzi","1212","1993","12","16",NA,"Brasil","SP","Coletado no arboreto da Campininha.","-46.9422","-22.3722",NA,NA,NA,NA,NA,NA,"Mogi Guaçu","2012","06","11",NA,NA,"39309","auto",NA,NA,NA,NA,NA,NA
"45","2020-12-20 21:18:36-03","UFV","VIC","7383","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","O.Berg",NA,"Hermonegenes, F.L.; et al.","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","Mata Santa Genebra","-47.060001373291","-22.8999996185303",NA,NA,NA,"Árvore, fruto maduro vermelho escuro.","VIC007383",NA,"Campinas",NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA
"46","2020-12-20 21:18:36-03","UFV","VIC","2446","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","itajurensis","Eugenia itajurensis","Cambess",NA,"Kulhmann, J.G.","s.n.","1935","03","26",NA,"Brasil","Minas Gerais","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC002446","VIC002446","Viçosa",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA
"47","2020-12-20 21:18:36-03","UFV","VIC","1645","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","itajurensis","Eugenia itajurensis","Cambess",NA,"J.G.K.","s.n.","1934","12","17",NA,"Brasil","Minas Gerais","ESAV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC001645",NA,"Viçosa",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA
"48","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034327","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M.L. Kawasaki, 1996.","M.L. Fonseca; F.C.A. Oliveira, B.S. Barros","348","1995","6","20",NA,"Brazil","Goias","Entrada direita da estrada em direicao a Mina de Niquel.","-48.425","-14.3683",NA,NA,NA,"Arbutso ca. 2,5m alto; botoes verdes; flores brancas.",NA,NA,"Niquelandia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034329","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M. Sobral, 1993.","G. Hatschbach; M. Hatschbach, O. S. Ribas","52056","1988","5","16",NA,"Brazil","Minas Gerais","Grao Mogol, arredores, Minas Gerais.","-42.9","-16.5667",NA,NA,NA,"Arbusto 1m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034328","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","glazioviana","Eugenia glazioviana","Kiaersk.","M. Sobral, 1995.","G. Hatschbach; A. Pott, V. Pott, J. M. Silva","62762","1995","5","14",NA,"Brazil","Mato Grosso","Fazenda Salobrinha.","-57.2333","-15.3333",NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore, 5m, flor alva.",NA,NA,"Porto Estrela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034387","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itajurensis","Eugenia itajurensis","Cambess.","M. Sobral, 1993.","G. Hatschbach","30097","1972","8","9",NA,"Brazil","Minas Gerais","Pico Itambe (Mun. Antonio do Itambe).","-43.3","-18.5",NA,NA,NA,"In 5 anthers seen, each had 1 gland.; Arbusto 2m; flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
