"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","locality","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","949070","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","intercedens","Chomelia intercedens",NA,"L. Coradin","5836","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949070","1983","06","18","Rodovia correntes-bom Jesus 2 km leste da cidade de Gilbues","Piauí","-45.32","-9.8",NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.",NA,"D. Ferr","Gilbués","560","560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02103557","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","intercedens","Chomelia intercedens",NA,"L.A. Gomes","1115","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2255526' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103557","2013","05","22","Mata do Caititu: Borda de mata.","Sergipe","-37.1297","-10.7172",NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.","NY02103557_01",NA,"Maruim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2683248","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","intercedens","Chomelia intercedens",NA,"T. C. Plowman","8575","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946505' target='other'> <mi>dwc_moreinfo</mi></a>","NY02683248","1980","02","09","Range of low hills ca. 20 km west of Redenção, near Corrego São João and Troncamento Santa Teresa.","Pará","-50.17","-8.05",NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.","NY02683248_01",NA,"Conceição do Araguaia","350","620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","778956","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","martiana","Chomelia martiana",NA,"M. R. de V. Barbosa","2768","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778956","2003","03","03","Rio Tinto, Mata do Oiteiro.","Paraíba","-34.9216667","-6.8380556",NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.",NA,"M. R. de V. Barbosa","Rio Tinto","53","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","778957","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","martiana","Chomelia martiana",NA,"M. R. de V. Barbosa","2772","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778957","2003","03","03","Rio Tinto, Mata do Oiteiro.","Paraíba","-34.9216667","-6.8380556",NA,NA,"Magnoliophyta","Gentianales","Müll.Arg.",NA,"M. R. de V. Barbosa","Rio Tinto","53","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","949067","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"A. F. Regnell","II:131","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949067",NA,NA,NA,"Caldas","Minas Gerais","-46.3858","-21.9236",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","949059","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"R. de Lemos Fróes","11577","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949059","1939","02",NA,"Island of São Luiz. Estrada do Sacavem.","Maranhão","-44.3028","-2.5297",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","São Luís",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-27 03:43:00-03","NY","NYBG","396419","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"E. M. Zardini","39920","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396419","1994","07","01","Arroyo Trementina, 15 km east of Paso Barreto","Concepción","-57.0114","-23.0442",NA,NA,"Magnoliophyta","Gentianales",NA,NA,"C. M. Taylor",NA,"210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1146469","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"P. G. Delprete","9514","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340927' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146469","2006","02","25","Distrito Taquaruçu. Povoado de Taquara (estrada do Aterro Sanitário), ca. 8 km do asfalto.","Tocantins","-48.2275","-10.3781",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Palmas","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 03:45:00-03","NY","NYBG","799077","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"L. R. Landrum","4316","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799077","1982","02","18","Ituzaingo, ruta 34 at Rio Aguapey.","Corrientes",NA,NA,NA,NA,"Magnoliophyta","Gentianales",NA,NA,"J. H. Kirkbride Jr.","Ituzaingó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00891721","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"H. S. Irwin","31744","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891721","1971","03","14","Serra Geral do Paraná, ca. 3 km S.of São João de Aliança","Goiás","-47.5333","-14.72711",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","São João d'Aliança","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00891746","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"B. A. S. Pereira","3116","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891746","1996","07","03","Km 14 da estrada Teresinha de Goiás/Nova Roma, a partir do entroncamento para Campos Belos","Goiás","-47.5","-13.5",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Teresina de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01067477","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"B. M. T. Walter","966","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067477","1991","12","10","Estrada de Colinas do Sul- Niquelandia. Ponte sobre o Rio Tocantizinho a 6 km de Colinas de Sul. Bacia de inundaçao da UHE Serra da Mesa","Goiás","-48.07","-14.13",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Colinas do Sul","420","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","799078","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"M. Bernardi","18669","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799078","1978","11","15","In pascuis circa Artigas, Itapua","Itapúa",NA,NA,NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01067817","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"P. G. Delprete","6849","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=67293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067817","1998","10","13","10 km. de Caiapônia em direçao para Doverlandia, Fazenda do Sr. Joaquim Franco, Rio Pântano, 300 m acima de Cachoeira Pântano","Goiás","-51.8103","-16.9569",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","396415","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"M. Kuhlmann","1346","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396415","1946","04","30","Mata da Fazenda Sao Lourenço","São Paulo","-46.27","-22.9303",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,NA,"Joanópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","396407","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"R. A. Wasum","8031","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396407","1991","11","12","Rincao de Sto. Antonio","Rio Grande do Sul",NA,NA,NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"S. F. Smith",NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01198102","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"S. C. de Sant'Ana","414","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=442197' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198102","1993","10","06","Entrada a 1 km á esquerda de estrade Ste. Luzia/Grasto; ca. 1 km adentro","Sergipe","-37.4481","-11.3508",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"M. C. Pessoa","Santa Luzia do Itanhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","949064","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"N. A. Rosa","2005","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023575' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949064","1977","05","25","Rio Juruena, cachoeira Santa Iria. (SC-21-VB).","Mato Grosso",NA,NA,NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.","NY00949064_01","P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1738035","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"L.A. Gomes","338","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1963552' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738035","2012","04",NA,"RPPN Mata do Crasto.","Sergipe","-37.40192","-11.3685",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.","NY01738035_01","L.A. Gomes","Santa Luzia do Itanhy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","396413","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"L. B. Smith","11941","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396413","1957","02","28","7 km southeast of Capinzal","Santa Catarina","-51.6117","-27.3436",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,NA,"Capinzal","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","949993","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"E. P. Heringer","13877","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1046740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949993","1974","06","13","Parque do Guará, Plano Piloto; margem do corrego Guará.","Distrito Federal","-47.9294","-15.7797",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"M. R. de V. Barbosa","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","949066","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"G. M. Magalhaes","19202","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949066","1963","05","27","dôrso da Serra dos Patos. Bacia do Rio Paranaiba.","Minas Gerais","-50.1214","-18.8386",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"J. H. Kirkbride Jr.","Santa Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","949057","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"W. R. Anderson","9470","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949057","1973","04","30","Serra do Caiapó, ca. 5 km (straight line) S of Caiapônia","Goiás","-51.81666667","-16.9944",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"J. H. Kirkbride Jr.","Caiapônia","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","813690","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"W. R. Anderson","7484","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00813690","1973","03","19","Chapada dos Veadeiros. 9 km by road S of Terezina.","Goiás","-47.26469","-13.85775",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Teresina de Goiás","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01067927","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"M. Aparecida da Silva","3854","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067927","1998","06","25","Fazenda Santo Antônio de propiedade do Senhor Nenzico Corrêia de Miranda. Localidade denominada Pedra Petra. Folha SD-22-ZB 1/1250.000 (Uruaçú)","Goiás","-49.2789","-14.0925",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Mara Rosa","365","365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1182940","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"P. G. Delprete","9230","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411302' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182940","2005","11","01","Rod. Arrais-Paranã, BR-242, estrada de cascalho ca. 7 km de Arrais.","Tocantins","-47","-12.88",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Arraias","440","440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","799076","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"R. M. Klein","11846","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799076","1979","04","23","Sete Quedas, Guaira","Paraná","-54.2556","-24.08",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"S. F. Smith","Guairá","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","396404","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"R. Reitz","17837","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396404","1965","12","17","Carambei, Rio S. Joao, Castro","Paraná","-50.152803","-24.908517",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"S. F. Smith","Castro","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","887162","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"R. R. Brooks","BRASPEX#270","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887162","1988","04","30","Pedras Pretas.","Rio Grande do Sul","-53.53","-30.33",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete",NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00895987","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"H. S. Irwin","24306","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895987","1969","03","13","Ca. 40 km north of Veadeiros. Chapada dos Veadeiros.","Goiás","-47.51669","-13.75517",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"P. G. Delprete","Cavalcante","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","396411","PreservedSpecimen","Plantae","Rubiaceae","Chomelia","obtusa","Chomelia obtusa",NA,"G. G. Hatschbach","404529","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396411","1977","12","08","Rio S. Francisco Chico","Paraná","-54.3328","-24.8606",NA,NA,"Magnoliophyta","Gentianales","Cham. & Schltdl.",NA,"J. H. Kirkbride Jr.","Santa Helena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
