"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"11","2021-03-01 16:25:10-03","UNICAMP","UEC","27767","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Giulietti, AM; Menezes, NL; Cordeiro, I; Sajo, MG; Castro, NM; Diacuí, J","CFSC7423","1981","07","01",NA,"Brazil","Minas Gerais","Santana do Riacho","Ao londo da rodovia Belo Horizonte - Conceição do Mato Dentro. Às margens do Córrego Véu da Noiva.","-43.7144012451172","-19.1688995361328",NA,"Erva de capítulos alvos.","UEC130856","UEC130856",NA,"Franco, IM","2013","04","26557","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:25:10-03","UNICAMP","UEC","66779","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Zappi, DC; Mello-Silva, R; Pirani, FR","CFSC10277","1987","07","21",NA,"Brazil","Minas Gerais","Santana do Riacho","Margens do Rio Capivara, próximo à ponte da estrada da Usina.","-43.7144012451172","-19.1688995361328",NA,"Densa população. Brácteas involucrais vináceas. Flores creme, anteras amarelas e estigma arroxeado.; Ervas à beira do rio, sobre escassa camada de areia entre fendas de rochas.","UEC130830","UEC130830",NA,"Franco, IM","2013","04","26557","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:25:10-03","UNICAMP","UEC","64464","S","Plantae","Magnoliopsida",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Prado, PIKL","25658","1991","11","07",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó.","-43.7144012451172","-19.1688995361328",NA,"Entre pedras na beira do riacho.","UEC130832","UEC130832",NA,"Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:17:05-03","MBM","MBM","23208","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Hatschbach, G.","30046","1972","08","07","Southern America","Brazil","Minas Gerais","Jaboticatuba","Serra do Cipó",NA,NA,NA,"Capítulos alvos, ao longo de córrego encachoeirado, local sombrio; Capítulos alvos.; Ao longo de córrego encacheirado, local sombrio.","MBM023208","MBM023208","PARATYPE","Roque, N.","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:17:05-03","MBM","MBM","145891","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Tenório, E.C.","771433","1977","09","30","Southern America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Bandeirinhas","-43.7449989318848","-19.513599395752",NA,"Sobre rochas, p#?#roximo à água; Sobre rochas, próximo a água.","MBM145891","MBM145891","PARATYPE","Roque, N.","1999",NA,"31264","auto",NA,NA,NA,"1360","1360",NA,NA
"16","2020-12-21 16:17:05-03","MBM","MBM","23217","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Hatschbach, G.","29986","1972","08","06","Southern America","Brazil","Minas Gerais","Jaboticatuba","Serra do Cipó",NA,NA,NA,"Capítulos alvos, ao longo de córrego; Capítulos alvos.; Ao longo de córrego.","MBM023217","MBM023217","PARATYPE","Roque, N.","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:17:05-03","MBM","MBM","242480","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Hatschbach, G.; Spichiger, R.; Cervi, A.C.; Barboza, E.; Spichiger, R.; Cervi, A.C.; Barboza, E.","69700","1999","10","25","Southern America","Brazil","Minas Gerais","Datas","Rod. BR 259, Raiz","-43.6557998657227","-18.4456005096436",NA,"Ereta; capítulo flor alvacento. Campo rupestre; solo arenoso","MBM242480","MBM242480",NA,"Nakajima, J.","2009","09","23532","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:17:05-03","MBM","MBM","242481","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Hatschbach, G.; Spichiger, R.; Cervi, A.C.; Barboza, E.; Spichiger, R.; Cervi, A.C.; Barboza, E.","69497","1999","10","22","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, próximo de Armazém da Laje","-44.1721992492676","-17.7574996948242",NA,"Capítulo alvacento. Campo rupestre; solo arenoso.","MBM242481","MBM242481",NA,"Nakajima, J.","2009","09","37503","auto",NA,NA,NA,"1000","1100",NA,NA
"19","2020-12-21 16:17:05-03","MBM","MBM","243731","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Roque, N.; Hervêncio, P.; Hervêncio, P.","493","1998","09","30","Southern America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, km 107,5 da Estrada Belo Horizonte-Conceição do Mato Dentro (12,7 km da ponte do Rio Cipó)","-43.7144012451172","-19.1688995361328",NA,"Ervas em grande população na borda de riacho (seco neste período). Brácteas. Involucrais verde-vináceos, capítulos com flores alvas e frutos dispersando; Erva. Brácteas involucrais verde-vináceas; capítulos com flores alvas e frutos","MBM243731","MBM243731","ISOTYPE","Roque, N.",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:33:27-03","UFMG","BHCB","198956","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roquee","Quaresma, AS; Mendes, MS","s.n.","2018","02","27","Southern America","Brasil","Minas Gerais","Ouro Preto","Antiga Estação Ferroviária Dom Bosco, Proximidades da Estação","-43","-20.436389",NA,"Coordenadas aproximadas.","BHCB198956",NA,NA,NA,"2018","03",NA,NA,"10","-43","-20.436389",NA,NA,NA,NA
"21","2020-12-11 11:33:27-03","UFMG","BHCB","11967","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roquee","Andrade, PM de; Coeli, R; Grandi, TSM","1430","1983","05","18","Southern America","Brasil","Minas Gerais","Serra do Cipó","Beira d'água",NA,NA,NA,"Campo rupestre","BHCB000076","BHCB000076","Paratypus",NA,"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:33:27-03","UFMG","BHCB","19086","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roquee","Anjos, AMG dos","108","1989","08","26","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Junto a riachos. Coletada próximo à Fazenda Palácio","-43.7144012451172","-19.1688995361328",NA,"Planta heliófila; Vegetando entre pedras","BHCB000077","BHCB000077","Paratypus",NA,"1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:33:27-03","UFMG","BHCB","50745","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roquee","Roque, N; Hervêncio, P","493","1998","09","30","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, km 107,5 da estrada BH-Conceiçao do Mato Dentro (12,7 km da ponte do Rio Cipó)","-43.7144012451172","-19.1688995361328",NA,"Em grande população na borda de riacho (seco neste período); Ervas. Brácteas involucrais verde-vináceas; capítulo com flores alvas e frutos dispersando.","BHCB000075","BHCB000075","Isotypus",NA,"1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:33:27-03","UFMG","BHCB","55799","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roquee","Oliveira, JE de","139","1940","08","18","Southern America","Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó. Palácio, Km 130.","-43.7449989318848","-19.513599395752",NA,"Muito frequente. Herbáceo. Flor alva.; Entre pedras em margem de ribeirão.","BHCB008843","BHCB008843",NA,NA,"2013","07","31264","auto","08",NA,NA,NA,NA,NA,NA
"25","2009-10-26 14:54:00-02","MO","MOBOT","100223748","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","N. Roque","Daniela C. Zappi","Zappi s.n.","1987","9","9","South America","Brazil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó. Serra da Bandeirinha.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"N. Roque",NA,NA,"26557","auto",NA,NA,NA,"1200.00000000",NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","3241856","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","riparia","Richterago riparia","Roque","E. Tenorio","77-1433","1977","9","30","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cipo, Bandeirinha (min. Jaboticatuba)",NA,NA,NA,NA,"US01209240","US01209240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"27","2020-09-12 05:00:02-03","US","US","3365681","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","riparia","Richterago riparia","Roque","A. Anjos","108","1989","8","26","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cipo",NA,NA,NA,"BHCB 19086","US01209239","US01209239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"28","2020-09-12 05:00:02-03","US","US","3031237","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","riparia","Richterago riparia","Roque","G. Hatschbach","29986","1972","8","6","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cipo (mun. Jaboticatuba)",NA,NA,NA,NA,"US01209241","US01209241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"29","2020-09-12 05:00:02-03","US","US","3371707","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Richterago","riparia","Richterago riparia","Roque","N. Roque & P. Hervencio","493","1998","9","30","South America - Neotropics","Brazil","Minas Gerais","Santana do Riacho","Serro do Cipo, km 107.5 da Estrada Belo Horizonte-Conceicao do Mato Dentro (12.7 km da ponte do Rio Cipo).","-43.7144012451172","-19.1688995361328",NA,NA,"US00679909","US00679909_01","Isotype",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,"1","Dicotyledonae"
"30","2019-11-13 11:16:35-03","USP","SPF","112277","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Barros, F","2816","1993","05","02",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"SPF00112277",NA,"paratype","Roque, N","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:16:35-03","USP","SPF","142589","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Lima, LR","129","2000","08","23",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"SPF00142589",NA,NA,"Roque, N","2003","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 18:25:35-03","USP","SPF","194040","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Siniscalchi, CM","9","2009","07","23",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Leito seco de riacho na trilha que leva ao ponto mais alto do PARNA da Serra do Cipó. Acesso pelo antigo Km 115 da Rodovia Belo Horizonte - Conceição do Mato Dentro (MG 010).","-43.592833","-19.296167",NA,"Erva ca. 15 cm alt. Folhas concolores. Flores alvas, com gineceu laranja. Comum nesse riacho, durante a época de chuvas fica em parte submersa.; Campo r upestre.","SPF00194040",NA,NA,"Roque, N","2012","01",NA,NA,NA,"-43.592833","-19.296167","1273","1273",NA,NA
"33","2019-11-13 11:16:35-03","USP","SPF","61760","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Zappi, DC","CFSC10277","1987","07","21",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"SPF00061760",NA,"paratype","Roque, N","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-13 11:16:35-03","USP","SPF","63327","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Zappi, DC","CFSC10555","1987","09","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00063327",NA,"paratype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,"1200","1200",NA,NA
"35","2019-11-13 11:16:35-03","USP","SPF","138230","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Fiaschi, P","80","1999","09","25",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00138230",NA,NA,"Roque, N","1999","10","26557","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:16:35-03","USP","SPF","159537","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Sano, PT","3036","2003","08","19",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00159537",NA,NA,"Roque, N","2009","01","26557","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-13 11:16:35-03","USP","SPF","16054","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Menezes, NL","255","1972","07","26",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00016054",NA,"paratype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-11-13 11:16:35-03","USP","SPF","20240","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Giulietti, AM","CFSC7423","1981","07","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00020240",NA,NA,"Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-11-13 11:16:35-03","USP","SPF","32039","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Forero, E","CFSC8925","1980","09","07",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,"Coleta: Forero 8012","SPF00032039",NA,"paratype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-11-13 11:16:35-03","USP","SPF","65993","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Salimena-Pires, FRG","CFSC10773","1987","10","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00065993",NA,"paratype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-13 11:16:35-03","USP","SPF","77880","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Luque, R","12","1991","07","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00077880",NA,"paratype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-13 11:16:35-03","USP","SPF","79139","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Pirani, JR","CFSC12379","1991","05","29",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00079139",NA,"paratype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-23 11:51:25-03","USP","SPF","133227","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Roque, N; Hervencio, P","493","1998","09","30",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 107,5 da Estrada Belo Horizonte-Conceição do Mato Dentro (12,7km da ponte do Rio Cipó).","-43.7144012451172","-19.1688995361328",NA,"Ervas en grande população na borda de riacho (seco neste período). Brácteas involucrais verde-vináceas; capítulos com flores alvas e frutos dispersando.","SPF00133227","SPF00133227","holotype","Roque, N","1999",NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-09-04 18:40:16-03","F","FMNH-SEEDPLANTS","V0051108F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Richterago","riparia","Richterago riparia",NA,"J. Roque","493","1998","9","30","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0051108F","V0051108F_01","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"45","2020-08-04 12:47:42-03","UFU","HUFU","42872","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Rezende, T.M. & Hattori, E.K.O.","3902","2005","09","29",NA,"Brasil","Minas Gerais",NA,"Região da Represa de Furnas., Paraíso Perdido, Córrego Quebra-Anzol, 4,5 km da rodovia MG 050.",NA,NA,NA,"Erva ca. de 0,2 m. Brácteas involucrais marrons, corola e ramos do estilete alvos.; Entre rochas, na calha do rio.","HUFU00058634","HUFU00058634",NA,"Nakajima, J.N.","2007","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-08-04 12:47:42-03","UFU","HUFU","42902","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Rezende, T.M. & Hattori, E.K.O.","3940","2005","09","30",NA,"Brasil","Minas Gerais",NA,"Região da Represa de Furnas, Estrada para Pedreira Souza, ca. de 2 km da rodovia MG 050.",NA,NA,NA,"Herbácea ca. de 0,3 m. Brácteas involucrais esverdeadas, corola alva amarela.; Mata em fenda de rocha. Paredão de calcário.","HUFU00058636","HUFU00058636",NA,"Nakajima, J.N.","2007","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-05-06 11:54:02-03","UFU","HUFU","55049","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Kinoshita, L.S.; Martins, A.B.; Galvao, J.C.; Aranha-Filho, J.L.; Caseli, C.C.; et al.","437","2008","11","05",NA,"Brasil","Minas Gerais","Capitólio","Estrada para as Pedreiras","-46.0499992370605","-20.6152992248535",NA,"Erva 30 cm.","HUFU00058632","HUFU00058632",NA,"Roque, N.",NA,NA,"29474","auto",NA,NA,NA,NA,NA,NA,NA
"48","2019-05-06 11:54:02-03","UFU","HUFU","26907","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Romero, R.; Nakajima, J.N.; Volpi, R.L. & Pacheco, R.A.","6190","2001","09","23",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Parque Fumalzinho.","-46.3657989501953","-20.2453002929688",NA,"Herbácea, ca. 0,2 m. Brácteas verdes, corola creme.; Campo rupestre.","HUFU00058635","HUFU00058635",NA,"Hattori, E.K.O.","2005","03","57119","auto","03",NA,NA,NA,NA,NA,NA
"49","2019-11-21 10:01:17-03","IBt","SP","275615","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Barros, F","2816","1993","05","02",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó, km 115 da estrada para COnceição do Mato Dentro.",NA,NA,NA,NA,"SP030342","SP030342",NA,"Mamede, MCH","2015","10",NA,NA,"02",NA,NA,NA,NA,NA,NA
"50","2019-11-21 10:01:17-03","IBt","SP","185610","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Barros, F","352","1980","09","07",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,NA,"SP003335","SP003335","Paratype","Roque, N","1999",NA,"31264","auto",NA,NA,NA,"1100","1250",NA,NA
"51","2019-11-21 10:01:17-03","IBt","SP","143557","S","Plantae",NA,NA,"Asteraceae","Richterago","riparia","Richterago riparia","Roque","Joly, AB; Semir, J","CFSC2895","1972","08","20",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,"SP003334","SP003334","Paratype","Roque, N","1999",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
