"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","coordinatePrecision","geoFlag","class","typeStatus"
"11","2020-12-11 11:33:19-03","UFMG","BHCB","157720","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Arruda, AJ; Viana, PL; Marino, F; Meyer, PB; Jorge, TB; Arruda, LJ","812","2012","03","23","Southern America","Brasil","Pará","N7, Campo graminoso sobre canga.","-50.170278","-6.157778","699","699",NA,NA,"BHCB017053",NA,"Parauapebas","-50.170278","-6.157778",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:33:19-03","UFMG","BHCB","157760","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Arruda, AJ; Viana, PL; Marino, F; Meyer, PB; Jorge, TB; Arruda, LJ","895","2012","03","27","Southern America","Brasil","Pará","N3, Campo graminoso sobre canga.","-50.207778","-6.041667","694","694",NA,NA,"BHCB017054",NA,"Parauapebas","-50.207778","-6.041667",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:33:19-03","UFMG","BHCB","157884","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Viana, PL; Marino, F; Arruda, AJ; Jorge, TB; Meyer, PB","5304","2012","03","22","Southern America","Brasil","Pará","N7, Campo graminoso sobre canga.","-50.170278","-6.157778","699","699",NA,NA,"BHCB017055",NA,"Parauapebas","-50.170278","-6.157778",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:33:19-03","UFMG","BHCB","158954","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Meyer, PB; Arruda, AJ; Viana, PL; Marino, F; Jorge, TB; Arruda, LJ","1132","2012","03","20","Southern America","Brasil","Pará","S11D, Margem de lagoa natural. Afloramentos ferruginosos formando lageados e blocos soltos cobertos por vegetação herbáceo-arbustiva, com considerável população de <em>Vellozia</em> .","-50.352778","-6.4","752","752",NA,NA,"BHCB017058",NA,"Canaã dos Carajás","-50.352778","-6.4",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:33:19-03","UFMG","BHCB","158995","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Meyer, PB; Arruda, AJ; Viana, PL; Marino, F; Jorge, TB; Arruda, LJ","1182","2012","03","23","Southern America","Brasil","Pará","N8, Campo rupestre sobre canga. Canga couraçada.","-50.132222","-6.205556","711","711",NA,NA,"BHCB017059",NA,"Parauapebas","-50.132222","-6.205556",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:33:19-03","UFMG","BHCB","158361","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Mota, NFO; Silva, LVC; Arruda, AJ;","2561","2012","03","08","Southern America","Brasil","Pará","S. Bocaina, Campo brejoso sobre canga (Norte)","-49.914444","-6.294722","650","650",NA,NA,"BHCB017057",NA,"Parauapebas","-49.914444","-6.294722","2012","03","08",NA,NA,NA,NA,NA
"17","2020-12-11 11:33:19-03","UFMG","BHCB","158355","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M.Barroso & R.M.King",NA,"Mota, NFO; Silva, LVC; Arruda, AJ; Silva, DF","2596","2012","03","10","Southern America","Brasil","Pará","S. Bocaina, Regeneração de floresta ombrófila, samabaial (Pteridium caudatum) (Norte)","-49.909444","-6.296111","650","650",NA,NA,"BHCB017056",NA,"Parauapebas","-49.909444","-6.296111","2012","03","10",NA,NA,NA,NA,NA
"18","2014-10-08 11:33:00-03","MO","MOBOT","100747483","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King","J. Pruski (MO)","Calvin R. Sperling|Ricardo S. Secco|M. Condon|A.L. Mesquita|B.G. Ribeiro|Lucival R. Marinho","Sperling 5596","1982","5","12","South America","Brazil","Pará","AMZA camp N-5.","-50.1333333","-6.0666667","700.00000000","750.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","3353469","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King","John Pruski","SECCO","SECCO 511","1985",NA,NA,"South America","Brazil","Pará","Maraba, Serra Norte, (Carajas), N1 no plato e aparatos (bordos) do morro de canga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2014-10-08 11:29:00-03","MO","MOBOT","100747482","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King","J. Pruski (MO)","Ricardo S. Secco|Calvin R. Sperling|M. Condon|A.L. Mesquita|B. Gilberto R.|Lucival R. Marinho","Secco 123","1982","5","12","South America","Brazil","Pará","Alto da Serra, arredores do N5, solo de canga (ferro).","-49.1178016662598","-5.36860990524292",NA,NA,NA,NA,NA,NA,"Marabá",NA,NA,NA,NA,NA,"1","262883","auto",NA,NA
"21","2020-08-31 08:53:05-03","INPA","INPA","139249","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","R.M.King & G.M.Barroso","Pruski, JF","Silva, ASL da","1775","1984","03","14","Southern America","Brasil","Pará","Serra dos Carajás, Serra dos Carajás. N-4, mina piloto para exploração de ferro. Local onde foi realizado inventário em 05/83. Campo rupestre, solo de canga.","-50.173616","-6.055124","700","750",NA,NA,"INPA0139249","INPA0139249 INPA0139249_e INPA0139249_e1","Marabá","-50.173616","-6.055124",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-10 10:10:19-03","FZB-BH","BHZB","11778","S","Plantae",NA,NA,"Asteraceae","Monogereion Cf.","carajensis","Monogereion Cf. carajensis",NA,NA,"Maielo, L.",NA,"2016","03","23",NA,"Brasil","PA","Lagoa do cromossomo, cr2","-50.450833","-6.350556","707","707",NA,"unicata, CR",NA,NA,"Canaã dos Carajás","50º 27' 03W","6º 21' 02S",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2595223","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King",NA,"P. B. Cavalcante","2136","1969","5","23","South America - Neotropics","Brazil","Pará","Maraba, Serra dos Carajas.",NA,NA,"700","700",NA,NA,"US00146126","US00146126_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae","Isotype"
"24","2020-09-12 05:00:02-03","US","US","3092286","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King",NA,"C. R. Sperling, R. S. Secco, M. A. Condon, A. L. Mesquita & et al.","5683","1982","5","15","South America - Neotropics","Brazil","Pará","Serra dos Carajas, 5 km. west of Amza camp N-5","-50.17","-6.07","700","800",NA,NA,"US01650346","US01650346_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA
"25","2020-09-12 05:00:02-03","US","US","3098842","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King",NA,"R. S. Secco, C. Sperling, M. A. Condon, A. L. Mesquita & et al.","123",NA,NA,NA,"South America - Neotropics","Brazil","Pará","Para, Maraba, Alto da Serra, aredores do N5, Solo de canga (ferro), Amazonia",NA,NA,NA,NA,NA,NA,"US01650344","US01650344_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA
"26","2020-09-12 05:00:02-03","US","US","2830978","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King",NA,"M. G. Silva & R. P. Bahia","3022","1977","4","3","South America - Neotropics","Brazil","Pará","Maraba, Serra dos Carajas, caminho para o azul, Campo pedragoso, ramos pegajamos, Arbuste de flor branen, o srrexeada [interpreted]",NA,NA,NA,NA,NA,NA,"US01650347","US01650347_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA
"27","2020-09-12 05:00:02-03","US","US","2599728","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King",NA,"P. B. Cavalcante","2136","1969","5","23","South America - Neotropics","Brazil","Pará","Maraba, Serra dos Carajas, rocha de minerio de ferro, campo pedregoso",NA,NA,"700",NA,NA,NA,"US01650345","US01650345_01",NA,NA,NA,NA,NA,NA,"1",NA,NA,"Dicotyledonae",NA
"28","2020-09-17 10:40:19-03","UEPA","MFS","007440","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Monogereion","carajensis","Monogereion carajensis","G.M. Barroso & R.M. King","Silva, CAS da","Silva, CAS da","583","2016","06","06",NA,"Brasil","Pará","Serra Sul, área de canga com solo pedregoso.","-49.851653","-6.529972","763","763",NA,"Erva de 70 cm de altura com inflorescência rósea.","MFS007440","MFS007440 MFS007440_e","Canaã dos Carajás","-49.851653","-6.529972","2016","12","12",NA,NA,NA,NA,NA
