"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","imagecode","class","order","infraspecificEpithet","typeStatus","relatedCatalogItem","fieldNumber","preparationType","dayIdentified","sex"
"11","2021-04-07 11:46:33-03","UFMS","CGMS","63546","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","M. Sobral","G. Hatschbach; M. Hatschbach; J.M. Silva","73692","2002","08","20",NA,"Brasil","Minas Gerais","Grão Mogol","Grão Mogol, arredores do aeroporto.","-42.8897018432617","-16.5594005584717","67219",NA,NA,"Fruto vermelho. Habitat: Campo Cerrado. Habito: Arbusto. 0,8 m de altura.","CGMS1096514","auto","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:36:19-03","UNICAMP","UEC","134557","S","Plantae","Magnoliopsida","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral, M","Souza, VC; Souza, JP; Romão, GO; Araújo, AO","25561","2001","07","10",NA,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada Joaquim Felício - Várzea da Palma, ca. 10km de Joaquim Felício.","-44.191389","-17.709167",NA,"960","960","Arbusto, ca. 1,5m alt.; frutos imaturos verdes. Entre rochas.; Afloramento rochoso com campo arenoso e cerrado adjacentes.",NA,NA,"2003","02","-44.191389","-17.709167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-16 17:53:53-03","UCS","HUCS","30634","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O. Berg","Sobral, M.","Hatschbach, G.","73692","2002","08","20",NA,"Brasil","Minas Gerais","Grão Mogol","Grão Mogol, arredores do aeroporto","-42.8897018432617","-16.5594005584717","67219",NA,NA,"arbusto, 80cm, fruto vermelho.; campo cerrado",NA,"auto","2002",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:36:37-03","MBM","MBM","287551","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral, M.","Souza, V.C.; et al.; et al.","25561","2001","07","10","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"MBM287551","auto",NA,NA,NA,NA,"MBM287551",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-04-20 14:26:23-03","MNHN","RECOLNAT_MNHN_P","P01902647","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica","O.Berg","Mazine-Capelo","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia: Mugy",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902647' target='other'> <mi>dwc_moreinfo</mi></a>","P01902647",NA,NA,NA,NA,NA,"P01902647_01",NA,NA,"elliptica","isotype",NA,"1391","hb",NA,NA
"16","2015-11-07 07:08:45-02","MNHN","RECOLNAT_MNHN_P","P01902644","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Saint Paul.",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902644' target='other'> <mi>dwc_moreinfo</mi></a>","P01902644",NA,NA,NA,NA,NA,"P01902644_01",NA,NA,NA,NA,NA,"C2 1207","hb",NA,NA
"17","2015-11-07 07:08:49-02","MNHN","RECOLNAT_MNHN_P","P01902645","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Saint Paul.",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902645' target='other'> <mi>dwc_moreinfo</mi></a>","P01902645",NA,NA,NA,NA,NA,"P01902645_01",NA,NA,NA,NA,NA,"C2 1207","hb",NA,NA
"18","2015-11-07 07:08:56-02","MNHN","RECOLNAT_MNHN_P","P01902646","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Saint Paul.",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902646' target='other'> <mi>dwc_moreinfo</mi></a>","P01902646",NA,NA,NA,NA,NA,"P01902646_01",NA,NA,NA,NA,NA,"C2 1207","hb",NA,NA
"19","2015-09-04 20:36:40-03","MNHN","RECOLNAT_MNHN_P","P05156604","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05156604' target='other'> <mi>dwc_moreinfo</mi></a>","P05156604",NA,NA,NA,NA,NA,"P05156604_01",NA,NA,NA,NA,NA,NA,"hb",NA,NA
"20","2015-04-20 14:26:23-03","MNHN","RECOLNAT_MNHN_P","P01902647","PreservedSpecimen",NA,NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica","O.Berg","Mazine-Capelo","Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia: Mugy",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01902647' target='other'> <mi>dwc_moreinfo</mi></a>","P01902647",NA,NA,NA,NA,NA,"P01902647_01",NA,NA,"elliptica","isotype",NA,"1391","hb",NA,NA
"21","2020-12-11 11:39:12-03","UFMG","BHCB","84457","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Souza, VC de; Souza, JP; Romão, GO; Araújo, AO","25561","2001","07","10","Southern America","Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada Joaquim Felício; Várzea da Palma, ca. 10km de Joaquim Felício. 960m.s.m. Entre rochas.","-44.191389","-17.709167",NA,NA,NA,"Arbusto, ca. 1,5m alt; frutos imaturos verdes.","BHCB010514",NA,"2003","02","-44.191389","-17.709167","BHCB010514",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:39:12-03","UFMG","BHCB","75807","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Hatschbach, G","73692",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:39:12-03","UFMG","BHCB","75806","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Hatschbach, G","73725",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2012-04-13 08:57:00-03","MO","MOBOT","2483525","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O. Berg",NA,"Roberto M. Klein|A. Bresolin","Klein 10012","1972","1","18","South America","Brazil","Santa Catarina",NA,"Palhoça. Morro do Cambirela",NA,NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:26:47-03","USP","SPF","160320","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral, M","Souza, VC","25561","2001","07","10",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.191389","-17.709167",NA,"960","960",NA,"SPF00160320",NA,"2003","02","-44.191389","-17.709167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:26:47-03","USP","SPF","60365","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Nic Lughadha, E","Harley, RM","24541","1987","02","21",NA,"Brasil","Bahia",NA,"Pico das Almas",NA,NA,NA,"1400","1400",NA,"SPF00060365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-07 09:35:20-03","UEFS","HUEFS","87431","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Riedel","1391",NA,NA,NA,NA,"Brasil","São Paulo",NA,"Mugi.",NA,NA,NA,NA,NA,NA,"HUEFS0087431",NA,NA,NA,NA,NA,NA,"Rosanae","Myrtales",NA,"Isótipo",NA,NA,NA,NA,NA
"28","2019-10-07 09:35:20-03","UEFS","HUEFS","87432","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Riedel","1391",NA,NA,NA,NA,"Brasil","São Paulo",NA,"Mugy.",NA,NA,NA,NA,NA,NA,"HUEFS0087432",NA,NA,NA,NA,NA,NA,"Rosanae","Myrtales",NA,"Isótipo",NA,NA,NA,NA,NA
"29","2019-09-04 19:15:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica",NA,NA,"L. Riedel","1391",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"elliptica","Possible type",NA,NA,NA,NA,NA
"30","2019-01-23 11:00:14-02","F","FMNH-SEEDPLANTS","V0065256F","PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica",NA,NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0065256F",NA,NA,NA,NA,NA,"V0065256F_01","Dicotyledoneae",NA,"elliptica","Isotype",NA,NA,NA,NA,NA
"31","2019-09-04 19:15:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica",NA,NA,"L. Riedel","1391",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"elliptica","Possible type",NA,NA,NA,NA,NA
"32","2019-01-23 11:00:14-02","F","FMNH-SEEDPLANTS","V0065256F","PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica",NA,NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0065256F",NA,NA,NA,NA,NA,"V0065256F_01","Dicotyledoneae",NA,"elliptica","Isotype",NA,NA,NA,NA,NA
"33","2019-12-20 18:46:41-03","UFSJ","HUFSJ","7760","S","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Sobral, M","Kollmann, L; Amorim, A; Bausen, E","2968","2000","06","01",NA,"Brasil","Espírito Santo","Santa Teresa","Pedra da Onça.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"Arbusto de 2m. Frutos verdes.","HUFSJ007760","auto","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-01 15:05:41-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Faria, JEQ","Moraes, TM","IFN_64215342.1","2018","03","22","Southern America","Brasil","Bahia","Wanderley","Faz. Cabeceirinhas","-44.166685","-12.099998",NA,"809","809","Conglomerado BA-642. Subunidade 2. Subparcela 1. indivíduo 10. F6; Árvore; dap: 5,4; ht: 5,50; base reta; casca: cinza (cor externa), amarela (cor interna), fina, áspera,; Solo argiloso, relevo plano, transição cerrado - caatinga","UB0124938",NA,"2018","10","-44.166685","-12.099998","UB0124938",NA,NA,NA,NA,NA,NA,NA,"08",NA
"35","2020-08-20 20:40:26-03","UFSC","FLOR","5610","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Legrand, C.D.","Klein, R.M.; Bresolin, A.","10012","1972","01","18",NA,"Brasil","Santa Catarina","Palhoça","Morro do Cambirela.","-48.6678009033203","-27.645299911499","31105","700","700","arvoreta, flor branca, 5m altura","FLOR0005610","auto","1976",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA,NA,NA
"36","2020-08-20 20:40:26-03","UFSC","FLOR","5503","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg","Legrand, C.D.","Klein, R.M.; Bresolin, A.","10020","1972","01","18",NA,"Brasil","Santa Catarina","Palhoça","Morro do Cambirela.","-48.6678009033203","-27.645299911499","31105","800","800","flor branca","FLOR0005503","auto","1976",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:11:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis","O.Berg",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul",NA,"in campis",NA,NA,NA,NA,NA,"Napaea; HABITAT: Napaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 17:11:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica","O.Berg",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"ad locos humidos in silvulis prope Mugy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elliptica",NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:11:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis elliptica","O.Berg",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"ad locos humidos in silvulis prope Mugy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elliptica",NA,NA,NA,NA,NA,NA
"40","2021-04-05 12:36:16-03","UNIVASF","HVASF","4388","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","cf. pantagensis","Eugenia cf. pantagensis","O.Berg","C. Proença","J.A. Siqueira Filho","2057","2009","05","26","América do Sul","Brasil","Bahia","Gentio do Ouro","Serra de Sapé.","-42.718722","-11.185388",NA,"624","624","Arbusto ca. 50cm alt. Frutos vermelhos.","HVASF004388",NA,"2012","01","-42.718722","-11.185388",NA,NA,NA,NA,NA,NA,NA,NA,"26","U"
"41","2014-09-23 10:58:55-03","G","G","G00223875","S","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis var. elliptica","O. Berg","Mazine-Capelo, F.","Riedel, L.","1391",NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=218784&base=img&lang=en","G00223875",NA,"2004","01","-53.08972222","-10.77305556","G00223875",NA,NA,"var. elliptica","ISOTYPUS of Eugenia pantagensis var. elliptica O. Berg",NA,NA,NA,"01",NA
"42","2014-09-23 10:58:55-03","G","G","G00223875","S","Plantae",NA,"Myrtaceae","Eugenia","pantagensis","Eugenia pantagensis var. elliptica","O. Berg","Mazine-Capelo, F.","Riedel, L.","1391",NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=218784&base=img&lang=en","G00223875",NA,"2004","01","-53.08972222","-10.77305556","G00223875",NA,NA,"var. elliptica","ISOTYPUS of Eugenia pantagensis var. elliptica O. Berg",NA,NA,NA,"01",NA
