"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","608017","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"C. E. O. Kuntze","1892","12",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608017","NY00608017_01","s.n.","300","300","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","601325","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","A. E. Burkart",NA,NA,NA,"E. Schwindt","1947","01","17","Argentina","Misiones","Candelaria","Santa Ana",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601325",NA,"71","216","216","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1619492","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"W. E. Broadway","1916","03","28","Trinidad and Tobago",NA,NA,"Trinidad. Punta Grande Bay.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1870007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01619492","NY01619492_01","7645",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01451014","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","R. C. Barneby",NA,NA,NA,"M. G. da Silva","1977","04","03","Brazil","Pará","Marabá","Serra dos Carajás, caminho para o Azul. Campo arredores do acampamento","-50.256163","-6.077093",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701090' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451014","NY01451014_01","3026",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 14:14:00-03","NY","NYBG","601324","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata",NA,NA,NA,NA,NA,"M. L. Gavilanes","1992","07","29","Ecuador","Manabí",NA,"Parque Nacional Machalilla. Camino de la Playa de Los Frailes hacia la playa de Las Cabuyas",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601324",NA,"958",NA,"50","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-11-01 12:10:00-02","NY","NYBG","601322","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata",NA,"W. Mantovani",NA,NA,NA,"J. de S. Silva","1974","04","09","Brazil","São Paulo","Sao Paulo","Sâo Paulo, Sâo Paulo, nativa no Jardim Botânico e Parque do Estado. Area 08","-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601322","NY00601322_01","275",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01451018","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","A. E. Burkart",NA,NA,NA,"W. A. Ducke","1943","09","14","Brazil","Amazonas",NA,"Rio Branco, São Marcos",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701233' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451018","NY01451018_01","1610",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","601320","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","L. Coradin",NA,NA,NA,"L. Coradin","1992","09","17","Brazil","Bahia",NA,"Livramento do Brumado. Estrada rio de contas - Livramento do Brumado km 9","-41.82","-13.62",NA,NA,"Cod Produto 19691; Cod do Acesso BRA-002992. Interesse Econômico Melhoramento Forrageiras <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601320","NY00601320_01","8653","490","490","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01451015","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","R. C. Barneby",NA,NA,NA,"M. G. da Silva","1977","04","03","Brazil","Pará","Marabá","Serra dos Carajás, caminho para o Azul. Campo arredores do acampamento","-50.256163","-6.077093",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1701109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451015","NY01451015_01","3026",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","601323","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","A. E. Burkart",NA,NA,NA,"E. Pereira","1963","11","13","Brazil","Paraná",NA,"Guaíra, Sete Quedas, margem do rio Paraná",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601323","NY00601323_01","7868",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","608018","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"D. O. Norris","1964","04","30","Brazil","São Paulo","Matao","Fazenda Cambuhy, 4 km from Matao","-48.36","-21.6003",NA,NA,"Extra information for D.O.Norris 235: Source of cultivated plant- wild plant at Salto de Avanhandava in poor river soil, collected for cult. on 22 May 1962. In cult. flowers in May, seeds ripen in May-June, not attacked by fungus or insects <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00608018","NY00608018_01","235",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-11-01 12:10:00-02","NY","NYBG","601317","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata",NA,"P. C. Standley",NA,NA,NA,"B. J. Pickel","1935","08","03","Brazil","Pernambuco",NA,"Tapera","-35.18","-8.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601317","NY00601317_01","4010",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","601318","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","R. S. Cowan",NA,NA,NA,"J. C. de Moraes Vasconcelos","1959","04","19","Brazil","Paraíba",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601318",NA,"2086",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-11-01 12:10:00-02","NY","NYBG","601321","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata",NA,NA,NA,NA,NA,"L. Coradin","1992","09","10","Brazil","Bahia","Brotas de Macaúbas","Proximidades cidade de Lençois; margens do Rio Sao Jose","-42.37","-12.42",NA,NA,"Cod Produto 19691; Cod do Acesso BRA-002984. Interesse Econômico Melhoramento Forrageiras <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601321","NY00601321_01","8544","800","800","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-10-21 09:28:00-02","NY","NYBG","8147","PreservedSpecimen","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora ovalifolia","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay","Amambay",NA,"pr. Caragnatay. Sierra de Amambay.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008147","NY00008147_01","3432",NA,NA,"Magnoliophyta","Fabales","South America","sheet","ovalifolia","isotype",NA,NA,NA,NA,NA,NA
"26","2016-10-21 09:25:00-02","NY","NYBG","8146","PreservedSpecimen","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora oblongifolia","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay","Concepción",NA,"In dumetis arenosis.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008146","NY00008146_01","7589",NA,NA,"Magnoliophyta","Fabales","South America","sheet","oblongifolia","syntype",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01056212","PreservedSpecimen","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora","(Willd.) Wight & Arn.","H. S. Irwin",NA,NA,NA,"G. Eiten","1962","04","05","Brazil","Maranhão","Lorêto","Ilha de Balsas region, between the Rios Balsas and Parnaíba. About 35 km south of Lorêto. Ca. 1 km. N of house at Veados. About 11 km west of main house of Faz. Morros","-45.1411018371582","-7.08444023132324",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056212","NY01056212_01","4022","250","300","Magnoliophyta","Fabales","South America","sheet",NA,NA,"79629","auto",NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02687571","PreservedSpecimen","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora","(Willd.) Wight & Arn.",NA,NA,NA,NA,"M. G. Bovini","1999","08","31","Brazil","Rio de Janeiro","Rio de Janeiro","Barragem de Saracuruna, orla da Represa.","-43.2075004577637","-22.9027996063232",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964595' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687571","NY02687571_01","1685",NA,NA,"Magnoliophyta","Fabales","South America","sheet",NA,NA,"57442","auto",NA,NA,NA,NA
"29","2021-02-18 09:29:42-03","UNESP-IBB","BOTU","28028","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"Chagas, F.N","1987","01","18","Brasil","Mato Grosso do Sul","Jateí",NA,NA,NA,"9999","9999","Planta voluvel, botão e flores lilas, fruto jovem verde","BOTU028028",NA,"1308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 09:29:42-03","UNESP-IBB","BOTU","32831","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","Vargas, W.","2017","05","03","Vargas, W.","2017","05","03","Brasil","São Paulo","Campinas","Próximo ao Instituto de Biologia, borda de mata dentro do campus",NA,NA,"9999","9999",NA,"BOTU032831",NA,"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-06-29 11:30:31-03","UFRJ","RFA","2324","PreservedSpecimen","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora","Willd. ex Wight & Arn.",NA,NA,NA,NA,NA,"1880","03","00","Brasil","Rio de Janeiro","Campos dos Goytacazes","Colégio","-41.3244018554688","-21.7541999816895",NA,NA,"Gabinete de Botânica e Zoologia. Faculdade de Medicina do Rio de Janeiro","RFA28281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62761","auto",NA,NA,NA,NA
"32","2021-04-08 17:41:40-03","EAO","IAN","11150","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"Ducke, A","1948","09","14","Brasil","Amazonas",NA,"Rio Branco. São Marcos. Ilha de mata no campo alto.",NA,NA,NA,NA,"Semiarbusto volúvel; flor roseo-lilaz.","IAN011150","IAN011150 IAN011150_e","1610",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-08 17:41:40-03","EAO","IAN","119709","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.","Lewis, GP","1984","02",NA,"Belém, RP","1965","07","22","Brasil","Bahia",NA,"Rodovia Ilhéus-Uruçuca. Plantação de cacau.",NA,NA,NA,NA,"Planta rasteira; flores roseas; frutos verdes.","IAN119709",NA,"1365",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-08 17:41:40-03","EAO","IAN","39197","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"Fennell, JL","1938","01","04","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,"IAN039197",NA,"588",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-08 17:41:40-03","EAO","IAN","81130","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.","Ducke, A","1953",NA,NA,"Andrade-Lima, D de","1953","05","14","Brasil","Amapá","Monte Alegre","C.A.N.P. Estrada da Santa Helena.",NA,NA,NA,NA,"Cipó s/pequeno arbusto; flor rosea com estrias mais escuras.","IAN081130",NA,"1588",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-08 17:41:40-03","EAO","IAN","119687","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.","Lewis, GP","1984","02",NA,"Belém, RP; Aguiar, AM","1965","07","08","Brasil","Bahia","Ilhéus","Margem do rio Cachoeira. CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,"Trepadeira. Frutos verdes. Coleção viva IRI.","IAN119687",NA,"1329",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,"61245","auto",NA,NA,NA,NA
"37","2021-04-08 17:41:40-03","EAO","IAN","104949","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.",NA,NA,NA,NA,"Ducke, A","1955","03","10","Brasil","Ceará","Fortaleza","Itapiú. Tabuleiro.","-38.543098449707","-3.71722006797791",NA,NA,"Trepadeira fina; flor roseo-lilás.","IAN104949",NA,"2436",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,"19924","auto",NA,NA,NA,NA
"38","2021-04-08 17:41:40-03","EAO","IAN","80841","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.","Ducke, A","1953",NA,NA,"Andrade-Lima, D de","1958","05","04","Brasil","Pará","Monte Alegre","C.A.N.P.","-54.0691986083984","-2.00778007507324",NA,NA,"Cipó sobre arbusto; flor rosea.","IAN080841",NA,"1304",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,"279177","auto",NA,NA,NA,NA
"39","2021-04-08 17:41:40-03","EAO","IAN","158771","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","striata","Galactia striata","(Jacq.) Urb.","Cordeiro, MR",NA,NA,NA,"Dantas, M; Sena, NA","1983","04","22","Brasil","Pará","Muaná","Rio Anabijú, margem esquerda, em frente a fazenda Espírito Santo.","-49.2167015075684","-1.52832996845245",NA,NA,"Cipó; flor amarela.","IAN158771",NA,"1086",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,"72451","auto",NA,NA,NA,NA
"40","2021-04-08 17:41:40-03","EAO","IAN","2005","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","tenuiflora","Galactia tenuiflora","Willd.",NA,NA,NA,NA,"sc",NA,NA,NA,"Índia",NA,NA,NA,NA,NA,NA,NA,NA,"IAN002005","IAN002005_f","s.n.",NA,NA,"Dicotiledônea",NA,"Asia-Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-08 17:41:40-03","EAO","IAN","2005","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","tenuiflora","Galactia tenuiflora","Willd.",NA,NA,NA,NA,"sc",NA,NA,NA,"Índia",NA,NA,NA,NA,NA,NA,NA,NA,"IAN002005","IAN002005_f","s.n.",NA,NA,"Dicotiledônea",NA,"Asia-Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2013-07-03 10:56:45-03","EBDA","BAH","433","S","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","Oliveira, E.L.P.G. de","1978","05",NA,"Oliveira, E.L.P.G. de","1978","04","13","Brasil","Bahia","Uauá","Estação de Áreas Secas - Fazenda Piloto Uauá DENOCS.","-39.4817","-9.84139",NA,NA,"IMPORT. PLANTA: Forrageira.",NA,NA,"834",NA,NA,NA,NA,NA,NA,NA,NA,"50844","auto",NA,NA,NA,NA
"43","2013-07-03 10:56:45-03","EBDA","BAH","6709","S","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora","Wight et Arn.","Oliveira, E.L.P.G. de","1986","03",NA,"Oliveira, E.L.P.G. de","1985","05","30","Brasil","Bahia","Ipirá","Margem da estrada/João Velho/Ipirá BA.","-39.7372","-12.1583",NA,NA,"Trepadeira de flor roxa, forrageira, coletada à margem da estrada.IMPORT. PLANTA: Forrageira.",NA,NA,"631","220","220",NA,NA,NA,NA,NA,NA,"44834","auto",NA,NA,NA,NA
"44","2013-07-03 10:56:45-03","EBDA","BAH","2917","S","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora","Wight et Arn.","Noblick, Paranhos, Scardino, Guedes, C. Queiroz, Paganucci, Nascimento, N. Suely, Quaglia.",NA,NA,NA,"Go. Pedra do Cavalo","1980","09",NA,"Brasil","Bahia","Cachoeira","Mata a Ne. de B. da Bananeiras - Cachoeira - BA.","-38.9558","-12.6183",NA,NA,"Trepadeira sem gavinhas; folhas trifolioladas e pilosas na face dorsal; flores esverdeadas e axilares; frutos recurvados.",NA,NA,"792",NA,NA,NA,NA,NA,NA,NA,NA,"26884","auto",NA,NA,NA,NA
"45","2013-07-03 10:56:45-03","EBDA","BAH","4586","S","Plantae","Fabaceae","Galactia","tenuiflora","Galactia tenuiflora","Wight et Arn.","Oliveira, E.L.P.G. de","1983","07",NA,"Oliveira, E.L.P.G. de","1983","07","06","Brasil","Bahia","Itaberaba","Faz. Morro de Pedra - Itaberaba - BA.","-40.3069","-12.5275",NA,NA,"Planta de flor amarela",NA,NA,"573",NA,NA,NA,NA,NA,NA,NA,NA,"39857","auto",NA,NA,NA,NA
"46","2021-03-02 16:28:55-03","CPAN-UFMS","COR","255","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata striata",NA,"Silva, R. R.","2005","08","19","Conceição, C.A.","1983","04","18","Brasil","Mato Grosso do Sul","Corumbá","Polder","-57.6533012390137","-19.0091991424561",NA,NA,"Herbáceo rasteiro ou escandente; flor amarela Habito: Herbáceo",NA,NA,"1378",NA,NA,NA,NA,NA,NA,"striata",NA,"295160","auto",NA,NA,NA,NA
"47","2020-11-26 18:08:14-03","CPAN-UFMS","COR","14762","PreservedSpecimen","Plantae","Fabaceae","Galactia","striata","Galactia striata","(Jacq.) Urb.","Silva, R.R.",NA,NA,NA,"Silva,R.R.& Velásquez, JS","2004","03","24","Brasil","Mato Grosso do Sul","Corumbá","Serra do Jacadigo, Planalto Residual do Urucum. Interior de Floresta Estacional Decidual; Solo ferruginoso.;.","-57.6533012390137","-19.0091991424561",NA,NA,"Com fruto:Frutos imaturos verdes, maduros castanhos.",NA,NA,"1058","351","351",NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA
