"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"20","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1082302","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1082302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1082302","NL-L1082302",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0055999 | Uw 13008",NA,NA,NA,NA
"21","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1133469","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1133469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1133469","NL-L1133469",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
"22","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1133470","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1133470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1133470","NL-L1133470",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
"23","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1133471","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1133471 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1133471","NL-L1133471",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
"24","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1133472","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1133472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1133472","NL-L1133472",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
"25","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1162489","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Silva AF; Pires MJ; Souza A de",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1162489 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1162489","NL-L1162489",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"26","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1162490","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Wildgren",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1162490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1162490","NL-L1162490",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"27","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.1170287","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Pires JM; Silva NT; Souza R",NA,"1963","04","16","Southern America","Brazil",NA,NA,"Campus da NNB Campo quase limpo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1170287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1170287","NL-L1170287",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"28","2020-02-08 09:05:04-03","NBC","NL-BOTANY","L.2672822","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.","Smith SF","Wasum R; et al.",NA,"1987","06","20","Southern America","Brazil","Rio Grande do Sul",NA,"RS-Caxias de SulConceicao",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2672822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2672822","NL-L2672822",NA,NA,"1987","08","01",NA,NA,NA,NA,"Magnoliopsidae","L 0005833 | 987302530",NA,NA,NA,NA
"29","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U 0056000","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200056000 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0056000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw 13008",NA,NA,NA,NA
"30","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U 0281482","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200281482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0281482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13018",NA,NA,NA,NA
"31","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746854","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1966","12","11","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Parque Nac. do Iguaçu, forest near Leu Azul in line 1.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746854","NL-U1746854",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"32","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746857","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1966","05","11","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Open forest with abundant 'taquara'(a bamboo) near Rio Tigre Preto, ca 25 km S of Marmeleiro at frontier with S. Catarina.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746857 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746857","NL-U1746857",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746858","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1966","04","28","Southern America","Brazil",NA,NA,"Flora Brasiliae Australsi. Est. Paraná. Cia. Brandaliza, ca. 30 km N of Clevelândia in Araucaria forest.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746858","NL-U1746858",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746859","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1966","05","11","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Open forest abundant bamboo near Rio Tigre Preto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746859","NL-U1746859",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746860","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1966","01","11","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746860 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746860","NL-U1746860",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0088456",NA,NA,NA,NA
"36","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746862","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1966","01","08","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Serra do Mar, rain forest on old road Curitiba Morretes, on atlantic slope above Bela Vista.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746862","NL-U1746862",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"37","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746863","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Lindeman JC; Haas JH de",NA,"1967","05","15","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Fazenda S. Domingos, 20 km S of Mamborê, forest.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746863 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746863","NL-U1746863",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"38","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746866","PreservedSpecimen","Plantae",NA,"Ericales","Symplocaceae","Symplocos","revoluta","Symplocos revoluta","(Mart.) Casar.",NA,"Pires JM; Silva NT; Souza R",NA,"1963","04","16","Southern America","Brazil",NA,NA,"Campus da NNB Campo quase limpo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746866","NL-U1746866",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-11-04 11:20:09-03","ESALQ","ESA","91921","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii",NA,NA,"Savassi-Coutinho, A.P.","870.0","1905","06","24",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,"ESA091921",NA,NA,NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:20:09-03","ESALQ","ESA","15209","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","Groppo Jr., M.","Durigan, G.",NA,"1992","05","05",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,"ESA015209","ESA015209",NA,NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:20:09-03","ESALQ","ESA","21820","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","Aranha Filho, J.L.M.","Tamashiro, J.Y. et al.","973.0","1995","05","08",NA,"Brasil","São Paulo","Pedra Bela",NA,"-46.439998626709","-22.7900009155273",NA,NA,"ESA021820","ESA021820",NA,NA,NA,NA,NA,"10848","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:20:09-03","ESALQ","ESA","104018","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii",NA,"Savassi-Coutinho, A.P.","Medeiros, D.A.","15288.0","2004","02","12",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,"ESA104018","ESA104018",NA,NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:20:09-03","ESALQ","ESA","91919","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii",NA,NA,"Savassi-Coutinho, A.P.","868.0","1905","06","24",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,"ESA091919",NA,NA,NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:20:09-03","ESALQ","ESA","91920","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii",NA,NA,"Savassi-Coutinho, A.P.","869.0","1905","06","24",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,"ESA091920",NA,NA,NA,NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 14:46:19-03","UFJF","CESJ","40183","PreservedSpecimen","Plantae","Angiosperma",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","A.S.M. Valente; J.R. Pirani","F.M. Ferreira; F.R.G. Salimena; P.H. Nobre","443","2003","04","27","América do Sul","Brasil","Minas Gerais","Lima Duarte","Hotel Serra do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Árvore ca. 15 m no interior da mata, Folhas discolores e botões verdes.","CESJ040183",NA,NA,NA,"2004","04",NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 14:46:19-03","UFJF","CESJ","38055","PreservedSpecimen","Plantae","Angiosperma",NA,"Symplocaceae","Symplocos","mosenii","Symplocos mosenii","Brand","A.S.M. Valente; J.R. Pirani","F.M. Ferreira; F.R.G. Salimena, PHNobre, A","189","2002","06","29","América do Sul","Brasil","Minas Gerais","Lima Duarte","Hotel Serra do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Árvore ca. 7 m. Flores alvas-esverdeadas aromáticas. Muito frequente no interior da mata. Coleta na trilha de acesso aos Chalés","CESJ038055",NA,NA,NA,"2004","04",NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA
