"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount"
"15","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723977","PreservedSpecimen",NA,"Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Glaziou, A.","1882","12","4","Brasil","Rio de Janeiro",NA,"BRÉSIL: Quinta. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"P01723977","P01723977_01",NA,NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723977' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"14343",NA,NA
"16","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723980","PreservedSpecimen",NA,"Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Glaziou","1887","1","23","Brasil","Rio de Janeiro","Nova Friburgo","Alto Macahe. Nova Friburgo, Rio de Janeiro, Sudeste, Brasil, América do Sul","-42.5311012268066","-22.2819004058838",NA,NA,"P01723980","P01723980_01",NA,NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723980' target='other'> <mi>dwc_moreinfo</mi></a>","33190","auto",NA,NA,NA,NA,NA,"16468",NA,NA
"17","2018-01-25 15:13:03-02","MNHN","RECOLNAT_MNHN_P","P01723979","PreservedSpecimen",NA,"Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Glaziou, A.",NA,NA,NA,"Brasil","Rio de Janeiro","Nova Friburgo","Brésil. Province de Rio Janeiro ? Alto Macahé. Nova Friburgo, Rio de Janeiro, Sudeste, Brasil, América do Sul","-42.5311012268066","-22.2819004058838",NA,NA,"P01723979","P01723979_01",NA,NA,NA,NA,NA,"hb",". s.d. Reçu le 3 novembre 1887 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723979' target='other'> <mi>dwc_moreinfo</mi></a>","33190","auto",NA,NA,NA,NA,NA,"16468",NA,NA
"18","2020-12-11 11:43:36-03","UFMG","BHCB","188110","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Machado, TM; Couto, DR; Paixão-Souza, B; Kessous, I","2014","08","26","Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão","-40.6002998352051","-19.9356002807617",NA,NA,"BHCB188110",NA,"Monocotyledon",NA,NA,"679","Southern America",NA,"Planta m cultivo no Museu de Biologia Mello Leitão, originária da Reserva SAnta Lúcia.","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:43:36-03","UFMG","BHCB","58122","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Hoehne, FC",NA,NA,NA,"Brasil","São Paulo","São Paulo","Orquidário","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Monocotyledon",NA,NA,"590","Southern America",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","3014174","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E. Morren",NA,"* LIEGE","1885",NA,NA,"Brazil",NA,NA,"Cultivated.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIEGE s.n.","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-07-21 23:34:00-03","MO","MOBOT","2454440","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E. Morren",NA,"Per Dusén",NA,NA,NA,"Brazil","Paraná",NA,"Rio do Meio",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén s.n.4","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-13 19:40:25-03","MBML","MBML-HERBARIO","26619",NA,"Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica var. zebrina","Ruschi","L. Kollmann/17-06-2008","L. Kollmann; et al","2006","05","11","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML026619","MBML026619_1 MBML026619_2 MBML026619_3",NA,NA,"var. zebrina","9110",NA,NA,"Terrestre na meia sombra. Inflorescência seca. Folhas verdes com nervuras marrons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-13 19:40:25-03","MBML","MBML-HERBARIO","908",NA,"Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica var. zebrina","Ruschi","L.Kollmann/14-11-2017","H. Q. Boudet Fernandes","1986","01","31","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML000908","MBML000908",NA,NA,"var. zebrina","1824",NA,NA,"Bromélia sobre o solo, folhas com rajadas verde escuros alternadas com verde claros, brácteas verde claras, flores amarelo esverdeadas com bordo das tépalas vináceas, semi-sombra, aromáticas (flores), mata à beira do rio Timbuí.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","1909788","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É. Morren",NA,"M. B. Foster & R. Fosteer","1939","7","28","Brazil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"US01914093","US01914093_01",NA,"Bromeliales",NA,"300","South America - Neotropics",NA,NA,"23813","auto",NA,NA,NA,"777",NA,NA,"Monocotyledonae","1"
"25","2020-07-23 12:01:04-03","CEPLAC","CEPEC","110347","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica",NA,"Sem Informação","Amorim, A. M.","2005","10","12","Brasil","Bahia","arataca","Serra do Peito-de-Moça - Serra das Lontras. Estrada Arataca-Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio. RPPN Caminho das Pedras. Trilha para o pico, após casa do Sr. Mormaço.","-39.341667","-15.173611","39W20'30","15S10'25",NA,NA,NA,NA,NA,"5303",NA,NA,NA,NA,NA,NA,NA,NA,"1000","1000",NA,NA,NA
"26","2021-03-04 15:41:58-03","IF","SPSF","33717","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica",NA,NA,"C.Urbanetz","2003","04","16","Brasil","SP","Ribeirão Grande","Parque Estadual Intervales","-48.3600006103516","-24.0900001525879",NA,NA,NA,NA,"Magnoliophyta","Bromeliales",NA,"24","América do Sul",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta ombrofila densa montana&nf;;","25028","auto",NA,NA,NA,NA,NA,NA,"Liliopsida",NA
"27","2021-03-04 15:41:58-03","IF","SPSF","11844","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren","A.F.Costa","G.A.D.C. Franco & A.Custodio Filho","1988","02","04","Brasil","SP","Salesópolis","Reserva Florestal, Guaratuba","-45.8400001525879","-23.5300006866455",NA,NA,NA,NA,"Magnoliophyta","Bromeliales",NA,"443","América do Sul",NA,"COLETA: XLS: SPSFAntigo;","18032","auto","1998","09","03",NA,NA,NA,"Liliopsida",NA
"28","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Glaziou, AFM",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae orientalis prov. Rio de Janeiro ad Alto Macahé prope Novo Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14343","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","(Carrière) E.Morren",NA,"Glaziou, AFM",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae orientalis prov. Rio de Janeiro ad Alto Macahé prope Novo Friburgo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16468","Southern America",NA,"Floret Decembri, Januario. (V. s. in her. Berol., Leod., Warming.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:02:51-03","IBt","SP","32134","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Lamber, J","1934","10","26","Brasil","São Paulo",NA,"Ramal Mayrink a Santos. Serviço de Prophylaxia da Estrada de Ferro Sorocabana.",NA,NA,NA,NA,"SP053673","SP053673",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 10:02:51-03","IBt","SP","258362a","Extra","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Wanderley, MGL; Kirizawa, M; Gomes da Silva, SJ","1992","08","26","Brasil","São Paulo","Ribeirão Grande","Fazenda Intervales, Barra Grande.","-48.3600006103516","-24.0900001525879",NA,NA,"SP053675","SP053675",NA,NA,NA,"2008",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:02:51-03","IBt","SP","258362","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Wanderley, MGL; Kirizawa, M; Gomes da Silva, SJ","1992","08","26","Brasil","São Paulo","Ribeirão Grande","Fazenda Intervales, Barra Grande.","-48.3600006103516","-24.0900001525879",NA,NA,"SP053674","SP053674",NA,NA,NA,"2008",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:02:51-03","IBt","SP","309213","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren","Wanderley, MGL","Wanderley, MGL; et al.","1997","05","07","Brasil","São Paulo","Ribeirão Grande","Parque Estadual de Intervales, Trilha para a Cachoeira da Água Comprida.","-48.3600006103516","-24.0900001525879",NA,NA,"SP053676","SP053676",NA,NA,NA,"2194",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:02:51-03","IBt","SP","309213a","Extra","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren","Wanderley, MGL","Wanderley, MGL; et al.","1997","05","07","Brasil","São Paulo","Ribeirão Grande","Parque Estadual de Intervales, Trilha para a Cachoeira da Água Comprida.","-48.3600006103516","-24.0900001525879",NA,NA,"SP053677","SP053677",NA,NA,NA,"2194",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:02:51-03","IBt","SP","309213b","Extra","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren","Wanderley, MGL","Wanderley, MGL; et al.","1997","05","07","Brasil","São Paulo","Ribeirão Grande","Parque Estadual de Intervales, Trilha para a Cachoeira da Água Comprida.","-48.3600006103516","-24.0900001525879",NA,NA,"SP053678","SP053678",NA,NA,NA,"2194",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:02:51-03","IBt","SP","309213c","Extra","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren","Wanderley, MGL","Wanderley, MGL; et al.","1997","05","07","Brasil","São Paulo","Ribeirão Grande","Parque Estadual de Intervales, Trilha para a Cachoeira da Água Comprida.","-48.3600006103516","-24.0900001525879",NA,NA,"SP053679","SP053679",NA,NA,NA,"2194",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:02:51-03","IBt","SP","245162","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Franco, GADC; Custodio Filho, A","1988","02","04","Brasil","São Paulo","Salesópolis","Casa Grande, Reserva Florestal, Guaratuba","-45.8400001525879","-23.5300006866455",NA,NA,"SP053680","SP053680",NA,NA,NA,"443",NA,NA,NA,"18032","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:02:51-03","IBt","SP","245162a","Extra","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Franco, GADC; Custodio Filho, A","1988","02","04","Brasil","São Paulo","Salesópolis","Casa Grande, Reserva Florestal, Guaratuba","-45.8400001525879","-23.5300006866455",NA,NA,"SP053681","SP053681",NA,NA,NA,"443",NA,NA,NA,"18032","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:02:51-03","IBt","SP","9477","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Hoehne, FC","1934","01","12","Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"SP053672","SP053672",NA,NA,NA,"s.n.",NA,NA,NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:02:51-03","IBt","SP","102976","S","Plantae","Bromeliaceae","Vriesea","hieroglyphica","Vriesea hieroglyphica","É.Morren",NA,"Mattos, JR; Mattos, NF","1966","12","27","Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, via férrea São Paulo-Santos","-46.5299987792969","-23.6599998474121",NA,NA,"SP053682","SP053682",NA,NA,NA,"s.n.",NA,NA,"Numa picada, no chão, planta robusta","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA
