"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"12","2015-07-02 14:01:20-03","JBP","HPL","5169","S","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) Hovel","R. Tsuji","H. Lorenzi","5541","2005","08","25",NA,"Brasil","MG","Alto Caparaó","Coletada na estrada de terra, trilha, que da acesso ao Pico da Bandeira em mata de altitude, comum.","-41.8683","-20.4333",NA,NA,NA,NA,NA,NA,"21645","auto","2005","08","25",NA,NA
"13","2020-12-20 21:16:31-03","UFV","VIC","3325","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K. Schum.) Hövel","Zappi, D.C.","Castro, J. de","s.n.","1941","07","10",NA,"Brasil","Minas Gerais","Caparaó","Rancho da Casa Queimada, Altitude de 2200 metros.","-41.9043998718262","-20.523099899292",NA,NA,NA,"Planta epífita em sombra. Cipó com flor roxa de 3,0 cm.","VIC003325","VIC003325","15056","auto","2004","07","20",NA,NA
"14","2019-11-21 14:33:08-03","UFJF","CESJ","14173","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","D.C. Zappi","L. Krieger","CESJ14173","1976","07","07","América do Sul","Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,NA,NA,NA,"Sobre humus, mais ou menos elíptica. Caule um pouco prostado, cerca de 20cm, quase roliço com espinhos moles. Flores vermelhas. Frequente.","CESJ014173","CESJ014173",NA,NA,"1989",NA,NA,NA,NA
"15","2019-11-21 14:33:08-03","UFJF","CESJ","15161","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","L. Krieger; D.C. Zappi","L. Krieger","CESJ15161","1977","09","29","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,NA,NA,NA,"Saxícola, geralmente ao pé de árvores, ramos um tanto pendentes. Flores vermelho lilacíneo. Frequente na região.","CESJ015161","CESJ015161",NA,NA,"1989",NA,NA,NA,NA
"16","2019-11-21 14:33:08-03","UFJF","CESJ","24031","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel",NA,"L. Krieger","CESJ24031","1989","04","30","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó, Terreirão, Cachoeira.",NA,NA,NA,NA,NA,"Na mata ciliar, flor cor de rosa.","CESJ024031","CESJ024031",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:27:18-03","UNICAMP","UEC","132039","S","Plantae","Magnoliopsida",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) P.V.Heath","Zappi, DC","Souza, VC; Leoni, BS; Souza, JP; Mazine, FF","12168","1996","09","02",NA,"Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Caminho entre Tronqueira e o Pico da Bandeira.","-41.807611","-20.431667","2890","2890",NA,"Planta pendente em rochas. Flores rosa-forte.; campo de altitude.","UEC090795","UEC090795",NA,NA,"2003",NA,NA,"-41.807611","-20.431667"
"18","2021-03-01 16:27:18-03","UNICAMP","UEC","164847","S","Plantae","Magnoliopsida",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) P.V.Heath","Gonzaga, DR","Meireles, LD; Nunes, JA; Neto, JOC; Cordeiro, TR","3307","2007","08","31",NA,"Brazil","Minas Gerais","Passa Quatro","Serra Fina, caminho para Cupim","-44.815167","-22.41775","2463","2463",NA,"Epífita com flores róseas; Mata Nebular","UEC028270",NA,NA,NA,"2015","09","14","-44.815167","-22.41775"
"19","2019-09-27 18:04:10-03","UFES","VIES","35479","S","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","W.C. Cardoso","Manhães, V.C.; Carrijo, T.T. & Garbin, M.L.","413","2013","09","19",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó.","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"VIES035479","VIES035479","21645","auto","2015","10","12",NA,NA
"20","2020-12-21 16:19:48-03","MBM","MBM","10459","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","Cardoso, W.C.","Haas, H.","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM010459","MBM010459",NA,NA,"2019","08","22",NA,NA
"21","2020-12-11 11:34:16-03","UFMG","BHCB","135988","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel",NA,"Heringer, G; Machado, TM; Reis, SB","326","2010","03","09","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale Verde., Pico da Bandeira","-41.801972","-20.42825","2638","2638",NA,"Fruto vináceo esverdeado.; Rupícola","BHCB024560",NA,NA,NA,"2015","05","13","-41.801972","-20.42825"
"22","2020-12-11 11:34:16-03","UFMG","BHCB","136097","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel",NA,"Heringer, G; Machado, TM; Reis, SB","435","2010","03","09","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale Verde., Pico da Bandeira.","-41.801972","-20.42825","2638","2638",NA,"Botões roxos; Rupícola","BHCB024558",NA,NA,NA,"2015","05","13","-41.801972","-20.42825"
"23","2021-03-04 11:04:47-03","UFRB","HURB","12228","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","L.Y.S.Aona","Leoni, L.S.","2040","1993","01","02",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional;","-41.8683013916016","-20.4333000183105","2400","2400",NA,NA,"HURB000012228","HURB000012228","21645","auto","2015","11",NA,NA,NA
"24","2019-11-13 11:17:25-03","USP","SPF","63520","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","microsphaerica","Schlumbergera microsphaerica","(K.Schum.) Hoevel","Taylor, NP","Krieger, L","15161","1977","09","29",NA,"Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,NA,NA,NA,NA,"SPF00063520",NA,NA,NA,"1993","11",NA,NA,NA
"25","2021-03-25 13:51:53-03","UNIVILLE","JOI","3886","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","obtusangula","Schlumbergera obtusangula","(K.Schum.) D.R.Hunt","F.C.S. Vieira","F.C.S. Vieira","1326","2005","09","07",NA,"Brasil","Santa Catarina","Garuva","Morro do Campo Alegre.","-48.8549995422363","-26.0266990661621","1200","1200",NA,"; HABITAT: gruta; HABITO: epífita, terrestre; TIPO VEGETACIONAL: floresta altomontana","JOI003886","JOI003886","22441","auto","2007","03","30",NA,NA
"26","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Cereus","microsphaericus","Cereus microsphaericus","K.Schum.",NA,"Glaziou, AFM","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Habitat in sabulosis; HABITAT: Habitat in sabulosis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Cereus","obtusangulus","Cereus obtusangulus","K.Schum.",NA,"Glaziou, AFM","Hb. Havnies.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"In Brasiliae habitat probabiliter provincia Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Cactaceae","Cereus","parvulus","Cereus parvulus","K.Schum.",NA,"Glaziou, AFM","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"In sabulosis; HABITAT: In sabulosis",NA,NA,NA,NA,NA,NA,NA,NA,NA
