"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"22","2021-03-15 16:37:00-03","NY","NYBG","485065","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","D. R. Hunt","1966","07","17","Brazil","Santa Catarina","Ilhota","Morro Báu","-48.930795","-26.801033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485065","NY00485065_01","6342",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","485061","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","B. L. Andersson","D. R. Hunt","1966","07","17","Brazil","Santa Catarina","Ilhota","Morro Báu","-48.930795","-26.801033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485061","NY00485061_01","6342",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","485130","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio",NA,"G. Eiten","1961","05","20","Brazil","São Paulo","Caraguatatuba","At station of Reserva Florestal, 3 1/2 km. NNW of CARAGUATATUBA, at base of Serra do Mar","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485130","NY00485130_01","2821",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","485131","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio",NA,"G. Eiten","1961","05","20","Brazil","São Paulo","Caraguatatuba","At station of Reserva Florestal, 3 1/2 km. NNW of CARAGUATATUBA, at base of Serra do Mar","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485131","NY00485131_01","2821",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","485132","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","W. J. Kress","R. A. Wasum","1989","12","02","Brazil","Santa Catarina",NA,"Serra do Faxinal - estrada Itaimbezinho",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485132","NY00485132_01","s.n.",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","485127","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio",NA,"G. Eiten","1960","07","18","Brazil","São Paulo","Sao Paulo","About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.","-46.63","-23.5403",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485127","NY00485127_01","2175",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","777733","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","M. Borgo","M. Borgo","1999","11","29","Brazil","Paraná","Antonina","Estrada para Limeira","-48.72","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777733","NY00777733_01","549",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","02636698","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","A. Mascarenhas","P. Fiaschi","2004","09","04","Brazil","Bahia","Valença","Estrada Valença/Guaibim, ca 2Km, entrada a esq., 8Km ramo vicinal a esq. RPPN Água Branca.","-39.0903","-15.3289",NA,NA,"220","220","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475329' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636698","NY02636698_01","2519",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","485129","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","L. Emygdio de Mello Filho","G. Eiten","1961","05","20","Brazil","São Paulo","Caraguatatuba","At station of Reserva Florestal, 3 1/2 km. NNW of CARAGUATATUBA, at base of Serra do Mar","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485129","NY00485129_01","2821",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02636699","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","A. Mascarenhas","P. Fiaschi","2004","09","04","Brazil","Bahia","Valença","Estrada Valença/Guaibim, ca 2Km, entrada a esq., 8Km ramo vicinal a esq. RPPN Água Branca.","-39.0903","-15.3289",NA,NA,"220","220","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3384544' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636699","NY02636699_01","2519",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","485128","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio",NA,"G. Eiten","1961","05","20","Brazil","São Paulo","Caraguatatuba","At station of Reserva Florestal, 3 1/2 km. NNW of CARAGUATATUBA, at base of Serra do Mar","-45.4097","-23.6203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485128","NY00485128_01","2821",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","485126","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","L. Emygdio de Mello Filho","G. Eiten","1960","07","18","Brazil","São Paulo","Sao Paulo","About 10 km due north of center of São Paulo (Praça da Sé). Serra da Cantareira, near top.","-46.63","-23.5403",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485126","NY00485126_01","2175",NA,NA,NA,NA,NA,"Magnoliophyta","Zingiberales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 11:09:32-03","UNESP-IBB","BOTU","16493","PreservedSpecimen","Plantae","Musaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Nunes Coffani, J.V.","Carmello, S.M.","1987","10","04","Brasil","São Paulo","Itanhaem",NA,"-46.783333","-24.166667","46°47'w","24°10's",NA,NA,NA,"BOTU016493",NA,"7","2009","04","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-18 09:30:12-03","UNESP-IBB","BOTU","7827","PreservedSpecimen","Plantae","Musaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Nunes Coffani, J.V.","Gelli, R.C.A.P.","1980","09","26","Brasil","São Paulo","Peruíbe",NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU007827",NA,"14","2009","04","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-18 09:30:12-03","UNESP-IBB","BOTU","2377","PreservedSpecimen","Plantae","Musaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Nunes Coffani, J.V.","Rubio, C.R.","1973","09","03","Brasil","São Paulo","Peruíbe",NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU002377",NA,"53-K","2009","04","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:30:48-03","UFRJ","RFA","29520","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","J.M.A.Braga","F.B.Pereira","2001","11","16","Brasil","Rio de Janeiro","Rio Claro","Distrito de Lídice, Sítio do Mineiro, Fazenda dos Torres","-44.165833","-22.800833","44º9'57''W","22º48'3''S","694","694","Subarbustiva, flor vermelha, folha verde, abundante no local","RFA31344",NA,"3","2006","04","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:19:58-03","UFRJ","RFA","38273","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","L. F. R. da Silva","W. P. Leite; R. C. Lopes; U. D. R. Costa; L. F. R. da Silva; I. S. M. Jaffar; E. M. Aragão","2011","10","23","Brasil","Rio de Janeiro","Paty do Alferes","Alameda Palmares, Nascente","-43.433056","-22.444167","43º25'59''W","22º26'39''S",NA,NA,"Erva, Ca. 2,2 m, semi-heliófila. Bráctea vermelha; Cálice amarelo; Corola branca. Foi coletada em barranco, indivíduo único no local. Havia coleópodes (joaninhas) no interior da bráctea","RFA53361",NA,"5","2011","09","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-06-29 11:30:48-03","UFRJ","RFA","31275","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","J.M.A.Braga","M.Araújo; C.M.Vieira, M.A.Louzada, J.C.Gomes","2002",NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Parcela P4, Ind.: 183","-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,NA,"RFA31328",NA,"4",NA,NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-01-20 14:40:31-03","UPM","MACK","322","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio","R. J. F. Garcia","R.F. Almeida","2008","02","15","Brasil","SP","São Paulo","Parque Independência","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,"85","2008","09",NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-12 15:31:44-03","UFABC","HUFABC","000646","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","farinosa","Heliconia farinosa","Raddi","Ivanauskas, N","Amaral, BC; Teixeira-Costa, L","2014","07",NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717222","-23.566667","-46.717222","-23.566667",NA,NA,NA,"HUFABC000646","HUFABC000646","10",NA,NA,NA,NA,NA,"Angiospermas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-04 15:26:29-03","PUCPR","HUCP","12443","S","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio.","Borgo, M","Borgo, M","1999","11","29","Brasil","Paraná","Antonina","Estrada para Limeira","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"Nº 40189.",NA,NA,"549",NA,NA,NA,"38300","auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 15:26:29-03","PUCPR","HUCP","19824","S","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio.","Selusniaki, M","Selusniaki, M",NA,NA,NA,"Brasil","Santa Catarina","São Francisco do Sul",NA,"-48.6380996704102","-26.2432994842529",NA,NA,NA,NA,NA,"HUCP00004775","HUCP00004775","1012",NA,NA,NA,"23627","auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-27 11:22:07-03","PUCPR","HUCP","23798","S","Plantae","Heliconiaceae","Heliconia","velloziana","Heliconia velloziana","Emygdio.","Kersten, RA","Hekavey, C","2012","09","22","Brasil","Paraná","Paranaguá","Serra da Prata","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"HUCP00014743","HUCP00014743_1 HUCP00014743_2","122",NA,NA,NA,"24916","auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-02-08 21:33:40-03","UFBA","ALCB","11262","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","brasiliensis","Heliconia brasiliensis","Hook.f.",NA,"s.col.",NA,NA,NA,"Brasil",NA,NA,"De quase todo Brasil inter-tropical",NA,NA,NA,NA,NA,NA,NA,"ALCB016004","ALCB016004","PHs/n",NA,NA,NA,NA,NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 10:37:51-03","NBC","NL-BOTANY","L.3812872","PreservedSpecimen","Plantae","Musaceae","Heliconia","brasiliensis","Heliconia brasiliensis","Hook.f.",NA,"Pedersen TM","1994","02","16","Brazil",NA,NA,"Plantae Brasilienses. C. 15 km W of Bela Vista. Mun. Bela Vista. Mato Grosso do Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3812872 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3812872","NL-L3812872",NA,NA,NA,NA,NA,NA,NA,"Zingiberales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
