"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","individualCount"
"20","2016-09-29 21:40:00-03","NY","NYBG","00918427","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans",NA,NA,"L. Riedel","391","1824","08",NA,"South America","Brazil","Minas Gerais",NA,"Brasilia, prov. Minas Geraës, Serra da Itacolumi.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918427","NY00918427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00749995","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","H. S. Irwin","28064","1970","03","22","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Ca. 20 km E. of Diamantina","-43.5197222","-18.18055","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749995","NY00749995_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","538063","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","R. Reitz","8713","1959","03","21","South America","Brazil","Santa Catarina",NA,"Pinhal da Companhia, Lauro Müller-Urussanga",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538063","NY00538063_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","538058","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","G. G. Hatschbach","43650","1981","03","06","South America","Brazil","Paraná","Palmeira","Rio das Pombas","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538058","NY00538058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02423604","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez",NA,"M. L. Brotto","771","2011","10","12","South America","Brazil","Paraná","Curitiba","Bairro Uberaba","-49.220947","-25.475458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669370' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423604","NY02423604_01","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02099150","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","P. L. R. de Moraes","A. M. Amorim","656","1992","08","25","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 Km na estrada Serra Grande/Itacaré. Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65383' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099150","NY02099150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01405296","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","W. R. Anderson","8804","1973","04","13","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, By Rio Jequití, 2 km from Mendanha","-43.55","-18.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488762' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405296","NY01405296_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","538055","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","J. G. Rohwer","L. R. Landrum","3939","1981","12","02","South America","Brazil","Paraná","Palmeira","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Grossa","-49.83","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538055","NY00538055_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01405270","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","H. H. van der Werff","W. R. Anderson","8357","1973","04","09","South America","Brazil","Minas Gerais",NA,"25 km by road NE of Diamantina, 2 km W of Rio Jequití. Serra do Espinhaço.","-43.43284","-18.09029","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405270","NY01405270_01","790","790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","26509","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez",NA,"Kozera, C.","110","1996","03","26",NA,"Brasil","Paraná","Curitiba",NA,NA,NA,NA,"Árvore 6m, flores alvas e frutos.","BOTU026509",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","26208","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez",NA,"Cervi, A.C.","3070","1990","04","03",NA,"Brasil","Paraná","Curitiba",NA,NA,NA,NA,"Árvore 15m, flores esverdeadas.","BOTU026208",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","24960","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez",NA,"Cavalheiro, A.L.",NA,"1998","08","21",NA,"Brasil","Paraná","São Jerônimo da Serra",NA,NA,NA,NA,"Árvore 13m, início de frutificação cor verde.","BOTU024960",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-06-29 11:31:02-03","UFRJ","RFA","39566","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","Alexandre Quinet","Finotti R.; Caruzo J.","80",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal cujo o entorno é ocupado por várias pequenas propriedades, antigo assentamento do INCRA","-42.845833","-22.577222",NA,"Árvore de 5 metros de altura e PAP de 24,4 cm.","RFA24547",NA,"50","50","42º50'45''W","22º34'38''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-19 15:44:14-03","UNEB","HUNEB","6348","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez",NA,"Carvalho, A.M.de","7031","2001","08","17",NA,"Brasil","Bahia","Macarani","Rod. Para Vila das Graças 27,7 Km E, ca. 4,4 km de Vila das Graças.","-40.413889","-15.771944",NA,"Campos de Altitude sobre solo arenoso e Floresta de Encosta.","HUNEB0006348",NA,"560","600","40W24'50''","15S46'19''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-19 15:44:14-03","UNEB","HUNEB","10487","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","P.Moraes","Guedes, M.L.","ALCB 73720","2006","06","17",NA,"Brasil","Bahia","Miguel Calmon","Piemonte da Chapada.","-40.518611","-11.372222",NA,NA,"HUNEB0010487",NA,NA,NA,"40W31'7''","11S22'20''","Dicotyledoneae","2010","05",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-19 15:44:14-03","UNEB","HUNEB","4099","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez",NA,"Guedes, M.L.","7502","2000","05","11",NA,"Brasil","Bahia","Jandaíra","Fazenda Rio Fundo.","-37.731111","-11.595",NA,"Mata ombrófila densa, em avançado estágio de regeneração. Substrato areno-argiloso. -167","HUNEB0004099",NA,NA,NA,"37W43'52''","11S35'42''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:39:22-03","EAO","IAN","186879","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","Vieira, AO","Mendonça, LB","9","2003","10","01","Southern America","Brasil","Paraná","Telêmaco Borba","Parque Ecológico Klabin.","-50.583333","-24.333333",NA,"Árvore 5-6 m ,frutos verdes ,sem odor perceptível ,frutos consumidos por aves (Tityra cayana).","IAN186879",NA,NA,NA,"-50.583333","-24.333333",NA,"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-04 15:26:06-03","PUCPR","HUCP","17964","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Ribas, OS; Cordeiro, J","Selusniaki, M; Moledo, R","518","2005","07","15",NA,"Brasil","Paraná","Curitiba","Bacacheri","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00013026","HUCP00013026",NA,NA,NA,NA,NA,"2007","05","10","25180","auto",NA,NA,NA,NA,NA
"38","2019-12-04 15:26:06-03","PUCPR","HUCP","19166","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Bizarro, J","Beltrami, L","s.n.","2007","10","17",NA,"Brasil","Paraná","Curitiba","Jardim Botânico, Capão da Educação Física.","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012805","HUCP00012805",NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"39","2019-12-04 15:26:06-03","PUCPR","HUCP","23428","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Brotto, M","Brotto, M","1792","2014","09","15",NA,"Brasil","Paraná","Mandirituba",NA,"-49.326099395752","-25.7789001464844",NA,NA,"HUCP00012953","HUCP00012953",NA,NA,NA,NA,NA,NA,NA,NA,"20385","auto",NA,NA,NA,NA,NA
"40","2019-12-04 15:26:06-03","PUCPR","HUCP","23287","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Brotto, M","Silva, JM; Motta, JT","8637","2014","10","07",NA,"Brasil","Paraná","Piraquara","Caminho Trentino","-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00012790","HUCP00012790",NA,NA,NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"41","2019-12-04 15:26:06-03","PUCPR","HUCP","23647","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Brotto, M","Dunaiski, A","655","1998","07","28",NA,"Brasil","Paraná","Agudos do Sul",NA,"-49.3353004455566","-25.9925003051758",NA,NA,"HUCP00012803","HUCP00012803",NA,NA,NA,NA,NA,NA,NA,NA,"16165","auto",NA,NA,NA,NA,NA
"42","2019-12-04 15:26:06-03","PUCPR","HUCP","21430","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez",NA,"Ribas, OS; Silva, JM","7028","2006","10","26",NA,"Brasil","Paraná","Bocaiúva do Sul","Colônia João XXIII","-49.1150016784668","-25.2061004638672",NA,NA,"HUCP00012984","HUCP00012984",NA,NA,NA,NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA
"43","2019-12-04 15:26:06-03","PUCPR","HUCP","19939","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Brotto, M","Brotto, M","077","2008","03","15",NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012758","HUCP00012758",NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"44","2019-12-04 15:26:06-03","PUCPR","HUCP","23549","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Brotto, M","Dunaiski, A","191","1992","03","20",NA,"Brasil","Paraná","Curitiba","Boa Vista","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012794","HUCP00012794",NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"45","2019-12-04 15:26:06-03","PUCPR","HUCP","18652","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez","Selusniaki, M","Selusniaki, M","1459","2007","11",NA,NA,"Brasil","Paraná","Curitiba","Bosque Boa Vista","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00012753","HUCP00012753",NA,NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"46","2019-12-04 15:26:06-03","PUCPR","HUCP","19293","S","Plantae","Magnoliidae",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees.) Mez",NA,"Bolson, M","183","2008","03","02",NA,"Brasil","Paraná","São Pedro do Iguaçu",NA,"-53.8553009033203","-24.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24343","auto",NA,NA,NA,NA,NA
"47","2020-08-11 00:16:04-03","UFBA","ALCB","039407","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","nutans","Ocotea nutans","(Nees) Mez","Werff, H van der; Moraes, PLR de","Stannard, B; Giulietti, AM; Woodgyer, EM; Guedes, ML; Harley, RM","PCD2665","1996","03","30","Southern America","Brasil","Bahia","Itaitu","Piemonte da Diamantina, Cachoeira de Itaitu","-40.503056","-11.334444",NA,"7,0 m. Folhas discolores, face adaxial verde-escura. Frutos imaturos verdes. Raro.; Solo pedregoso.","ALCB003414","ALCB003414","610","610","-40.503056","-11.334444",NA,"2009","09","02",NA,NA,NA,NA,NA,NA,NA
