"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class"
"11","2021-04-08 17:44:51-03","EAO","IAN","9484","PreservedSpecimen","Plantae","Bromeliaceae","Aregelia","laevis","Aregelia laevis","Mez",NA,NA,NA,NA,"Strauss","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN009484","Monocotiledônea",NA,NA,NA,NA,"Southern America",NA,"IAN009484_f",NA,NA,NA,NA
"12","2021-01-14 15:25:53-03","MN","R","219399","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.","Kessous, I.M.","2016","06","24","Moura, R. 1021; Gomes-da-Silva, J.; Neves, B.F.S; Pinto, A.P. & Nogueira, L.G.",NA,"2011","10","19","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,"R010005615",NA,NA,"37574",NA,"auto",NA,NA,"R010005615",NA,NA,NA,NA
"13","2021-01-14 15:25:53-03","MN","R","193180","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.","Smith, L.B.","1957",NA,NA,"Smith, L.B. 7264; Klein, R.M.",NA,"1956","11","03","Brasil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6618995666504","-26.9078006744385",NA,NA,NA,"R010006218",NA,NA,"27253",NA,"auto",NA,NA,NA,"5","5",NA,NA
"14","2016-02-02 14:37:51-02","BGBM","B","B 10 0243649","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","Mez",NA,NA,NA,NA,"F. Müller",NA,NA,NA,NA,"Brazil",NA,NA,"Staat Santa Catharina, bei Blumenau.",NA,NA,NA,NA,"1/3; I <a href=http://herbarium.bgbm.org/object/B100243649 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243649",NA,NA,NA,NA,NA,"Middle and South America",NA,"B100243649",NA,NA,"type",NA
"15","2016-02-02 14:37:51-02","BGBM","B","B 10 0243650","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","Mez",NA,NA,NA,NA,"F. Müller",NA,NA,NA,NA,"Brazil",NA,NA,"Staat Santa Catharina, bei Blumenau.",NA,NA,NA,NA,"3/3; II <a href=http://herbarium.bgbm.org/object/B100243650 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243650",NA,NA,NA,NA,NA,"Middle and South America",NA,"B100243650",NA,NA,"type",NA
"16","2016-02-02 14:37:51-02","BGBM","B","B 10 0243651","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","Mez",NA,NA,NA,NA,"F. Müller",NA,NA,NA,NA,"Brazil",NA,NA,"Staat Santa Catharina, bei Blumenau.",NA,NA,NA,NA,"2/3; III <a href=http://herbarium.bgbm.org/object/B100243651 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243651",NA,NA,NA,NA,NA,"Middle and South America",NA,"B100243651",NA,NA,"type",NA
"17","2021-03-01 16:19:02-03","UNICAMP","UEC","67854","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Wanderley, MDGL","2007","10",NA,"Gardolinski, PC; et al.","29841","1993","11","11","Brazil","São Paulo","Ubatuba","Puruba","-44.966667","-23.35","-44.966667","-23.35","Epífita. Folhas internas brancas em sua maior extenção. Brácteas verdes. Flores branco-arroxeadas.; Mata de encosta.","UEC075912","Liliopsida",NA,NA,NA,NA,NA,NA,"UEC075912",NA,NA,NA,NA
"18","2019-08-20 09:59:13-03","UNICAMP","UEC","74462","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.",NA,NA,NA,NA,"Gardolinski, PC","29904","1993","11","17","Brazil","Rio de Janeiro","Angra dos Reis","Fazenda São Lourenço, Trilha da margem da cachoeira.","-44.647222","-23.044167","-44.647222","-23.044167","Epífita. Brácteas da inflorescência verdes e pétalas brancas.","UEC075907","Liliopsida",NA,NA,NA,NA,NA,NA,"UEC075907",NA,NA,NA,NA
"19","2019-08-20 09:59:13-03","UNICAMP","UEC","138302","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Breier, TB","2004","09",NA,"Breier, TB; Singer, RB","282","2002","03","23","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcela permanente, cobre ávore número 113526","-47.9199981689453","-25.0100002288818",NA,NA,NA,"UEC075903","Liliopsida",NA,"37574",NA,"auto",NA,NA,"UEC075903",NA,NA,NA,NA
"20","2021-03-01 16:19:02-03","UNICAMP","UEC","138301","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.",NA,NA,NA,NA,"Breier, TB; Andrade, MAR","132","2002","05","24","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, trilha do reservatório","-47.9199981689453","-25.0100002288818",NA,NA,"Árvore caída","UEC075905","Liliopsida",NA,"37574",NA,"auto",NA,NA,"UEC075905",NA,NA,NA,NA
"21","2021-03-01 16:19:02-03","UNICAMP","UEC","138300","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Breier, TB","2004","09",NA,"Breier, TB; Breier, ACB","751","2002","12","08","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, trilha Morro das Almas","-47.9199981689453","-25.0100002288818",NA,NA,"Vegetando no solo","UEC075906","Liliopsida",NA,"37574",NA,"auto",NA,NA,"UEC075906",NA,NA,NA,NA
"22","2020-01-28 15:52:45-03","UNICAMP","UEC","140244","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Breier, TB","2004","09",NA,"Breier, TB","185a","2002","06","20","Brazil","São Paulo","Cananéia","Parque Estadual Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,"UEC075908","Liliopsida",NA,"37574",NA,"auto",NA,NA,"UEC075908",NA,NA,NA,NA
"23","2021-03-01 16:19:02-03","UNICAMP","UEC","56527","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Wanderley, MDGL","2007","10",NA,"Araújo, AC; Fiacher, EA","24331","1991","04","28","Brazil","São Paulo","Iguape","Estação Ecológica de Juréia","-47.5499992370605","-24.7000007629395",NA,NA,"Bromélia epífita. Flores com pétalas brancas.; Ocorre próxima ao Mangone.","UEC075909","Liliopsida",NA,"55628",NA,"auto",NA,NA,"UEC075909",NA,NA,NA,NA
"24","2020-10-14 10:00:04-03","FURB","FURB","33257","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Moura, R","2011","10","04","Korte, A.; Gasper, A.L. de","5179","2010","11","29","Brasil","Santa Catarina","São Francisco do Sul","Parque Estadual do Acaraí - Praia do Ervino.","-48.5633333","-26.3497222","-48.5633333","-26.3497222","Florística IFFSC 8010 (Erva Terrícola) Habitat: Restinga; Estágio Avançado Habito: erva terrícola; flor branca e verde","FURB01124",NA,NA,NA,NA,NA,NA,NA,"FURB01124","5","5",NA,NA
"25","2020-10-14 10:00:04-03","FURB","FURB","46037","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Funez, L.A.","2015","01",NA,"Funez, L.A.","3413","2015","01","05","Brasil","Santa Catarina","Navegantes","Gravatá, instalações do Condomínio Praia de Gravatá.","-48.6383333","-26.8311111","-48.6383333","-26.8311111",NA,"FURB19561",NA,NA,NA,NA,NA,NA,NA,"FURB19561","6","6",NA,NA
"26","2020-12-21 16:19:25-03","MBM","MBM","8875","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Smith, L.B.",NA,NA,NA,"Hatschbach, G.","20276","1968","11","12","Brazil","Paraná","Campina Grande do Sul","Serra Virgem Maria","-49.0553016662598","-25.3055992126465",NA,NA,"Epífita.","MBM008875",NA,NA,"55154",NA,"auto","Southern America",NA,"MBM008875",NA,NA,NA,NA
"27","2020-12-21 16:19:25-03","MBM","MBM","34021","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Smith, L.B.",NA,NA,NA,"Hatschbach, G.","11099","1962","11","10","Brazil","Paraná","Guaratuba","Rio da Divisa","-48.5746994018555","-25.8827991485596",NA,NA,"Epífita.","MBM034021",NA,NA,"41937",NA,"auto","Southern America",NA,"MBM034021",NA,NA,NA,NA
"28","2020-12-21 16:19:25-03","MBM","MBM","67738","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Smith, L.B.",NA,NA,NA,"Hatschbach, G.","42530","1979","10","26","Brazil","Paraná","Paranaguá","Colônia São José","-48.5092010498047","-25.5200004577637",NA,NA,"Epífita.","MBM067738",NA,NA,"24916",NA,"auto","Southern America",NA,"MBM067738",NA,NA,NA,NA
"29","2020-12-21 16:19:25-03","MBM","MBM","219565","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Leme, E.M.C.",NA,NA,NA,"Silva, J.M.; Mieko, L.; Mieko, L.","2198","1997","11","11","Brazil","Paraná","Tunas do Paraná","Colônia João XXIII","-49.0858001708984","-24.9743995666504",NA,NA,NA,"MBM219565",NA,NA,"41885",NA,"auto","Southern America",NA,"MBM219565",NA,NA,NA,NA
"30","2021-02-11 17:18:23-03","UFPR","UPCB","59577","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith","Sampaio, L.K.A.","2007","01","01","Morokawa, R.","84","2006","10","22","Brasil","Paraná","Guaratuba","Pico Pirai","-48.978611","-25.95","-48.978611","-25.95","Epífita, ca. 1 m do solo em tronco caído, inflorescência ereta, sépala branca esverdeada, pétala branca com linha longitudinal verde, bráctea floral e primária esverdeada de base branca, bráctea do escapo branca, folha de ápice vermelho e bainha roxa..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-11 17:18:23-03","UFPR","UPCB","53062","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith","Morokawa, R.","2006","01","01","Morokawa, R.","38","2005","04","05","Brasil","Paraná","Matinhos","Parque Estadual Rio da Onça","-48.5428009033203","-25.8174991607666",NA,NA,"Epífita, 30cm do solo, folhas com base roxa, pintal vermelhas e ápice vermelho..",NA,NA,NA,"15275",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"32","2021-02-11 17:18:23-03","UFPR","UPCB","53063","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith","Morokawa, R.","2006","01","01","Morokawa, R.","46","2005","11","13","Brasil","Paraná","Matinhos","Parque Estadual Rio da Onça","-48.5428009033203","-25.8174991607666",NA,NA,"Epífita 80cm do solo, folhas verdes com ápice vermelho e pintas vermelhas na superfície superior, sépalas róseas, pétalas brancas com nervura central esverdeada..",NA,NA,NA,"15275",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"33","2021-02-11 17:18:23-03","UFPR","UPCB","53064","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith","Morokawa, R.","2006","01","01","Morokawa, R.","17","2004","11","25","Brasil","Paraná","Matinhos","Parque Estadual Rio da Onça","-48.5428009033203","-25.8174991607666",NA,NA,"Flores brancas, encontrada sob um galho caído no chão, local pouco iluminado..",NA,NA,NA,"15275",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"34","2021-02-11 17:18:23-03","UFPR","UPCB","40591","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith","Tardivo, R.C.","2000","03",NA,"Gatti, A.L.S.","357","2000","03","09","Brasil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Floresta Primária","-48.3288993835449","-25.3066997528076",NA,NA,"Epífita a 8m sobre o forófito 646 (cód. 646-5), flores alvas. Floresta ombrófila densa submontana, floresta primária pouco alterada..",NA,NA,NA,"37295",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"35","2018-06-22 05:25:00-03","MO","MOBOT","2453260","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.",NA,NA,NA,NA,"Lyman B. Smith|Pe. Raulino Reitz","Smith 5733","1952","2","21","Brazil","Paraná",NA,"Guaratuba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"36","2011-03-02 13:20:00-03","MO","MOBOT","3015698","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.",NA,NA,NA,NA,"Heinrich C. Strauss","Strauss s.n.","1913",NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","3015758","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.","G. Hatschbach",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 20276","1968",NA,NA,"Brazil","Paraná",NA,"Campina Grande Sul. Serra Virgem Maria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"38","2008-05-27 22:02:00-03","MO","MOBOT","3015817","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.","L.B. Smith",NA,NA,NA,"Per Dusén","Dusén 15519","1914",NA,NA,"Brazil","Paraná",NA,"Tacarelij, in silvula ad terram arenosam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"39","2020-06-15 15:29:40-03","UNESP-RC","HRCB","11195","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Moreira, B. O.","1997","08",NA,"Furlan, A.","957","1989","11","12","Brasil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,NA,"Epífita. Brácteas brancas no centro. Flores branco-arroeadas",NA,NA,NA,"34265",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-06-15 15:29:40-03","UNESP-RC","HRCB","11076","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Moreira, B. O.","1997","08",NA,"Ribeiro, J.E.L.S.","724","1989","10","08","Brasil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,NA,"Epífita. Flores brancas visitadas por mamangavas.",NA,NA,NA,"34265",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-06-10 10:10:27-03","FZB-BH","BHZB","11795","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis",NA,NA,NA,NA,NA,"Swerts, M.","58","2016","11","07","Brasil","MG","Belo Horizonte","FZBBH / SBA - Coleção de Mata Atlântica e Florestas Tropicas CVJBFZB 198","-43.937801361084","-19.9207992553711",NA,NA,"Planta com folhas verdes com maculas roxas e base vinácea. Inflorescência interna.. Planta coletada originalmente no município de Morretes #?# Paraná. Unicata",NA,NA,NA,"17082",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","2561490","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.",NA,NA,NA,NA,"G. Hatschbach","20276","1968","11","12","Brazil","Paraná",NA,"Mun. Campina Grande Sul. Serra Virgem Maria.",NA,NA,NA,NA,NA,NA,NA,"Bromeliales",NA,"1",NA,"South America",NA,NA,NA,NA,NA,"Monocotyledonae"
"43","2020-09-12 05:00:02-03","US","US","2173818","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.",NA,NA,NA,NA,"L. Smith & R. Reitz","6090","1952","3","6","Brazil","Santa Catarina",NA,"Mun. Itajaí: Beach and low dense forest, Praia Braba.","-48.6","-26.97",NA,NA,NA,NA,NA,"Bromeliales",NA,"1",NA,"South America",NA,NA,"3",NA,NA,"Monocotyledonae"
"44","2020-09-12 05:00:02-03","US","US","1954487","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.",NA,NA,NA,NA,"-- Reitz","2294",NA,NA,NA,"Brazil","Santa Catarina",NA,"Praia Braba - Itajâ.",NA,NA,NA,NA,NA,NA,NA,"Bromeliales",NA,"1",NA,"South America",NA,NA,"5",NA,NA,"Monocotyledonae"
"45","2020-09-12 05:00:02-03","US","US","2946949","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B. Sm.",NA,NA,NA,NA,"G. Hatschbach","42530","1979","10","26","Brazil","Paraná",NA,"S. José (mun. Paranaguá).",NA,NA,NA,NA,NA,NA,NA,"Bromeliales",NA,"1",NA,"South America",NA,NA,"10",NA,NA,"Monocotyledonae"
"46","2021-03-25 13:51:52-03","UNIVILLE","JOI","7135","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","E. Barbosa & J. Cordeiro","2008","02","29","C.M. Raimundo","41","2008","01","24","Brasil","Santa Catarina","Araquari","BR-280.","-48.7221984863281","-26.3700008392334",NA,NA,"; HABITAT: biôntico, restinga; HABITO: Epífita","JOI007135",NA,NA,"25329",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"47","2019-09-04 18:33:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis",NA,NA,NA,NA,NA,"H. C. Strauss",NA,"1913","6","5","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"Type [status unknown]","Monocotyledoneae"
"48","2019-07-09 12:55:32-03","F","FMNH-SEEDPLANTS","V0404139F","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis",NA,NA,NA,NA,NA,"P. Dusén","15519","1914","9","13","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0404139F","Spermatophyta",NA,NA,NA,NA,"South America",NA,"V0404139F_01",NA,NA,NA,"Monocotyledoneae"
"49","2019-11-13 16:04:34-03","UNISANTA","HUSC","1414","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Wanderley, M.G.L.","1999","04","19","Martins, S.E.; Rotundo, M.; Pin, D.J.","302","1998","10","13","Brasil","São Paulo","Bertioga","Fazenda da Família Pinto","-46.138599395752","-23.8544006347656",NA,NA,"Epífita, Pétalas alvas, estames alvos; Restinga paludosa alta",NA,"Magnoliophyta",NA,"37616",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"50","2021-03-04 15:41:58-03","IF","SPSF","38303","PreservedSpecimen","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","T.B.Breier","2004","09","30","T.B.Breier & R.B.Singer","185A","2003","11","17","Brasil","SP","Cananéia","Parque Estadual da Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,"GEOGRAFIA: parcelas permanentes.;",NA,"Magnoliophyta","Bromeliales","37574",NA,"auto","América do Sul",NA,NA,NA,NA,NA,"Liliopsida"
"51","2021-02-08 12:50:44-03","UFRGS","ICN","190906","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith.","Waechter, JL","2012","11","23","Mariath, JEA","s.n.","2011","09","20","Brasil","PR","Morretes","Estrada da Graciosa (Rodovia PR-410)","-48.834400177002","-25.476900100708",NA,NA,NA,"ICN00030066","Monocotyledon",NA,"30514",NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA
"52","2021-02-08 12:50:44-03","UFRGS","ICN","190907","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Smith.","Waechter, JL","2012","11","23","Mariath, JEA","s.n.","2011","09","20","Brasil","PR","Morretes","Estrada da Graciosa (Rodovia PR-410)","-48.834400177002","-25.476900100708",NA,NA,NA,"ICN00030067","Monocotyledon",NA,"30514",NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA
"53","2019-11-21 10:02:40-03","IBt","SP","277167","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.","Araújo, CC","2013","12","03","Gardolinski, PC; et al.","29841","1993","11","11","Brasil","São Paulo","Ubatuba","Puruba.","-44.966667","-23.35","-44.966667","-23.35",NA,"SP051946",NA,NA,NA,NA,NA,NA,NA,"SP051946",NA,NA,NA,NA
"54","2019-11-21 10:02:40-03","IBt","SP","351228","S","Plantae","Bromeliaceae","Neoregelia","laevis","Neoregelia laevis","(Mez) L.B.Sm.",NA,NA,NA,NA,"Martinelli, G; et al.","15781","1999","10","01","Brasil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.931694","-24.082667","-47.931694","-24.082667",NA,"SP051938",NA,NA,NA,NA,NA,NA,NA,"SP051938","700","933",NA,NA
