"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","locality","occurrenceRemarks","infraspecificEpithet","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"11","2021-04-05 14:33:41-03","UNESC","CRI","3912","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","M. L. D. R. Souza",NA,NA,NA,"J. A. Jarenkow; R. M. Bueno","1988","12","27","Brasil","Rio Grande do Sul","Cambará do Sul","-50.145","-29.048333","50º8'42''W","29º2'54''S","846","846","CRI004374","CRI004374","1152","Itaimbézinho.","Habitat: borda de mata Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:31-03","UNESC","CRI","11519","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens robusta","Wurdack","A. A. de Oliveira","2010","04","12","S. Dreveck; F.E. Carneiro","2009","11","25","Brasil","Santa Catarina","Joinville","-48.87","-26.37","48º52'12''W","26º22'12''S","12","12","CRI004377","CRI004377","1302","Próximo a BR - 101.","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arvoreta","robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:31-03","UNESC","CRI","3091","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Daniel de Barcellos Falkenberg",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","1994","04","13","Brasil","Santa Catarina","Içara","-49.3","-28.7","49º18'W","28º42'S","5","5","CRI004372","CRI004372","15","Esplanada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:41-03","UNESC","CRI","8427","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Vanilde Citadini- Zanette",NA,NA,NA,"Mainara F. Cascaes","2007","12","10","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","CRI004337","CRI004337",NA,"Parque Ecológico Municipal de Maracajá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:31-03","UNESC","CRI","13542","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Renato Colares","2018","05","25","Renato Colares; Thuany Machado","2018","04",NA,"Brasil","Santa Catarina","Siderópolis","-49.455","-28.596389","49º27'18''W","28º35'47''S","96","96","CRI012149",NA,NA,NA,"Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:31-03","UNESC","CRI","14241","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens robusta","Wurdack","Oliveira, AA de","2009","11","17","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","11","17","Brasil","Santa Catarina","Brusque","-48.869722","-27.005556","48º52'11''W","27º0'20''S","45","45","CRI013320","CRI013320","1197","Barracão. Barracão.","Florística IFFSC 639 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; comum no interior do fragmento Habito: arvoreta; flor botões florais","robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:31-03","UNESC","CRI","8503","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","A. L. de Gasper",NA,NA,NA,"M. Verdi; B. Burkhardt & G. Klemz","2008","12","13","Brasil",NA,"Brasil","-50.895","-27.990278","50º53'42''W","27º59'25''S","875","875","CRI004336","CRI004336","1199","Fazenda Gateados.","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:31-03","UNESC","CRI","8740","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","R. Goldenberg","2008","09","01","A.L. de Gasper; S. Dreveck & E. Brogni","2008","04","30","Brasil","Santa Catarina","Bom Retiro","-49.489444","-27.797778","49º29'22''W","27º47'52''S","1015","1015","CRI004338","CRI004338","1730",NA,"Floresta Ombrófila Mista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:31-03","UNESC","CRI","13197","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,"Oliveira, A. A.","2017","08","31","Schwirkowski, P.","2015","12","13","Brasil","Santa Catarina","São Bento do Sul","-49.214722","-26.294722","49º12'53''W","26º17'41''S","1050","1050","CRI011832",NA,"1393","Minas de caulin. Minas de caulin.",NA,"cinerascens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:25:31-03","UNESC","CRI","7894","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Vanilde Citadini- Zanette","2008","04","20","Marciel Bonfi Fernandes","2007","10","21","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9","CRI004378","CRI004378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:31-03","UNESC","CRI","4170","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","M. L. D. R. Souza","1995","11","29","Valdemar P. Boff","1995","11","29","Brasil","Santa Catarina","Jacinto Machado","-49.76","-29","49º45'36''W","29º0'0''S",NA,NA,"CRI014238","CRI014238",NA,NA,"Botões e flores amarelos. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:33:41-03","UNESC","CRI","8790","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Vanilde C. Zanette","2001","11","01","Andressa; Maristela Giasse & Vanilde Citadini Zanette","2001","11","01","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI004335","CRI004335",NA,"Santo André.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:25:31-03","UNESC","CRI","12094","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens robusta","Wurdack","Oliveira, AA de","2009","12","09","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","11","20","Brasil","Santa Catarina","Itajaí","-48.780278","-26.999722","48º46'49''W","26º59'59''S","72","72","CRI010272","CRI010272","1258","Brilhante.","Florística IFFSC 640 (Escandente) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arvoreta; flor botão floral","robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:31-03","UNESC","CRI","12442","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Renato Colares & Aline V. Guislon","2017","07","18","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI010649",NA,NA,"Barra.","Coleta 103. Habito: Arbóreo",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:25:31-03","UNESC","CRI","13377","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","Renato Colares","2018","03","06","Vanilde Citadini Zanett","2018","03","06","Brasil","Santa Catarina","Criciúma","-49.369701385498","-28.6774997711182",NA,NA,NA,NA,"CRI011984",NA,NA,NA,"Habitat: Terrestre Habito: Arbustivo",NA,"18248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","521409","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.",NA,NA,NA,NA,"P. von Luetzelburg","1910",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","-43.212076","-22.951842",NA,NA,NA,NA,"NY00521409","NY00521409_01","91","Corcovado. Feuchte Granitfelsen","Zugegangen 1911 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426384' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","03271171","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY03271171",NA,"7027",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3585618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","521938","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,NA,NA,NA,NA,"F. C. Hoehne","1919","03","17","Brazil","São Paulo","Sao Paulo","-46.724373","-23.565521",NA,NA,NA,NA,"NY00521938","NY00521938_01","3079","Butantan","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589717' target='other'> <mi>dwc_moreinfo</mi></a>","cinerascens",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","522437","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","R. Goldenberg",NA,NA,NA,"G. Jönsson","1914","10","14","Brazil","Paraná","Pinhais","-49.157618","-25.419851",NA,NA,NA,NA,"NY00522437","NY00522437_01","1139a","Pinhaes","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527710' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01318317","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","2010","01","24","Brazil","Rio de Janeiro","Petrópolis","-43.093611","-22.462222",NA,NA,"1050","1050","NY01318317","NY01318317_01","764","Parque Nacional da Serra dos Órgãos, começo da trilha para Pico do Alicate","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305649' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","521378","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens robusta","Wurdack","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","1967","12","28","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"1100","1100","NY00521378","NY00521378_01","18189","Sitio do Belizario","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304489' target='other'> <mi>dwc_moreinfo</mi></a>","robusta",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","521414","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","B. Rambo",NA,NA,NA,"B. Rambo","1947","11","10","Brazil","Rio Grande do Sul","Bom Jesus","-50.388347","-28.558459",NA,NA,NA,NA,"NY00521414","NY00521414_01","34686","Fazenda B. Velho","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426377' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","521393","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","M. Sobral",NA,NA,NA,"M. Sobral","1983","06","03","Brazil","Rio Grande do Sul","Torres","-49.7267","-29.3356",NA,NA,NA,NA,"NY00521393","NY00521393_01","2114","Torres","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426349' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01318269","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","2010","01","24","Brazil","Rio de Janeiro","Petrópolis","-43.093611","-22.462222",NA,NA,"1050","1050","NY01318269","NY01318269_01","765","Parque Nacional da Serra dos Órgãos, ca. 15m antes da portaria.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305650' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","521397","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,"G. G. Hatschbach",NA,NA,NA,"J. M. Silva","1995","12","15","Brazil","Paraná","Piraquara","-49.0631","-25.4419",NA,NA,NA,NA,"NY00521397","NY00521397_01","1580","Serra Piramirim","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132061' target='other'> <mi>dwc_moreinfo</mi></a>","cinerascens",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","3271174","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.",NA,NA,NA,NA,"J. Fernández Casas","1982","12","12","Paraguay","Caaguazú",NA,NA,NA,NA,NA,"310","310","NY03271174",NA,"7420","cerca de Yhú, en las proximidades del arroyo Yhú","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3585634' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","521387","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,"J. J. Wurdack",NA,NA,NA,"R. M. Klein","1962","12","07","Brazil","Santa Catarina","Caçador","-51.0147","-26.7756",NA,NA,"800","800","NY00521387","NY00521387_01","3430","Rio do Bugre","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132056' target='other'> <mi>dwc_moreinfo</mi></a>","cinerascens",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"38","2016-09-27 03:20:00-03","NY","NYBG","521463","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens",NA,"C. L. Cristóbal",NA,NA,NA,"S. G. Tressens","1993","11","24","Argentina","Misiones","Guaraní",NA,NA,NA,NA,NA,NA,"NY00521463","NY00521463_01","4681","Predio Guarani, Ruta 15","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426351' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","02064151","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","2010","05","20","Brazil","São Paulo",NA,NA,NA,NA,NA,"1200",NA,"NY02064151","NY02064151_01","778","Extrema, Floresta de altitude.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2419781' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02210511","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.",NA,NA,NA,NA,"J. Meirelles","2011","12","16","Brazil","Rio Grande do Sul","Caixas do Sul",NA,NA,NA,NA,NA,NA,"NY02210511","NY02210511_01","805","Estrada de terra para Gramado.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2502877' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","521386","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.",NA,NA,NA,NA,"C. Farney","1985","05","23","Brazil","Rio de Janeiro","Niterói","-43.1036","-22.8833",NA,NA,"250","350","NY00521386","NY00521386_01","730","Limite de Niteroi-Marica, Pico Alto Moirao, mata de Encosta","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426383' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","685418","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","2005","10","17","Brazil","Paraná","Tunas do Paraná","-49.0856","-24.9744",NA,NA,NA,NA,"NY00685418","NY00685418_01","730","Estrada Tunas - Parque das Lauráceas","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894822' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","521935","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,NA,NA,NA,NA,"G. G. Hatschbach","1977","12","26","Brazil","Paraná","Piraquara","-49.154222","-25.448472",NA,NA,NA,NA,"NY00521935","NY00521935_01","41108","Guarituba","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589714' target='other'> <mi>dwc_moreinfo</mi></a>","cinerascens",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","521415","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens","Miq.","C. Hansen",NA,NA,NA,"T. M. Pedersen","1975","02","05","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,NA,NA,"NY00521415","NY00521415_01","10972","Palmeirinha","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","521376","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens robusta","Wurdack","G. G. Hatschbach",NA,NA,NA,"L. R. Landrum","1977","11","13","Brazil","Santa Catarina","Itajaí","-48.77","-27",NA,NA,"30","30","NY00521376","NY00521376_01","2499","Cunhas","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304492' target='other'> <mi>dwc_moreinfo</mi></a>","robusta",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","685416","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens robusta","Wurdack","R. Goldenberg",NA,NA,NA,"R. Goldenberg","2005","10","21","Brazil","São Paulo","Pariquera-Açu","-47.88","-24.71",NA,NA,NA,NA,"NY00685416","NY00685416_01","782","Estação Experimental do IAC","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894818' target='other'> <mi>dwc_moreinfo</mi></a>","robusta",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"47","2021-03-15 16:37:00-03","NY","NYBG","521403","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cinerascens","Miconia cinerascens cinerascens",NA,"J. J. Wurdack",NA,NA,NA,"R. M. Klein","1962","12","11","Brazil","Santa Catarina","Mafra","-49.8053","-26.1117",NA,NA,"750","750","NY00521403","NY00521403_01","3786a","Campo Novo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132058' target='other'> <mi>dwc_moreinfo</mi></a>","cinerascens",NA,NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
