"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","class","order","individualCount"
"11","2015-09-27 20:01:11-03","MNHN","RECOLNAT_MNHN_P","P00703359","PreservedSpecimen",NA,NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque",NA,NA,NA,"Hatschbach, G.",NA,"1972","8","6",NA,"Brésil",NA,NA,"Serra do Cipo (mun. Jaboticatuba), Minas geraes",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00703359' target='other'> <mi>dwc_moreinfo</mi></a>","P00703359","P00703359_01",NA,NA,NA,"29951","hb",NA,NA,NA
"12","2021-01-29 17:16:15-03","UFMG","BHCB","50744","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) N.Roque",NA,NA,NA,"Roque, N; Hervêncio, P; Araújo, AC; Vitta, FA","345","1997","09","23","Southern America","Brasil","Minas Gerais","Serra do Cipó","Santana do Riacho, Alto Palácio, campo arenoso ao lado e atrás da casa do IBAMA",NA,NA,NA,NA,NA,NA,"Erva com escapo vináceo, folhas com algumas nervuras vináceas. Brácteas involucrais verde-vináceas, corola alva, estigma das flores radiais vináceo, papus estramíneo.; Campo arenoso","BHCB000074","BHCB000074 BHCB000074_01",NA,NA,"Isotypus",NA,NA,NA,NA,NA
"13","2021-01-29 17:16:15-03","UFMG","BHCB","67185","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) N.Roque",NA,"2017","03","Mota, RC da","987","2000","10","09","Southern America","Brasil","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"Erva; Campo rupestre","BHCB010410",NA,"11966","auto",NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","3684748","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini)",NA,NA,NA,"G. Hatschbach, R. Spichiger, A. C. Cervi & E. L. Barbosa","69497","1999","10","22","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cabral, proximo de Armazem da Laje (Mun. Joaquim Felicio)",NA,NA,NA,NA,"1000","1100",NA,"US01622221","US01622221_01",NA,NA,NA,NA,NA,"Dicotyledonae","Asterales","1"
"15","2020-09-12 05:00:02-03","US","US","3371714","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini)",NA,NA,NA,"N. Roque & P. Hervencio","472","1998","9","29","South America - Neotropics","Brazil","Minas Gerais",NA,"Santana do Riacho, Serra do Cipo, Estrada Delo Horizonte-Conceicao do Mato Dentro, Alto do Palacio (27 km da Ponte do Rio Cipo)",NA,NA,NA,NA,NA,NA,NA,"US01209082","US01209082_01",NA,NA,NA,NA,NA,"Dicotyledonae","Asterales","1"
"16","2019-11-13 11:16:33-03","USP","SPF","183774","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","2009","01","Saavedra, MM","553","2007","11","18",NA,"Brasil","Minas Gerais","Botumirim",NA,"-42.991667","-16.895","-42.991667","-16.895","785","785",NA,"SPF00183774",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-13 11:16:33-03","USP","SPF","183775","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","2009","01","Saavedra, MM","575","2007","11","20",NA,"Brasil","Minas Gerais","Botumirim","Serra da Canastra","-43.043333","-16.8525","-43.043333","-16.8525","1323","1323",NA,"SPF00183775",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-13 11:16:33-03","USP","SPF","121961","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","1999",NA,"Roque, N","319","1997","06","24",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"SPF00121961",NA,"26557","auto",NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:16:33-03","USP","SPF","124109","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","1999",NA,"Roque, N","345","1997","09","23",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"SPF00124109",NA,"26557","auto",NA,NA,NA,NA,NA,NA
"20","2019-11-13 11:16:33-03","USP","SPF","133234","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","1999",NA,"Roque, N","472","1998","09","29",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"SPF00133234",NA,"26557","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-13 11:16:33-03","USP","SPF","66690","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","Roque, N","1999",NA,"Müller, C","CFSC11714","1973","01","04",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,"SPF00066690",NA,"26557","auto",NA,NA,NA,NA,NA,NA
"22","2019-10-07 09:11:58-03","UEFS","HUEFS","15166","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Richterago","hatschbachii","Richterago hatschbachii","(Zardini) Roque","N.Roque","2003","07","Salgado, O.A.","196","1981","11","06",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.55","-19.25","43W33'","19S15'","1200","1200",NA,"HUEFS0015166",NA,NA,NA,NA,NA,NA,"Asteranae","Asterales",NA
