"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","year","month","day","imagecode","scientificNameAuthorship","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","minimumElevationInMeters","individualCount","county","relatedCatalogItem","sex"
"11","2021-02-02 15:19:00-03","MO","MOBOT","101248211","PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Lectotype","Richard Spruce","Spruce 1949","South America","Brazil","Amazonas","R. Negro, Barcelos & San Isabel, above Barraroa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mart. & Eichler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"12","2020-08-31 08:54:28-03","INPA","INPA","207248","S","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"Lima, D de A.L.","76","Southern America","Brasil","Amazonas","Rio Aiuanã, Margem esquerda.",NA,NA,NA,"INPA0207248","Dicotyledon Asterids","Ericales","Carvalho, TCR de","2000","08","15","INPA0207248 INPA0207248_1 INPA0207248_e INPA0207248_e1","(Mart. & Eichler) Eyma","-64","-0.466667","2016","09","14","-64","-0.466667",NA,NA,NA,NA,"Santa Isabel do Rio Negro",NA,NA
"13","2020-09-12 05:00:02-03","US","US","2917221","PreservedSpecimen","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia",NA,"K. Kubitzki, C. E. Calderón & H.-H. Poppendieck","79-111","South America - Neotropics","Brazil","Amazonas","Rio Negro, Temedauí, right river bank 2 hours below Tapuruquara.",NA,NA,NA,"US02704918",NA,"Ebenales",NA,"1979","9","4","US02704918_01","(Mart. & Eichler ex Miq.) Eyma",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"14","2019-09-04 17:26:05-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Isotype","R. Spruce","1949","South America","Brazil","Amazonas","between Barcellos and San Isabel, Rio Negro",NA,NA,NA,NA,"Spermatophyta",NA,NA,"1851","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"15","2019-09-04 17:26:05-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Isotype","R. Spruce","1949","South America","Brazil","Amazonas","between Barcellos and San Isabel, Rio Negro",NA,NA,NA,NA,"Spermatophyta",NA,NA,"1851","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"16","2019-09-04 17:26:05-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Isotype","R. Spruce","1949","South America","Brazil","Amazonas","between Barcellos and San Isabel, Rio Negro",NA,NA,NA,NA,"Spermatophyta",NA,NA,"1851","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"17","2019-01-23 10:57:07-02","F","FMNH-SEEDPLANTS","V0072123F","PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Isotype","R. Spruce","1949","South America","Brazil","Amazonas","between Barcellos and San Isabel, Rio Negro",NA,NA,NA,"V0072123F","Spermatophyta",NA,"L. A. T. Radlkofer","1851","12",NA,"V0072123F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"18","2019-01-23 10:57:07-02","F","FMNH-SEEDPLANTS","V0072124F","PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Isotype","R. Spruce","1949","South America","Brazil","Amazonas","between Barcellos and San Isabel, Rio Negro",NA,NA,NA,"V0072124F","Spermatophyta",NA,NA,"1851","12",NA,"V0072124F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"19","2020-07-23 12:22:27-03","CEPLAC","CEPEC","7109","PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia",NA,"T. S. dos Santos","1869",NA,"Brasil","Bahia","Vale do Rio Pardo.",NA,NA,NA,NA,NA,NA,"T. S. dos Santos","1971","08","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ITAIMBÉ","30/12/1971",NA
"20","2015-02-26 09:30:29-03","NHMLondon","NHM-LONDON-BOT","BM000952580","S","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia","Isotype","Richard Spruce; b.1817; d.1893; Spruce","1949",NA,"Brasil",NA,NA,NA,"NHMUK:ecatalogue:605081",NA,NA,NA,NA,NA,"1851","12",NA,NA,"(Mart. & Eichler) Eyma","-53.08982","-10.773109",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA
"21","2015-02-26 09:30:29-03","NHMLondon","NHM-LONDON-BOT","BM000952581","S","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia","Isotype","Richard Spruce; b.1817; d.1893; Spruce","1949",NA,"Brasil",NA,NA,NA,"NHMUK:ecatalogue:605082",NA,NA,NA,NA,NA,"1851","12",NA,NA,"(Mart. & Eichler) Eyma","-53.08982","-10.773109",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA
"22","2015-02-26 09:30:29-03","NHMLondon","NHM-LONDON-BOT","BM000952582","S","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia","Isotype","Richard Spruce; b.1817; d.1893; Spruce","1949",NA,"Brasil",NA,NA,NA,"NHMUK:ecatalogue:605083",NA,NA,NA,NA,NA,"1851","12",NA,NA,"(Mart. & Eichler) Eyma","-53.08982","-10.773109",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:14:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia",NA,"Spruce, R","1949","Southern America","Brazil","Amazonas","Crescit ad fluvium Rio Negro inter Barcellos et S. Izabel prov. do Alto Amazonas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P07P0N0047","Mart. & Eichler ex Miq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2010-08-16 16:42:32-03","GH","HU-HERB","GH 00075605","PreservedSpecimen","Plantae","Sapotaceae","Passaveria","lancifolia","Passaveria lancifolia","Isotype","R. Spruce","1949","South America","Brazil",NA,"Secus Rio Negro, inter Barcellos et San Isabel","Sheet",NA,NA,NA,NA,NA,NA,"1851","12",NA,NA,"Martius & Eichler",NA,NA,NA,NA,NA,NA,NA,NA,"1949",NA,NA,NA,NA,"undetermined"
"25","2014-09-23 10:59:40-03","G","G","G00439195","S","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia","ISOTYPUS of Passaveria lancifolia Mart. & Eichler","Spruce, R.","1949","AMERIQUE DU SUD","Brazil","Amazonas",NA,NA,NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00439195",NA,NA,"?","1851",NA,"00",NA,"(Mart. & Eichler) Eyma","-62.93083333","-0.98333333",NA,NA,NA,"-62.93083333","-0.98333333",NA,NA,NA,NA,"Barcelos",NA,NA
"26","2014-09-23 10:59:40-03","G","G","G00439196","S","Plantae","Sapotaceae","Ecclinusa","lancifolia","Ecclinusa lancifolia","ISOTYPUS of Passaveria lancifolia Mart. & Eichler","Spruce, R.","1949","AMERIQUE DU SUD","Brazil","Amazonas",NA,NA,NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00439196",NA,NA,"?","1851",NA,"00",NA,"(Mart. & Eichler) Eyma","-62.93083333","-0.98333333",NA,NA,NA,"-62.93083333","-0.98333333",NA,NA,NA,NA,"Barcelos",NA,NA
