"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"11","2008-05-27 22:02:00-03","MO","MOBOT","2905829","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L. Kawas.",NA,"Maria L. Kawasaki","Kawasaki 400","1989",NA,NA,"South America","Brazil","Espírito Santo","Linhares. Reserva Florestal da Companhia Vale do Rio Doce (CVRD). Estrada do Carneiro, antiga 243-A4, lado direito.",NA,NA,NA,NA,"M.L. Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-25 10:13:11-03","CVRD","CVRD","4517","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"Farias, G.L.","622","1993","07","21","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Carneiro","CVRD004517",NA,"Domingos A. Folli","Linhares","-40.0722007751465","-19.3910999298096","1993","07","25","48094","auto",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"13","2021-02-25 10:13:11-03","CVRD","CVRD","1034","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.","PARATYPUS","Folli, D.A.","444","1983","04","26","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Carneiro","CVRD001034","CVRD001034","Maria Lúcia Kawasaki","Linhares","-40.0722007751465","-19.3910999298096","1992","07","20","48094","auto",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"14","2021-02-25 10:13:11-03","CVRD","CVRD","6843","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"Folli, D.A.","3900","2001","04","18","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Carneiro","CVRD006843","CVRD006843","Domingos A. Folli","Linhares","-40.0722007751465","-19.3910999298096","2001","04","18","48094","auto",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"15","2021-02-25 10:13:11-03","CVRD","CVRD","8322","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.",NA,"Folli, D.A.","4611","2003","09","25","América do Sul","BRASIL","ES",NA,NA,"<ll>dwc_commonname:</ll> Carneiro","CVRD008322","CVRD008322","Domingos A. Folli","Linhares","-40.0722007751465","-19.3910999298096","2003","09","25","48094","auto",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"16","2021-02-25 10:13:11-03","CVRD","CVRD","8","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M.L.Kawas.","HOLOTYPUS","Folli, D.A.","8","1978","06","09","América do Sul","BRASIL","ES","Talhão 408. 200m após o Bloco 2-38-I",NA,"<ll>dwc_commonname:</ll> Carneiro","CVRD000008","CVRD000008","Maria Lúcia Kawasaki","Linhares","-40.0722007751465","-19.3910999298096","1992","07","20","48094","auto",NA,NA,"Magnoliopsida",NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3313907","PreservedSpecimen","Plantae",NA,"Polygalales","Vochysiaceae","Erisma","arietinum","Erisma arietinum","M. L. Kawas.",NA,"M. L. Kawasaki, D. Folli & A. L. Peixoto","400","1989","12","12","South America - Neotropics","Brazil","Espírito Santo","Reserva Florestal da Companhia Vale do Rio Doce (CVRD). Estrada do Carneiro, antiga 243-A4, lado direito",NA,NA,"US01871595","US01871595_01 US01871595_02",NA,"Linhares","-40.0722007751465","-19.3910999298096",NA,NA,NA,"48094","auto",NA,NA,"Dicotyledonae","1",NA,NA,NA
"18","2018-05-14 16:24:20-03","F","FMNH-SEEDPLANTS","V0325793F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum",NA,NA,"M. L. Kawasaki","400",NA,NA,NA,"South America","Brazil","Espírito Santo",NA,NA,NA,"V0325793F","V0325793F_01 V0325793F_02","RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"400",NA,NA
"19","2020-07-23 12:24:33-03","CEPLAC","CEPEC","128330","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum",NA,NA,"D. Rocha","1078","2010","05","18",NA,"Brasil","Bahia","RPPN Serra Bonita, área da fitossociologia.",NA,"Coleta testemunho do inventário na RPPN Serra Bonita (Rocha & Amorim 2011). Indivíduo nº P46-26",NA,NA,"Sem Informação","CAMACAN","-39.566111","-15.395833",NA,NA,NA,NA,NA,"500","500",NA,NA,NA,"39W33'58","15S23'45"
"20","2020-07-23 12:24:33-03","CEPLAC","CEPEC","140825","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Erisma","arietinum","Erisma arietinum",NA,NA,"Lopes, L.C.M.","614","2012","01","13",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,"Sem Informação","UNA","-39.097222","-15.155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'50","15S9'18"
