"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","885343","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","S. A. Nicolau","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885343","2046","1999","12","14","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. B. Costa","São Paulo","Estrada Barrosa.","-47.2997","-21.2703",NA,NA,"NY00885343_01",NA,"Cajuru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","396672","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","D. C. Daly","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396672","1820","1981","12","08","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Pará","Serra dos Carajás. Azul, near camp at Serra Norte (22 km NW, then 10-15 km SW)","-50.47","-5.98",NA,NA,"NY00396672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","949582","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","E. P. Heringer","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949582","2727","1979","11","12","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY00949582_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","686496","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","A. Custodio Filho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686496","408","1980","11","17","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","São Paulo","Mogi-Guaçu, Fazenda Campininha",NA,NA,"600","600","NY00686496_01",NA,"Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","949585","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","M. C. W. Vieira","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949585","1180","1987","05","23","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","B. M. Boom","Minas Gerais","Fazenda Ponta da Serra. Alpinópolis.",NA,NA,NA,NA,"NY00949585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","949581","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","E. P. Heringer","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949581","2154","1979","10","01","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"NY00949581_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","396686","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","M. H. Nee","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396686","39657","1990","10","31","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","M. H. Nee","Santa Cruz","4 km N of Buena Vista on road to Laguna Madrejon","-63.67","-17.42","315","315",NA,NA,"Ichilo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","949576","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949576","26810","1970","03","03","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. A. Steyermark","Minas Gerais","Rio Bicudo, ca. 20 km W of Corinto","-44.6088","-18.30355","525","525","NY00949576_01",NA,"Corinto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","949587","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","D. R. Hunt","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949587","6049","1966","06","17","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Mato Grosso","Barra do Garças - Xavantina road, about 75 km. from Barra do Garças, at foot of high conglomerate sandstone cliffs outcropping near road (Serra Azul).","-52.2567","-15.8903","600","1000","NY00949587_01",NA,"Barra do Garças",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","949588","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","I. Cordeiro","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949588","970","1992","11","20","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","E. A. da Anunciação","Mato Grosso do Sul","Bataguaçu, Porto 15 de Novembro. Terreno mais elevado na várzea do rio Paraná.","-52.4219","-21.7144",NA,NA,"NY00949588_01",NA,"Bataguassu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","949580","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949580","21675","1968","03","23","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Goiás","Ca. 27 km S. of Paraíso.","-47.53","-14.38","600","600","NY00949580_01",NA,"Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","949574","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","Y. E. J. Mexia","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949574","5585","1931","04","10","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","P. C. Standley","Minas Gerais","Corinto. Fazenda do Diamante; Corriga Diamante","-44.4564","-18.3808","590","590","NY00949574_01",NA,"Corinto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","396687","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","E. B. dos Santos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396687","4060","1986","02","27","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","B. M. Boom","Bahia","Serra da Luzia. Ramal com entrada no km 5.7 da rodovia Sao Jose/Una, lado N 1.8 km. Fazenda Conjunto Santa Rosa, 7 km por ar ENE Sao Jose","-39.0752983093262","-15.2932996749878","400","700","NY00396687_01",NA,"Una","36070","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","949586","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","R. F. Vieira","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949586","633","1990","11","20","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Goiás","Chacara a 5 km apos Fazenda Alegre; na beira do rio Alegre; a esq. da rod. Brazlan-Pe. Bernardo sitio S. Laumiro","-48.17","-15.42","1050","1050","NY00949586_01",NA,"Padre Bernardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","949577","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949577","26549","1970","02","23","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. A. Steyermark","Distrito Federal","Ca. 10 km E. of Lago Paranoá, DF-6","-47.7274","-15.75885","1000","1000","NY00949577_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","396688","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","L. A. Mattos Silva","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396688","1917","1985","11","20","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","B. M. Boom","Bahia","Ilha de Tinharé. Fazenda dos Piloes","-39.04","-13.48","20","20","NY00396688_01",NA,"Cairu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","949573","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","W. R. Anderson","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949573","9614","1973","05","02","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Goiás","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia","-51.81666667","-17.0566","840","840","NY00949573_01",NA,"Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","131159","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","G. Gardner","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131159","1966","1836",NA,NA,"Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.",NA,"Ceará",NA,NA,NA,NA,NA,"NY00131159_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","949591","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","B. Dubs","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949591","2621","1998","11","28","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","P. G. Delprete","Mato Grosso","Serra das Araras, Vão Grande","-56.93","-15.23",NA,NA,"NY00949591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","686495","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","P. E. Gibbs","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686495","4355","1977","02","04","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","São Paulo","25 km NW de Mogi-Guaçú. Estação Experimental de Mogi-Guaçú (Fazenda Campininha)","-47.164784","-22.242395",NA,NA,"NY00686495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","949572","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","W. R. Anderson","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949572","6588","1973","03","07","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","C. M. Taylor","Goiás","Chapada dos Veadeiros, ca. 6-7 km E of Alto Paraíso on road to Nova Roma","-47.4754","-14.0755","1400","1400","NY00949572_01",NA,"Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","396689","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","F. Souza Santos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396689","345","1984","09","18","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","B. M. Boom","Bahia","Area da Estaçao Ecológica do Pau-brasil (ESPAB), cerca de 16 km a W de Porto Seguro, Rod. BR 367 (Porto Seguro/Eunápolis). Regiao de Mata Higrófila Sul Baiana. Coletas efetuadas ao longo do rumo, lado oeste","-39.13","-16.38","40","40","NY00396689_01",NA,"Santa Cruz Cabrália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","949592","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","N. A. Rosa","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949592","2931","1978","12","12","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","N. T. da Silva","Maranhão","km 180 da BR 316, 13 km de acesso.","-45.6581","-3.2747",NA,NA,"NY00949592_01",NA,"Zé Doca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 13:49:00-03","NY","NYBG","396685","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","E. M. Zardini","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396685","45100","1996","06","14","Magnoliophyta","Gentianales",NA,"C. M. Taylor","Amambay","Estancia La Serrana (buffer zone of parque Nacional Cerro Corá): Cerro Lorito.","-55.9881","-22.6958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","949575","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","H. S. Irwin","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949575","26167","1970","02","06","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","J. A. Steyermark","Minas Gerais","Serra da Anta, summit of chapada, ca. 12 km N. of Paracatú","-46.95105","-17.14195","950","950","NY00949575_01",NA,"Paracatú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","949593","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","G. T. Prance","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949593","59409","1964","10","14","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","B. M. Boom","Mato Grosso","Serra do Roncador, Road Chavantina to Barra do Garcas, 55 km. north of Barra do Garcas.","-52.2567","-15.8903",NA,NA,"NY00949593_01",NA,"Barra do Garças",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","949590","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949590","65342","1996","11","06","Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.","P. G. Delprete","Mato Grosso do Sul","Rod. BR-163, km 404, próximo a Anhanduí","-54.6464","-20.4431",NA,NA,"NY00949590_01",NA,"Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","131158","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","cornifolia","Coussarea cornifolia","G. Gardner","South America","Brazil","sheet",NA,"Comm. am. Shuttleworth 1841. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131158","1966",NA,NA,NA,"Magnoliophyta","Gentianales","(Benth.) Benth. & Hook.f.",NA,"Ceará",NA,NA,NA,NA,NA,"NY00131158_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01067719","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","hydrangeifolia","Coussarea hydrangeifolia","R. Lopes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067719","19","1991","12","03","Magnoliophyta","Gentianales","(Benth.) Müll.Arg.","P. G. Delprete","Tocantins","Km 16 da Estrada Campos Belos- Arraias. Local conhecido Morro Moita da Mata","-46.9381","-12.9317",NA,NA,"NY01067719_01",NA,"Arraias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","949617","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","hydrangeifolia","Coussarea hydrangeifolia","R. Goodland","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949617","144",NA,NA,NA,"Magnoliophyta","Gentianales","(Benth.) Müll.Arg.","B. M. Boom","Minas Gerais","Paraopeba, Horto Florestal","-44.4042","-19.2744",NA,NA,"NY00949617_01",NA,"Paraopeba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01067705","PreservedSpecimen","Plantae","Rubiaceae","Coussarea","hydrangeifolia","Coussarea hydrangeifolia","J. A. Rizzo","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067705","2348","1968","10","01","Magnoliophyta","Gentianales","(Benth.) Müll.Arg.","P. G. Delprete","Goiás","A margem direita da rodovia Goiania- Sao Paulo, Jardim Goias","-49.2539","-16.6786",NA,NA,"NY01067705_01",NA,"Goiânia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
