"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","00980843","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","24626","1969","03","17","South America","Brazil","Chapada dos Veadeiros, ca. 60 km north of Veadeiros","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980843","NY00980843_01","Goiás","-47.5167","-13.5744","1000","1000","Cavalcante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00980867","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","D. R. Hunt","5868A","1966","06","07","South America","Brazil","Neighbourhood of Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980867","NY00980867_01","Mato Grosso","-52.3531","-14.6733","600","1000","Nova Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1746171","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","A. Schinini","27801","1993","03","23","South America","Paraguay","Santa Ursula, 55 km NE de Yuty","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746171","NY01746171_01","Caazapá",NA,NA,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","470527","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","L. Riedel","2027","1934","02",NA,"South America","Brazil","Ytú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470527","NY00470527_01","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00980819","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","D. R. Hunt","5868A","1966","07","08","South America","Brazil","Neighbourhood of Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980819","NY00980819_01","Mato Grosso","-52.3531","-14.6733",NA,NA,"Nova Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1746166","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","P. Jorgensen","3632","1931","01",NA,"South America","Paraguay","In the campo Villarrica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957694' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746166","NY01746166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00980941","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","G. G. Hatschbach","33811","1974","02","08","South America","Brazil","Rod. BR 163","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980941","NY00980941_01","Mato Grosso do Sul","-54.5","-20",NA,NA,"Bandeirantes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00980820","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","16038","1966","05","25","South America","Brazil","Ca. 60 km. N. of Xavantina. Serra do Roncador.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980820","NY00980820_01","Mato Grosso","-52.15","-14.13","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1746163","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","T. Rojas","10077","1907","01",NA,"South America","Paraguay","In altaplanitie et declivibus <<Sierra de Amambay>>","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746163","NY01746163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00980868","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","G. G. Hatschbach","36916","1975","05","27","South America","Brazil","10 km S de Terezina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980868","NY00980868_01","Goiás","-47.4581","-13.7975",NA,NA,"Cavalcante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-27 19:42:00-03","NY","NYBG","1746172","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera",NA,"R. C. Barneby","E. M. Zardini","25631","1991","01","05","South America","Paraguay","2 km N of Arroyo Guaranungua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957710' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746172","NY01746172_01","Caaguazú","-55.92","-25.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1746168","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby",NA,"T. Morong","313","1888",NA,NA,"South America","Paraguay","Central Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957700' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746168","NY01746168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1746161","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","T. Rojas","10999","1944","01","30","South America","Paraguay","Villarrica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957688' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746161","NY01746161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1746165","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby",NA,"F. J. Fernández Casas","FC6350","1982","03","20","South America","Paraguay","Campo 9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1957703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01746165","NY01746165_01","Caaguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00980943","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","6722","1964","10","10","South America","Brazil","Ca. 70 km. N. of Xavantina, on rd. to Garapú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980943","NY00980943_01","Mato Grosso","-52.37","-14.22","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00980917","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","17720","1966","06","24","South America","Brazil","Ca. 6 km. N. W. of Piranhas. Drainage of the Upper Rio Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980917","NY00980917_01","Goiás","-51.87","-16.47","700","700","Piranhas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00980892","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","E. Pereira","349","1953","10","16","South America","Brazil","Fazenda Leque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980892","NY00980892_01","Mato Grosso do Sul","-57.6531","-19.0094",NA,NA,"Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00980942","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","5511","1964","08","23","South America","Brazil","Fazenda Furquilho Novo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980942","NY00980942_01","Minas Gerais","-46.4302778","-15.6171",NA,NA,"Burití",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:19:54-03","UFRJ","RFA","19727","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) H.S.Irwin & Barneby","M.F. Castilhori","G.G. Hatschbach","33811","1974","02","08",NA,"Brasil","Rod. BR 163",NA,"Subarbusto 70cm, flor amarela,","RFA16540",NA,"Mato Grosso do Sul","-54.363899230957","-19.9178009033203",NA,NA,"Bandeirantes","2019","04","05","50915","auto",NA,NA,NA,NA,NA,NA,NA
"30","2021-04-08 17:39:37-03","EAO","IAN","5375","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Cassia","mucronifera","Cassia mucronifera","Mart.",NA,"Martius, CFP von","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN005375","IAN005375_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-08 17:40:24-03","EAO","IAN","135396","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Senna","mucronifera","Senna mucronifera","(Benth.) H.S. Irwin & Barneby","Nascimento, EAP","Irwin, HS; Souza, R; Grear Jr., JW; Santos, RR dos","16771","1966","06","08","Southern America","Brasil","Drainage of the upper Rio Araguaia. Cerrado, sandy clay.",NA,"Subshrub ca. 1,5m tall. Corolla yellow. Fruit green.","IAN135396",NA,"Mato Grosso",NA,NA,"400","400","Xavantina","2011","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-08 17:40:24-03","EAO","IAN","135436","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Senna","mucronifera","Senna mucronifera","(Benth.) H.S. Irwin & Barneby","Citado Mem. NYBG. v 35. 1982","Irwin, HS; Souza, R; Grear Jr., JW; Santos, RR dos","17720","1966","06","24","Southern America","Brasil","Drainage of the upper Rio Araguaia. Gallery margin. Gallery forest, ca. 6Km NW of Piranhas.",NA,"Subshrub ca. 1,25m tall. Corolla yellow-orange.","IAN135436",NA,"Goiás","-51.8222007751465","-16.4269008636475","700","700","Piranhas","2009","04",NA,"38194","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:10:21-03","ESALQ","ESA","67869","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. Ex Benth) H.S.Irwin & Barneby","Santos, J.P.","Rizzo, J.A.","8054.0","1972","05","03",NA,"Brasil",NA,NA,NA,"ESA067869",NA,"Goiás","-46.7717018127441","-13.0367002487183",NA,NA,"Campos Belos","2013",NA,NA,"70364","auto",NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:10:21-03","ESALQ","ESA","42795","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","Morazzi, B.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","16692.0","1997","05","20",NA,"Brasil","11 Km WSW (em linha reta) de Alto Paraguai. Estrada para Tira Sentido. Borda de savana florestada (cerradão) em área alagável.",NA,"Subarbusto, ca. 1,5 m alt.; flores amarelo-alaranjadas.","ESA042795","ESA042795","Mato Grosso","-56.35","-14.33",NA,NA,"Alto Paraguai",NA,NA,NA,NA,NA,"-56.35","-14.33",NA,NA,NA,NA,NA
"35","2020-11-04 11:10:21-03","ESALQ","ESA","57754","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby",NA,"Rizzo, J.A.","9835.0","1974","05","15",NA,"Brasil",NA,NA,"número ESA antigo (duplicado) 67754","ESA057754",NA,"Tocantins",NA,NA,NA,NA,"Rio Lontra","2000","03","23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:10:21-03","ESALQ","ESA","57753","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby",NA,"Rizzo, J.A.","9834.0","1974","05","15",NA,"Brasil",NA,NA,"número ESA antigo (duplicado) 67753","ESA057753",NA,"Tocantins","-48.1156005859375","-8.39389038085938",NA,NA,"Tupiratins","2000","03","23","33920","auto",NA,NA,NA,NA,NA,NA,NA
"37","2021-01-14 15:28:49-03","MN","R","23142","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Cassia","mucronifera","Cassia mucronifera","Mart. ex Benth.",NA,"Malme, G.O.A.","1192 a","1903","07","06",NA,"Brasil",NA,NA,"Herb. Brasil. Regnell. Musei bot. Stockholm. - Plantae Itineris Regnelliani Ild.",NA,NA,"Mato Grosso","-56.0966987609863","-15.5960998535156",NA,NA,"Cuiabá",NA,NA,NA,"74875","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-02-22 11:44:50-03","IPA","IPA","39953","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) H.S. Irwin & Barneby",NA,"Regnell","39953",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IPA0039953",NA,"Minas Gerais","-46.386100769043","-21.9235992431641",NA,NA,"Caldas",NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 14:37:08-03","UFJF","CESJ","44534","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) H.S.Irwin & Barneby","B.Marazzi","G. Hatschbach; M. Hatschbach; E. Barbosa","74682","2003","03","14","América do Sul","Brasil","Projeto Guaicurus, arredores",NA,"Ereta, 1 m, flor amarela. Dos pastos.","CESJ044534",NA,"Mato Grosso do Sul","-56.4818992614746","-21.1210994720459",NA,NA,"Bonito","2003",NA,NA,"71352","auto",NA,NA,NA,NA,NA,NA,NA
"40","2021-04-07 11:44:42-03","UFMS","CGMS","17633","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) H.S.Irwin & Barneby","J.P. Santos","K.R. Laitart","54","2007","02","15",NA,"Brasil","Estrada que liga Bela Vista ao rio Jabuti.",NA,"Caesalpinioideae. Flor amarela. Habitat: Pasto degradado. Habito: Arbustivo.","CGMS1046934",NA,"Mato Grosso do Sul","-56.5210990905762","-22.1089000701904",NA,NA,"Bela Vista","2013",NA,NA,"66197","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-08-20 10:14:58-03","UNICAMP","UEC","114375","S","Plantae","Magnoliopsida",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","Morazzi, B","Souza, VC; Souza, JP; Scalon, VR; Duarte, AR","16692","1997","05","20",NA,"Brazil","Estrada para Tira Sentido, Borda de savana florestada (cerradão) em área alagável.",NA,"Subarbusto, ca. 1,5 m alt.; flores amarelo alaranjadas.","UEC147899",NA,"Mato Grosso","-56.583333","-14.55",NA,NA,"Alto Paraguai",NA,NA,NA,NA,NA,"-56.583333","-14.55",NA,NA,NA,NA,NA
"42","2019-08-20 10:14:58-03","UNICAMP","UEC","6304","S","Plantae","Magnoliopsida",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Benth.) H.S.Irwin & Barneby","Barneby, RC","Hatschbach, G","33881","1974","02","08",NA,"Brazil",NA,NA,"Subarbusto, 70 cm, flor amarela, cerrado arado.",NA,NA,"Mato Grosso do Sul","-54.363899230957","-19.9178009033203",NA,NA,"Bandeirantes","1977",NA,NA,"50915","auto",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-21 19:36:02-03","UFC","EAC","41201","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) H.S.Irwin & Barneby","Santos, J.P.","Fonseca, M.L.; Alvarenga, D.; Cardoso, E.","5393","2004","05","21","Southern America","Brasil","RPPN Cachoeira das Pedras Bonitas, Proprietário: Oswaldo Ferreira da Silva, solo areno/pedregoso, relevo inclinado, vegetação, cerrado de encosta.",NA,"Arbusto heliófito ca 0,90m altura, folhas cartáceas, pilosas, flores alaranjadas.","EAC0041201","EAC0041201","Goiás","-48.058556","-14.192917","480","480","Colinas do Sul","2013",NA,NA,NA,NA,"-48.058556","-14.192917",NA,NA,NA,NA,NA
"44","2020-12-21 16:28:05-03","MBM","MBM","29260","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) Irwin & Barneby","Barneby, R.","Hatschbach, G.","33811",NA,NA,NA,"Southern America","Brazil","Rod. BR-163",NA,NA,"MBM029260","MBM029260","Mato Grosso",NA,NA,NA,NA,"Bandeirantes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:28:05-03","MBM","MBM","34568","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","mucronifera","Senna mucronifera","(Mart. ex Benth.) Irwin & Barneby","Barneby, R.","Hatschbach, G.","36916",NA,NA,NA,"Southern America","Brazil","10km S de Teresina",NA,NA,"MBM034568","MBM034568","Goiás","-47.4583015441895","-13.7974996566772",NA,NA,"Cavalcante",NA,NA,NA,"92497","auto",NA,NA,NA,NA,NA,NA,NA
