"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber","eventTime","infraspecificEpithet"
"11","2021-04-05 14:25:24-03","UNESC","CRI","14576","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Aline Votri Guislon","Aline Votri Guislon; Renato Colares & Lucas Oliveira",NA,"2018","08","30","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves (L4)","-49.363611","-28.746944","49º21'49''W","28º44'49''S","Habito: Arbóreo","CRI013881","CRI013881","2019","04","16","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:24-03","UNESC","CRI","9518","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","M. Verdi","M. Verdi; N. L. de Souza, G. Klemz e D. H. Klettenberg","4740","2010","05","25","Brasil","Santa Catarina","Praia Grande","Pedra Branca, PARNAs Aparados da Serra e Serra Geral.","-50.129722","-29.249722","50º7'47''W","29º14'59''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003558","CRI003558","2010","05","25","466","466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:24-03","UNESC","CRI","9247","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez",NA,"Birgit Harter Marques; Ricardo Vicente",NA,"2006","04","20","Brasil","Santa Catarina","Siderópolis","Malha II leste.","-49.431667","-28.595833","49º25'54''W","28º35'45''S",NA,"CRI003552","CRI003552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:35-03","UNESC","CRI","15313","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Aline Votri Guislon","Aline V. Guislon; Isadora Zapellini & José A. T Pires",NA,"2020","08","27","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Bairro Dagostim ( Morro da bananeira)","-49.373611","-28.751944","49º22'25''W","28º45'7''S","Flor branca. Habito: Arbóreo","CRI014730",NA,"2020","09","15","120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:24-03","UNESC","CRI","9529","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","A. Quinet","L. Sevegnani",NA,"2009","08","30","Brasil","Santa Catarina","Imbituba","Praia.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","Floresta Ombrófila Densa Habitat: restinga Habito: arbustiva","CRI003554","CRI003554","2010","09","17","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:24-03","UNESC","CRI","9565","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","A. A. de Oliveira","A. Stival-Santos; E. Legal & S. Silveira","3083","2010","06","23","Brasil","Santa Catarina","Águas Mornas","Rio Cubatão.","-48.960833","-27.809722","48º57'39''W","27º48'35''S","Floresta Ombrófila Densa Habitat: entorno do fragmento, beira de estrada Habito: arbórea","CRI003564","CRI003564","2010","09","22","620","620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:24-03","UNESC","CRI","9578","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","M. Verdi","M. Verdi; A.L. Tomazi & G. Klemz","2624","2009","09","22","Brasil","Santa Catarina","Praia Grande","Fortaleza.","-49.9525","-29.159444","49º57'9''W","29º9'34''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003557","CRI003557","2009","09","22","323","323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:24-03","UNESC","CRI","15233","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Aline Votri Guislon","Aline V. Guislon; Iara Z. Zanoni; Altamir R. Antunes; Lucas Oliveira & Felipe Seron",NA,"2018","10","04","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevevão. Área L5 (Florística) Bairro Dagostim","-49.358056","-28.749444","49º21'29''W","28º44'58''S","Habito: Arbóreo","CRI014648","CRI014648","2020","02","12","170","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:33:35-03","UNESC","CRI","5343","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. A. Jarenkow","J. A. Jarenkow","2129","1992","08","12","Brasil","Rio Grande do Sul","Vale do Sol","Linha XV de Novembro, propriedade do Sr. Adelário Schreder.","-52.683333","-29.604167","52º41'0''W","29º36'15''S","Habitat: mata de encosta Habito: árvore","CRI003548","CRI003548",NA,NA,NA,"66","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:25:24-03","UNESC","CRI","3295","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1909","1993","06","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI003550","CRI003550",NA,NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1182022","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","J. E. B. Warming","689","1865","09","27","Brazil","Minas Gerais",NA,"In sylvis ad fl. Rio das Velhas, pr. Tamburil et Lagoa Santa.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391345' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182022","NY01182022_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","469095","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","I. de Vattimo","A. P. Duarte","1867","1949","05","24","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, proximo da sede","-54.5881","-25.5481",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469095","NY00469095_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","469132","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","S. F. Smith","R. A. Wasum","7976","1991","10","02","Brazil","Rio Grande do Sul","Farroupilha","Sao Roque","-51.339909","-29.218747",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469132","NY00469132_01",NA,NA,NA,"700","700","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","469118","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","R. Reitz","3753","1956","09","21","Brazil","Santa Catarina","Indaial","Encano","-49.2317","-26.8981",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469118","NY00469118_01",NA,NA,NA,"50","50","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","469121","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. C. Lindeman","J. C. Lindeman","3610","1966","12","12","Brazil","Rio Grande do Sul","Caiçara","15km N of Frederico Westphalen.","-53.4319","-27.2744",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469121","NY00469121_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","469107","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","J. G. Kuhlmann",NA,"1950","09","18","Brazil","Santa Catarina","Florianópolis","Armaçao do Pantano do Sul, Florianopolis","-48.5078573","-27.7489871",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469107",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","469117","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","R. Reitz","7026","1958","08","22","Brazil","Santa Catarina","Lauro Muller","Novo Horizonte","-49.483071","-28.387264",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469117","NY00469117_01",NA,NA,NA,"350","350","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","469122","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","H. de F. Leitão Filho","2607","1976","08","18","Brazil","São Paulo","Campinas","Naturo ao Bosque de Jequitibas","-47.06","-22.9",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469122","NY00469122_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","469091","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","P. K. H. Dusén","14278","1914","01","04","Brazil","Paraná","Morretes","Fazenda Marumby","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469091","NY00469091_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","589244","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","S. A. Nicolau","S. A. Nicolau","1893","1999","10","07","Brazil","São Paulo","Luís Antônio","Luiz Antonio: Várzea do Jenipapo - VCP","-47.7","-21.55",NA,NA,"Centro de Monitoramento Ambiental da Serra do Itapety. CEMASI <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00589244","NY00589244_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","469105","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","H. H. van der Werff","G. G. Hatschbach","59236","1993","10","13","Brazil","Paraná","Cerro Azul","Rodovia Cerro Azul-Adrianopolis, descida para Ribeirao do Rocha","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469105","NY00469105_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","469102","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","G. G. Hatschbach","16947","1967","08","24","Brazil","Paraná","Cianorte","Fda. Lagoa, Barra S. Tomé","-52.6047","-23.6633",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469102","NY00469102_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","469128","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","C. E. O. Kuntze",NA,"1892","09",NA,"Paraguay",NA,NA,"Suedparaguay",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469128","NY00469128_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1016821","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","J. M. Silva","3019","1999","08","28","Brazil","Paraná","Cruzeiro do Iguaçu","Área Ecológica da Copel.","-53.1278","-25.6158",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193484' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016821","NY01016821_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","469133","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","M. Sobral","M. Sobral","2373","1983","10","11","Brazil","Rio Grande do Sul","Camaqua","Pessegueiro, Camaqua","-51.834028","-30.916916",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469133","NY00469133_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","469099","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","G. G. Hatschbach","14933","1966","10","16","Brazil","Paraná","Porto Vitória",NA,"-51.2317","-26.1611",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469099","NY00469099_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","469113","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","I. de Vattimo","R. Reitz","4219","1957","05","26","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca","-48.8456","-26.3044",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469113","NY00469113_01",NA,NA,NA,"500","500","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","469110","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","I. de Vattimo","R. M. Klein","5616","1964","08","28","Brazil","Santa Catarina","Aguas de Chapecó",NA,"-52.9867","-27.0706",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469110","NY00469110_01",NA,NA,NA,"400","400","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","469112","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","I. de Vattimo","R. M. Klein","5713","1964","09","01","Brazil","Santa Catarina","Sao Miguel do Oeste","Peperí, Paraiso",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469112","NY00469112_01",NA,NA,NA,"600","600","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","469119","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","L. B. Smith","12508","1964","10","14","Brazil","Santa Catarina","Chapecó","Cordillera","-52.6","-27.1",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469119","NY00469119_01",NA,NA,NA,"400","400","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","469115","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","R. Reitz","6556","1963","02","03","Brazil","Santa Catarina","Lajes","Passo do Socorro","-50.3258","-27.8161",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469115",NA,NA,NA,NA,"800","800","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","469088","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","G. G. Hatschbach","7290","1960","10","04","Brazil","Paraná","Bocaiúva do Sul","Tunas","-49.115","-25.2061",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469088","NY00469088_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","469093","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","I. de Vattimo","C. Gomes e Mattos filho","1179","1962","09","18","Brazil","Paraná","Lobato","Lobato, Fazenda Remanso, Irmaos Ferraz","-51.9506","-23.0083",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469093","NY00469093_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","584316","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","S. A. Nicolau","S. A. Nicolau","1682","1999","08","18","Brazil","São Paulo","Luís Antônio","Luiz Antonio, Varzea do Jenipapo-VCP","-47.7","-21.55",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584316","NY00584316_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","469101","PreservedSpecimen","Plantae","Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","(Spreng.) Mez","J. G. Rohwer","G. G. Hatschbach","16947","1967","08","24","Brazil","Paraná","Cianorte","Fda. Lagoa, Barra S. Tomé","-52.6047","-23.6633",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469101","NY00469101_01",NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
