"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","stateProvince","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","typeStatus","class","order","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2021-04-08 17:41:19-03","EAO","IAN","97034","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","Guedes, TN","1958","03","11","Brasil",NA,"Serra de Meruóca; Mata.",NA,NA,NA,NA,NA,NA,"IAN097034",NA,"542","Ceará","1985",NA,NA,"Southern America",NA,NA,"Árvore de 11 metros de altura.",NA,NA,"Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:41:19-03","EAO","IAN","97034a","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","Guedes, TN","1958","03","11","Brasil",NA,"Serra de Meruóca; Mata.",NA,NA,NA,NA,NA,NA,"IAN97034a",NA,"542","Ceará","1985",NA,NA,"Southern America",NA,NA,"Árvore de 11 metros de altura.",NA,NA,"Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:41:19-03","EAO","IAN","99607","PreservedSpecimen","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","Fróes, RL","1957","08","28","Brasil","Coronel Fabriciano","Região do Rio Piracicaba. Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672",NA,NA,NA,NA,"IAN099607",NA,"33378","Minas Gerais","1985",NA,NA,"Southern America",NA,NA,"Árvore de 7 metros; mata secundária.","21443","auto","Dicotiledônea","paratipo",NA,NA,NA,NA,NA,NA
"14","2019-12-04 15:25:11-03","PUCPR","HUCP","16548","S","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima, H.C.","Lima, H","Hatschbach, GG","1984","04","11","Brasil","Frei Inocêncio",NA,"-41.9220008850098","-18.5450000762939",NA,NA,NA,NA,"HUCP00011296","HUCP00011296","47821","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"22276","auto","Eudicotiledonea",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:15:30-03","UFBA","ALCB","69939","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","Mart. ex Benth.","Guedes, ML; Costa, MA","Costa, MA; Guedes, ML; Valadão, RM; Campos, G","2005","10","29","Brasil","Amargosa","Recôncavo Sul","-39.6","-13.016667","-39.6","-13.016667",NA,NA,"ALCB029669","ALCB029669","116","Bahia","2006","04",NA,"Southern America",NA,NA,"Árvore de ca 10,0m. Folhas compostas com folíolos vináceos, discolores. Frutos sâmaras com núcleos seminíferos espinescentes. Ocasional.",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:15:30-03","UFBA","ALCB","85299","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","Mart. ex Benth.","Guedes, ML","Ramos, C.H.A.; Santos, FC; Santos, CC dos; Ana Rita","2008","07","10","Brasil","Itagibá","Litoral Sul, Projeto Santa Rita, Mirabela. Mata do Laterítico","-39.722222","-14.167222","-39.722222","-14.167222",NA,NA,"ALCB029670","ALCB029670","252","Bahia","2008","11",NA,"Southern America",NA,NA,"de ca 8 m de altura. Folíolos cartáceos, discolores, com tomentos e glandulas resinosas. Frutos sâmaras com núcleo seminífero basal e equinado, imaturos verdes.",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:15:30-03","UFBA","ALCB","07514","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","Mart. ex Benth.","Grupo Pedra do Cavalo","Grupo Pedra do Cavalo","1980","08",NA,"Brasil","Cachoeira","Recôncavo Sul, Est. Pedra do Cavalo. Vale dos rios Paraguaçu e Jacuipe","-39.083333","-12.533333","-39.083333","-12.533333","40","40","ALCB029667","ALCB029667","653","Bahia","1980","09",NA,"Southern America",NA,NA,"Ca. 7,0m de altura e com grande copa. Frutos espinhosos e alados.",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:15:30-03","UFBA","ALCB","135915","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","Mart. ex Benth.",NA,"Cardoso, D","2015","06","07","Brasil","Rio de Janeiro","Arboredo do Jardim Botânico do Rio de Janeiro.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"ALCB066919","ALCB066919","3799","Rio de Janeiro",NA,NA,NA,"Southern America",NA,NA,NA,"57442","auto","Dicotyledon",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:08:39-03","ESALQ","ESA","16279","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C. de Lima",NA,"Kummrow, R.","1994","01","20","Brasil","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"ESA016279","ESA016279","3342.0","Paraná",NA,NA,NA,NA,NA,NA,NA,"41937","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:08:39-03","ESALQ","ESA","80421","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C. de Lima",NA,"Maschio, W.","2000","04","16","Brasil","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,NA,NA,"ESA080421","ESA080421","347.0","Paraná","2000","09","13",NA,NA,NA,NA,"30514","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:08:39-03","ESALQ","ESA","101242","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete",NA,"Lombardi, J.A.","Lombardi,J.A.","2004","08","21","Brasil","Poté",NA,"-41.7863998413086","-17.8066997528076",NA,NA,NA,NA,"ESA101242","ESA101242","6093.0","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"22309","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:08:39-03","ESALQ","ESA","80564","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C. de Lima",NA,"Maschio, W.","1999","05","20","Brasil","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"ESA080564","ESA080564","335.0","Paraná",NA,NA,NA,NA,NA,NA,NA,"55154","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:08:39-03","ESALQ","ESA","36750","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C. de Lima",NA,"Soares, A.","1993","02","27","Brasil","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"ESA036750","ESA036750","6.0","Paraná","1995","02","10",NA,NA,NA,NA,"24916","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"24","2015-07-02 14:01:57-03","JBP","HPL","12132","S","Plantae","Fabaceae-Faboideae","Centrolobium","microchaete","Centrolobium microchaete",NA,"H. Lorenzi","H. Lorenzi","2009","09","09","Brasil","Belo Oriente","Coletado no distrito de Brauninha, em mata a 250 m de altitude.","-42.4836","-19.22",NA,NA,NA,NA,NA,NA,"6739","MG","2009","09","09",NA,NA,NA,NA,"17433","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:01:57-03","JBP","HPL","8945","S","Plantae","Fabaceae-Faboideae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. Ex Benth.) H.C. Lima","V.C. Souza","R. Tsuji","2007","05","09","Brasil","Eldorado","Coletado ca. 1km do município de Eldorado; saindo de Sete Barras.","-48.1","-24.52",NA,NA,NA,NA,NA,NA,"1967","SP","2012","11","26",NA,NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2014-08-08 13:03:09-03","UNICAP","HUCPE","1246","S","Plantae","Leguminosae","Centrolobium","microchaete","Centrolobium microchaete","(Benth.) H.C.Lima",NA,"Oliveira, M.; A. A. Grillo; A. A. Grillo","2005","06","02","Brasil","Ibateguara","Usina Serra Grande - Margem da estrada (PE/AL).","-35.937693","-8.979501","-35.937693","-8.979501",NA,NA,NA,NA,"2202","Alagoas",NA,NA,NA,NA,NA,NA,"Árvorecom mais ou menos 4,0m de altura; sementes esverdeadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-07-26 11:40:26-03","IPA","IPA","25180","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis",NA,"Fernández, A.; Andrade-Lima; Andrade-Lima","1979","06","01","Brasil","Viçosa do Ceará","Serra de Ubiapaba","-41.0922012329102","-3.56222009658813",NA,NA,NA,NA,"IPA0025180",NA,"25180","Ceará",NA,NA,NA,"Southern America",NA,NA,"Árvore ca. 8m.","34051","auto","Plantae",NA,NA,NA,NA,NA,NA,NA
"28","2019-02-22 11:46:18-03","IPA","IPA","27168","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Grupo Flora Pedra do Cavalo","1980","08",NA,"Brasil","Cachoeira","Estação Pedra do Cavalo, Vale dos Rios Paraguaçu e Jacuípe","-39.083333","-12.533333","-39.083333","-12.533333","40","120","IPA0027168",NA,"653","Bahia","1998","08",NA,"Southern America",NA,NA,"Árvore ca. 7m de altura e com grande copa. Frutos espinhosos e alados",NA,NA,"Plantae",NA,NA,NA,NA,NA,NA,NA
"29","2019-02-22 11:46:18-03","IPA","IPA","15526","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Belém, R.P.; Pinheiro, R.S.; Pinheiro, R.S.","1966","05","16","Brasil",NA,"Rodovia Itacaré-Ubaitaba. Plantação de cacau",NA,NA,NA,NA,NA,NA,"IPA0015526",NA,"2219","Bahia","1998","08",NA,"Southern America",NA,NA,"árvore de 4m x 7cm diâmetro; flores amarelas, estames esverdeados, anteras marrons, cálice roxo",NA,NA,"Plantae",NA,NA,NA,NA,NA,NA,NA
"30","2019-02-22 11:46:18-03","IPA","IPA","15527","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Belém, R.P.; Pinheiro, R.S.; Pinheiro, R.S.","1966","05","17","Brasil",NA,"Rodovia Ubatã - Ibirapitanga. Plantação de cacau",NA,NA,NA,NA,NA,NA,"IPA0015527",NA,"2230","Bahia","1998","08",NA,"Southern America",NA,NA,"Árvore de 15m x 12cm diâmetro; flores amarelas, estames brancos, ovário arroxeado, cálice roxo",NA,NA,"Plantae",NA,NA,NA,NA,NA,NA,NA
"31","2019-02-22 11:46:18-03","IPA","IPA","42966","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Andrade-Lima","1974","09",NA,"Brasil",NA,"Nordeste - Excursão Academia Brasileira de Ciências",NA,NA,NA,NA,NA,NA,"IPA0042966",NA,"7978",NA,"1998","08",NA,"Southern America",NA,NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,NA,NA
"32","2019-02-22 11:46:18-03","IPA","IPA","42971","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Andrade-Lima","1974","09",NA,"Brasil",NA,"Nordeste - Excursão Academia Brasileira de Ciências",NA,NA,NA,NA,NA,NA,"IPA0042971",NA,"7856",NA,"1998","08",NA,"Southern America",NA,NA,NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,NA,NA
"33","2019-02-22 11:46:18-03","IPA","IPA","84537","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis",NA,"Oliveira, M.; Grillo, A.A.; Grillo, A.A.","2005","06","02","Brasil",NA,"Usina Serra Grande, margem da estrada PE-AL.",NA,NA,NA,NA,NA,NA,"IPA0084537",NA,"2202","Alagoas",NA,NA,NA,"Southern America",NA,NA,"Árvoreca. 4m de altura; sâmaras esverdeadas.",NA,NA,"Plantae",NA,NA,NA,NA,NA,NA,NA
"34","2019-02-22 11:46:18-03","IPA","IPA","26597","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Bocage, A.; Rita Pereira; Andrade-Lima; Rita Pereira; Andrade-Lima","1981","06","11","Brasil","Mar Vermelho","Na beira da estrada a 8km de Mar Vermelho. Comum","-36.3880996704102","-9.44750022888184",NA,NA,NA,NA,"IPA0026597",NA,"86","Alagoas","1998","08",NA,"Southern America",NA,NA,"Flor amarelo-ouro. Frutos imaturos","12091","auto","Plantae",NA,NA,NA,NA,NA,NA,NA
"35","2019-02-22 11:46:18-03","IPA","IPA","29924","S","Plantae","Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) Lima ex G.P. Lewis","Lima, H.C. de","Andrade-Lima","1974","05","13","Brasil","Senhor do Bonfim","PE-Petrolina (viagem com José Cândido)","-40.1893997192383","-10.4614000320435",NA,NA,NA,NA,"IPA0029924",NA,"7671","Bahia","1998","08",NA,"Southern America",NA,NA,NA,"27716","auto","Plantae",NA,NA,NA,NA,NA,NA,NA
"36","2019-08-27 13:29:15-03","IAP","PACA-AGP","67904","PreservedSpecimen","Plantae","Caesalpinaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H. C. Lima","H.C. Lima","Hatschbach, G.","1983","02","05","Brasil","Morretes","Rio Bromado.","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"PACA067904",NA,"46089","PR","2009","06",NA,NA,NA,NA,"árvore 25-30 m Hábito: árvore","30514","auto","Magnoliophyta",NA,"Magnoliatae","Fagales",NA,NA,NA,NA
"37","2019-08-27 13:29:15-03","IAP","PACA-AGP","47689","PreservedSpecimen","Plantae","Caesalpinaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H. C. Lima","R. camargo","Reitz, R.","1948","01","31","Brasil","Itajaí","Luiz Alves","-48.6618995666504","-26.9078006744385",NA,NA,NA,NA,"PACA047689",NA,"2931","SC","2005","07",NA,NA,NA,NA,"Habitat: in silva primaeva Fenofase: flor","27253","auto","Magnoliophyta",NA,"Magnoliatae","Fagales",NA,NA,NA,NA
"38","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018002","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Benth.)H.C.Lima",NA,"Y. S. Kuniyoshi; A. Pizani","1984","3","1","Brazil",NA,"Municipality of Morretes.","-48.8167","-25.4667",NA,NA,NA,NA,NA,NA,"4745","Paraná",NA,NA,NA,NA,NA,NA,"Tree with yellow flowers on the slope of hill.",NA,NA,"Magnoliophyta",NA,NA,"Fabales",NA,NA,NA,NA
"39","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018001","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Benth.)H.C.Lima","G. Hatschbach","G. Hatschbach; A. R. Campos","1992","11","12","Brazil",NA,"Lima. Porto das Moças (raun. Antonina) Paraná","-48.7167","-25.45",NA,NA,"50",NA,NA,NA,"56361","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,"Fabales",NA,NA,NA,NA
"40","2019-11-21 14:36:10-03","UFJF","CESJ","38330","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","H. Lima","G. Hatschbach","1984","04","11","Brasil","Frei Inocêncio",NA,"-41.9220008850098","-18.5450000762939",NA,NA,NA,NA,"CESJ038330",NA,"47821","Minas Gerais",NA,NA,NA,"América do Sul",NA,NA,"Árvore, 8m, flor amarela. pequena mata remanescente.","22276","auto","Angiosperma",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-27 13:48:37-03","UFS","ASE","34049","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Carvalho-Sobrinho, JG; Mota, AC","Santos, LAS","2014","08","27","Brasil","Nossa Senhora das Dores",NA,"-37.193056","-10.491944","-37.193056","-10.491944",NA,NA,"ASE0009846","ASE0009846","1207","Sergipe","2015","05","27","Southern America",NA,NA,"Árvore ca. de 9,5m de altura. Casca externa marrom, grossa, rugosa, placas lenhosas e casca interna creme. Coordenadas UTM: E (640406m) N (8835458m). N° do conglomerado: 76, N° da subunidade: 4, N° da subparcela: 1, N° da árvore: 1(F6",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-27 13:48:37-03","UFS","ASE","41538","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Santana, JP","Santana, JP; Dantas, TVP","2019","07","25","Brasil","Capela","Povoado Terra Dura","-36.998145","-10.593418","-36.998145","-10.593418",NA,NA,"ASE0043052",NA,"727","Sergipe","2019","07",NA,"Southern America",NA,NA,"Árvore com cerca de 7 m. Frutos imaturos verdes, tipo sâmara, com presença de espinhos na base. Folhas compostas.; Mata Atlântica.",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-27 13:48:37-03","UFS","ASE","5834","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima",NA,"Farney, C; Gomes, JC","1992","01","28","Brasil","Santo Amaro das Brotas","Localidade de Sapê. Fazenda Aruari, próximo a torre da Embratel","-37.0315","-10.4721","-37.0315","-10.4721",NA,NA,"ASE0016392",NA,"2996","Sergipe",NA,NA,NA,"Southern America",NA,NA,"árvore. 15. m. tronco de casca sulcada, caducifolia, frutos maduros castanhos.; árvore. 15. m. tronco de casca sulcada, caducifolia, frutos maduros castanhos.; Mata remanescente",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:30:07-03","UNICAMP","UEC","193298","S","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima",NA,"Oliveira, M; Grillo, AA","2005","06","02","Brazil",NA,"Usina Serra Grande. Margem da Estrada (PE-AL).",NA,NA,NA,NA,NA,NA,"UEC133226","UEC133226","2202","Alagoas",NA,NA,NA,NA,NA,NA,"Árvore mais ou menos 4m alt.; sâmaras esverdeadas.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:01:31-03","FURB","FURB","34857","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Sobral, M","Dreveck, S.; Carneiro, F.E.","2010","02","01","Brasil","Jaraguá do Sul","Ano Bom / Braço Esquerdo.","-49.1397222","-26.3680556","-49.1397222","-26.3680556","205","205","FURB24519","FURB24519","2495","Santa Catarina","2011",NA,NA,NA,NA,NA,"Voucher estéril IFFSC 994 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-10-14 10:01:31-03","FURB","FURB","46839","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Oliveira, AA de","Oliveira, A.A. de","2015","03","26","Brasil","Corupá","Rio Mandioca.","-49.3202778","-26.3705556","-49.3202778","-26.3705556","368","368","FURB24518","FURB24518","2020","Santa Catarina","2015","03","26",NA,NA,NA,"Fito IFFSC 992 /S/16 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-08 08:52:02-03","FURB","FURB","48706","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Oliveira, AA de","Oliveira, A.A. de","2015","10","25","Brasil","Joinville","Pirai.","-48.9619444","-26.28","-48.9619444","-26.2800000","85","85","FURB48706","FURB48706","2666","Santa Catarina","2015","10","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-10-14 10:01:31-03","FURB","FURB","52470","PreservedSpecimen","Plantae","Fabaceae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Funez, L.A.","Funez, L.A.; Zermiani, A.E.","2016","12","13","Brasil","Blumenau","Badenfurt, próximo ao Trevo.","-49.1386111","-26.8936111","-49.1386111","-26.8936111","42","42","FURB52470","FURB52470","5969","Santa Catarina","2016","12","15",NA,NA,NA,"Flores amarelas Habitat: Borda da floresta Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
