"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"11","2020-04-27 16:09:49-03","UFES","VIES","27980","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Luz, A.A. da","50","2002","03","21",NA,"Brasil","Minas Gerais","Estrada Baixo Guandú - Alto Lage.",NA,NA,"VIES027980","VIES027980",NA,"Aimorés","-41.0638999938965","-19.4958000183105","54161","auto","Lima, H.C. de; Ribeiro, R.D.","2007","03",NA,NA,"29",NA,NA,NA
"12","2020-04-27 16:09:49-03","UFES","VIES","11402","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Vago, A.; Assis, A.M.; Cribari, R.S. & Santos, R.","14","2010","08","27",NA,"Brasil","Espírito Santo","APA Mestre Álvaro, Vertente leste. Acesso pelo Bairro Pitanga.",NA,NA,"VIES011402","VIES011402",NA,"Serra","-40.503889","-20.302778",NA,NA,"Assis, A.M.","2010","08","40º30'14''W","20º18'10''S","27","120","120",NA
"13","2020-04-27 16:09:49-03","UFES","VIES","41588","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Demuner, V.; Magnago, L.F.S.; Cruz, T.; Bausen, E.","2577","2006","07","12",NA,"Brasil","Espírito Santo","Alto Moacir. Propriedade de Lalau.",NA,NA,"VIES041588","VIES041588",NA,"Colatina","-40.552778","-19.339167",NA,NA,"A.P. Chagas","2015","08","40º33'10''W","19º20'21''S","27","550","550",NA
"14","2020-04-27 16:09:49-03","UFES","VIES","32266","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Folli, D.A.","6241","2008","11","30",NA,"Brasil","Espírito Santo","Ilha do Imperador.",NA,NA,"VIES032266",NA,NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Siqueira, G.S.","2010","03",NA,NA,"15","49","49",NA
"15","2021-02-25 10:12:02-03","CVRD","CVRD","12014","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & Grimes",NA,"Folli, D.A.","6241","2008","11","30","América do Sul","BRASIL","ES",NA,NA,"Ilha do Imperador <ll>dwc_commonname:</ll> Angico pelota","CVRD012014",NA,"Magnoliopsida","Linhares","-40.181148","-19.233765",NA,NA,"Geovane S. Siqueira","2010","03","-40,181148","-19,233765","15","49","49",NA
"16","2021-02-25 10:12:02-03","CVRD","CVRD","12921","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & Grimes",NA,"Folli, D.A.","6544","2010","02","24","América do Sul","BRASIL","ES",NA,NA,"Propriedade Nozinho Correia <ll>dwc_commonname:</ll> Angico pelota","CVRD012921",NA,"Magnoliopsida","Linhares","-40.08639","-19.313428",NA,NA,"Geovane S. Siqueira","2010","03","-40,08639","-19,313428","15","25","25",NA
"17","2021-02-25 10:12:02-03","CVRD","CVRD","13719","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & Grimes",NA,"Folli, D.A.","6848","2012","02","27","América do Sul","BRASIL","ES",NA,NA,"Sitío Aliança <ll>dwc_commonname:</ll> Angico pelota","CVRD013719","CVRD013719","Magnoliopsida","Sooretama","-40.0978012084961","-19.1968994140625","33715","auto","Geovane S. Siqueira","2012","03",NA,NA,"19","32","32",NA
"18","2021-02-25 10:12:02-03","CVRD","CVRD","7314","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & Grimes",NA,"Luz, A.A. da","50","2002","03","21","América do Sul","BRASIL","MG",NA,NA,"<ll>dwc_commonname:</ll> Angico pelota","CVRD007314",NA,"Magnoliopsida","Aimorés","-41.0638999938965","-19.4958000183105","54161","auto","H. C. de Lima & R. D. Ribeiro","2007","03",NA,NA,"29",NA,NA,NA
"19","2021-03-01 11:53:58-03","UFPE","UFP","54195","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae-Mimo.","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Sousa, LG","104","2007","06","16",NA,"Brasil","Pernambuco",NA,NA,"Arbóreo; 3-5m de altura; Arbóreo; 3-5m de altura","UFP054195",NA,NA,"Altinho","-36.896111","-8.587083",NA,NA,"Córdula, E","2007","08","-36.896111","-8.587083","09","468","468",NA
"20","2021-03-01 11:53:58-03","UFPE","UFP","53492","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae-Mimo.","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Santos, LL; Alencar, NL; Neto, MSA","305","2007","08","24",NA,"Brasil","Pernambuco",NA,NA,"Árvore, cerca de 6m de altura, frutos imaturos verdes.; Árvore, cerca de 6m de altura, frutos imaturos verdes.","UFP053492",NA,NA,"Altinho","-36.896111","-8.587083",NA,NA,"Córdula, E","2007","08","-36.896111","-8.587083","09","468","468",NA
"21","2020-05-08 11:10:21-03","UEFS","HUEFS","78058","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Melo, E.","3639","2004","03","28",NA,"Brasil","Bahia","Caminho para Serra preta.",NA,"Caatinga.","HUEFS0078058","HUEFS0078058","Rosanae","Palmeiras","-41.587222","-12.531944",NA,NA,NA,NA,NA,"41W35'14''","12S31'55''",NA,"800","800",NA
"22","2020-05-08 11:10:21-03","UEFS","HUEFS","169665","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Neves, S.P.S.","278","2010","10","30",NA,"Brasil","Bahia",NA,NA,"Transição cerrado-caatinga.","HUEFS0169665","HUEFS0169665","Rosanae","Palmeiras","-41.514722","-12.438056",NA,NA,"P.G.C.Almeida","2013","07","41W30'53''","12S26'17''",NA,"736","736",NA
"23","2020-05-08 11:10:21-03","UEFS","HUEFS","180827","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Neves, S.P.S.","348","2010","10",NA,NA,"Brasil","Bahia",NA,NA,"Transição cerrado-caatinga.","HUEFS0180827","HUEFS0180827","Rosanae","Palmeiras","-41.533611","-12.442778",NA,NA,"P.G.C.Almeida","2013","07","41W32'1''","12S26'34''",NA,"736","736",NA
"24","2020-05-08 11:10:21-03","UEFS","HUEFS","77779","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Melo, E.","3550","2003","03","21",NA,"Brasil","Bahia","Caminho para Conceição dos Gados",NA,"Caatinga sobre solo argiloso.","HUEFS0077779","HUEFS0077779","Rosanae","Palmeiras","-41.553056","-12.533056",NA,NA,NA,NA,NA,"41W33'11''","12S31'59''",NA,NA,NA,NA
"25","2020-05-08 11:10:21-03","UEFS","HUEFS","225767","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Queiroz, L.P.de","16360","2016","11","28",NA,"Brasil","Bahia",NA,NA,NA,"HUEFS0225767","HUEFS0225767","Rosanae","Senhor do Bonfim","-40.123056","-10.721389",NA,NA,NA,NA,NA,"40W7'23''","10S43'17''",NA,"416","416",NA
"26","2020-05-08 11:10:21-03","UEFS","HUEFS","76099","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes","Holótipo","Ferreira, J.D.C.A.","-82-","1981","09","03",NA,"Brasil","Bahia","-",NA,"Floresta estacional semidecidual","HUEFS0076099",NA,"Rosanae","Pindobaçu","-40.45","-10.95",NA,NA,NA,NA,NA,"40W27'0''","10S57'0''",NA,NA,NA,NA
"27","2020-05-08 11:10:21-03","UEFS","HUEFS","185571","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Carvalho-Sobrinho, J.G.de","3270","2012","01","20",NA,"Brasil","Bahia","Fazenda Boa Esperança.",NA,"Caatinga.","HUEFS0185571","HUEFS0185571","Rosanae","Morro do Chapéu","-41.408611","-11.866111",NA,NA,NA,NA,NA,"41W24'31''","11S51'58''",NA,"970","970",NA
"28","2020-05-08 11:10:21-03","UEFS","HUEFS","60996","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Queiroz, L.P.de","7287","2002","06","28",NA,"Brasil","Bahia","Raso da Catarina.",NA,NA,"HUEFS0060996","HUEFS0060996","Rosanae","Santa Brígida","-38.491389","-9.583056",NA,NA,"L.P.de Queiroz","2002","12","38W29'29''","9S34'59''",NA,"611","611",NA
"29","2020-05-08 11:10:21-03","UEFS","HUEFS","17656","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Queiroz, L.P.de","3973","1994","06","17",NA,"Brasil","Bahia",NA,NA,NA,"HUEFS0017656","HUEFS0017656","Rosanae","Gentio do Ouro","-42.502799987793","-11.4288997650146","54643","auto","L.P.de Queiroz","1996","11",NA,NA,NA,NA,NA,NA
"30","2019-12-05 20:55:11-03","F","FMNH-SEEDPLANTS","V0541330F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum",NA,NA,"J. S. Blanchet","3685","1843","1",NA,"South America","Brazil",NA,NA,NA,NA,"V0541330F",NA,"Dicotyledoneae",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-07-23 12:14:16-03","CEPLAC","CEPEC","32692","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Chloroleucon","extortum","Chloroleucon extortum",NA,"Isótipo","J. Arouck","82","1981","09","03",NA,"Brasil","Bahia","Sem informação.",NA,NA,NA,NA,NA,"PINDOBAÇU","-40.45","-10.95",NA,NA,"R. C. Barneby",NA,NA,"40W27'0","10S57'0",NA,NA,NA,"30/12/1996"
"32","2019-11-01 14:59:10-03","UnB","UB","128804","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W. Grimes",NA,"Queiroz, LP","3973","1994","06","17","Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,NA,"Gentio do Ouro","-42.502799987793","-11.4288997650146","54643","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-20 14:55:58-03","UFSC","FLOR","46475","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes",NA,"Queiroz, L.P. de; Nascimento, N.S.","3973","1994","06","17",NA,"Brasil","Bahia","Ca. 3km E de Gentio do Ouro na estrada para Mirorós, Carrasco, solo arenoso.",NA,"arbsuto ramificado com folíolos membranáceos, Fruto Imaturo, verde, iníco de frutificação, 1,7m altura. Pouco frequente.","FLOR0046475",NA,NA,"Gentio do Ouro","-42.502799987793","-11.4288997650146","54643","auto","Queiroz, L.P. de","1996","11",NA,NA,NA,NA,NA,NA
