"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem","typeStatus","fieldNumber","sex"
"27","2020-04-27 16:09:06-03","UFES","VIES","21332","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Couto, D.R.","1554","2010","04","21",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões.","-41.3664016723633","-21.0641994476318",NA,NA,NA,NA,"VIES021332","VIES021332","Couto, D.R.","2010","04","22","29430","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-04-27 16:09:06-03","UFES","VIES","35537","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Manhães, V.C.; Carrijo, T.T. & Garbin, M.L.","332","2013","04","18",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama.","-41.1128005981445","-20.8488998413086",NA,NA,NA,NA,"VIES035537","VIES035537","Manhães, V.C.","2013","03","08","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-04-27 16:09:06-03","UFES","VIES","30081","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Couto, D.R.; Araújo Neto, R.C.","2215","2012","05","24",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Pedra Lisa.","-41.1128005981445","-20.8488998413086","250","250",NA,NA,"VIES030081","VIES030081","Couto, D.R.","2012","05","24","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-04-27 16:09:06-03","UFES","VIES","8030","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Gomes, J.M.L.; Vinha, P.C.","1839","1993","03","20",NA,"Brasil","Espírito Santo","Conceição do Castelo",NA,"-41.2439002990723","-20.3682994842529",NA,NA,NA,NA,"VIES008030","VIES008030","Coser, T.S.","2011","06","03","17824","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-04-27 16:09:06-03","UFES","VIES","26320","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Martinelli, G.; Heron, L.; Ronaldes R. & Azoury R.","15719","1999","08","14",NA,"Brasil","Espírito Santo","Domingos Martins","Pedra Azul.","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"VIES026320","VIES026320","C.M. Vieira","2002","07","09","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-06-27 10:24:21-03","UFES","VIES","35802","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Forzza, R.C.; Amaral, J.A. & Pellegrini, M.O.O.","7525","2013","04","19",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.875301361084","-19.8738994598389","892","892",NA,NA,"VIES035802","VIES035802","Forzza, R.C.","2013",NA,NA,"23320","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:19:27-03","MBM","MBM","24562","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Hatschbach, G.; Ahumada, L.Z.; Ahumada, L.Z.","31364","1973","02","07","Southern America","Brazil","Espírito Santo","Domingos Martins","Aracê","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"MBM024562","MBM024562","Smith, L.B.",NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:19:27-03","MBM","MBM","392614","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Forzza, R.C.; Fraga, C.N.; Kollmann, L.; Fontana, A.P.; Labiak, P.H.; Fraga, C.N.; Kollmann, L.; Fontana, A.P.; Labiak, P.H.","4977","2008","02","12","Southern America","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande, trilha para o Forninho","-41.083611","-20.516111","1100","1400",NA,"Rupícola, frequente. Escapos, brácteas do escapo, brácteas florais e flores vermelhos; estames amarelos.; Floresta Ombrófia Densa Altomontana com inselbergues.","MBM392614","MBM392614",NA,NA,NA,NA,NA,NA,"-41.083611","-20.516111",NA,NA,NA,NA,NA,NA
"35","2015-09-03 21:17:43-03","MNHN","RECOLNAT_MNHN_P","P01678002","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Gounelle",NA,"1885","6","1",NA,"Brasil","Minas Gerais",NA,"Brésil: Caraça . Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"1400",NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01678002' target='other'> <mi>dwc_moreinfo</mi></a>","P01678002","P01678002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-09-03 21:20:31-03","MNHN","RECOLNAT_MNHN_P","P01761256","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Hoehne, F.C.",NA,"1951","4","19",NA,"Brasil","Espírito Santo",NA,"Natural em Esp. Santo, cult. no Jard. Botanico de São Paulo. Espírito Santo, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01761256' target='other'> <mi>dwc_moreinfo</mi></a>","P01761256","P01761256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-09-03 20:55:21-03","MNHN","RECOLNAT_MNHN_P","P01746431","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Hoehne, F.C.",NA,"1951","4","19",NA,"Brasil","São Paulo","São Paulo","Brazil. Natural em Esp. Santo, cult. no Jard. Botanico de São Paulo. São Paulo, São Paulo, Sudeste, Brasil, América do Sul","-46.6300010681152","-23.5400009155273",NA,NA,"hb",". fl. 19-04-1951. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01746431' target='other'> <mi>dwc_moreinfo</mi></a>","P01746431","P01746431_01",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:43:32-03","UFMG","BHCB","147116","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Machado, TM; Forzza, RC; Stehmann, JR; Amorim, AMA","279","2010","12","01","Southern America","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Trilha para Cachoeira do Aurélio.","-41.833333","-20.466667","1834","1834",NA,"Saxícola. Folhas verdes com a margem roxa. Escapo verde a avermelhado, brácteas do escapo com a base avermelhada e ápice esverdeado.Brácteas florais com base avermelhada, pedicelo verde a avermlehado. Cálice e corola vermelha",NA,NA,NA,NA,NA,NA,NA,NA,"-41.833333","-20.466667",NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:43:32-03","UFMG","BHCB","178192","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Ribeiro, OBC","490","2013","12","26","Southern America","Brasil","Minas Gerais","Jequeri","Distrito do Grota, Estrada rural caminho para distrito do Grota","-42.558894","-20.524747","781","781",NA,"Rupícola. Flores vermehas. Floriu em cultivo em março de 2015.; Em rocha granitica em meio a populações de Alcantarea","BHCB030673",NA,NA,"2013",NA,NA,NA,NA,"-42.558894","-20.524747",NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:43:32-03","UFMG","BHCB","58120","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Oliveira, JE","579",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Tombos",NA,"-42.0228004455566","-20.9046993255615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16749","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-11 17:18:23-03","UFPR","UPCB","66182","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Forzza, R.C.","5323","2008","10","14",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1100","1500",NA,"Erva rupícola, muito frequente. Folhas verdes a levemente vináceas. Escapo e brácteas do escapo vermelhas. Flores com cálice e corola vermelhos; estames amarelos..",NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"42","2021-02-11 17:18:23-03","UFPR","UPCB","69504","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Forzza, R.C.","4977","2008","02","12",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1100","1400",NA,"Rupícola, frequente. Escapos, brácteas do escapo, brácteas florais e flores vermelhos; estames amarelos..",NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"43","2021-02-11 17:18:23-03","UFPR","UPCB","69875","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.","Forzza, R.C.","5450","2009","01","21",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1700","1700",NA,"Erva rupícola, muito frequente, gran florada. Flores com cálice e corola vermelhos; estames amarelos..",NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"44","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","51249",NA,"Plantae",NA,NA,"Bromeliaceae","Pitcairnia","aff. decidua","Pitcairnia aff. decidua","L.B.Smith","A. P. Fontana; L. Kolmann, E. Leme & C. Esgario","5917","2009","04","25",NA,"Brasil","Espírito Santo","Afonso Cláudio","São João do Garrafão para Vila Pontões. Afloramento rochoso granítico.","-41.009167","-20.205833","1099","1099",NA,"Erva rupícola no sol. Planta estolonífera com acúleos. Folhas verdes decíduas com base avermelhada com tricomas brancos. Brácteas florais vermelhas escuro. Flores com cálice e corola vermelha.","MBML051249","MBML051249_1 MBML051249_2","A.P. Fontana/25-04-2009",NA,NA,NA,NA,NA,"41W0'33","20S12'21",NA,NA,NA,NA,NA,NA
"45","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","51129",NA,"Plantae",NA,NA,"Bromeliaceae","Pitcairnia","aff. decidua","Pitcairnia aff. decidua","L.B. Smith","A. P. Fontana; L. Kolmann, E. Leme & C. Esgario","5926","2009","04","25",NA,"Brasil","Espírito Santo","Vargem Alta","São João do Norte, Taguaraçú, propriedade do Bergaminho.","-41.989167","-20.573056","755","755",NA,"Erva rupícola no sol. Planta não estonolífera com espinhos. Flores vermelhas. Frutos imaturos verdes. Em cultivo na Casa das epífitas.","MBML051129","MBML051129","A.P. Fontana/25-04-2009",NA,NA,NA,NA,NA,"41W59'21","20S34'23",NA,NA,NA,NA,NA,NA
"46","2020-07-10 09:44:37-03","MBML","MBML-HERBARIO","51131",NA,"Plantae",NA,NA,"Bromeliaceae","Pitcairnia","cf. decidua","Pitcairnia cf. decidua","L.B.Smith","A. P. Fontana; L. Kolmann, E. Leme & C. Esgario","5923","2009","04","25",NA,"Brasil","Espírito Santo","Conceição do Castelo","BR 262. Afloramento rochoso granítico em frente ao acesso para Riacho do Meio.","-41.263889","-20.2775","1043","1043",NA,"Erva rupícola no sol. Folhas verdes com base avermelhada com tricomas brancos. Planta estolonífera com espinhos. Flores vermelhas. Frutos imaturos verdes.","MBML051131","MBML051131_1 MBML051131_2","A.P. Fontana/25-04-2009",NA,NA,NA,NA,NA,"41W15'50","20S16'39",NA,NA,NA,NA,NA,NA
