"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","individualCount","typeStatus","coordinatePrecision","geoFlag","preparationType"
"11","2019-12-19 11:20:06-03","UFG","UFG","25059","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Walter, B.M.T.; et al.","1999","06","24",NA,"Brasil","Serra da Mesa, Cerca de 41 km da cidade de Colinas, 7 km após Vila Borba. Pequena mata de galeria não inundável.","Erva cespitosa, cerca de 50cm de altura. Anteras vináceas. Planta ocorre em diferentes locais ao longo das Matas de Galeria e das linhas de drenagem do local. Planta pastada pelo gado, área de influência do AHE Serra da Mesa.","UFG0025059","UFG0025059","Silva, G.P.","1999","06","24","4333","Goiás","Colinas do Sul","-48.122222","-13.897222","-48.122222","-13.897222","650","650",NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","3278348","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg. et al.","T. S. Filgueiras & R. D. Lopes","1992","8","4","South America - Neotropics","Brazil","Macedo, ca. 20 km da Cidade.",NA,NA,NA,NA,NA,NA,NA,"2438","Goiás","Niquelandia","-83.6333","9.5833",NA,NA,"3200","3394",NA,"1","Isotype",NA,NA,NA
"13","2020-09-02 16:36:14-03","Cenargen","CEN","62166","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alícia López & Morrone","Gabriel Hugo Rua","2005","07","10",NA,"Brasil","Macedo, bica.",NA,"CEN00062166","CEN00062166","C. Delfini","2016","12",NA,"633","GO","NIQUELANDIA","-48.428333","-14.3425","-48.428333","-14.3425","849","849",NA,"2",NA,NA,NA,"Exsicatas"
"14","2020-09-02 16:36:14-03","Cenargen","CEN","34267","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Axonopus","hydrolithicus","Axonopus hydrolithicus","(Filg., Davidse & Zuloaga) Alícia López & Morrone","Bruno Machado Teles Walter","1999","06","24",NA,"Brasil","Estrada Colinas - Serra da Mesa.41 km de Colinas, cerca de 7 km após Vila Borba.","Anteras vináceas. Planta ocorre em diferentes locais ao longo das Matas de Galeria e das linhas de drenagem do local. Planta pastada pelo gado. Área de influência do AHE Serra da Mesa. Coletado solo no local.","CEN00034267","CEN00034267","C. Delfini","2016","12",NA,"4333","GO","COLINAS DO SUL","-48.0783004760742","-14.1513996124268","-4812222.0","-1389722.0","650","650",NA,"4",NA,"58154","auto","Exsicatas"
"15","2020-09-02 16:36:58-03","Cenargen","CEN","29184","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Regina Célia Oliveira","1997","09","12",NA,"Brasil","Ca. de 23 km da Entr.Sul do canteiro da AHE Serra da Mesa. Centro Oeste.","Touceira esparsas entre populações de P. stellatum. Ramos da inflorescência mais velhos com pilosidade alva conspicua. Espiguetas jovens vináceas na base. Doação - Sistema Herbário HEPH (13202-1).","CEN00029184","CEN00029184","J. F. M. Valls","1999","03",NA,"803","GO","COLINAS DO SUL","-48.1275",NA,"-48.1275","-1389361.0","500","500",NA,"1",NA,NA,NA,"Exsicatas"
"16","2019-11-13 11:28:54-03","USP","SPF","118865","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Filgueiras, TS","1993","05","19",NA,"Brasil",NA,NA,"SPF00118865",NA,"Anônimo",NA,NA,NA,"2466","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,NA,NA,"74171","auto",NA
"17","2019-10-07 09:22:11-03","UEFS","HUEFS","181822","PreservedSpecimen","Plantae","Lilianae","Poales","Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg. et al.","Silva, C.","2011","10","22",NA,"Brasil","Cachoeira do Abade. 1067m alt.",NA,"HUEFS0181822","HUEFS0181822",NA,NA,NA,NA,"646","Goiás","Pirenópolis","-48.886667","-15.839167","48W53'12''","15S50'21''",NA,NA,"Angiospermae",NA,NA,NA,NA,NA
"18","2021-02-23 13:23:00-03","MN","R-TIPOS","196999","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Filgueiras, T.S.; Oliveira, F.C.A.","1993","05","19",NA,"Brasil","Fonte da Bica",NA,"R000196999","R000196999_001",NA,NA,NA,NA,"2466","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,NA,"Isosyntypus","74171","auto",NA
"19","2021-02-08 12:53:54-03","UFRGS","ICN","156272","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Walter, BMT; et al.","1999","06","24","América do Sul","Brasil","estrada Colinas-Serra da Mesa 41km de Colinas cerca de 7 km após Vila Borba. Lat. 13°53'50''S Long.48°07'20''W","Doação do herbário CEN. Área de influência do AHE Serra da Mesa.; erva cespitosa; cerca de 50cm de altura; flor branca; comum no local; anteras vináceas; pequena mata de galeria não-inundável (em encosta); relevo acidentado; solo areno-argiloso com c",NA,NA,"Silva, GP; Walter, B","1999","06","24","4333","GO","Colinas do Sul","-48.122222","-13.897222","-48.122222","-13.897222","650","650","Monocotyledon",NA,NA,NA,NA,NA
"20","2019-11-21 10:16:03-03","IBt","SP","308631","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Oliveira, FCA; et al.","1996","06","27",NA,"Brasil","Macedo, km 2 da estrada à direita da mina de níquel.",NA,"SP035083","SP035083","Filgueiras, TS","1996","06",NA,"632","Goiás","Niquelândia","-48.415833","-14.384167","-48.415833","-14.384167",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:16:03-03","IBt","SP","308637","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Oliveira, FCA; et al.","1996","06","27",NA,"Brasil","Km 02 da estrada para Macedo Velho.",NA,"SP035082","SP035082","Filgueiras, TS","1996","06",NA,"628","Goiás","Niquelândia","-48.414444","-14.350833","-48.414444","-14.350833",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:16:03-03","IBt","SP","326944","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Oliveira, FCA; et al.","1997","06","25",NA,"Brasil","Macedo, ca de 6 km a esquerda da mina de níquel.",NA,"SP035084","SP035084","Filgueiras, TS","1997","06",NA,"742","Goiás","Niquelândia","-48.383333","-14.316667","-48.383333","-14.316667","990","990",NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:16:03-03","IBt","SP","373937","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Filgueiras, TS","1993","05","19",NA,"Brasil","Macedo, c. 20 km ao norte de Niquelândia. Fonte da bica local","Frequente apenas sobre pedras","SP002621","SP002621",NA,NA,NA,NA,"2466","Goiás","Niquelândia","-48.383333","-14.3","-48.383333","-14.3",NA,NA,NA,NA,"Paratype",NA,NA,NA
"24","2019-11-21 10:16:03-03","IBt","SP","317213","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Filgueiras, TS; Oliveira, FCA","1994","08","25",NA,"Brasil","Macedo, ca. 18 km de Niquelândia.",NA,NA,NA,"Filgueiras, TS","1994","08","25","2973","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,NA,NA,"74171","auto",NA
"25","2019-11-21 10:16:03-03","IBt","SP","358455","S","Plantae",NA,NA,"Poaceae","Ophiochloa","hydrolithica","Ophiochloa hydrolithica","Filg., Davidse & Zuloaga","Filgueiras, TS; Lopes, RD","1992","08","04",NA,"Brasil","Macedo, ca. 20 km da cidade","Capim ereto, cespitoso, inflorescência delgada. Crescendo dentro d'água, sobre pedras, em pequeno riacho temporário","SP002622","SP002622","Davidse, G; Filgueiras, TS","1993",NA,NA,"2438","Goiás","Niquelândia","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,NA,"Holotype","74171","auto",NA
