"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"22","2021-03-15 16:37:00-03","NY","NYBG","02712613","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.",NA,NA,NA,NA,"S. de O. Santos","152","2010","03","01","Brazil","Pernambuco","Igarassu","Usina São José, Mata de Piedade. Borda com canavial.","-34.9944","-7.8408",NA,NA,"117",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2999029' target='other'> <mi>dwc_moreinfo</mi></a>","NY02712613","NY02712613_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"23","2016-09-30 01:48:00-03","NY","NYBG","01155421","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,"H. H. van der Werff",NA,NA,NA,"C. C. Berg","595",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155421","NY01155421_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02712611","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.",NA,NA,NA,NA,"S. de O. Santos","334","2010","12","21","Brazil","Pernambuco","Jaqueira","Serra do Urubu, Pedra D'anta. interior da mata.","-35.86839","-8.70233",NA,NA,"670",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2999014' target='other'> <mi>dwc_moreinfo</mi></a>","NY02712611","NY02712611_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1015482","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.",NA,NA,NA,NA,"C. Luchiari","580","1994","12","07","Brazil","Rio de Janeiro","Silva Jardim","Reserva Bológica de Poço das Antas. Lado direito, fora da reserva.","-42.3917","-22.6508",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106460' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015482","NY01015482_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"26","2016-09-29 21:37:00-03","NY","NYBG","00894389","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,"F. G. Lorea-Hernández",NA,NA,NA,"J. E. de Paula","1250","1979","08","27","Brazil","Ceará","Pacatuba","Serra no sítio do Pitaguarí.","-38.6203","-3.9844",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894389","NY00894389_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01155419","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","F. G. Lorea-Hernández",NA,NA,NA,"G. T. Prance","4453","1967","02","17","Brazil","Roraima",NA,"Serra Tepequem, forest on upper west facing slopes.","-61.755459","3.760455",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155419","NY01155419_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"28","2016-09-30 01:48:00-03","NY","NYBG","01155420","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve",NA,"F. G. Lorea-Hernández",NA,NA,NA,"R. P. Bahia","19",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01155420","NY01155420_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","459826","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","H. H. van der Werff",NA,NA,NA,"S. A. Mori","15024","1982","10","02","French Guiana","Saint-Laurent-du-Maroni",NA,"Commune de Saül - Région de Saül. Monts La Fumée","-53.22","3.62",NA,NA,"200","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459826",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","459828","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","F. G. Lorea-Hernández",NA,NA,NA,"W. A. Palacios","3660","1989","01","26","Ecuador","Napo",NA,"Via Baeza-Cosanga","-77.9","-0.53",NA,NA,"1850","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459828",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","459829","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","triplinerve","Cinnamomum triplinerve","(Ruiz & Pav.) Kosterm.","F. G. Lorea-Hernández",NA,NA,NA,"R. M. Klein","1749","1955","11","03","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459829","NY00459829_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
