"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","continentOcean","order","typeStatus","relatedCatalogItem"
"11","2020-06-29 09:31:27-03","UFRRJ","RBR","42926","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","L.H. Soares",NA,"2015","06","12","Brasil","Rio de Janeiro","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar F42/32.","-43.538056","-22.9575",NA,NA,"RBR00042926",NA,NA,NA,"L.H. Soares",NA,"43º32'17''W","22º57'27''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:31:27-03","UFRRJ","RBR","42927","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","T.P.P. Alverga",NA,"2015","05","28","Brasil","Rio de Janeiro","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar F98/128.","-43.516389","-22.975278",NA,NA,"RBR00042927",NA,NA,NA,"T.P.P. Alverga",NA,"43º30'59''W","22º58'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:31:27-03","UFRRJ","RBR","42928","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","T.P.P. Alverga",NA,"2015","05","28","Brasil","Rio de Janeiro","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar F101/44.","-43.443889","-22.959722",NA,NA,"RBR00042928",NA,NA,NA,"T.P.P. Alverga",NA,"43º26'38''W","22º57'35''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:31:27-03","UFRRJ","RBR","44127","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","R.A. Coelho; M.C. Souza, J. Costa","8","2018","03","27","Brasil","Rio de Janeiro","Rio de Janeiro","Campus Fiocruz Mata Atlântica. Parque Estadual da Pedra Branca","-43.2075004577637","-22.9027996063232","57442",NA,"RBR00044127",NA,"auto",NA,"M.C. Souza","2018",NA,NA,NA,NA,"04","05",NA,NA,NA,NA,NA
"15","2020-06-29 09:31:27-03","UFRRJ","RBR","13039","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","A. Gentry","4044","1987","01","19","Brasil","Rio de Janeiro","Rio de Janeiro","Jacarapagua, Represa do camorin. Floresta Atlântica de encosta","-43.2075004577637","-22.9027996063232","57442",NA,"RBR00013039","RBR00013039","auto",NA,"M.C. Souza","2014",NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:31:27-03","UFRRJ","RBR","4666","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","I.M. Silva","416","1995","08","22","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00004666","RBR00004666","auto",NA,"M.C. Souza, B.L. Tiellet","2006",NA,NA,NA,NA,"10","09",NA,NA,NA,NA,NA
"17","2020-06-29 09:31:27-03","UFRRJ","RBR","4646","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","I.M. Silva","348","1995","04","17","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00004646","RBR00004646","auto",NA,"M.C. Souza, B.L. Tiellet","2006",NA,NA,NA,NA,"10","09",NA,NA,NA,NA,NA
"18","2020-06-29 09:31:27-03","UFRRJ","RBR","26187","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","H.C. Rodrigues","s.n.","1994","06","11","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00026187","RBR00026187","auto",NA,"M.C. Souza, B.L. Tiellet","2016",NA,NA,NA,NA,"08","02",NA,NA,NA,NA,NA
"19","2020-06-29 09:31:27-03","UFRRJ","RBR","26184","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","H.C. Rodrigues","s.n.","1994","05","21","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00026184","RBR00026184","auto",NA,"M.C. Souza, B.L. Tiellet","2016",NA,NA,NA,NA,"08","02",NA,NA,NA,NA,NA
"20","2020-06-29 09:31:27-03","UFRRJ","RBR","26183","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","H.C. Rodrigues","s.n.","1994","05","14","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00026183","RBR00026183","auto",NA,"M.C. Souza, B.L. Tiellet","2016",NA,NA,NA,NA,"08","02",NA,NA,NA,NA,NA
"21","2020-06-29 09:31:27-03","UFRRJ","RBR","26182","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","H.C. Rodrigues","s.n.","1994","05","14","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00026182","RBR00026182","auto",NA,"M.C. Souza, B.L. Tiellet","2006",NA,NA,NA,NA,"10","09",NA,NA,NA,NA,NA
"22","2020-06-29 09:31:27-03","UFRRJ","RBR","26178","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","H.C. Rodrigues","s.n.","1994","03","27","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"RBR00026178","RBR00026178","auto",NA,"M.C. Souza, B.L. Tiellet","2006",NA,NA,NA,NA,"10","09",NA,NA,NA,NA,NA
"23","2013-04-01 09:17:17-03","IPT","BCTW","18512","S","Plantae",NA,"Eugenia","batingabranca","Eugenia batingabranca","Sobral",NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da Cia Vale do Rio Doce (CVRD)","-40.0722","-19.3911","48094",NA,NA,NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"24","2020-12-21 16:36:26-03","MBM","MBM","306353","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Cabral","Kollmann, L.; et al.; et al.","4690","2001","09","19","Brazil","Espírito Santo","Santa Teresa","Lombardia","-40.6002998352051","-19.9356002807617","23813",NA,"MBM306353","MBM306353","auto",NA,"Sobral, M.",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"25","2019-11-01 15:33:06-03","PUC-RIO","FCAB","7742","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","J.M. Freire; R.R. Oliveira; B.L. Rosendo","293","2009","11","05","Brasil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 2.9","-42.825306","-22.681361",NA,"Árvore com 9 m de altura, com 23 cm de CAP.","FCAB007742",NA,NA,NA,"M. Souza",NA,"-42.825306","-22.681361",NA,NA,NA,NA,NA,NA,"Angiospermae",NA,NA
"26","2020-12-11 11:39:06-03","UFMG","BHCB","124896","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Demuner, V; Magnago, LFS; Belisário, M; Bausen, E","1817","2006","02","15","Brasil","Espírito Santo","Santa Leopoldina","Serra do Ramalhete, Fazenda Caioaba, proprietário Cláudio Virloni, trilha do córrego Caioaba","-40.470639","-20.058556",NA,"Árvore de 10m, fuste de 5m, DAP 20cm, botôes florais verdes, folhas ferrugíneas; Interior de mata","BHCB050467",NA,NA,"Dicotyledon",NA,"2019","-40.470639","-20.058556","200","200","04",NA,NA,"Southern America",NA,NA,NA
"27","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","15290",NA,"Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","L. Kollmann; et al","4690","2001","09","19","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Árvore 13m. DAP 22cm. Fuste 8m. Frutos verdes. Folhas marrons na face abaxial.","MBML015290","MBML015290",NA,NA,"M. Sobral/2005",NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","28503",NA,"Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1293","2006","09","05","Brasil","Espírito Santo","Águia Branca","Aguas Claras, Escola Agroecológica.","-40.825833","-18.890278",NA,"Árvore 10m de alt. DAP 15cm. Fuste 2m. Frutos amarelos. Folha abaxial ferruginea. Mata.","MBML028503","MBML028503",NA,NA,"M. Sobral/Março-2007",NA,"40W49'33","18S53'25","300","300",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-03 13:56:22-03","UFF","NIT","NIT10297","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","T. Fernandes","128","2017","07","15","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Floresta da Tijuca.","-43.2075004577637","-22.9027996063232","57442","Árvore, 10 m. CAP 31 cm. Casca fissurada. Estéril. Folhas discolores, piloidade ferrugínea nas folhas jovens. Catáfilos nos ramos jovens.","NIT00001531",NA,"auto",NA,"T. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-18 11:41:00-03","UERJ","HRJ","12392","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","L. P. G. Rosa; w. Silva, L. Mauad, M. C. Fraga, R. Cesar","s.n.","2011","07","19","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471","32988",NA,"HRJ00012751",NA,"auto",NA,"M.C. Souza",NA,NA,NA,"730","730",NA,NA,NA,NA,NA,NA,NA
"31","2021-02-09 10:13:37-03","UENF","HUENF","10284","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Souza, T.P.; Ribeiro, C.T.","420","2013","04","09","Brasil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,"Parcela 5","HUENF00010927",NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-09 10:13:37-03","UENF","HUENF","10892","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Archanjo, K.M.P.A.; Toledo, E.","3325","2010","01","20","Brasil","Rio de Janeiro","Natividade","Monte Alegre.","-41.9733009338379","-21.042200088501","18409","Cf.; Parcela 3","HUENF00011567",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-09 10:13:37-03","UENF","HUENF","10891","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Archanjo, K.M.P.A.","3358","2010","12","09","Brasil","Rio de Janeiro","Natividade","Monte Alegre.","-41.9733009338379","-21.042200088501","18409","Cf.; Parcela 3","HUENF00011566",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-25 10:13:02-03","CVRD","CVRD","897","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Folli, D.A.","365","1982","03","12","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094","<ll>dwc_commonname:</ll> Batinga branca","CVRD000897","CVRD000897","auto","Magnoliophyta","Marcos Sobral","2006",NA,NA,NA,NA,"08","25","Magnoliopsida","América do Sul","Myrtales","HOLOTYPUS",NA
"35","2021-02-25 10:13:02-03","CVRD","CVRD","935","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Silva, I.A.","339","1982","08","31","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094","<ll>dwc_commonname:</ll> Batinga branca","CVRD000935",NA,"auto","Magnoliophyta","Marcos Sobral","2006",NA,NA,NA,NA,"08","25","Magnoliopsida","América do Sul","Myrtales",NA,NA
"36","2021-02-25 10:13:02-03","CVRD","CVRD","14450","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Folli, D.A.","7073","2013","06","04","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","48094","<ll>dwc_commonname:</ll> Batinga branca","CVRD014450",NA,"auto","Magnoliophyta","Domingos A. Folli","2013",NA,NA,"33","33","06","04","Magnoliopsida","América do Sul","Myrtales",NA,NA
"37","2021-02-25 10:13:02-03","CVRD","CVRD","942","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Folli, D.A.","393","1982","09","14","BRASIL","ES","Linhares","Coleta de flor DAF 365.","-40.0722007751465","-19.3910999298096","48094","<ll>dwc_commonname:</ll> Batinga branca","CVRD000942",NA,"auto","Magnoliophyta","Marcos Sobral","2006",NA,NA,NA,NA,"08","25","Magnoliopsida","América do Sul","Myrtales",NA,NA
"38","2021-02-25 10:13:02-03","CVRD","CVRD","1084","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Folli, D.A.","489","1984","01","20","BRASIL","ES","Linhares","Coleta de fruto IAS.339","-40.0722007751465","-19.3910999298096","48094","<ll>dwc_commonname:</ll> Batinga branca","CVRD001084","CVRD001084","auto","Magnoliophyta","Marcos Sobral","2006",NA,NA,NA,NA,"08","25","Magnoliopsida","América do Sul","Myrtales",NA,NA
"39","2020-11-23 11:39:07-03","IAC","IAC","49866","S","Plantae","Myrtaceae-2.Myrtoideae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","E. Ramos; H.R. Gonçalves & S. Santos","530","2007","10","01","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela H","-45.082357","-23.373053",NA,"Subparcela 90,PAP H1400",NA,NA,NA,NA,"E. Ramos et al.","2007","-45.082357","-23.373053",NA,NA,"10","01",NA,NA,NA,NA,NA
"40","2020-11-23 11:39:07-03","IAC","IAC","51971","S","Plantae","Myrtaceae-2.Myrtoideae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","E. Ramos; M. Eltink; J.F. Benedito & S. Santos","651","2009","11","07","Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Fazenda Capricórnio","-45.082357","-23.373053",NA,"Parcela H, subparcela 90, indivíduo n°1400",NA,NA,NA,NA,"E. Ramos et al.","2009","-45.082357","-23.373053",NA,NA,"11","07",NA,NA,NA,NA,NA
"41","2020-07-23 12:15:40-03","CEPLAC","CEPEC","72676","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca",NA,"R. Marquete","1682","1994","04","18","Brasil","Rio de Janeiro","PARATY","Apa-cairuçu, Morro do Curralinho.","-44.5","-23.166667",NA,NA,NA,NA,NA,NA,"M. Sobral",NA,"44W30'","23S10'",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2010"
"42","2020-07-23 12:15:40-03","CEPLAC","CEPEC","72686","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca",NA,"R. Marquete","1506","1994","03","08","Brasil","Rio de Janeiro","PARATY","Apa-cairuçu, Corrego dos Micos, Morro da Pedra Rolada.","-44.05","-23.016667",NA,NA,NA,NA,NA,NA,"M. Sobral",NA,"44W3'","23S1'",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2010"
"43","2019-02-27 14:02:42-03","UFSJ","HUFSJ","2314","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Folli, DA","489","1984","01","20","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096","48094","Porte arbóreo, botão marrom, flor branca, descamação em placas, fuste cilíndrica, casca escamosa.","HUFSJ002314",NA,"auto",NA,"Sobral, M","2006",NA,NA,NA,NA,"08","25",NA,NA,NA,NA,NA
"44","2019-02-27 14:02:42-03","UFSJ","HUFSJ","2316","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Silva, IA","339","1982","08","31","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096","48094","Porte arbóreo, descamação em placas, fuste cilíndrica, casca escamosa.","HUFSJ002316",NA,"auto",NA,"Sobral, M","2006",NA,NA,NA,NA,"08","25",NA,NA,NA,NA,NA
"45","2019-02-27 14:02:42-03","UFSJ","HUFSJ","2315","S","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Folli, DA","393","1982","09","14","Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Coleta de flor DAF 365.","-40.0722007751465","-19.3910999298096","48094","Porte arbóreo, fruto imaturo verde claro amarelo e vermelho, descamação em ripas, fuste cilíndrica, casca escamosa.","HUFSJ002315",NA,"auto",NA,"Sobral, M","2006",NA,NA,NA,NA,"08","25",NA,NA,NA,NA,NA
"46","2019-11-01 15:05:26-03","UnB","UB","169798","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","Aranha, BA","370","2006","10","22","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J.","-45.145","-23.617778",NA,NA,NA,NA,NA,"Dicotyledoneae","Sobral, M","2008","-45.145","-23.617778",NA,NA,"10",NA,NA,"Southern America",NA,NA,NA
"47","2021-03-04 15:45:21-03","IF","SPSF","48208","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","batingabranca","Eugenia batingabranca","Sobral","D.A.Folli","7073","2013","06","04","Brasil","ES","Rio Bananal","Reserva Florestal da CVRD","-39.908056","-19.091667",NA,"COLETA: Porte arbóreo; fruto maduro roxo e imaturo verde claro e amarelo; Seiva incolor; descamação em placas; casca escamosa; fuste cilíndrico; altura 13m; fuste com 8m de altura e CAP 59 cm; diâmetro da copa 5m.&nf;Nome Popular - Batinga Branca. - 1 DU",NA,NA,NA,"Magnoliophyta","D.A.Folli","2013",NA,NA,NA,NA,"06","04","Magnoliopsida","América do Sul","Myrtales",NA,NA
