"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"26","2020-12-11 11:36:42-03","UFMG","BHCB","61132","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67219","auto",NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","2987575","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A. P.","I. Cordeiro, J. R. Pirani, L. Rossi, A. Furlan & M. C. E. Amaral","CFCR 834","1981","4","13","South America - Neotropics","Brazil","Minas Gerais",NA,"Mun. of Grao Mogol",NA,NA,NA,NA,NA,NA,"US00317809","US00317809_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"28","2020-09-12 05:00:02-03","US","US","3234722","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,"G. Hatschbach, D. Guimaraes & M. M. Hatschbach","54263","1990","6","14","South America - Neotropics","Brazil","Minas Gerais",NA,"Trilha dos Garimpeiros, Grao Mogol",NA,NA,"1500",NA,NA,NA,"US00413789","US00413789_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"29","2020-09-12 05:00:02-03","US","US","3065986","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A. P.","G. Hatschbach & et al.","41285","1978","4","21","South America - Neotropics","Brazil","Minas Gerais",NA,"Rio Itacambirucu (mun of Grao Mogol)",NA,NA,NA,NA,NA,NA,"US00317808","US00317808_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"30","2019-11-13 11:20:19-03","USP","SPF","177250","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Lopes, MMM","995","2006","07","13",NA,"Brasil","Minas Gerais","Botumirim","Serra da Canastra","-43.031389","-16.854444","1170","1170",NA,NA,"SPF00177250","SPF00177250","2014","05",NA,"-43.031389","-16.854444",NA,NA,NA,NA,NA
"31","2019-11-13 11:20:19-03","USP","SPF","190191","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Lopes, JC","Lopes, JC","50","2009","04","10",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.903028","-16.594028","671","671",NA,NA,"SPF00190191","SPF00190191","2009",NA,NA,"-42.903028","-16.594028",NA,NA,NA,NA,NA
"32","2019-11-13 11:20:19-03","USP","SPF","60766","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Pirani, JR","2271","1988","02","14",NA,"Brasil","Minas Gerais","Itacambira",NA,"-43.3","-17.066667","1220","1220",NA,NA,"SPF00060766","SPF00060766","1989","04",NA,"-43.3","-17.066667",NA,NA,NA,NA,NA
"33","2019-11-13 11:20:19-03","USP","SPF","70603","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Simão-Bianchini, R","CFCR13149","1990","06","16",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.9","-16.55","950","1100",NA,NA,"SPF00070603","SPF00070603","1991","02",NA,"-42.9","-16.55",NA,NA,NA,NA,NA
"34","2019-11-13 11:20:19-03","USP","SPF","96463","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Roque, N","CFCR14971","1994","03","12",NA,"Brasil","Bahia","Caetité",NA,"-42.524444","-14.266389","900","1000",NA,NA,"SPF00096463","SPF00096463","1999","05",NA,"-42.524444","-14.266389",NA,NA,NA,NA,NA
"35","2019-11-13 11:20:19-03","USP","SPF","96810","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, AO","Roque, N","CFCR15048","1994","03","15",NA,"Brasil","Minas Gerais",NA,"Serra do Pau d'Arco","-42.6075","-15.081944","1300","1400",NA,NA,"SPF00096810","SPF00096810","1999","05",NA,"-42.6075","-15.081944",NA,NA,NA,NA,NA
"36","2019-11-13 11:20:19-03","USP","SPF","97008","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Sakuragui, CM","CFCR15147","1994","05","17",NA,"Brasil","Minas Gerais","Mato Verde","Serra do Mandaçaia","-42.774167","-15.384167","1100","1100",NA,NA,"SPF00097008","SPF00097008","1999","05",NA,"-42.774167","-15.384167",NA,NA,NA,NA,NA
"37","2019-11-13 11:20:19-03","USP","SPF","47608","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Pirani, JR","CFCR10748","1987","05","21",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","830","830",NA,NA,"SPF00047608","SPF00047608","1989","04",NA,NA,NA,"67219","auto",NA,NA,NA
"38","2019-11-13 11:20:19-03","USP","SPF","42825","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Menezes, NL","CFCR9576","1986","02","24",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","900","1000",NA,NA,"SPF00042825","SPF00042825","1987",NA,NA,NA,NA,"67219","auto",NA,NA,NA
"39","2019-11-13 11:20:19-03","USP","SPF","22764","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Cordeiro, I","CFCR834","1981","04","13",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"SPF00022764","SPF00022764","1987",NA,NA,NA,NA,"67219","auto",NA,NA,NA
"40","2019-11-13 11:20:19-03","USP","SPF","70602","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Simão-Bianchini, R","CFCR13075","1990","06","15",NA,"Brasil","Minas Gerais","Grão Mogol","Alto da Serra.","-42.8897018432617","-16.5594005584717","1000","1000",NA,NA,"SPF00070602","SPF00070602","1991","02",NA,NA,NA,"67219","auto",NA,NA,NA
"41","2019-11-13 11:20:19-03","USP","SPF","131124","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Pirani, JR","4332","1998","05","15",NA,"Brasil","Minas Gerais","Grão Mogol","Serra do Barão","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"SPF00131124","SPF00131124","1999","05",NA,NA,NA,"67219","auto",NA,NA,NA
"42","2019-11-13 11:20:19-03","USP","SPF","23210","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Chautems, A","Rossi, L","CFCR2999","1982","04","04",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"SPF00023210","SPF00023210","1987","05",NA,NA,NA,"19014","auto",NA,NA,NA
"43","2019-10-07 09:15:52-03","UEFS","HUEFS","80005","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,"Harley, R.M.","54449","2002","02","11",NA,"Brasil","Bahia","Rio de Contas","Caminho para o Pico das Almas, na subida para o Campo do Queiroz.","-41.948333","-13.514444","1502","1502",NA,"Campo rupestre, solo muito encharcado, escuro.","HUEFS0080005",NA,NA,NA,NA,"41W56'54''","13S30'52''",NA,NA,"Asteranae",NA,NA
"44","2019-10-07 09:15:52-03","UEFS","HUEFS","89300","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","A.Chautems","Harley, R.M.","54383","2001","05","18",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Caminho da Fazenda Silvina para o Campo do Queiroz.","-41.95","-13.5","1535","1535",NA,"Entre rochas em solo arenoso, com Vellozia, na subida.","HUEFS0089300","HUEFS0089300","2004","11",NA,"41W57'0''","13S30'0''",NA,NA,"Asteranae",NA,NA
"45","2019-10-07 09:15:52-03","UEFS","HUEFS","38861","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,"Roque, N.",NA,"1994","03","12",NA,"Brasil","Bahia","Caetité","Arredores de Brejinho das Ametistas.","-42.524444","-14.266389","900","1000",NA,"Campo rupestre.","HUEFS0038861","HUEFS0038861",NA,NA,NA,"42W31'28''","14S15'59''",NA,NA,"Asteranae",NA,NA
"46","2019-10-07 09:15:52-03","UEFS","HUEFS","150774","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,"Rezende, S.G.","2914","2008","03","28",NA,"Brasil","Minas Gerais","Itabirito","Região da GERDAU.","-43.864444","-20.165833","985","985",NA,"Campo rupestre sobre quartzito, herbáceo.","HUEFS0150774","HUEFS0150774",NA,NA,NA,"43W51'52''","20S9'57''",NA,NA,"Asteranae",NA,NA
"47","2020-07-23 12:08:40-03","CEPLAC","CEPEC","80414","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii",NA,"A. Chautems","A. M. de Carvalho","6552","1998","01","01",NA,"Brasil","Minas Gerais","GRÃO MOGOL","Atras da cidade. Trilha do Barao.","-42.895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42W53'42","16S33'76",NA,NA,NA,NA,"30/08/1998"
"48","2020-07-23 12:08:40-03","CEPLAC","CEPEC","31696","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii",NA,"A. Chautems","I. Cordeiro",NA,"1981","04","13",NA,"Brasil","Minas Gerais","GRÃO MOGOL","Atras da cidade.","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","67219","auto",NA,NA,"30/06/1986"
"49","2020-07-23 12:08:40-03","CEPLAC","CEPEC","33026","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii",NA,"A. Chautems","G. Hatschbach","41285","1981","11","29",NA,"Brasil","Minas Gerais","GRÃO MOGOL","Rio Itacambirucu.","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","67219","auto",NA,NA,"30/06/1986"
"50","2019-11-01 15:01:23-03","UnB","UB","148206","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Araújo, AO","Anderson, WR","35809","1972","02","11","Southern America","Brasil","Minas Gerais","Serra do Espinhaço",NA,NA,NA,NA,NA,NA,"Very common.; Shrub 1-2m tall,corolla green outside,white with purplee markings inside.",NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2019-11-01 15:01:23-03","UnB","UB","148207","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.","Moore, HE","Irwin, HS","23668","1969","02","21","Southern America","Brasil","Minas Gerais","Grão Mogol","18m west of Grão Mogol.","-42.8897018432617","-16.5594005584717",NA,NA,NA,"Soft-stemmed shrub ca. 2m tall,corolla light green without,cream ligthly spotted violet within.; Cerrado.",NA,NA,"1972",NA,NA,NA,NA,"67219","auto",NA,NA,NA
"52","2020-10-08 08:53:11-03","IBt","SP","335495","S","Plantae",NA,NA,"Gesneriaceae","Paliavana","werdermannii","Paliavana werdermannii","Mansf.",NA,"Roque, N","CFCR14971","1994","03","12",NA,"Brasil","Bahia","Caetité",NA,"-42.4749984741211","-14.0693998336792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53684","auto",NA,NA,NA
