"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","preparationType","barcode","imagecode","typeStatus","class","fieldNumber"
"11","2021-01-15 14:42:37-03","MN","R","110583","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Mello-Silva, R.","1986","06","20","Vidal, J.","IV - 1227","1954","12",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010058804,R010058803","R010058803 R010058804",NA,NA,NA
"12","2020-12-20 21:19:38-03","UFV","VIC","003813","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Smith & Ayenso",NA,NA,NA,NA,"Mello-Silva, R.","s.n.","1992","10",NA,"Brasil","Minas Gerais","Lagoa Santa","Serra do Cipó","-43.8897018432617","-19.6271991729736",NA,NA,"12338",NA,NA,NA,"auto",NA,NA,NA,"VIC003813","VIC003813",NA,NA,NA
"13","2020-12-20 21:19:38-03","UFV","VIC","008914","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Smith & Ayenso",NA,NA,NA,NA,"Moura, L.S.; et al.","422","1983","04","01","Brasil","Minas Gerais","Lagoa Santa","Serra do Cipó, km 134.","-43.8897018432617","-19.6271991729736",NA,NA,"12338",NA,NA,"Flores roxas.","auto",NA,NA,NA,"VIC008914","VIC008914",NA,NA,NA
"14","2019-08-20 10:01:53-03","UNICAMP","UEC","17606","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Smith, LB","1975",NA,NA,"Hatschbach, G; Koczicki, C","35401","1974","10","27","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,"flor, Dos lagedos do Canio a beira rio, flor anib, base alva. Até 30 cm alt","auto",NA,NA,NA,"UEC000703","UEC000703",NA,NA,NA
"15","2019-08-20 10:01:53-03","UNICAMP","UEC","17545","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R","1987","12",NA,"Joly, AB; Semir, J; Gemtchujnicov, I; Joly, AM; Martins, F","1280","1972","03","06","Brazil","Minas Gerais","Diamantina","km 140 ao longo da rodovia Lagoa Santa -","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,"flor, Arbusto 20 cm. Flor violácea 7 cm","auto",NA,NA,NA,"UEC000706","UEC000706",NA,NA,NA
"16","2019-08-20 10:01:53-03","UNICAMP","UEC","17605","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Sazima, M","8521","1978","10","28","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor","auto",NA,NA,NA,"UEC000707","UEC000707",NA,NA,NA
"17","2019-08-20 10:01:53-03","UNICAMP","UEC","17604","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Sazima, M","8523","1974","10","28","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor","auto",NA,NA,NA,"UEC000708","UEC000708",NA,NA,NA
"18","2019-08-20 10:01:53-03","UNICAMP","UEC","17603","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Sazima, M","8522","1973","10","28","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Ma","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor","auto",NA,NA,NA,"UEC000705","UEC000705",NA,NA,NA
"19","2019-08-20 10:01:53-03","UNICAMP","UEC","17619","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R","1987","12",NA,"Joly, AB; Gemtchujnicov, I","1298","1972","03","06","Brazil","Minas Gerais","Jaboticatubas","km 140 ao longo da rodovia Lagoa Santa -","-43.7449989318848","-19.513599395752",NA,NA,"31264",NA,NA,"flor, Flor roxa, touceira, altura 12 - 15 cm (foto)","auto",NA,NA,NA,"UEC000704","UEC000704",NA,NA,NA
"20","2021-03-01 16:20:48-03","UNICAMP","UEC","125052","S","Plantae","Liliopsida",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Yamamoto, K; Sanches, AM","00/104","2000","11","22","Brazil","Minas Gerais","Santana do Riacho","Vellozia gigante","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"Flores roxo-azuladas.","auto",NA,NA,NA,"UEC000710","UEC000710",NA,NA,NA
"21","2019-11-06 09:57:51-03","UFOP","OUPR","14261","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R.","1986","01","24","Badini, J.; Mello-Barreto, H.L.","s.n.","1938","02",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,"Aderente as rochas. Erva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:46:51-03","MBM","MBM","31736","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Smith, L.B.; Ayensu, E.",NA,NA,NA,"Hatschbach, G.; Ferreira, L.F.; Ferreira, L.F.","35382",NA,NA,NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto",NA,"Southern America",NA,"MBM031736","MBM031736",NA,NA,NA
"23","2020-12-21 16:46:51-03","MBM","MBM","31165","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Mello-Silva, R.","1990","03","07","Meneses, N.","261","1972","09","08","Brazil","Minas Gerais",NA,"Serra do Cipó, Km 138",NA,NA,NA,NA,NA,NA,NA,"Abundância de flores. Do solo arenoso ou sobre pedras; Do solo arenoso ou sobre pedras.",NA,NA,"Southern America",NA,"MBM031165","MBM031165","PARATYPE",NA,NA
"24","2020-12-21 16:46:51-03","MBM","MBM","31738","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Smith, L.B.; Ayensu, E.",NA,NA,NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","35401",NA,NA,NA,"Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,NA,"auto",NA,"Southern America",NA,"MBM031738","MBM031738",NA,NA,NA
"25","2020-12-21 16:46:51-03","MBM","MBM","155071","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Mello-Silva, R.",NA,NA,NA,"Menezes, N.L.","145",NA,NA,NA,"Brazil","Minas Gerais","Santana do Riacho","Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto",NA,"Southern America",NA,"MBM155071","MBM155071",NA,NA,NA
"26","2020-12-21 16:46:51-03","MBM","MBM","152156","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu","Mello-Silva, R.",NA,NA,NA,"Menezes, N.L.","1200",NA,NA,NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto",NA,"Southern America",NA,"MBM152156","MBM152156",NA,NA,NA
"27","2015-09-03 19:25:25-03","MNHN","RECOLNAT_MNHN_P","P02075457","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816","1","1","Brasil","Minas Gerais",NA,"Penha",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02075457' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"hb","P02075457","P02075457_01",NA,NA,NA
"28","2015-09-03 19:25:25-03","MNHN","RECOLNAT_MNHN_P","P02075456","PreservedSpecimen",NA,NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Hatschbach, G.|Koczicki, C.",NA,"1974","10","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antonio","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02075456' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,"hb","P02075456","P02075456_01",NA,NA,"35401"
"29","2020-12-11 11:45:31-03","UFMG","BHCB","92713","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Mota, RC da","2834","2002","09","13","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo.","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,"Planta coletada em campo limpo pedregoso; perianto arroxeado.","auto",NA,"Southern America",NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:45:31-03","UFMG","BHCB","92741","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Mota, RC da","2862","2003","04","23","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo.","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,"Planta coletada em campo rupestre; perianto arroxeado.","auto",NA,"Southern America",NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:45:31-03","UFMG","BHCB","16688","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu",NA,NA,NA,NA,"Ferreira, SM","s.n.","1989","11","18","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Fazenda Palácio","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto",NA,"Southern America",NA,NA,NA,NA,NA,NA
"32","2011-02-17 10:58:00-02","MO","MOBOT","3037348","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20017","1968","2","14","Brazil","Minas Gerais",NA,"Sandy campo with outcrops, Serra do Cipó, Minas Gerais, ca. km 120 (ca. 145km N. of Belo Horizonte)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA
"33","2020-08-31 09:20:09-03","INPA","INPA","87952","S","Plantae","Monocotyledon","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Ayensu, ES; Smith, LB",NA,NA,NA,"Hatschbach, GG","35401","1974","10","27","Brasil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio. Dos lageados do Canion a beira do rio.","-43.4249992370605","-19.0372009277344",NA,NA,"60318","30","30",NA,"auto",NA,"Southern America",NA,"INPA0087952","INPA0087952_e",NA,NA,NA
"34","2020-08-31 09:20:09-03","INPA","INPA","66038","S","Plantae","Monocotyledon","Pandanales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Smith; Ayensu, LB",NA,NA,NA,"Irwin, HS","20017","1968","02","14","Brasil","Minas Gerais",NA,"Serra do Cipó ca. km 120 (ca.145 N. of Belo Horizonte.) Outcrops, sandy campo clumps. In dense clumps.",NA,NA,NA,NA,NA,"1200","1200",NA,NA,NA,"Southern America",NA,"INPA0066038","INPA0066038 INPA0066038_e",NA,NA,NA
"35","2019-06-10 10:11:47-03","FZB-BH","BHZB","8547","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","469","2012","05","17","Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo dos Gerais, acampamento","-43.704722","-19.025","43W 42' 17","19S 01' 30",NA,"1223","1223","Ponto 88 (636319 7895899 1223m)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-06-10 10:11:47-03","FZB-BH","BHZB","12124","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","1657","2018","01","26","Brasil","MG","Santana do Riacho","Alto Palácio, Serra do Cipó","-43.7144012451172","-19.1688995361328","43º33'37.4","19º17'15.9","26557","1184","1184","Planta com folhas secas patentes e frutos imaturos.","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-06-10 10:11:47-03","FZB-BH","BHZB","9692","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,"R, Mello -Silva confirmada",NA,NA,NA,"Ferreira Junior, C.A. et al.","831","2012","11","28","Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais","-43.7144012451172","-19.1688995361328",NA,NA,"26557","1236","1236","Ponto 111 637903 789032 1236m , Cespitoso. Caule pequeno., Doação de duplicata para Herbario SPF em março 2014","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-06-10 10:11:47-03","FZB-BH","BHZB","11241","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,NA,NA,NA,NA,"Assis, L.",NA,"2015","10","27","Brasil","MG","Conceição do Mato Dentro","Parque Serra do Intendente",NA,"-19.0025","43º36' 56W ,","19º 00' 09S",NA,NA,NA,"Levantamento Florístico no Parque Serra do Intendente ( Conceição do Mato Dentro , MG , para elaboração do Plano de Manejo, Unicata.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-06-10 10:11:47-03","FZB-BH","BHZB","844","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,"R, Mello -Silva","2015","12",NA,"Fernandes, M.G.C.",NA,"2001","06","25","Brasil","MG","Belo Horizonte","FZBBH/ Estufa de Campo Rupestre","-43.937801361084","-19.9207992553711",NA,NA,"17082",NA,NA,"Cultivado. Anteriormente NI","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-06-10 10:11:47-03","FZB-BH","BHZB","7995","S","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens",NA,NA,NA,NA,NA,"Ferreira Junior, C.A. et al.",NA,"2010","10","13","Brasil","MG","Belo Horizonte","FZB-BH - Jardim Botânico - Coleção Cerrado","-43.937801361084","-19.9207992553711",NA,NA,"17082",NA,NA,"SPI 2009 050. Origem: Santana do Pirapama - Serra do Cipó - MG. Folhas com margens serrilhadas, presença de muitas folhas secas no caule. Cultivado","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 11:52:55-03","UFPE","UFP","11716","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Smith & Ayensu","Mello-Silva, R","1994","01",NA,"Benko-Isepon, AM","s.n.","1993","10","31","Brasil","Minas Gerais","Conceição do Mato de Dentro",NA,NA,NA,NA,NA,NA,NA,NA,"Fixções cromossômicas efetuadas. Sementes e plantas para cultivo coletadas.; Plantas com até 15 cm. de altura, cápsulas maduras castanho-amareladas.",NA,NA,NA,NA,"UFP011716",NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","2538459","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"H. S. Irwin","20017","1968","2","14","Brazil","Minas Gerais",NA,"Serro do Cipo, north of Belo Horizonte.",NA,NA,NA,NA,NA,"1200","1200",NA,NA,"1","South America - Neotropics",NA,"US00092401","US00092401_01","Holotype","Monocotyledonae",NA
"43","2020-09-12 05:00:02-03","US","US","2754758","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"G. Hatschbach & L. Ferreira",NA,"1974","10","26","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó.","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto","1",NA,NA,"US01328866","US01328866_01",NA,"Monocotyledonae",NA
"44","2020-09-12 05:00:02-03","US","US","2754759","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"G. Hatschbach & C. Koczicki",NA,"1974","10","27","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antonio","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,NA,"auto","1",NA,NA,"US01328865","US01328865_01",NA,"Monocotyledonae",NA
"45","2020-09-12 05:00:02-03","US","US","2691750","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"N. L. Menezes & I. Sazim",NA,"1969","7","4","Brazil","Minas Gerais",NA,"Estr. Chapéu do Sol-Conceição. Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"US01328862","US01328862_01",NA,"Monocotyledonae",NA
"46","2020-09-12 05:00:02-03","US","US","2725516","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"H. S. Irwin, S. F. Fonsêca, R. Souza, R. R. Santos & J. Ramos",NA,"1970","3","24","Brazil","Minas Gerais",NA,"Ca. 3km N. of São João da Chapada",NA,NA,NA,NA,NA,"1200",NA,NA,NA,"1","South America - Neotropics",NA,"US01328864","US01328864_01",NA,"Monocotyledonae",NA
"47","2020-09-12 05:00:02-03","US","US","3211974","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","patens","Vellozia patens","L.B. Sm. & Ayensu",NA,NA,NA,NA,"N. L. Menezes",NA,"1983","11","15","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, km 138 da estrada Lagoa Santa-Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto","1","South America - Neotropics",NA,"US01328863","US01328863_01",NA,"Monocotyledonae",NA
"48","2019-11-13 11:32:37-03","USP","SPF","228913","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R","2017","05",NA,"Verdi, M","6624","2013","10","15","Brasil","Minas Gerais","Santana do Riacho","APA Morro da Pedreira","-43.550833","-19","-43.550833","-19",NA,"1340","1340",NA,NA,NA,NA,NA,"SPF00228913",NA,NA,NA,NA
"49","2021-03-15 18:30:17-03","USP","SPF","211006","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R","2010","11",NA,"Zappi, DC","2525","2009","11","24","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Capela de São José. Trilha da Senhorinha, caminho a Congonhas do Norte","-43.743561","-18.922936","-43.743561","-18.922936",NA,"1353","1353","Plantas acaules, pétalas roxas, estames amarelos.; Afloramento rochoso plano em campo limpo.",NA,NA,NA,NA,"SPF00211006",NA,NA,NA,NA
"50","2019-11-13 11:32:37-03","USP","SPF","228917","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R","2017","05",NA,"Verdi, M","6609","2013","10","15","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó","-43.518889","-19.247222","-43.518889","-19.247222",NA,"1308","1308",NA,NA,NA,NA,NA,"SPF00228917",NA,NA,NA,NA
"51","2019-11-13 11:32:37-03","USP","SPF","228114","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","patens","Vellozia patens","L.B.Sm. & Ayensu","Mello-Silva, R","2015","12",NA,"Ferreira Jr, CA","831","2012","11","28","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó","-44.043098449707","-19.0060997009277",NA,NA,"43251",NA,NA,NA,"auto",NA,NA,NA,"SPF00228114",NA,NA,NA,NA
