"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","individualCount","monthIdentified","dayIdentified"
"14","2020-11-19 14:06:21-03","Unimontes","MCMG","6104","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Paixão, F. A.; Resck, D. V. S.",NA,"2018","09","25",NA,"Brasil","Minas Gerais","Mariana","Bento Rodrigues","-43.4160995483398","-20.377799987793","33524",NA,NA,NA,NA,"auto","Paixão, F. A.; Resck, D. V. S.",NA,NA,NA,"W43° 24' 54.4","S20° 14' 00.7",NA,NA,NA,NA
"15","2021-03-04 15:44:49-03","IF","SPSF","34256","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Christiana","macrodon","Christiana macrodon","(DC.) Fryxell",NA,"J.B.Baitello","1683","2005","02","22","América do Sul","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242","12135",NA,"COLETA: XLS: SPSFNovo; Herbácea até 40cm, fruto envolto pelo cálice; GEOGRAFIA: campo limpo com queimada recente&nf;;",NA,NA,"auto","G.L.Esteves","2008",NA,NA,NA,NA,"Magnoliopsida",NA,"11","12"
"16","2021-03-04 15:44:49-03","IF","SPSF","49089","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"R.M.G. Konopczyk",NA,"2013","07","17","América do Sul","Brasil","SP","Porto Ferreira","Parque Estadual de Porto Ferreira","-47.435278","-21.856111",NA,NA,"COLETA: Árvore de 4m de altura.; GEOGRAFIA: Vertente de Floresta Estacional Semidecidual, próximo a várzea do Rio Mogi Guaçu.;",NA,NA,NA,"R.M.G. Konopczyk","2013","531","531",NA,NA,"Magnoliopsida",NA,"07","17"
"17","2021-03-04 15:44:49-03","IF","SPSF","31903","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Christiana","macrodon","Christiana macrodon","(DC.) Fryxell",NA,"J.B.Baitello & F.S.Peres","1581","2003","05","15","América do Sul","Brasil","SP","Franco da Rocha","P.E.Juqueri","-46.7200012207031","-23.3199996948242","12135",NA,"COLETA: XLS: SPSFAntigo&nf;Herbácea até 20cm, frutos com envoltório inflado, verde amarelado; GEOGRAFIA: campo cerrado&nf;;",NA,NA,"auto","G.L.Esteves","2008",NA,NA,NA,NA,"Magnoliopsida",NA,"11","12"
"18","2014-10-09 13:58:34-03","UHH","HBG","512736","S","Plantae",NA,NA,"Tiliaceae","Christiana","macrodon","Christiana macrodon","Toledo","Isotype","Kuhlmann, M.","2009","1947","11","19","South America","Brazil",NA,NA,"São Paulo, Jardinopolis, mata a beira do Rio Pardo",NA,NA,NA,NA,NA,"HBG512736",NA,NA,"Toledo, Jm.F.","1949",NA,NA,NA,NA,NA,NA,"10","20"
"19","2014-10-09 13:58:34-03","UHH","HBG","512735","S","Plantae",NA,NA,"Tiliaceae","Christiana","macrodon","Christiana macrodon","Toledo","Isotype","Kuhlmann, M.","2009","1947","11","19","South America","Brazil",NA,NA,"São Paulo, Jardinopolis, mata a beira do Rio Pardo",NA,NA,NA,NA,NA,"HBG512735",NA,NA,"Toledo, Jm.F.","1949",NA,NA,NA,NA,NA,NA,"10","20"
"20","2020-08-26 10:49:35-03","MCN-FZBRS","HAS","96598","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Kuhlmann, M.","2965","1954","04",NA,NA,"Brasil","São Paulo","Jardinópolis","Margens do Rio Pardo","-47.7599983215332","-21.0100002288818","24259",NA,"Arbusto de subosque. Em frutificação","HAS0096598",NA,"auto","Kuhlmann, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-23 10:21:37-03","IBt","SP","345915","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Bertoncini, AP; Cazetta Neto, A","894","1998","09","25",NA,"Brasil","São Paulo","Avaí","Aldeia Guarani","-49.383333","-22.333333",NA,NA,NA,NA,NA,NA,"Esteves, GL","2001",NA,NA,"-49.383333","-22.333333",NA,NA,NA,NA
"22","2020-07-23 10:21:37-03","IBt","SP","361514","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Souza, VC; et al.","5650","1994","04","14",NA,"Brasil","São Paulo","Matão","Fazenda Cambuhy","-48.558056","-21.620833",NA,NA,NA,NA,NA,NA,"Maia, B","1998","600","600","-48.558056","-21.620833",NA,NA,"03",NA
"23","2020-07-23 10:21:37-03","IBt","SP","310527","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Bernacci, LC; et al.","1968","1995","09","05",NA,"Brasil","São Paulo","Adamantina","Estação Experimental IAC","-51.0699996948242","-21.6800003051758","31214",NA,NA,NA,NA,"auto","Esteves, GL","1998",NA,NA,NA,NA,NA,NA,"05",NA
"24","2020-07-23 10:21:37-03","IBt","SP","50524","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Kuhlmann, M","2965","1954","04","28",NA,"Brasil","São Paulo","Jardinópolis","Margem do Rio Pardo","-47.7599983215332","-21.0100002288818","24259",NA,NA,NA,NA,"auto","Maia, B","1998",NA,NA,NA,NA,NA,NA,"03","16"
"25","2019-11-21 10:09:22-03","IBt","SP","43987","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo","Isotype","Kuhlmann, M","2009","1947","11","19",NA,"Brasil","São Paulo","Jardinópolis","Parque Rio Pardo, mata à beira do rio Pardo","-47.7599983215332","-21.0100002288818","24259",NA,NA,"SP001662","SP001662","auto","Toledo, JF","1952",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:09:22-03","IBt","SP","43987a","Extra","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo","Isotype","Kuhlmann, M","2009","1947","11","19",NA,"Brasil","São Paulo","Jardinópolis","Parque Rio Pardo, mata à beira do rio Pardo","-47.7599983215332","-21.0100002288818","24259",NA,NA,"SP001663","SP001663","auto","Toledo, JF","1952",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-16 10:05:37-03","IBt","SP","290656","S","Plantae",NA,NA,"Malvaceae","Christiana","macrodon","Christiana macrodon","Toledo",NA,"Rozza, AF","171","1995","07",NA,NA,"Brasil","São Paulo","Matão",NA,"-48.3600006103516","-21.6000003814697","26922",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
