"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"11","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","jugosus","Colax jugosus","(Lindl.) Lindl.",NA,"Loddiges, CL","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","jugosus","Colax jugosus","(Lindl.) Lindl.",NA,"Binot, PM","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","in rupibus et in lignis putridis ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","jugosus","Colax jugosus","(Lindl.) Lindl.",NA,"Binot, PM","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","ad Petropolis",NA,NA,NA,NA,NA,NA,"Petrópolis","-43.1786","-22.505","36524","auto",NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","tripterus","Colax tripterus","Rolfe",NA,"Bot. Glasnevin","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Colax","tripterus","Colax tripterus","Rolfe",NA,"Bot. Glasnevin","s.n.(Hort.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat in Brasilia loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-03 22:00:02-03","FLAS","FLAS","214952","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay",NA,"Mark Whitten","2868",NA,NA,NA,NA,"Brazil",NA,NA,"Preserved herbarium specimen","[Label footing:] Voucher for NSF Grant Systematics of Maxillariinae (Orchidaceae): Generic Delimitation, Pollinator Rewards, and Pollination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-05 09:52:28-03","IBt","SP","491575","S","Plantae",NA,NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay","Moraes, M","Rosa, P; et al.","1225","2016","08","31",NA,"Brasil","Rio de Janeiro","Parque Estadual do Desengano, Cumeeira entre Pedra do Macaco e Serra das Orquídeas, na Serra do Itacolomi",NA,NA,NA,NA,"2016","09","Campos dos Goytacazes","-41.871389","-21.850278",NA,NA,NA,"-41.871389","-21.850278","06","1455","1455"
"18","2019-11-21 10:13:40-03","IBt","SP","30042","S","Plantae",NA,NA,"Orchidaceae","Pabstia","jugosa","Pabstia jugosa","(Lindl.) Garay","Barros, F","Edwall, G","CGG3358","1896","09",NA,NA,"Brasil","São Paulo","Est. Campo Grande, mata virgem.",NA,"Epífita, fl. coreacea, branca, lab. viol.","SP009639","SP009639","1980","05","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,"07",NA,NA
"19","2019-11-21 10:13:55-03","IBt","SP","195301","S","Plantae",NA,NA,"Orchidaceae","Zygopetalum","jugosum","Zygopetalum jugosum","(Lindl.) Schltr.","Meneguzzo, TEC","Custodio Filho, A","1794","1983","11","11",NA,"Brasil","São Paulo","Estação Biológica de Boracéia",NA,NA,NA,NA,"2017",NA,"Biritiba-Mirim","-45.866667","-23.633333",NA,NA,NA,"-45.866667","-23.633333",NA,"890","950"
"20","2019-11-21 10:13:55-03","IBt","SP","1128","S","Plantae",NA,NA,"Orchidaceae","Zygopetalum","jugosum","Zygopetalum jugosum","(Lindl.) Schltr.","Meneguzzo, TEC","Hoehne, FC","s.n.","1917","12","19",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba",NA,"Folhas alva pintalgadas de vermelho nos petalos e labelo",NA,NA,"2017",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:13:55-03","IBt","SP","3048","S","Plantae",NA,NA,"Orchidaceae","Zygopetalum","jugosum","Zygopetalum jugosum","(Lindl.) Schltr.","Meneguzzo, TEC","Hoehne, FC","s.n.","1918","11","08",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Procedente do Butantan, cultivada na estufa",NA,NA,NA,NA,"2017",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:13:55-03","IBt","SP","163920","S","Plantae",NA,NA,"Orchidaceae","Zygopetalum","jugosum","Zygopetalum jugosum","(Lindl.) Schltr.","Meneguzzo, TEC","Handro, O","2096","1969","08","11",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, via férrea São Paulo-Santos",NA,"Epífita na mata úmida, há pouca altura do chão, flores carnosas, decorarivas",NA,NA,"2017",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA
