"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","individualCount","maximumElevationInMeters"
"28","2009-08-21 04:37:00-03","MO","MOBOT","2193207","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Norma B. Deginani|Manuel J. Belgrano|R.J. Zuloaga","South America","Argentina","Parque Provincial Piñalito, sendero hacia el Arroyo Sidra",NA,NA,NA,NA,"Ezcurra, C., 3-",NA,NA,NA,"2000","3","6","Misiones","San Pedro","-53.83333","-26.43333",NA,NA,"Deginani 1745",NA,NA,NA,NA,NA,NA
"29","2011-12-05 10:36:00-02","MO","MOBOT","2402819","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Pablo R. Legname","South America","Argentina","a 15 km del Río Agua Negra, camino al Río Jordán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jujuy","Ledesma",NA,NA,NA,NA,"Legname 5144",NA,NA,NA,NA,"1",NA
"30","2020-07-10 12:42:00-03","MO","MOBOT","2488069","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Karl Fiebrig","South America","Paraguay","In regione fluminis Alto Paraná",NA,NA,NA,NA,"Meyer, -",NA,NA,NA,"1909",NA,NA,"Alto Paraná",NA,"-54.61666","-25.43333",NA,NA,"Fiebrig 6066",NA,NA,NA,NA,"1",NA
"31","2011-03-30 19:48:00-03","MO","MOBOT","2863529","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Martha Serrano|Jeaneth Villalobos|H. Huaylla|Ariel Lliully|E. Portal","South America","Bolivia","Mpio. Padcaya, Reserva Nacional de Flora y Fauna Tariquia, comunidad Cambarí, Río Cangrejos. Bosque denso alto premontano Tucumano- Boliviano. En el dosel dominan Lonchocarpus lilloi, Blepharocalyx salicifolius, Patagonula americana y Diatenopteryx sorbifolia. En el sotobosque y subdosel Allophylus edulis.",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"2005","1","19","Tarija","Arce","-64.40388","-22.34027",NA,NA,"Serrano 5652",NA,NA,NA,"1207.00000000",NA,NA
"32","2011-03-28 16:24:00-03","MO","MOBOT","2863755","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","H. Huaylla|Martha Serrano|E. Portal|Ariel Lliully|Jeaneth Villalobos","South America","Bolivia","Mpio. Padcaya, Reserva Nacional de Flora y Fauna Tariquia, saliendo de Cambarí, en el Río Agua Blanca y Auga Salada",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"2005","1","19","Tarija","Arce","-64.70722","-22.17527",NA,NA,"Huaylla 1687",NA,NA,NA,"1178.00000000",NA,NA
"33","2013-11-26 05:40:00-02","MO","MOBOT","426494","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Julia Gutiérrez R.|et al.","South America","Bolivia","12 km al NO de Ticucha, en el alto Iñao",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"2003","4","14","Chuquisaca","Luis Calvo","-63.9","-19.56666",NA,NA,"Gutiérrez Romero 336",NA,NA,NA,"1280.00000000",NA,NA
"34","2015-12-03 09:08:00-02","MO","MOBOT","427255","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Elsa M. Zardini|Nélida Soria|Mirtha Ortiz","South America","Paraguay","Parque Nacional Cerro Corá. En bosque en el límite Oeste del Parque.",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1988","1","7","Amambay",NA,"-56.05","-22.6333333",NA,NA,"Zardini 4133",NA,"88-5",NA,"400.00000000","3",NA
"35","2015-08-10 05:49:00-03","MO","MOBOT","100432452","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","Amaro Macedo","South America","Brazil","Mun. Ituiutaba. Fundão.",NA,NA,NA,NA,"W.D. Stevens",NA,NA,NA,"1948","1","30","Minas Gerais","Ituiutaba","-45.9666667","-20.3333333",NA,NA,"Macedo 1016",NA,NA,NA,NA,"1",NA
"36","2020-09-12 05:00:02-03","US","US","1590853","PreservedSpecimen","Plantae","Dicotyledonae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","S. Venturi","South America","Argentina","Departamento Tafí, Jerba [interpreted] Buena.",NA,"US03253018",NA,NA,NA,NA,NA,NA,"1919","2","5","Tucuman",NA,NA,NA,NA,NA,"228",NA,NA,NA,"650","1",NA
"37","2020-09-12 05:00:02-03","US","US","2196059","PreservedSpecimen","Plantae","Dicotyledonae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","A. Macedo","South America","Brazil","Fundas, Municipio Itba, Estado Mg.",NA,"US03253020","US03253020_01",NA,NA,NA,NA,NA,"1948","1","30",NA,NA,NA,NA,NA,NA,"1016",NA,NA,NA,NA,"1",NA
"38","2020-09-12 05:00:02-03","US","US","1458619","PreservedSpecimen","Plantae","Dicotyledonae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","G. Klug","South America - Neotropics","Peru","Department of San Martín: Juan Jui, Alto Río Huallaga.",NA,"US03253019","US03253019_01",NA,NA,NA,NA,NA,"1935","12",NA,"San Martin",NA,NA,NA,NA,NA,"4195",NA,NA,NA,"400","1","800"
"39","2020-09-12 05:00:02-03","US","US","1420955","PreservedSpecimen","Plantae","Dicotyledonae","Gentianales","Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea","E. Fourn.","S. Venturi","South America","Argentina","Departamento Famaillá, Quebrada de Lules.",NA,"US03253021","US03253021_01",NA,NA,NA,NA,NA,"1922","3","10","Tucuman",NA,NA,NA,NA,NA,"228a*",NA,NA,NA,"650","1",NA
"40","2019-09-04 18:55:06-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea",NA,"J. E. B. Warming","South America","Brazil",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"1866","3",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"1887","Type [status unknown]",NA,NA,NA,NA,NA
"41","2019-07-09 14:16:10-03","F","FMNH-SEEDPLANTS","V0442397F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea",NA,"J. Weir","South America","Brazil",NA,NA,"V0442397F","V0442397F_01","Spermatophyta","W. D. Stevens",NA,NA,NA,"1861",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-07-09 14:16:28-03","F","FMNH-SEEDPLANTS","V0442396F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea",NA,"Ll. Williams","South America","Peru","Yurimaguas, Puerto Arturo, lower Rio Huallaga",NA,"V0442396F","V0442396F_01","Spermatophyta","W. D. Stevens",NA,NA,NA,"1929","11","15","Loreto",NA,NA,NA,NA,NA,"5062",NA,NA,NA,"155",NA,"210"
"43","2019-07-09 14:16:11-03","F","FMNH-SEEDPLANTS","V0442398F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asclepiadaceae","Macroscepis","aurea","Macroscepis aurea",NA,"G. Klug","South America","Peru","Juan Jui, Alto Río Huallaga",NA,"V0442398F","V0442398F_01","Spermatophyta","W. D. Stevens",NA,NA,NA,"1935","12",NA,"San Martín",NA,NA,NA,NA,NA,"4195",NA,NA,NA,"400",NA,"800"
"44","2017-09-11 17:06:56-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E.Fourn.","Warming, JEB","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Lagoa Santa","-43.8897","-19.6272","12338","auto","s.n.",NA,NA,NA,NA,NA,NA
"45","2019-11-21 09:58:44-03","IBt","SP","15765","S","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E.Fourn.","Campos Novaes, J",NA,"Brasil",NA,"nº 744 do coletor","SP022524","SP022524",NA,"Hoehne, FC",NA,NA,NA,"1895","11","20","São Paulo","Espírito Santo do Pinhal","-46.7400016784668","-22.1900005340576","18890","auto","CGG3301",NA,NA,NA,NA,NA,NA
"46","2019-11-21 09:58:44-03","IBt","SP","8865","S","Plantae",NA,NA,"Apocynaceae","Macroscepis","aurea","Macroscepis aurea","E.Fourn.","Edwall, G",NA,"Brasil",NA,NA,"SP022525","SP022525",NA,"Hoehne, FC",NA,NA,NA,"1905","07",NA,"São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484","30784","auto","ERF78",NA,NA,NA,NA,NA,NA
