"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","relatedCatalogItem","infraspecificEpithet"
"11","2021-03-15 16:37:00-03","NY","NYBG","02642178","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.",NA,NA,NA,NA,"E. G. A. Martins","180","2011","10","08","Brazil","Cubatão","Parque Ecológico Perequê. Início da trilha em direção ao morro ao lado do campinho de futebol. Interior de Floresta Atlântica.","-46.4133","-23.8475",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962917' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642178","NY02642178_01","São Paulo",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","685986","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.",NA,NA,NA,NA,"F. Oliveira","5",NA,NA,NA,"Brazil",NA,"Próximo as praias de Itanhaém.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685986","NY00685986_01","São Paulo",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","502788","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","41712","1978","11","10","Brazil","Paranaguá","Col. Pereira","-48.5092","-25.5203",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502788","NY00502788_01","Paraná",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","502784","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","L. B. Smith",NA,NA,NA,"R. Reitz","5651","1957","11","07","Brazil","Garuva","Mina Velha, Garuva, Sao Francisco do Sul","-48.8547","-26.0269",NA,NA,"20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502784","NY00502784_01","Santa Catarina",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","502789","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","42526","1979","10","26","Brazil","Paranaguá","Col. S. José","-48.5092","-25.5203",NA,NA,"10","10","xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502789","NY00502789_01","Paraná",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","502791","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","E. L. Cabral",NA,NA,NA,"A. Krapovickas","43558","1990","02","01","Brazil","Barra Velha","Itajuba","-48.6844","-26.6322",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502791","NY00502791_01","Santa Catarina",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","502787","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","L. B. Smith",NA,NA,NA,"L. B. Smith","7238","1956","11","01","Brazil","Itajaí","Itajaí to Limoneira. Itopava","-48.732667","-26.945126",NA,NA,"2","25","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502787","NY00502787_01","Santa Catarina",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","502786","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","S. M. Silva",NA,NA,NA,"R. X. Lima","90","1993","10","22","Brazil","Guaraqueçaba","Zona urbana","-48.3289","-25.3067",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502786","NY00502786_01","Paraná",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","569549","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1992","1991","12","06","Brazil","Guaraqueçaba","Rio Guaraqueçaba, próximo a barra","-48.3289","-25.3069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569549","NY00569549_01","Paraná",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","502790","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","S. F. Smith; L. B. Smith",NA,NA,NA,"G. G. Hatschbach","17960","1967","11","24","Brazil","Paranaguá","Taboleiro do Guarani","-48.5092","-25.5203",NA,NA,"5","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502790","NY00502790_01","Paraná",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","687121","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","P. G. Delprete",NA,NA,NA,"I. Silberbauer-Gottsberger","12-28969","1969","09","28","Brazil","Itanhaém","Itanhaém, near the airport of the town.","-40.35","-17.1",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687121","NY00687121_01","São Paulo",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:30:38-03","UNESP-IBB","BOTU","10288","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora",NA,"Hatschbach, G.","1982",NA,NA,"Hatschbach, G.","45431","1982","09","24","Brasil","Paranaguá",NA,NA,NA,"9999","9999",NA,NA,"Arbusto 2 m, flores alvas. Mata pluvial sombriada planície litorânea.","BOTU010288",NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-13 09:20:54-03","UFRJ","RFA","10512","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","17960","1967","11","24","Brasil","Paranaguá","Taboleiro do Guarani","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Arbusto de 1,50m, flôr alva","RFA10447",NA,"Paraná",NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"24","2020-11-13 09:20:54-03","UFRJ","RFA","8314","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","15139","1966","11","18","Brasil","Guaratuba","Rio São João, Porto Miranda","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Arbusto de flor alva","RFA27479",NA,"Paraná",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"25","2020-01-20 14:40:51-03","UPM","MACK","968","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K. Shum.","R. O. Pereira","2012","11","21","Camila; Eduardo; Rodrigo","P10-18","2010","07","20","Brasil","Peruíbe","Restinga alta. 4,5m.","-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,NA,NA,NA,"SP",NA,NA,NA,NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA
"26","2019-12-04 15:25:48-03","PUCPR","HUCP","18174","S","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","Cordeiro, J; Rodrigues, R","2007",NA,NA,"Wangler, MS; Tiepolo, LM","181","1997","10","25","Brasil","Itapoá","Reserva Volta Velha, RPPN.","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,NA,"HUCP00018045","HUCP00018045","Santa Catarina",NA,NA,NA,NA,"Eudicotiledonea",NA,"18121","auto",NA,NA,NA,NA,NA
"27","2020-11-26 18:09:37-03","CPAN-UFMS","COR","10363","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.","G. Hatschbach",NA,NA,NA,"Carneiro,J.","1287","2002","02","09","Brasil","Pontal do Paraná","Estrada Ecológica do Guaraguaçu, Sítio Ribeirão Preto. Restinga arbórea; ;.","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,"Com Flor: imaturo",NA,NA,"Paraná",NA,NA,NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA
"28","2020-02-08 09:28:06-03","NBC","NL-BOTANY","L.2955167","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.",NA,NA,NA,NA,"Hatschbach GG",NA,"1967","11","24","Brazil",NA,"Taboleiro do Guarani (Mun. Paranaquá) Pr.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955167 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955167","NL-L2955167",NA,NA,"Southern America",NA,NA,NA,"Gentianales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"29","2020-02-08 09:28:06-03","NBC","NL-BOTANY","L.2955168","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.",NA,NA,NA,NA,"Hatschbach GG",NA,"1960","11","04","Brazil",NA,"Est.: Parana. Mun.: Guaratuha.* Rio Divisa.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955168 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2955168","NL-L2955168",NA,NA,"Southern America",NA,NA,NA,"Gentianales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"30","2020-02-08 09:28:06-03","NBC","NL-BOTANY","U.1581345","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.",NA,NA,NA,NA,"Krapovickas A; Cristóbal CL",NA,"1990","11","01","Brazil",NA,"Santa Catarina. Mun. Barra Velha. Itajuba.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1581345 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1581345","NL-U1581345",NA,NA,"Southern America",NA,NA,NA,"Gentianales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"31","2020-02-08 09:28:06-03","NBC","NL-BOTANY","U.1581346","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","villiflora","Rudgea villiflora","K.Schum. ex Standl.",NA,NA,NA,NA,"Reitz R",NA,"1953","10","29","Brazil",NA,"Plantas de Santa Catarina. Araquari.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1581346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1581346","NL-U1581346",NA,NA,"Southern America",NA,NA,NA,"Gentianales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"32","2020-11-04 11:18:57-03","ESALQ","ESA","100777","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,"Jung, S.L.","1981","11","11","Jung, S.L.","482.0","1981","11","11","Brasil","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,"ESA100777","ESA100777","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"37574","auto",NA,NA,NA,NA,NA
"33","2020-11-04 12:15:58-03","ESALQ","ESA","139404","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","R. Parmigiani","2017","05","23","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza","432.0",NA,NA,NA,"Brasil","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador. Ao lado da casa de abrigo.","-43.2075004577637","-22.9027996063232","-43,159,195","-22,780,183",NA,NA,"Árvore ca. 4 m, frutos de cor verde.","ESA139404",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"34","2020-11-04 12:15:58-03","ESALQ","ESA","134499","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K. Schum",NA,"2014",NA,NA,NA,"68.0","2013","01","16",NA,NA,NA,NA,NA,"23.38.25",NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16313. Altura: 5m","ESA134499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:18:57-03","ESALQ","ESA","12294","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Pinho-Ferreira, M.A.","2004","04","24","Souza, V.C. et al.","4923.0","1993","12","11","Brasil","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"ESA012294","ESA012294","Paraná",NA,NA,NA,NA,"Magnoliophyta",NA,"24916","auto",NA,NA,NA,NA,NA
"36","2020-11-04 11:18:57-03","ESALQ","ESA","29063","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M.","424.0","1995","09","28","Brasil","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA029063","ESA029063","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"17990","auto",NA,NA,NA,NA,NA
"37","2020-11-04 11:18:57-03","ESALQ","ESA","112123","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,"Cotrim, M.M. & Souza, V.C.",NA,NA,NA,"Machado, M.S.C.","35.0","2008","09","21","Brasil","Ilha do Cardoso",NA,NA,NA,NA,NA,NA,NA,NA,"ESA112123","ESA112123","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:18:57-03","ESALQ","ESA","128687","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,"Souza, V.C.","2013","09","11","Bettinardi, M.L.","5.0","2013","04","01","Brasil","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Alecrim trilha da Chaminé","-47.50978","-24.10233","-47.50978","-24.10233","254","254","Arbusto. Fruto bege","ESA128687",NA,"São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:18:57-03","ESALQ","ESA","123433","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriaceae","Rudgea coriaceae",NA,"Souza, V.C.",NA,NA,NA,"Cabral, F.N.","941.0","2013","04","03","Brasil","Tapiraí","UHE Barra. Trilha da Pedreira. Floresta Ombrófila Densa.","-47.5","-23.9599990844727",NA,NA,NA,NA,"Erva de 15cm. Com fruto velho.","ESA123433",NA,"São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"41034","auto",NA,NA,NA,NA,NA
"40","2020-11-04 11:18:57-03","ESALQ","ESA","13151","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K. Schum.","Zappi, D.C.","2005","01","01","Tamashiro, J.Y. et al.","18701.0","1986","11","03","Brasil","Bertioga",NA,"-46.138599395752","-23.8544006347656",NA,NA,NA,NA,NA,"ESA013151","ESA013151","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"37616","auto",NA,NA,NA,NA,NA
"41","2020-11-04 11:18:57-03","ESALQ","ESA","93458","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,"Sztutman, M.",NA,NA,NA,"Sztutman, M. ; Valmir","47.0","1998","09","26","Brasil","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA093458","ESA093458","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"17990","auto",NA,NA,NA,NA,NA
"42","2020-11-04 11:18:57-03","ESALQ","ESA","29059","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K. Schum.","Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M.","490.0","1995","10","19","Brasil","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA029059","ESA029059","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"17990","auto",NA,NA,NA,NA,NA
"43","2020-11-04 11:18:57-03","ESALQ","ESA","79401","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Sztutman, M.","1999","06","23","Gorenstein, M.R. et al.","20.0","1999","01","05","Brasil","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,"ESA079401","ESA079401","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"17990","auto",NA,NA,NA,NA,NA
"44","2020-11-04 12:16:07-03","ESALQ","ESA","141480","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Souza, V.C.","2018","10","14","Souza, V.C.","41203.0","2018","10","14","Brasil","Itanhaém","Jardim Anchieta. Floresta de Restinga.","-46.7799987792969","-24.1800003051758","-46,871,049","-24,190,461",NA,NA,"Arbusto, ca. 1,5 m alt.; cálice e corola alvos.","ESA141480",NA,"São Paulo",NA,NA,NA,NA,NA,NA,"26998","auto",NA,NA,NA,NA,NA
"45","2020-11-04 11:18:57-03","ESALQ","ESA","85946","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K. Schum.","Zappi, D.C.","2005","01","01","Forster, W.; Mazine, F.F.; Sampaio, D.; Salmazo, P.B.; Ribeiro Jr., E.","968.0","2002","12","08","Brasil","Cananéia","Parque Estadual Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"Arbusto de 60 cm de altura. Flores alvas.","ESA085946","ESA085946","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"37574","auto",NA,NA,NA,NA,NA
"46","2020-11-04 11:18:57-03","ESALQ","ESA","123636","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea",NA,"Ferreira, M.A.P.","2013","04","30","Colletta, G.D. ; Souza, V.C.","1024.0","2013","04","30","Brasil","Tapiraí","Reserva Particular da Votorantim (CBA), Trilha da Serraria.","-47.5","-23.9599990844727",NA,NA,NA,NA,"Árbusto, 2,5m","ESA123636",NA,"São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,"41034","auto",NA,NA,NA,NA,NA
"47","2020-11-04 11:18:57-03","ESALQ","ESA","88748","PreservedSpecimen","Plantae","Rubiaceae","Rudgea","coriacea","Rudgea coriacea","(Spreng.) K.Schum.","Equipe de Taxonomia de Campo",NA,NA,NA,"Godoy, J.R.L.","71.0","1999","01","10","Brasil","Pariquera Açu",NA,NA,NA,NA,NA,NA,NA,NA,"ESA088748","ESA088748","São Paulo",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
