"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","recordNumber","continentOcean","class","order","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","fieldNumber","preparationType","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"21","2020-12-21 16:13:14-03","MBM","MBM","86834","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmsg.) Kunth","Nadruz, M.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","1983","10","15","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621","30072",NA,"MBM086834","auto",NA,"46873","Southern America",NA,NA,"MBM086834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:13:14-03","MBM","MBM","283530","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmsg.) Kunth","Gonçalves, E.G.","Gonçalves, E.G.; et al.; et al.","2001","01","31","Brazil","Minas Gerais","Carangola","Reserva Ecológica Água Limpa","-42.0293998718262","-20.7331008911133","21913",NA,"MBM283530","auto",NA,"714","Southern America",NA,NA,"MBM283530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:13:14-03","MBM","MBM","27371","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmsg.) Kunth","Hatschbach, G.","Hatschbach, G.","1962","08","15","Brazil","Paraná","Campina Grande do Sul","Rod. BR-2, Serra do Espia","-49.0553016662598","-25.3055992126465","55154",NA,"MBM027371","auto",NA,"9232","Southern America",NA,NA,"MBM027371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:13:14-03","MBM","MBM","27372","PreservedSpecimen","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmsg.) Kunth","Barroso, G.M.","Hatschbach, G.","1959","07","16","Brazil","Paraná","Guaratuba","Garuva","-48.5746994018555","-25.8827991485596","41937",NA,"MBM027372","auto",NA,"6154","Southern America",NA,NA,"MBM027372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-08-15 09:04:23-03","UESC","UESC","1216","S","Plantae","Araceae","Anthurium","longifolium","Anthurium longifolium",NA,NA,"Fontoura, T.","1997","05","16","Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662","61245","Mata Higrófila Sul Baiana.; Epífita sob tronco de árvore da mata.","UESC0001216","auto","Angiospermae","347",NA,"Monocotyledoneae","Florideophycidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-03 19:09:46-03","MNHN","RECOLNAT_MNHN_P","P01750128","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"Glaziou, A.",NA,NA,NA,"Brasil",NA,NA,"Brésil. Brasil, América do Sul",NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750128' target='other'> <mi>dwc_moreinfo</mi></a>","P01750128",NA,NA,NA,NA,NA,NA,"P01750128_01",NA,NA,NA,NA,NA,NA,NA,"9035","hb",NA,NA,NA,NA,NA,NA
"27","2015-09-03 19:09:45-03","MNHN","RECOLNAT_MNHN_P","P01750125","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"Glaziou, A.","1886","6","2","Brasil","Rio de Janeiro",NA,"Quinta. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750125' target='other'> <mi>dwc_moreinfo</mi></a>","P01750125",NA,NA,NA,NA,NA,NA,"P01750125_01",NA,NA,NA,NA,NA,NA,NA,"16513","hb",NA,NA,NA,NA,NA,NA
"28","2015-09-03 19:09:45-03","MNHN","RECOLNAT_MNHN_P","P01750126","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"Glaziou, A.","1888","3","22","Brasil","Rio de Janeiro",NA,"Brésil: São Cristovao. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750126' target='other'> <mi>dwc_moreinfo</mi></a>","P01750126",NA,NA,NA,NA,NA,NA,"P01750126_01",NA,NA,NA,NA,NA,NA,NA,"17328","hb",NA,NA,NA,NA,NA,NA
"29","2015-09-03 19:09:46-03","MNHN","RECOLNAT_MNHN_P","P01750127","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"Saint-Hilaire, A. de","1816","1","1","Brésil","Minas Gerais","Belo Horizonte","St. Gabriel. Belo Horizonte, Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750127' target='other'> <mi>dwc_moreinfo</mi></a>","P01750127",NA,NA,NA,NA,NA,NA,"P01750127_01",NA,NA,NA,NA,NA,NA,NA,"59","hb",NA,NA,NA,NA,NA,NA
"30","2015-09-03 19:09:46-03","MNHN","RECOLNAT_MNHN_P","P01750129","PreservedSpecimen",NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","G.Don",NA,"Glaziou, A.","1880","6","2","Brasil","Rio de Janeiro",NA,"Quinta. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01750129' target='other'> <mi>dwc_moreinfo</mi></a>","P01750129",NA,NA,NA,NA,NA,NA,"P01750129_01",NA,NA,NA,NA,NA,NA,NA,"16511","hb",NA,NA,NA,NA,NA,NA
