"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-12-04 11:31:08-03","UFSM","SMDB","17780","S","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Longhi-Wagner, HM; Garcia, R","7271s.n.","2001","01","19",NA,"Brasil","Santa Catarina","Timbé do Sul","Serra da Rocinha","-49.8471984863281","-28.8302993774414",NA,NA,NA,"ICN 134035","SMDB017780",NA,"15081","auto",NA,"2013","06","21",NA,NA,NA
"12","2020-12-21 16:39:50-03","MBM","MBM","386942","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Barboza, E.","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10065","2013","11","05","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo do morro","-49.481944","-28.127444","1770","1770",NA,"Erva. Espiga esbranquiçada.","MBM386942","MBM386942",NA,NA,NA,"2013","12","03","-49.481944","-28.127444",NA
"13","2020-12-21 16:39:50-03","MBM","MBM","386942","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Barboza, E.","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10065","2013","11","05","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo do morro","-49.481944","-28.127444","1770","1770",NA,"Erva. Espiga esbranquiçada.","MBM386942","MBM386942",NA,NA,NA,"2013","12","03","-49.481944","-28.127444",NA
"14","2020-12-21 16:39:50-03","MBM","MBM","253840","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hatschbach, G.","G.; Barbosa, A.; Barbosa, A.","71661",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Urubici","Alto do Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM253840","MBM253840","30102","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:39:50-03","MBM","MBM","392976","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hefler, S.M.","Falkenberg, D.B.; Souza, M.L.; Souza, M.L.","6823","1995","01","04","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, próximo ao CINDACTA","-49.5917015075684","-28.0149993896484","1800","1800",NA,"Subarbusto; com folhas rosuladas, sistema ridicular muito engrossado logo abaixo da superfície.; Campo altimontano.","MBM392976","MBM392976","30102","auto",NA,"2002","04","07",NA,NA,NA
"16","2020-12-21 16:39:50-03","MBM","MBM","392975","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hefler, S.M.","Falkenberg, D.B.","8383","1996","10","09","Southern America","Brazil","Santa Catarina","Urubici","Morro da Igreja, topo, dentro da área cercada","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Erva geralmente com grosso (10-15mm) e curto (15-20mm) rizoma. Flor com anteras amarelas.; Campo e afloramento rochoso.","MBM392975","MBM392975","30102","auto",NA,"2002","04","07",NA,NA,NA
"17","2020-12-11 11:40:16-03","UFMG","BHCB","61712","PreservedSpecimen","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,NA,"30102","auto",NA,NA,NA,NA,NA,NA,NA
"18","2021-02-11 17:21:15-03","UFPR","UPCB","44866","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hefler, S.M.","Hatschbach, G.","71661","2000","12","08",NA,"Brasil","Santa Catarina","Urubici","Alto do Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Campo de altitude, solo rochoso e úmido. Alt.: 1700m..",NA,NA,"30102","auto",NA,"2001","12","12",NA,NA,NA
"19","2021-02-11 17:21:15-03","UFPR","UPCB","46578","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Cervi, A.C.","Hatschbach, G.","71661","2000","10","08",NA,"Brasil","Santa Catarina","Urubici","Alto do Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Campo limpo entre pedras..",NA,NA,"30102","auto",NA,"2003","01","01",NA,NA,NA
"20","2021-02-11 17:21:15-03","UFPR","UPCB","45189","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hatschbach, G.","Hatschbach, G.","72607","2001","11","12",NA,"Brasil","Santa Catarina","Urubici","Cachoeira Véu de Noiva","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Campo de altitude, solo turfoso e úmido..",NA,NA,"30102","auto",NA,"2001","01","01",NA,NA,NA
"21","2021-03-04 11:06:08-03","UFRB","HURB","25419","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","G.Hassemer","Hassemer, G.; Kasten, G. & Hassemer, M.E.N.","784","2015","01","06",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","high-altitude grasslands on top of Serra do Rio do Rastro, near the observatory;","-49.552022","-28.3877","1433","1433",NA,NA,"HURB000025419","HURB000025419",NA,NA,NA,"2015","04","21","49º33'7,28W","28º23'15,72S",NA
"22","2020-09-12 05:00:02-03","US","US","2743210","PreservedSpecimen","Plantae",NA,"Plantaginales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn",NA,"L. Smith & R. Reitz","14232","1965","1","3","South America","Brazil","Santa Catarina",NA,"Mun. São Joaquim: Campo and crevices of ledge, summit of Morro da Igreja.","-49.47","-28.12","1680",NA,NA,NA,"US03221253","US03221253_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1"
"23","2020-09-12 05:00:02-03","US","US","2323418","PreservedSpecimen","Plantae",NA,"Plantaginales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn",NA,"-- Reitz & Klein, --","7176","1958","9","18","South America","Brazil","Santa Catarina",NA,"Serra do Oratório, Bom Jardim, S. Joaquim.",NA,NA,"1500",NA,NA,NA,"US03221250","US03221250_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1"
"24","2019-12-09 17:30:39-03","UFPR","EFC","15635","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Souza, I.","Souza, I.",NA,"2017","04","26",NA,"Brasil","Santa Catarina","Urubici","Morro da igreja","-49.4723","-25.9023","1789","1789",NA,"Erva 25cm, sob organossolo. Estepe Gramíneo-Lenhosa ","EFC015635",NA,NA,NA,NA,"2017","05","16","-49.4723","-25.9023",NA
"25","2019-10-07 09:16:50-03","UEFS","HUEFS","208806","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn",NA,"Cervi, A.C.","10065","2013","11","05",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, topo do morro.","-49.481944","-28.1275","1770","1770",NA,NA,"HUEFS0208806","HUEFS0208806",NA,NA,"Asteranae",NA,NA,NA,"49W28'55''","28S7'39''",NA
"26","2019-10-07 09:16:50-03","UEFS","HUEFS","64836","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn",NA,"Hatschbach, G.","72607","2001","11","12",NA,"Brasil","Santa Catarina","Urubici","Cachoeira véu de Noiva.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Campo de altitude; solo turfoso e úmido.","HUEFS0064836","HUEFS0064836","30102","auto","Asteranae",NA,NA,NA,NA,NA,NA
"27","2020-08-20 20:39:23-03","UFSC","FLOR","64645","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Funez, L.A.","887","2016","02","12",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja.","-49.48","-28.127222","1789","1789",NA,NA,"FLOR0064645","FLOR0064645",NA,NA,NA,"2016",NA,NA,"49º28'48''W","28º7'38''S",NA
"28","2020-08-20 14:56:52-03","UFSC","FLOR","17100","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Falkenberg, D.B.","Falkenberg, D.B.; Berry, P.E. & Brako, L.","4252","1987","01","12",NA,"Brasil","Santa Catarina","Urubici","Beira da estrada que sobe da SC 439 até o topo do Morro da Igreja.","-49.479722","-28.121111","1770","1770",NA,"ao lado de DBF 4251.","FLOR0017100",NA,NA,NA,NA,NA,NA,NA,"49º28'47''W","28º7'16''S",NA
"29","2020-08-20 20:39:23-03","UFSC","FLOR","47382","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Falkenberg, D.B.","Falkenberg, D.B.; Falkenberg, W.","7650","1996","02","07",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Topo da Serra da Rocinha, na beira da BR285.","-49.954722","-28.800278","1250","1250",NA,"erva, flor anteras amarelas, 0,2m altura","FLOR0047382",NA,NA,NA,NA,"1999",NA,NA,"49º57'17''W","28º48'1''S",NA
"30","2020-08-20 20:39:23-03","UFSC","FLOR","47383","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Falkenberg, D.B.","Falkenberg, D.B.","8489","1996","10","12",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Topo da Serra do Rio do Rastro, junto à borda dos Aparados, entre o mirante da SC 439 e o monocultivo de Pinus ao norte do mirante.","-49.546389","-28.386389","1400","1400",NA,"erva, flor anteras amarelas, 0,3m altura","FLOR0047383",NA,NA,NA,NA,"1999",NA,NA,"49º32'47''W","28º23'11''S",NA
"31","2020-08-20 20:39:23-03","UFSC","FLOR","47384","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Falkenberg, D.B.","Falkenberg, D.B.","7865","1996","03","29",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Topo da Serra do Rio do Rastro, ao longo da borda superior dos Aparados, entre o mirante (a ca. 0.5km deste) e o monocultivo de Pinus.","-49.546389","-28.386389","1400","1400",NA,"erva, 0,2 a 0,3m altura","FLOR0047384",NA,NA,NA,NA,"1999",NA,NA,"49º32'47''W","28º23'11''S",NA
"32","2020-08-20 20:39:23-03","UFSC","FLOR","47491","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Trevisan, R. & Venturi, S.","621","2012","12","01",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, próximo ao portão do CINDACTA (divisa dos Municípios de Urubici, Bom Jardim da Serra e Orleans).","-49.480556","-28.1275","1784","1784",NA,"erva, flor castanha","FLOR0047491",NA,NA,NA,NA,"2013",NA,NA,"49º28'50''W","28º7'39''S",NA
"33","2020-08-20 20:39:23-03","UFSC","FLOR","48631","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Weber, P.","691","2013","04","13",NA,"Brasil","Rio Grande do Sul","Cambará do Sul","trilha para o promontório no Cânion Fortaleza.","-49.956944","-29.063056","1091","1091",NA,"erva, flor castanha","FLOR0048631",NA,NA,NA,NA,"2013",NA,NA,"49º57'25''W","29º3'47''S",NA
"34","2020-08-20 20:39:23-03","UFSC","FLOR","48635","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Weber, P.","687","2013","04","13",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","no alto da Serra da Rocinha.","-49.953333","-28.799167","1211","1211",NA,"erva, flor castanha","FLOR0048635",NA,NA,NA,NA,"2013",NA,NA,"49º57'12''W","28º47'57''S",NA
"35","2020-08-20 20:39:23-03","UFSC","FLOR","48637","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Weber, P.","684","2013","04","12",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","campo no Cânion Monte Negro.","-49.798333","-28.616667","1330","1330",NA,"erva, flor castanha","FLOR0048637",NA,NA,NA,NA,"2013",NA,NA,"49º47'54''W","28º37'0''S",NA
"36","2020-08-20 20:39:23-03","UFSC","FLOR","48640","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Weber, P.","681","2013","04","12",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","próximo à estrada de acesso ao mirante no topo da Serra do Rio do Rastro.","-49.552778","-28.388056","1436","1436",NA,"erva, flor castanha","FLOR0048640",NA,NA,NA,NA,"2013",NA,NA,"49º33'10''W","28º23'17''S",NA
"37","2020-08-20 20:39:23-03","UFSC","FLOR","48641","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Weber, P.","680","2013","04","12",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","campo perto do Mirante da Serra do Rio do Rastro.","-49.549167","-28.391944","1409","1409",NA,"erva, flor castanha","FLOR0048641",NA,NA,NA,NA,"2013",NA,NA,"49º32'57''W","28º23'31''S",NA
"38","2020-08-20 20:39:23-03","UFSC","FLOR","48642","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Weber, P.","679","2013","04","11",NA,"Brasil","Santa Catarina","Urubici","estrada de acesso ao Morro da Igreja.","-49.488056","-28.120556","1718","1718",NA,"erva, flor castanha","FLOR0048642",NA,NA,NA,NA,"2013",NA,NA,"49º29'17''W","28º7'14''S",NA
"39","2020-08-20 14:56:52-03","UFSC","FLOR","55771","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.N.","Hassemer, G.N.; Kasten, G. & Hassemer, M.E.N.","784","2015","01","06",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Campo no topo da Serra do Rio do Rastro, perto do mirante.","-49.551944","-28.387778","1433","1433",NA,"Erva. flor castanha","FLOR0055771",NA,NA,NA,NA,NA,NA,NA,"49º33'7''W","28º23'16''S",NA
"40","2020-08-20 14:56:52-03","UFSC","FLOR","61116","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Barboza, E.","Cervi, A.C.; Barboza, E. & Cordeiro, J.","10065","2013","11","05",NA,"Brasil","Santa Catarina","Urubici","Morro da igreja, topo do morro.","-49.481944","-28.1275","1770","1770",NA,"Erva, espiga esbranquiçada","FLOR0061116","FLOR0061116",NA,NA,NA,"2013","12","03","49º28'55''W","28º7'39''S",NA
"41","2020-08-20 14:56:52-03","UFSC","FLOR","66977","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Funez, L.A.","Funez, L.A.; Costa-Rezende, D.H.; Ribeiro-Nardes, W.; Comin, M.","8245","2018","11","10",NA,"Brasil","Santa Catarina","Bom Jardim da Serra","Parque Nacional de São Joaquim. Campos de Santa Bárbara. Parque Nacional de São Joaquim","-49.606389","-28.162222","1665","1665",NA,"Erva. Projeto Peld-PPBio + MIND Funga","FLOR0066977","FLOR0066977",NA,NA,NA,"2019","04","09","49º36'23''W","28º9'44''S",NA
"42","2020-08-20 20:39:23-03","UFSC","FLOR","235","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Smith, L.B.","Reitz, R.; Klein, R.M.","7176","1958","09","18",NA,"Brasil","Santa Catarina","São Joaquim","Bom Jardim, Serra do Oratório.","-49.9317016601562","-28.2938995361328","1500","1500",NA,"erva, flor cinzenta","FLOR0000235",NA,"48290","auto",NA,"1965",NA,NA,NA,NA,NA
"43","2020-08-20 20:39:23-03","UFSC","FLOR","47385","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Falkenberg, D.B.","Falkenberg, D.B.","8383","1996","10","09",NA,"Brasil","Santa Catarina","Urubici","Topo do Morro da Igreja, dentro da área cercada pelo CINDACTA.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"erva, flor anteras amarelas. Erva geralmente com grosso(10-15 mm) e curto (15-20 mm) rizoma.","FLOR0047385",NA,"30102","auto",NA,"1999",NA,NA,NA,NA,NA
"44","2020-08-20 14:56:52-03","UFSC","FLOR","24853","PreservedSpecimen","Plantae",NA,"Lamiales","Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hefler, S.M.","Falkenberg, D.B.; Souza, M.L.","6823","1995","01","04",NA,"Brasil","Santa Catarina","Urubici","Topo do Morro da Igreja, próximo do CINDACTA.","-49.5917015075684","-28.0149993896484","1800","1800",NA,"subarbusto. Folhas rosuladas, sistema radicular muito engrossado logo abaixo da superfície.","FLOR0024853",NA,"30102","auto",NA,"2002","04","07",NA,NA,NA
"45","2021-02-08 12:44:47-03","UFRGS","ICN","128404","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Longhi-Wagner, HM; et al.","6017","1999","03","23","América do Sul","Brasil","RS","Fortaleza dos Aparados para Ca",NA,NA,NA,NA,NA,NA,"Solo pedregoso, raizes entre as pedras, difícil de tirar",NA,NA,NA,NA,NA,"2013","06","24",NA,NA,NA
"46","2021-02-08 12:44:47-03","UFRGS","ICN","135251","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hefler, SM","Hefler, SM; et al.","265","2003","12","02","América do Sul","Brasil","RS","São José dos Ausentes","Serra da Rocinha junto as antenas S 28°48'08.0 W 049°57'01.3","-49.950278","-28.802222",NA,NA,NA,"turfeira, com pedregulho e muita neblina. Ambiente com presença de Eryngium, Iridaceae, Asteraceae, Eriocaulaceae e muito úmido.",NA,NA,NA,NA,NA,NA,NA,NA,"-49.950278","-28.802222",NA
"47","2021-02-08 12:44:47-03","UFRGS","ICN","186206","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Barboza, E","Cervi, AC","s.n.Barboz","2013","11","05","América do Sul","Brasil","SC","Urubici","Morro da Igreja, topo do morro.","-49.481944","-28.1275",NA,NA,NA,"Doação MBM 386942; Erva. Espiga esbranquiçada.",NA,NA,NA,NA,NA,"2013","12","03","-49.481944","-28.1275",NA
"48","2021-02-08 12:44:47-03","UFRGS","ICN","134035","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Longhi-Wagner, HM; Garcia, R","7271","2001","01","19","América do Sul","Brasil","SC","Timbé do Sul","Serra da Rocinha","-49.8471984863281","-28.8302993774414",NA,NA,NA,NA,NA,NA,"15081","auto",NA,"2013","06","21",NA,NA,NA
"49","2021-02-08 12:44:47-03","UFRGS","ICN","197470","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Külkamp, J","Külkamp, J; Valduga, E; Gonzatti, F; Nogueira, L","199","2016","12","13","América do Sul","Brasil","SC","Urubici","Topo do Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Em campo úmido.",NA,NA,"30102","auto",NA,NA,NA,NA,NA,NA,NA
"50","2021-02-08 12:44:47-03","UFRGS","ICN","167462","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Schneider, AA","Schneider, AA","1789","2011","03","18","América do Sul","Brasil","RS","Cambará do Sul","Fazenda Capão Alto","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Erva.; Em campo úmido.",NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA
"51","2021-02-08 12:44:47-03","UFRGS","ICN","126678","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Longhi-Wagner, HM","3587","1997","01","22","América do Sul","Brasil","SC","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484","1832","1832",NA,NA,NA,NA,"30102","auto",NA,"2013","06","24",NA,NA,NA
"52","2021-02-08 12:44:47-03","UFRGS","ICN","134182","S","Plantae","Dicotyledon",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G","Longhi-Wagner, HM; Garcia, R","7419","2001","01","22","América do Sul","Brasil","SC","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"no afloramento",NA,NA,"30102","auto",NA,"2013","06","21",NA,NA,NA
"53","2020-08-26 10:50:24-03","MCN-FZBRS","HAS","13607A","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Plantaginaceae","Plantago","turficola","Plantago turficola","Rahn","Hassemer, G.","Bueno, O.","3068a","1981","09",NA,NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Fortaleza. (Rocinha)","-50.1446990966797","-29.0478000640869",NA,NA,NA,"Erva rasteira com roseta basal, de flor castanha, em topo de campo limpo.","HAS013607A",NA,"30776","auto",NA,"2015","12","23",NA,NA,NA
