"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"11","2020-11-04 11:01:56-03","ESALQ","ESA","23089","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Giulietti, A.M. et al.",NA,"1994","01","12",NA,"Brasil","Minas Gerais","São Roque de Minas",NA,"-46.3657989501953","-20.2453002929688",NA,NA,"ESA023089","ESA023089",NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 10:55:07-03","ESALQ","ESA","135314","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","J. Cordeiro","J.M. Silva","8495.0","2014","03","27",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"ESA135314",NA,NA,NA,NA,NA,"27346","auto","2014","05","10",NA,NA,NA,NA,NA
"13","2020-11-04 10:55:07-03","ESALQ","ESA","135167","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","decumbens","Mikania decumbens",NA,"Souza, V.C.","Coelho, R.","587.0",NA,NA,NA,NA,"Brasil","São Paulo","Bom Sucesso de Itararé","Fazenda Experimental IAC - UPD Itararé. Próximo ao alojamento","-49.1399993896484","-24.3099994659424",NA,"Erva rasteira. Capítulos esbranquiçados.","ESA135167",NA,NA,NA,NA,NA,"14955","auto","2016","01","13",NA,NA,NA,NA,NA
"14","2020-11-04 11:01:56-03","ESALQ","ESA","105889","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens",NA,"Borges, R.","Saavedra, M.M.","274.0","2006","05","16",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA105889","ESA105889",NA,NA,NA,NA,"30417","auto","2006","05","16",NA,NA,NA,NA,NA
"15","2020-11-04 11:01:56-03","ESALQ","ESA","50032","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens",NA,"Souza, V.C.","Scaramuzza, C.A.M. et al.","1022.0","1993","02","19",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA050032","ESA050032",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:01:56-03","ESALQ","ESA","63328","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063328","ESA063328",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:01:56-03","ESALQ","ESA","102237","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Echternacht, L.",NA,"2005","05","16",NA,"Brasil","Minas Gerais","Airuoca",NA,NA,NA,NA,NA,"ESA102237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:01:56-03","ESALQ","ESA","32579","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","9818.0","1996","01","08",NA,"Brasil","Minas Gerais","Delfinópolis","Serra da Gurita, próximo à estrada Delfinópolis - Sacramento. 20º17'21,8S, 46º52'04,8W. Campo rupestre com cerrado e mata ciliar adjacentes. 900 m.s.m.","-46.868",NA,NA,"Erva prostrada; flores creme.","ESA032579","ESA032579","900","900",NA,NA,NA,NA,NA,NA,NA,"-46,868","-20,289,389",NA,NA,NA
"19","2020-11-04 11:01:56-03","ESALQ","ESA","105905","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens",NA,"Borges, R.","Forzza, R.C.","3054.0","2004","03","09",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA105905","ESA105905",NA,NA,NA,NA,"30417","auto","2006",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:01:56-03","ESALQ","ESA","63314","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063314","ESA063314",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:01:56-03","ESALQ","ESA","63273","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Oliveira, C.T.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063273","ESA063273",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:01:56-03","ESALQ","ESA","9132","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","Souza, V.C.","Souza, V.C. et al.","2325.0","1993","02","17",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA009132","ESA009132",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:01:56-03","ESALQ","ESA","94444","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens",NA,NA,"Souza, V.C.; Scaramuzza, C.A.M.; Shimabukuro, M.T.","3615.0","1993","05","20",NA,"Brasil","São Paulo","Itararé","Fazenda Ibiti (Ripasa) . Campo. P-39.","-49.3400001525879","-24.1100006103516",NA,"Volúvel; capítulos creme.","ESA094444","ESA094444",NA,NA,NA,NA,"27729","auto",NA,NA,NA,"-49,263,056","-24,203,333",NA,NA,NA
"24","2016-02-02 14:37:55-02","BGBM","B","B 10 0002036","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Rambo","46268",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"RGS, San Fr. de Paula.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002036 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002036","B100002036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-02-02 14:37:57-02","BGBM","B","B 10 0002040","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Rambo","49679",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002040 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002040","B100002040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-02-02 14:37:55-02","BGBM","B","B 10 0002037","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Pereira","5412",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Paraná, Campo Largo, Serra de S. Luis de Puruna.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002037 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002037","B100002037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-02-02 14:37:55-02","BGBM","B","B 10 0002038","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Reitz & Klein","17.440",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Serra de Sao Luiz.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002038 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002038","B100002038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-02-02 14:37:57-02","BGBM","B","B 10 0002041","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Rambo","59247",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"RGS, Taimbesinho.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002041 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002041","B100002041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-02-02 14:37:55-02","BGBM","B","B 10 0002039","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Rambo","49679",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002039 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002039","B100002039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-02-02 14:37:57-02","BGBM","B","B 10 0002042","S","Plantae",NA,NA,"Compositae","Mikania","decumbens","Mikania decumbens",NA,NA,"Rambo","59247",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"RGS, Taimbesinho.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002042 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002042","B100002042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-08-27 13:27:40-03","IAP","PACA-AGP","51892","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1952","01","15",NA,"Brasil","RS","Bom Jesus","Passo da Guarda","-50.4166984558105","-28.6678009033203",NA,"VULNERÁVEL Habitat: in campestribus graminosis Fenofase: flor","PACA051892",NA,NA,NA,"Magnoliatae",NA,"55856","auto","1954","07","04",NA,NA,NA,NA,NA
"32","2019-08-27 13:27:40-03","IAP","PACA-AGP","53775","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1953","02","03",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,"VULNERÁVEL Habitat: in campestribus graminosis Fenofase: flor","PACA053775",NA,NA,NA,"Magnoliatae",NA,"55856","auto","1954","07","04",NA,NA,NA,NA,NA
"33","2019-08-27 13:27:40-03","IAP","PACA-AGP","27718","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Mara Ritter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VULNERÁVEL&nf;Sem coletor.","PACA027718",NA,NA,NA,"Magnoliatae",NA,NA,NA,"2001","07","19",NA,NA,NA,NA,NA
"34","2019-08-27 13:27:40-03","IAP","PACA-AGP","11543","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","P. Buck",NA,"1944","01",NA,NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,"Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA011543",NA,NA,NA,"Magnoliatae",NA,"76715","auto","1954","07","04",NA,NA,NA,NA,NA
"35","2019-08-27 13:27:40-03","IAP","PACA-AGP","11642","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","P. Buck",NA,"1942","01",NA,NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA011642",NA,NA,NA,"Magnoliatae",NA,"76715","auto","1954","07","04",NA,NA,NA,NA,NA
"36","2019-08-27 13:27:40-03","IAP","PACA-AGP","35089","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1947","01","13",NA,"Brasil","RS","Vacaria","Fazenda da Ronda","-50.9338989257812","-28.5121994018555",NA,"VULNERÁVEL Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA035089",NA,NA,NA,"Magnoliatae",NA,"63451","auto","1954","07","04",NA,NA,NA,NA,NA
"37","2019-08-27 13:27:40-03","IAP","PACA-AGP","51433","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1951","12","26",NA,"Brasil","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,"VULNERÁVEL Habitat: in campestribus dumetosis Fenofase: flor","PACA051433",NA,NA,NA,"Magnoliatae",NA,"63451","auto","1954","07","04",NA,NA,NA,NA,NA
"38","2020-12-21 16:36:49-03","IAP","PACA-AGP","6843","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Bruxel, A.",NA,"1935",NA,NA,NA,"Brasil","SC","Lages",NA,"-50.326099395752","-27.8160991668701",NA,"VULNERÁVEL Habitat: in campestribus graminosis Fenofase: flor","PACA006843",NA,NA,NA,"Magnoliatae",NA,"70701","auto","1954","07","04",NA,NA,NA,NA,NA
"39","2019-08-27 13:27:40-03","IAP","PACA-AGP","49679","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1950","01","10",NA,"Brasil","SC","Lages",NA,"-50.326099395752","-27.8160991668701",NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA049679",NA,NA,NA,"Magnoliatae",NA,"70701","auto","1954","07","04",NA,NA,NA,NA,NA
"40","2019-08-27 13:27:40-03","IAP","PACA-AGP","49634","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1951","01","10",NA,"Brasil","SC","Lages",NA,"-50.326099395752","-27.8160991668701",NA,"VULNERÁVEL Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA049634",NA,NA,NA,"Magnoliatae",NA,"70701","auto","1954","07","04",NA,NA,NA,NA,NA
"41","2019-08-27 13:27:40-03","IAP","PACA-AGP","46268","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1950","03","13",NA,"Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA046268",NA,NA,NA,"Magnoliatae",NA,"76715","auto","1954","07","04",NA,NA,NA,NA,NA
"42","2019-08-27 13:27:40-03","IAP","PACA-AGP","36277","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS","São Francisco de Paula","Cambara","-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL Habitat: in campestribus graminosis prostr. Fenofase: flor","PACA036277",NA,NA,NA,"Magnoliatae",NA,"76715","auto","1954","07","04",NA,NA,NA,NA,NA
"43","2019-08-27 13:27:40-03","IAP","PACA-AGP","86204","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","R.A. Wasum","R.A. Wasum","1396","2002","03","17",NA,"Brasil","RS","São Francisco de Paula","RS-235","-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL&nf;HUCS 18961 Habitat: em beira de mata","PACA086204",NA,"830","830","Magnoliatae",NA,"76715","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-08-27 13:27:40-03","IAP","PACA-AGP","68832","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","N. Bastos","Sehnem, A.",NA,"1951","02","24",NA,"Brasil","RS","São Francisco de Paula","Taimbe","-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL&nf;det. (A. Sehnem): Mikania officinalis Mart. Habitat: in campestribus","PACA068832",NA,NA,NA,"Magnoliatae",NA,"76715","auto","1987","06",NA,NA,NA,NA,NA,NA
"45","2019-08-27 13:27:40-03","IAP","PACA-AGP","59247","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","Emrich-Rambo","Rambo, B.",NA,"1956","02","12",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,"VULNERÁVEL Habitat: in campestribus Fenofase: flor","PACA059247",NA,NA,NA,"Magnoliatae",NA,"76715","auto","1956","05","16",NA,NA,NA,NA,NA
"46","2019-08-27 13:27:40-03","IAP","PACA-AGP","72148","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Mikania","decumbens","Mikania decumbens","Malme","B. Rambo SJ","Sehnem, A.",NA,"1951","01","28",NA,"Brasil","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,"VULNERÁVEL Habitat: in campo","PACA072148",NA,NA,NA,"Magnoliatae",NA,"63451","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-24 17:08:41-03","UFES","SAMES","682","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme",NA,"Menezes,L.F.T.; Sá,C.F.C.;Ribeiro,R.;Faria,M.B.;Giaretta,A.O.","1611","2007","03","18",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Rua de acesso ao Bairro Liberdade apartir da entrada da estrada que liga São Mateus a Guriri.","-39.8588981628418","-18.716100692749",NA,"Restinga aberta de moitas. Habitat: Vegetação de restinga pleistocênica. Rua de acesso ao Bairro Liberdade apartir da entrada da estrada que liga São Mateus a Guriri.","SAMES00682",NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA,"-398102778.0","-187422222.0",NA,NA,NA
"48","2020-06-30 18:31:59-03","UFJF","CESJ","31970","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","R.L.Esteves","F.S. Araújo; R.C. Forzza; M.A. Heluey","11","2001","02","08","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Escandente entre gramineas. Flores alvas. Material prensado em álcool.","CESJ031970","CESJ031970",NA,NA,NA,NA,"30417","auto","2004","04","22",NA,NA,NA,NA,NA
"49","2020-06-30 18:31:59-03","UFJF","CESJ","32620","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","R.L.Esteves","M.A. Heluey; R.M. Castro","79","2001","03","24","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Erva no campo encharcável próximo ao Morro da Cruz.","CESJ032620","CESJ032620",NA,NA,NA,NA,"30417","auto","2004","09","01",NA,NA,NA,NA,NA
"50","2019-11-21 14:31:59-03","UFJF","CESJ","68576","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","B. Moreira","B. Moreira; L.C.D. Dias","242","2015","05","22","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás das casas dos gestores","-43.899167","-21.715278",NA,"Erva, flor bege, ca. 50cm. Interior de mata","CESJ068576","CESJ068576","1340","1340",NA,NA,NA,NA,"2016",NA,NA,"-43.899167","-21.715278",NA,NA,NA
"51","2020-06-30 18:31:59-03","UFJF","CESJ","32477","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Mikania","decumbens","Mikania decumbens","Malme","R.L.Esteves","M.A. Heluey","04","2000","11","03","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Campo encharcavel, entre o Cruzeiro e o Morro da Lombada.","-43.793098449707","-21.8425006866455",NA,"Erva, trepadeira.","CESJ032477","CESJ032477",NA,NA,NA,NA,"30417","auto","2004","09","01",NA,NA,NA,NA,NA
