"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","class","order","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","typeStatus"
"11","2020-12-21 16:14:49-03","MBM","MBM","154590","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Schneider, A.A.","2008","09","Ferrucci, S.","823","1992","10","13","Southern America","Argentina","Córdoba","Unión","Parque Francisco Tau",NA,NA,NA,NA,NA,NA,"Planta ca. 0,60 m de altura; capítulos blanquecinos.; Margen del rio Ctalamochita.","MBM154590","MBM154590",NA,NA,"09",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:14:49-03","MBM","MBM","343898","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Giuliano, D.A.","2004","04","Hurrell, J.A.; Ulibarri, E.A.; Bazzano, D.; Ulibarri, E.A.; Bazzano, D.","5477","2003","12","15","Southern America","Argentina","Buenos Aires",NA,"Archipiélago Solís",NA,NA,NA,NA,NA,NA,NA,"MBM343898","MBM343898",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:14:49-03","MBM","MBM","352865","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Hurrell, J.A.","2006","12","Hurrell, J.A.; Ulibarri, E.A.; Bazzano, D.; Rubini, F.; Ulibarri, E.A.; Bazzano, D.; Rubini, F.","6295","2006","12","16","Southern America","Argentina","Buenos Aires",NA,"Archipiélago Solís",NA,NA,NA,NA,NA,NA,NA,"MBM352865","MBM352865",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:14:49-03","MBM","MBM","388811","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G.","2010","02","Heiden, G.","1293","2010","02","28","Southern America","Brazil","Rio Grande do Sul","Uruguaiana","Itapitocaí, BR 472, próximo à ponte sobre o rio Itapitocaí","-57.116389","-29.885278","-57.116389","-29.885278","54","54","Subarbusto, ca. 1m alt. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta estaminada.; Campos de clima temperado (pampas), banhado.","MBM388811","MBM388811",NA,NA,"28",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:14:49-03","MBM","MBM","397594","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G.","2010","01","Heiden, G.","1198","2010","01","29","Southern America","Brazil","Rio Grande do Sul","Santa Vitória do Palmar","Balneário do Hermenegildo, Próximo à alameda das acácias, 500m antes do balneário.","-53.269444","-33.660556","-53.269444","-33.660556","8","8","Subarbusto ca. 1m alt, em banhado. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta estaminada.; Campos de clima temperado (pampas) com banhados.","MBM397594",NA,NA,NA,"29",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:14:49-03","MBM","MBM","55915","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Irigoyen, J.","284","1976","02","22","Southern America","Argentina","Corrientes","San Martín",NA,NA,NA,NA,NA,NA,NA,"Flor blanco-amarillenta.","MBM055915","MBM055915",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:14:49-03","MBM","MBM","185582","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Luis, T.",NA,NA,"Sacco, J.C.","808","1957","12","04","Southern America","Brazil","Rio Grande do Sul","Pelotas","Instituto Agronômico do Sul (I.A.S.)","-52.3424987792969","-31.771900177002",NA,NA,NA,NA,NA,"MBM185582",NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA
"18","2020-12-21 16:14:49-03","MBM","MBM","356363","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Schneider, A.A.",NA,NA,"Schneider, A.A.","1376","2006","10","30","Southern America","Brazil","Rio Grande do Sul","Rio Grande",NA,"-52.0985984802246","-32.0349998474121",NA,NA,"50","50","Arbusto de 2 m.; Banhado.","MBM356363","MBM356363",NA,NA,NA,"82892","auto",NA,NA,NA,NA
"19","2015-09-04 05:54:34-03","MNHN","RECOLNAT_MNHN_P","P02463792","PreservedSpecimen",NA,NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Uruguai",NA,NA,"Banda Oriental del Uruguay.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02463792' target='other'> <mi>dwc_moreinfo</mi></a>","P02463792","P02463792_01",NA,NA,NA,NA,NA,"C2 2562","hb",NA,NA
"20","2008-09-03 11:58:00-03","MO","MOBOT","100146759","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","D.A. Giuliano",NA,NA,"Julio A. Hurrell|Emilio A. Ulibarri|D. Bazzano","Hurrell 5477","2003","12","15","South America","Argentina","Buenos Aires",NA,"Archipiélago Solís: Isla Solís.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","2012-04-20 11:52:00-03","MO","MOBOT","100164611","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"W. Lossen","Lossen 591","1925","4",NA,"South America","Argentina","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"22","2009-06-01 13:53:00-03","MO","MOBOT","100191601","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","D. Giuliano",NA,NA,"S. Torres Robles|P. Simon|N. González","Torres Robles 2156","2004","11","1","South America","Argentina","Buenos Aires","Campana","Reserva Natural Estricta Otamendi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2011-02-25 07:39:00-03","MO","MOBOT","100273313","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","J.A. Hurrell",NA,NA,"Julio A. Hurrell|Emilio A. Ulibarri|D. Bazzano|F. Rubini","Hurrell 6295","2006","12","16","South America","Argentina","Buenos Aires",NA,"Archipiélago Solís: Isla Sur (41).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-05-08 13:43:00-03","MO","MOBOT","1059714","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G. Heiden (USP)",NA,NA,"Pedro Jörgensen","Jörgensen 4153",NA,"2",NA,"South America","Paraguay","Guairá",NA,"Villarrica.","-56.4333333","-25.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2010-05-16 08:12:00-03","MO","MOBOT","2251275","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Cristóbal, C. L., //",NA,NA,"Aurelio Schinini","Schinini Cacace 27549","1993","1","19","South America","Argentina","Corrientes","San Miguel","Ruta 17. Ea. Curuzú Laurel. 11 km NE de San Miguel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2011-02-17 16:12:00-02","MO","MOBOT","2704440","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Miles M. Stuart Pennington","Pennington 72","1903","1","20","South America","Argentina","Buenos Aires",NA,"Rio Lujan. Delta del Rio Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype"
"27","2012-02-16 10:33:00-02","MO","MOBOT","3282243","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G. Heiden",NA,NA,"Jean Louis De Sloover","De Sloover 22","1975","10","26","South America","Argentina","Entre Ríos",NA,"Palmar de Colon (Parc. national)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","3284369","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"J. Irigoyen","Irigoyen 452","1978",NA,NA,"South America","Argentina","Entre Ríos","Concepción del Uruguay","Ea Santa Candida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2010-06-18 17:06:00-03","MO","MOBOT","3285019","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Arturo E. Burkart","Burkart 4595","1942",NA,NA,"South America","Argentina","Buenos Aires",NA,"Delta del Parana, arroyo Pajariot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2013-08-23 04:12:00-03","MO","MOBOT","3285129","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"Arturo E. Burkart","Burkart 3489","1943",NA,NA,"South America","Argentina","Buenos Aires","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2012-02-03 11:27:00-02","MO","MOBOT","579845","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G. Heiden (USP)",NA,NA,"Teodoro Rojas","Rojas 9583","1942","3",NA,"South America","Paraguay","Cordillera",NA,"Valenzuela.","-56.83333","-25.58333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:45:13-03","MBML","MBML-HERBARIO","53394",NA,"Plantae",NA,"Compositae","Baccharis","penningtonii","Baccharis penningtonii","Heering","J. Gaio/2015",NA,NA,"C. Demeda; J. Gaio, F. Gonzatti & O. Link","170","2015","09","13",NA,"Brasil","Rio Grande do Sul","Osório","Lagoa das Trairas","-50.191111","-29.863056","50W11'28","29S51'47","2","2","Habitat: Margem noroeste","MBML053394","MBML053394",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-26 14:12:16-03","CPACT","ECT","5195","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","J.Gaio","2015","10","C.Demeda; J.Gaio | F.Gonzatti | O.Link","170","2015","10","21",NA,"Brasil","Rio Grande do Sul","Osório","Lagoa das Traíras.","-50.191111","-29.863056","50º11'28''W","29º51'47''S","2","2",NA,"ECT0005195","ECT0005195",NA,NA,"21",NA,NA,NA,NA,NA,NA
"34","2021-01-26 14:12:16-03","CPACT","ECT","527","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"G.Heiden; J.R.V.Iganci","1459","2010","01","03",NA,"Uruguai","Treinta y Tres","Treinta y Tres","Sierra del Yerbal. Estrada vicinal para a Quebrada de los Cuervos. Campos de clima temperado (pampas), vegetação subarbustiva em área de afloramentos rochosos graníticos. Nome comum: carqueja.","-54.435","-32.919722","54º26'6''W","32º55'11''S","230","230",NA,"ECT0000527","ECT0000527",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-26 14:12:16-03","CPACT","ECT","526","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G.Heiden","2010","02","G.Heiden; G.Heiden","1293","2010","02","28",NA,"Brasil","Rio Grande do Sul","Uruguaiana","Itapitocaí. BR 472, próximo à ponte sobre o rio Itapitocaí. Campos de clima temperado (pampas), banhado. Nome comum: vassourinha.","-57.116389","-29.885278","57º6'59''W","29º53'7''S","54","54",NA,"ECT0000526","ECT0000526",NA,NA,"28",NA,NA,NA,NA,NA,NA
"36","2021-01-26 14:12:16-03","CPACT","ECT","528","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G.Heiden","2010","01","G.Heiden; G.Heiden","1197","2010","01","29",NA,"Brasil","Rio Grande do Sul","Santa Vitória do Palmar","Balneário do Hermenegildo. Próximo à Alameda das Acácias, ca. de 500 m antes do balneário. Campos de clima temperado (pampas) com banhados. Nome comum: carqueja-do-banhado.","-53.269444","-33.660556","53º16'10''W","33º39'38''S","8","8",NA,"ECT0000528","ECT0000528",NA,NA,"29",NA,NA,NA,NA,NA,NA
"37","2021-01-26 14:12:16-03","CPACT","ECT","525","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","G.Heiden","2011","01","G.Heiden; J.R.V.Iganci","1472","2011","01","06",NA,"Uruguai","Lavalleja","La Mariscala","Arroyo Marmarajá. Ruta 8, km 173.250, imediações da ponte. Campos de clima temperado (pampas) com matas ciliares semideciduais. Nome comum: carqueja.","-54.7825","-24.060556","54º46'57''W","24º3'38''S","112","112",NA,"ECT0000525","ECT0000525",NA,NA,"06",NA,NA,NA,NA,NA,NA
"38","2020-09-12 05:00:02-03","US","US","1532204","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"A. L. Cabrera","1503","1930","10","31","South America","Argentina",NA,NA,"Isla Santiago, cerca de La Plata",NA,NA,NA,NA,NA,NA,NA,"US01727591","US01727591_01","Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"39","2020-09-12 05:00:02-03","US","US","1547656","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"S. Venturi","8572","1928","12","3","South America","Argentina","Santiago del Estero",NA,"Provincia de Sgo. del Estero (R.A.), Pinto F. C. C. A.",NA,NA,NA,NA,"200",NA,NA,"US01727589",NA,"Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"40","2020-09-12 05:00:02-03","US","US","3276970","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"A. Schinini","27549","1993","1","19","South America","Argentina","Corrientes",NA,"Dep. San Miguel, Ruta 17, Ea. Curuzu Laurel, 11 km NE de San Miguel, Patanicola",NA,NA,NA,NA,NA,NA,NA,"US01727592","US01727592_01","Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"41","2020-09-12 05:00:02-03","US","US","3649192","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"G. Heiden & G. Heiden","1293","2010","2","28","South America","Brazil","Rio Grande do Sul",NA,"Brasil. Rio Grande do Sul. Uruguaiana: Itapitocai. BR 472, próximo à ponte sobre o rio Itapitocai","-57.1164","-29.8853",NA,NA,"54",NA,NA,"US01725854","US01725854_01","Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"42","2020-09-12 05:00:02-03","US","US","3676083","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"G. Heiden & G. Heiden","1198","2010","1","29","South America","Brazil","Rio Grande do Sul",NA,"Brasil . Rio Grande do Sul. Santa Victoria do Palmar: Balneario do Hermenegildo. Proximo a Alameda das Acacias, 500m antes do balneario.","-53.2694","-33.6606",NA,NA,"8",NA,NA,"US01311672","US01311672_01","Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"43","2020-09-12 05:00:02-03","US","US","1934122","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"T. Ibarrola","733","1944","7","25","South America","Argentina","Corrientes",NA,"Isla Toledo, rio Parana, San Cosme",NA,NA,NA,NA,NA,NA,NA,"US01727588",NA,"Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"44","2020-09-12 05:00:02-03","US","US","2320275","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"H. H. Bartlett","21272","1944","1","9","South America","Uruguay","Cerro Largo",NA,"8 km north of Melo",NA,NA,NA,NA,NA,NA,NA,"US01727587",NA,"Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"45","2020-09-12 05:00:02-03","US","US","1098849","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"C. Osten","5251",NA,NA,NA,"South America","Uruguay","Salto",NA,"Dayman in dumetis",NA,NA,NA,NA,NA,NA,NA,"US01727590",NA,"Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"46","2020-09-12 05:00:02-03","US","US","3656323","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering",NA,NA,NA,"G. Heiden & J. R. V. Iganci","1472","2011","1","6","South America","Uruguay","Lavalleja",NA,"La Mariscala, Arroyo Marmaraja, Ruta 8, km 173.250, imediacoes da ponte","-54.7825","-24.0606",NA,NA,"112",NA,NA,"US01727586","US01727586_01","Dicotyledonae","Asterales",NA,NA,NA,NA,NA,"1",NA
"47","2021-03-15 18:25:21-03","USP","SPF","207916","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2011","01","Heiden, G; Iganci, JRV","1472","2011","01","06",NA,"Uruguai","Lavalleja","La Mariscala","Arroyo Marmarajá, Ruta 8, km 173.250, imediações da ponte.","-54.7825","-24.060556","-54.7825","-24.060556","112","112","Subarbusto na vegetação ripária, ca. 1,5 m alt. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta pistilada.","SPF00207916",NA,NA,NA,"06",NA,NA,NA,NA,NA,NA
"48","2021-03-15 18:25:21-03","USP","SPF","208225","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2010","02","Heiden, G; Heiden, G","1292","2010","02","28",NA,"Brasil","Rio Grande do Sul","Uruguaiana","Itapitocaí, BR 472, próximo à ponte sobre o rio Itapitocaí.","-57.116389","-29.885278","-57.116389","-29.885278","54","54","Subarbusto, ca. 1 m alt. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta pistilada.","SPF00208225",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA
"49","2021-03-15 18:25:21-03","USP","SPF","208226","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2010","02","Heiden, G; Heiden, G","1293","2010","02","28",NA,"Brasil","Rio Grande do Sul","Uruguaiana","Itapitocaí, BR 472, próximo à ponte sobre o rio Itapitocaí.","-57.116389","-29.885278","-57.116389","-29.885278","54","54","Subarbusto, ca. 1 m alt. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta estaminada.","SPF00208226",NA,NA,NA,"28",NA,NA,NA,NA,NA,NA
"50","2021-03-15 18:25:21-03","USP","SPF","208822","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2010","01","Heiden, G; Heiden, G","1204","2010","01","30",NA,"Uruguai","Rocha","La Coronilla","Los Aromos. Próximo ao balneário, entre Calle 43 e Avenida 2.","-53.5125","-33.896389","-53.5125","-33.896389","10","10","Arbusto ca. 1,5 m alt., em banhado. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta estaminada.","SPF00208822",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA
"51","2021-03-15 18:25:21-03","USP","SPF","208823","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2010","01","Heiden, G; Heiden, G","1203","2010","01","30",NA,"Uruguai","Rocha","La Coronilla","Los Aromos. Próximo ao balneário, entre Calle 43 e Avenida 2.","-53.5125","-33.896389","-53.5125","-33.896389","10","10","Arbusto ca. 1,5 m alt., em banhado. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta pistilada.","SPF00208823",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA
"52","2021-03-15 18:25:23-03","USP","SPF","208831","PreservedSpecimen","Plantae",NA,"Asteraceae","Baccharis","penningtonii","Baccharis penningtonii","Heering","Heiden, G","2010","01","Heiden, G; Heiden, G","1198","2010","01","29",NA,"Brasil","Rio Grande do Sul","Santa Vitória do Palmar","Balneário do Hermenegildo, Próximo à Alameda das Acácias, ca. de 500 m antes do balneário.","-53.269444","-33.660556","-53.269444","-33.660556","8","8","Subarbusto ca. 1 m alt., em banhado. Ramos verdes. Brácteas involucrais verde-claras. Flores alvas. Planta estaminada.","SPF00208831",NA,NA,NA,"29",NA,NA,NA,NA,NA,NA
