"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","individualCount"
"11","2020-12-20 21:19:00-03","UFV","VIC","48932","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","11","06","Silva, R.V.; Coelho, C.G.; Freitas, S.H.; Marques, M.V.M.; Vieira, M.C.W.","2014","11","06","Brasil","Minas Gerais","Monte Belo","São Francisco, Mata da Olaria","-46","-21","-46","-21","931","931","Indivíduo com 12 m de altura; inicialmente ereto e, posteriormente inclinando sabre a vegetação adjacente. Entrenós com 12-46.5 cm de comprimento, verde com estrias amarelas.","VIC048932","VIC048932",NA,NA,"51",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:19:00-03","UFV","VIC","48933","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","11","06","Silva, R.V.; Coelho, C.G.; Freitas, S.H.; Marques, M.V.M.; Vieira, M.C.W.","2014","11","06","Brasil","Minas Gerais","Monte Belo","São Francisco, Mata da Olaria","-46","-21","-46","-21","920","920","Indivíduo com 10-14 m de altura; inicialmente ereto e, posteriormente inclinando sabre a vegetação adjacente. Entrenós com 10-56.5 cm de comprimento, cerca de 1.5-2 cm de diâmetro, verde com estrias amarelas.","VIC048933","VIC048933",NA,NA,"50",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:19:00-03","UFV","VIC","043991","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Silva, R.V.","2014","12","20","Silva, R.V.; Silva, A.P.; Braga, F.E.S.; Leonor, R.V.","2014","07","23","Brasil","Minas Gerais","Ibirité","Parque Estadual da Serra do Rola Moça, Estrada para o Manancial Rola Moça","-43","-20","-43","-20","1180","1180","Indivíduo com 10 a 12 m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós verde com estrias amarelas, 5-43 cm de comprimento; 1.06-2 cm de diâmetro.","VIC043991","VIC043991 VIC043991_1",NA,NA,"42",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:19:00-03","UFV","VIC","48923","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Vinícius-Silva, R.","2015","12","19","Vinícius-Silva, R.; Teixeira, M.O.","2015","12","19","Brasil","Minas Gerais","Guiricema","Córrego dos Palmares, Terreno do Nilo Bonfioli, mata no alto de uma área de pastagem","-42","-20","-42","-20","589","589","Indivíduos com, aproximadamente, 10-12 m de altura, inicialmente eretos e, posteriormente, inclinando sobre a vegetação adjacente. Entrenós com 25-63 cm de comprimento, 2.9-4.2 cm de diâmetro.","VIC048923","VIC048923",NA,NA,"62",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:19:00-03","UFV","VIC","49176","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","Vinícius-Silva, R.","2014","03","10","Santos-Gonçalves, A.P.","2014","03","05","Brasil","Minas Gerais","São Tomé das Letras","Estrada de Terra Cruzília para São Tomé das Letras, Ca. 15 de São Tomé da Letras","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,NA,"VIC049176","VIC049176",NA,NA,"s.n.",NA,NA,NA,"16076","auto",NA,NA
"16","2019-08-16 08:40:37-03","UTFPR","HCF","14326","S","Plantae","Poaceae","Merostachys","cf. fistulosa","Merostachys cf. fistulosa","Döll.","P.L. Miranda","2011","08",NA,"N.F.O. Mota","2011","01","21","Brasil","MG","São Gonçalo do Rio Preto","estrada Diamantina-Morro Rendo (Parque","-43.3425","-18.306111","43°20'33 W","18°18'22 S","1147","1147","bambu com floração em massa. Colmos com até 2 cm de raio, rajados de verde claro e escuro. Tricomas do colmo levemente escabros. Espiguetas marrons.",NA,NA,NA,NA,"2025",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:40:34-03","MBM","MBM","390131","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doell","Viana, P.L.","2011","08",NA,"Mota, N.F.O.; Souza, F.S.; Miranda, M.D.; Oliveira, U.; Souza, F.S.; Miranda, M.D.; Oliveira, U.","2011","01","21","Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Estrada Diamantina - Morro Rendo","-43.3425","-18.306111","-43.3425","-18.306111","1147","1147","Bambu com floração em massa. Colmos de até 3cm de raio, rajados de verde claro e escuro. Tricomas do colmo levemente escrabos. Espiguetas marrons.; Borda de estrada de terra.","MBM390131","MBM390131",NA,NA,"2025","Southern America",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:40:34-03","MBM","MBM","414410","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doell","Antoniuk-Bonato, R.G.","2018","06","20","Silva, J.M.; Noguchi, G.; Sayden, D.; Noguchi, G.; Sayden, D.","2017","12","01","Brazil","Paraná","Castro","PCH Rio Iapó, Fazenda do Pulo","-50.142222","-24.716111","-50.142222","-24.716111","975","975","Taquara cespitosa.; Floresta Ombrófila Mista.","MBM414410","MBM414410",NA,NA,"9988","Southern America",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:40:34-03","MBM","MBM","4835","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doell",NA,NA,NA,NA,"Giovannoni, M.; Vellozo, L.G.C.; Kubiak, G.; Vellozo, L.G.C.; Kubiak, G.","1946","10","03","Brazil","Paraná","Morretes","Serra da Graciosa","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"MBM004835","MBM004835",NA,NA,"s.n.","Southern America",NA,NA,"30514","auto",NA,NA
"20","2019-11-01 15:28:35-03","PUC-RIO","FCAB","1421","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll",NA,NA,NA,NA,"P. Capell S.J.","1952","05","15","Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,"001421",NA,NA,"Angiospermae","s.n.",NA,NA,NA,"33190","auto",NA,NA
"21","2020-12-11 11:45:10-03","UFMG","BHCB","145564","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018","07","03","Mota, NFO; Souza, FS; Miranda, MD; Oliveira, U","2011","01","21","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto., Estrada Diamantina - Morro Rendo","-43.3425","-18.306111","-43.3425","-18.306111","1147","1147","Bambu com floração em massa. Colmos com até 2 cm de raio, rajados de verde claro e escuro. Tricomas do colmo levemente escabros. Espiguetas marrons.; Borda de estrada de terra.","BHCB046623",NA,"Monocotyledon",NA,"2025","Southern America",NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:45:10-03","UFMG","BHCB","107264","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018","07","03","Almeida, TE; Heringer, G; Lara, DS; Costa, ACV da","2007","04","28","Brasil","Minas Gerais","Buenópolis","Parque Nacional das Sempre Vivas., Campos de São Domingos. Cabeceira do Córrego de São Domingos.","-43.773861","-17.931528","-43.773861","-17.931528","132","132","Prensado em álcool.; Touceira, 4m de altura; No interior de floresta. Mata de Galeria e Floresta Estacional Semidecidual","BHCB046622",NA,"Monocotyledon",NA,"1002","Southern America",NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:45:10-03","UFMG","BHCB","111778","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018",NA,NA,"Mota, NFO; Giorni, VT; Pivari, MOD; Marino, F","2007","09","01","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Chapada do Couto, perto da Lagoa do Morro do Alecrim.","-43.3764","-18.205833","-43.3764","-18.205833","1381","1381","Planta cespitosa, escandente. Face abaxial das folhas discolores em uma margem, colmo rajado de diferentes tonalidades de verde.; No interior de mata.","BHCB012944",NA,"Monocotyledon",NA,"879","Southern America",NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:45:10-03","UFMG","BHCB","117526","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018","07","03","Viana, PL; Mota, NFO; Giorni, VT; Ramalho, AJ","2008","03","28","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto., Próximo à Lapa do Anísio","-43.316667","-18.2","-43.316667","-18.2",NA,NA,"Touceira, rizoma paquimorfo. Colmos eretos, com ápice escandente, tornando-se pendende. Colmos verdes, variegados, pilosos. FOlhas de colmo com lâminas reflexas. Ocasional; Capão","BHCB046620",NA,"Monocotyledon",NA,"3489","Southern America",NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:45:10-03","UFMG","BHCB","172331","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018","08","20","Perillo, LN","2009","11","01","Brasil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Prómixa a estrada de acesso","-43.838733","-23.107794","-43.838733","-23.107794","1043","1043","Bambu, 4m de altura, em mata semidescidua de encosta","BHCB047195",NA,"Monocotyledon",NA,"439","Southern America",NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:45:10-03","UFMG","BHCB","200746","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2014",NA,NA,"Vinícius-Silva, R; Silva, AP","2014","07","23","Brasil","Minas Gerais","Ibirité","Parque Estadual da Serra do Rola Moça, Manancial Bálsamo","-44.029722","-20.045444","-44.029722","-20.045444","1102","1102","Indivíduos com 10-13 m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação. Entrenós verde com estrias amarelas, 6-52,5 cm de comprimento, 1,6-2,5 cm de diâmetro; Encontrada na borda da mata e sub-bosque de","BHCB200746","BHCB200746_1 BHCB200746_2","Monocotyledon",NA,"43","Southern America",NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:45:10-03","UFMG","BHCB","200747","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2019","07",NA,"Schwartsburd, PB; Fortuna-Perez, AP; Vieira, LGM; Cândido, ES","2013","12","07","Brasil","Minas Gerais","São Gonçalo do Rio Preto","P.E. do Rio Preto","-43.366667","-18","-43.366667","-18","770","770","Colmos ásperos, ca. 10 cm de comprimento, proximalmente eretos, distalmente arqueados. Base dos colmos ca. 1,5 a 2 cm de diâmetro, essencialmente não ocos. Vários indivíduos férteis; Floresta Estacional Semidecidual, Cerrado e Campo R","BHCB200747","BHCB200747","Monocotyledon",NA,"2877","Southern America",NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:45:10-03","UFMG","BHCB","36919","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018","07","03","Clark, LG; Morel, M","1990","02","27","Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Biribiri, Do outro lado do Ribeirao das Pedras. 0,5 km da ponte, 1,5 km de Biribiri","-43.633333","-18.166667","-43.633333","-18.166667",NA,NA,"Treated with 70% EtOH; Culms to 1 cm diam. Internodes 22, 28, 30 cm long, dark green for ca. 1 cm below node, the rest mottled light and dark green, lightly hispid-pubescent. Culm leaves abaxially hispid-pubescent. Vegetative; In dwarf","BHCB46621",NA,"Monocotyledon",NA,"712","Southern America",NA,NA,NA,NA,NA,NA
"29","2020-12-11 11:45:10-03","UFMG","BHCB","95178","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018",NA,NA,"Viana, PL; Mota, NFO","2004","01","25","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Mata ciliar no córrego da Lapa, próximo ao heliporto.","-43.333333","-18.1","-43.333333","-18.1","800","800","Mata ciliar no córrego da Lapa, próximo ao heliporto.","BHCB012915",NA,"Monocotyledon",NA,"1432","Southern America",NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:45:10-03","UFMG","BHCB","107863","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Doll",NA,"2018","07","11","Viana, PL; Mota, NFO","2004","08","15","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Em mata de galeria na cachoeira próxima à casa de hóspedes.","-43.3908004760742","-18.0041999816895",NA,NA,"900","900","Bambu escandente com colmos escabros.; Em mata de galeria na cachoeira próxima à casa de hóspedes.","BHCB012914",NA,"Monocotyledon",NA,"2791","Southern America",NA,NA,"26697","auto",NA,NA
"31","2011-02-23 09:58:00-03","MO","MOBOT","244820","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll",NA,NA,NA,NA,"Anders F. Regnell","1859","12","28","Brazil","Minas Gerais",NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Regnell III 1424","South America",NA,NA,NA,NA,NA,NA
"32","2011-02-23 09:58:00-03","MO","MOBOT","244829","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll",NA,NA,NA,NA,"Anders F. Regnell","1859","12","28","Brazil","Minas Gerais",NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Regnell II 1424","South America",NA,NA,NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","1021516","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll in Mart.",NA,NA,NA,NA,"A. F. Regnell","1859","12","28","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,NA,NA,NA,"US00134242","US00134242_01",NA,"Cyperales","III 1424","South America - Neotropics",NA,"Type collection",NA,NA,"Monocotyledonae","1"
"34","2020-09-12 05:00:02-03","US","US","703262","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll in Mart.",NA,NA,NA,NA,"G. O. A. Malme","1902","8","9","Brazil","Mato Grosso",NA,"Panta anna da cehapada",NA,NA,NA,NA,NA,NA,NA,"US00028623","US00028623_01",NA,"Cyperales","2231","South America - Neotropics",NA,NA,NA,NA,"Monocotyledonae","1"
"35","2020-09-12 05:00:02-03","US","US","1021515","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll in Mart.",NA,NA,NA,NA,"A. F. Regnell","1859","12","28","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,NA,NA,NA,"US00134241","US00134241_01",NA,"Cyperales","III 1424","South America - Neotropics",NA,"Type collection",NA,NA,"Monocotyledonae","1"
"36","2020-09-12 05:00:02-03","US","US","1162560","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll in Mart.",NA,NA,NA,NA,"G. O. A. Malme","1902","8","9","Brazil","Mato Grosso",NA,"Panta anna da cehapada",NA,NA,NA,NA,NA,NA,NA,"US00028625","US00028625_01",NA,"Cyperales","2231","South America - Neotropics",NA,NA,NA,NA,"Monocotyledonae","1"
"37","2020-09-12 05:00:02-03","US","US","3310631","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll in Mart.","Vinicius-Silva, R.",NA,NA,NA,"L. G. Clark & M. Morel","1990","2","27","Brazil","Minas Gerais",NA,"Diamantina, w of diamantina to biribiri","-43.6333","-18.1667",NA,NA,NA,NA,NA,"US00519620","US00519620_01",NA,"Cyperales","712","South America - Neotropics",NA,NA,NA,NA,"Monocotyledonae","1"
"38","2019-10-07 09:22:08-03","UEFS","HUEFS","147729","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R.V.Silva","2015","07",NA,"Viana, P.L.","2004","08","15","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.3908004760742","-18.0041999816895",NA,NA,"900","900",NA,"HUEFS0147729","HUEFS0147729","Angiospermae","Poales","2791",NA,NA,NA,"26697","auto","Lilianae",NA
"39","2019-10-07 09:22:08-03","UEFS","HUEFS","147726","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R.V.Silva","2015","07",NA,"Viana, P.L.","2008","03","28","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, próximo á Lapa do Anísio.","-43.316667","-18.2","43W19'","18S12'",NA,NA,NA,"HUEFS0147726","HUEFS0147726 HUEFS0147726_01 HUEFS0147726_02 HUEFS0147726_03 HUEFS0147726_04","Angiospermae","Poales","3489",NA,NA,NA,NA,NA,"Lilianae",NA
"40","2019-10-07 09:22:08-03","UEFS","HUEFS","147727","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R.V.Silva","2015","07",NA,"Mota, N.F.O.","2007","09","01","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto. Chapada do Couto.","-43.376389","-18.205833","43W22'35''","18S12'21''","1381","1381",NA,"HUEFS0147727","HUEFS0147727","Angiospermae","Poales","879",NA,NA,NA,NA,NA,"Lilianae",NA
"41","2019-10-07 09:22:08-03","UEFS","HUEFS","147728","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R.V.Silva","2015","07",NA,"Mota, N.F.O.","2007","09","01","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto. Chapada do Couto.","-43.376389","-18.205833","43W22'35''","18S12'21''","1381","1381",NA,"HUEFS0147728","HUEFS0147728","Angiospermae","Poales","879",NA,NA,NA,NA,NA,"Lilianae",NA
"42","2019-10-07 09:22:08-03","UEFS","HUEFS","181660","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R.V.Silva","2015","07",NA,"Silva, C.","2011","10","11","Brasil","Minas Gerais","Senador Modestino Gonçalves","BR 367 sentido Diamantina, km 526, lado esquerdo da estrada. Cerrado. 1004m alt.","-43.383333","-17.9","43W23'","17S54'",NA,NA,NA,"HUEFS0181660","HUEFS0181660","Angiospermae","Poales","484",NA,NA,NA,NA,NA,"Lilianae",NA
"43","2019-11-29 15:05:05-03","UEFS","HUEFS","253413","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll",NA,NA,NA,NA,"Silva, R.V.","2014","07","23","Brasil","Minas Gerais","Ibirité","Manacial Bálsamo, Parque Estadual da Serra do Rola Moça. Encontrada na borda da mata.","-44.029722","-20.045556","44W1'47''","20S2'44''","1102","1102","Sub-bosque de Floresta Estacional Semidecidual Montana.","HUEFS0253413",NA,"Angiospermae","Poales","43",NA,NA,NA,NA,NA,"Lilianae",NA
"44","2019-11-29 15:05:05-03","UEFS","HUEFS","253415","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll",NA,NA,NA,NA,"Schwartsburd, P.B.","2013","12","07","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.366667","-18","43W22'","18S0'",NA,NA,"Floresta Estacional Semi-Decidual, Cerrado e Campo rupestre.","HUEFS0253415",NA,"Angiospermae","Poales","2877",NA,NA,NA,NA,NA,"Lilianae",NA
"45","2020-02-20 14:37:13-03","IAC","IAC","57595","S","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll","R.C.V.M. Silva","2014","11","06","R.C.V.M. Silva; C.G. Coelho; S.H. Freitas; M.V.M. Marques & M.C.W. Vieira","2014","11","06","Brasil","Minas Gerais","Monte Belo","São Francisco, Mata da Olaria","-46.3","-21.4","-46.300000","-21.400000",NA,NA,"Coordenadas originais: 21º24.461#?#S, 46º18.146#?#W",NA,NA,NA,NA,"51",NA,NA,NA,NA,NA,NA,NA
"46","2020-11-12 17:02:36-03","UEL","FUEL","16661","PreservedSpecimen","Plantae","Poaceae","Merostachys","fistulosa","Merostachys fistulosa","Döll",NA,NA,NA,NA,"Silva, RV; Coelho, CG","2014","11","06","Brasil","Minas Gerais","Monte Belo","RPPN Fazenda Lagoa, Mata da Olaria, entre as trilhas 6 e 7","-46.25","-21.4","-46.25","-21.4","867","867",NA,"FUEL019293",NA,"Tracheophyta","Poales","49",NA,NA,NA,NA,NA,NA,NA
