"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","locality","year","month","day","minimumElevationInMeters","decimalLongitude","decimalLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","class","order","imagecode","typeStatus","dayIdentified","coordinatePrecision","geoFlag"
"14","2017-10-16 21:06:00-02","MO","MOBOT","101004634","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 9113","South America","Colombia","Arauca",NA,NA,NA,"Sierra Nevada del Cocuy, Quebrada El Playon, Hoya San Luis, 1.5 km NE Finca El Playon.","1973","3","13","3530.00000000","-72.3","6.4166667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-10-16 22:16:00-02","MO","MOBOT","101004640","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 2784","South America","Colombia","Cundinamarca",NA,NA,NA,"Páramo de Cruz Verde, Alto de La Viga.","1972","4","11","3620.00000000","-74.0333333","4.5666667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-05-04 10:24:00-03","MO","MOBOT","100373527","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","S. Churchill","Marko Lewis","Lewis 87-403","South America","Bolivia","La Paz",NA,NA,NA,"Cordillera de Quimsa Cruz on east facing slope of pass through Cerro Colombia to Mina Huichincani, pass lays 0.5 km NE of Repressa Pacuni and 8.5 km 20° N of W of Quime.","1987","5","27","4530.00000000","-67.3","-16.95",NA,NA,NA,"Inquisivi",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-19 15:46:00-03","MO","MOBOT","100422702","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","S. Churchill","Alejandro Araujo M.","Araujo Murakami 113-B","South America","Bolivia","La Paz",NA,NA,NA,"Parque Nacional Madidi, Tuquilani-Mera, por el camino entre Keara y Mojos. <87-118>","2007","10","25","3400.00000000","-69.0077778","-14.6936111",NA,NA,NA,"Franz Tamayo",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-12-13 18:33:00-02","MO","MOBOT","100449906","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Dana G. Griffin, III|Nancy Griffin","Griffin III PV-691","South America","Venezuela","Mérida",NA,NA,NA,"Páramo de Mucubají, cerca de la Laguna Grande, con Espeletia schultzii","1984","7","28","3600.00000000","-70.8","8.7833333",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"19","2018-02-09 05:22:00-02","MO","MOBOT","100962250","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Benítez, Ángel Raimundo","Benítez 427","South America","Ecuador","Loja",NA,NA,NA,"Ciudad de Loja, Punzara alto.","2010","5","24","2770.00000000","-79.2330556","-4.0447222",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-04-19 15:38:00-03","MO","MOBOT","100966479","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","A. Schäfer-Verwimp","Alfons Schäfer-Verwimp|Nebel, Martin","Schäfer-Verwimp 32178","South America","Ecuador","Pichincha",NA,NA,NA,"Road Quito—Baeza, west of Papallacta pass height.","2011","2","5","3995.00000000","-78.2","-0.3333333",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-05-03 18:48:00-03","MO","MOBOT","100969640","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","A. Schäfer-Verwimp","Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24468/B","South America","Ecuador","Napo",NA,NA,NA,"Papallacta-Pass zwischen Quito und Baeza, Res. Ecologica Cayambe-Coca, Paramo de La Virgen.","2004","8","22","4100.00000000","-78.15","-0.3666667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-02 22:35:00-03","MO","MOBOT","100995660","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","J. Vána","Dana G. Griffin, III|David Díaz M.","Griffin III PV- 22","South America","Venezuela","Mérida",NA,NA,NA,"Páramo de Pinango, un sector del gran páramo de Mucuchíes.","1984","6","17","4300.00000000","-70.9166667","8.75",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-02 22:53:00-03","MO","MOBOT","100995662","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"S.R. Gradstein|et al.","Gradstein 3405","South America","Ecuador","Carchi",NA,NA,NA,"Páramo de El Angel, road Tulcán - El Angel, ca. 16 km south of Tulcán.","1976","4","4","3350.00000000","-77.9","0.7166667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-02 23:02:00-03","MO","MOBOT","100995663","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","S.R. Gradstein|E. Santana","Gradstein 4264","South America","Colombia","Cundinamarca",NA,NA,NA,"Páramo de Chingaza, trail to San Juanito.","1982","9","23","3400.00000000","-73.75","4.5166667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-10-16 21:32:00-02","MO","MOBOT","101004636","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 4515a","South America","Colombia","Boyacá",NA,NA,NA,"Socota, Páramo de Pisba, Via Socha-La Punta, km 61, Alto de Granados.","1972","6","14","3620.00000000","-72.6166667","5.9333333",NA,NA,NA,"Socotá",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-10-16 21:40:00-02","MO","MOBOT","101004637","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 9211","South America","Colombia","Boyacá",NA,NA,NA,"Páramo de la Sarna, entre Sogamoso y Vado Hondo, 5 km al NE de la Laguna de Tota.","1973","3","31","3550.00000000","-72.75","5.5",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-10-16 21:50:00-02","MO","MOBOT","101004638","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 9745","South America","Colombia","Boyacá",NA,NA,NA,"Susacon, Santa Rosita, Paramo Santa Rosita, Guina, vertiente E del Valle Quebrada Los Colorados","1973","5","5","3300.00000000","-72.6666667","6.2666667",NA,NA,NA,"Susacon",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-10-16 21:56:00-02","MO","MOBOT","101004639","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef|P.A. Florschütz","Cleef 5576","South America","Colombia","Boyacá",NA,NA,NA,"Sierra Nevada del Cocuy, Alto Valle Lagunillas, SE de la Laguna Cuadrada.","1972","10","26","4065.00000000","-72.3","6.4166667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-10-16 22:26:00-02","MO","MOBOT","101004641","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef|H. 't Hart","Cleef 2355","South America","Colombia","Cundinamarca",NA,NA,NA,"La Calera, Paramo de Palacio, Laguna Buitrago","1972","3","15","3600.00000000","-73.9166667","4.75",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-10-16 22:43:00-02","MO","MOBOT","101004642","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"J. Orlando Rangel|G.B. van Reenen","Rangel Churio 1013","South America","Colombia","Magdalena",NA,NA,NA,"Sierra Nevada de Santa Marta, Transecto Alto Río Buritica.","1977","8","21","3700.00000000","-73.6666667","10.8333333",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-10-16 22:47:00-02","MO","MOBOT","101004643","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"Antoine M. Cleef","Cleef 8216d","South America","Colombia","Meta",NA,NA,NA,"PNN de Sumapaz, Cerro Nevado de Sumapaz, paramo dicho NW, barranco Palacio.","1973","1","21","3715.00000000","-74.4166667","3.75",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-06-15 04:36:00-03","MO","MOBOT","90082640","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 5299","South America","Peru","La Libertad",NA,NA,NA,"Usquil. Along the rd. to Otuzco. <5274-5321>","1973","4","22","3100.00000000","-78.4166667","-7.8166667",NA,NA,NA,"Otuzco",NA,NA,"1","73-13",NA,NA,NA,NA,NA,NA,NA
"33","2019-06-15 04:36:00-03","MO","MOBOT","90082642","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 8844","South America","Peru","Cusco",NA,NA,NA,"Machu Picchu. On the trail to the Inca bridge. <8633-8866>","1977","6","30","2100.00000000","-72.4833333","-13.15","2400.00000000",NA,NA,"Urubamba",NA,NA,"1","77-43",NA,NA,NA,NA,NA,NA,NA
"34","2019-06-15 04:36:00-03","MO","MOBOT","90082643","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 7178","South America","Peru","La Libertad",NA,NA,NA,"Near Usquil. <7165-7213>","1973","9","9","3100.00000000","-78.4166667","-7.8166667",NA,NA,NA,"Otuzco",NA,NA,"1","73-90",NA,NA,NA,NA,NA,NA,NA
"35","2019-06-15 04:36:00-03","MO","MOBOT","90082644","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 5709","South America","Peru","Apurimac",NA,NA,NA,"Cahuanica. Quebrada Pallccamayo near Huancarama. <5701-5752>","1973","5","9","3700.00000000","-73.0833333","-13.6333333",NA,NA,NA,"Andahuaylas",NA,NA,"1","73-34",NA,NA,NA,NA,NA,NA,NA
"36","2019-06-15 04:36:00-03","MO","MOBOT","90082645","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 8832","South America","Peru","Cusco",NA,NA,NA,"Machu Picchu. Inca trail close to Machu Picchu, slope near the hotel. <8806-8832>","1977","6","29","2450.00000000","-72.4833333","-13.15",NA,NA,NA,"Urubamba",NA,NA,"1","77-42",NA,NA,NA,NA,NA,NA,NA
"37","2019-06-15 04:36:00-03","MO","MOBOT","90083909","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 5302","South America","Peru","La Libertad",NA,NA,NA,"Usquil. Along the rd. to Otuzco. <5274-5321>","1973","4","22","3100.00000000","-78.4166667","-7.8166667",NA,NA,NA,"Otuzco",NA,NA,"1","73-13",NA,NA,NA,NA,NA,NA,NA
"38","2019-06-15 04:36:00-03","MO","MOBOT","90083910","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Pirkko Hegewald|Eberhard Hegewald","Hegewald 7736","South America","Peru","Ancash",NA,NA,NA,"Quebrada Pucavado zw. Tunnel Cahuis u. Chavin. <7710-7747>","1973","10","18","4050.00000000","-77.1666667","-9.3333333",NA,NA,NA,"Huari",NA,NA,"1","73-109",NA,NA,NA,NA,NA,NA,NA
"39","2014-05-08 12:01:00-03","MO","MOBOT","90217377","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Alfons Schäfer-Verwimp|Inge Verwimp","Schäfer-Verwimp 11496","South America","Brazil","Espírito Santo",NA,NA,NA,"Serra do Caparaó, Hochgebirgsvegetation zwischen Terreirao und Pico da Bandeira.","1989","7","20","2500.00000000","-41.8166667","-20.4166667",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"40","2014-05-08 10:29:00-03","MO","MOBOT","90246005","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","D.P. Costa","Costa 4877A","South America","Bolivia","Cochabamba",NA,NA,NA,"Incachaca, carretera Cochabamba – Villa Tunari. Bosque de montano (Yungas). <4876-4881>","2007","12","8","2600.00000000","-65.8127778","-17.2347222",NA,NA,NA,"Chapare",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-06-16 21:56:00-03","MO","MOBOT","90253778","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Alejandro Araujo M.","Araujo Murakami 50A","South America","Bolivia","La Paz",NA,NA,NA,"Area Natural de Manejo Integrado Apolobamba, Paso Sánchez, por la carretera Pelechuco-Queara. <48-73>","2007","9","23","4770.00000000","-69.1133333","-14.7508333",NA,NA,NA,"Franz Tamayo",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-01-03 15:13:00-03","MO","MOBOT","90253811","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","C. Juárez M.","Alfredo F. Fuentes|Javier Quisbert","Fuentes Claros 12422","South America","Bolivia","La Paz",NA,NA,NA,"Area Natural de Manejo Integrado Apolobamba, cordillera de Apolobamba, Paso Sánchez por Pelechuco.","2008","3","8","4700.00000000","-69.1136111","-14.7508333",NA,NA,NA,"Franz Tamayo",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-10-16 22:14:00-02","MO","MOBOT","100995661","PreservedSpecimen","Plantae",NA,"Southbyaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","J. Vána","Antoine M. Cleef|Roberto Jaramillo M.","Cleef 38","South America","Colombia","Cundinamarca",NA,NA,NA,"Páramo de Sumapaz, Chisacá. Laguna al N de la Laguna Grande.","1971","11","15","3640.00000000","-74.4166667","3.75",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"44","2015-03-06 22:57:10-03","F","FMNH-BRYOPHYTES","C0018764F","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"D. G. Griffin, III","PV-691","South America","Venezuela",NA,NA,NA,"C0018764F",NA,"1984","7","28",NA,"-65.9119","7.0758",NA,NA,NA,NA,NA,NA,NA,NA,"Jungermanniopsida","Jungermanniales",NA,NA,NA,NA,NA
"45","2018-07-23 09:52:41-03","F","FMNH-BRYOPHYTES","C0018185F","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"P. Hegewald","8832","South America","Peru",NA,NA,NA,"C0018185F",NA,"1977","6","29",NA,"-74.14","-9.1839",NA,NA,NA,NA,NA,NA,NA,NA,"Jungermanniopsida","Jungermanniales","C0018185F_01",NA,NA,NA,NA
"46","2018-07-23 09:52:41-03","F","FMNH-BRYOPHYTES","C0018186F","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.",NA,"P. Hegewald","8832","South America","Peru",NA,NA,NA,"C0018186F",NA,"1977","6","29",NA,"-74.14","-9.1839",NA,NA,NA,NA,NA,NA,NA,NA,"Jungermanniopsida","Jungermanniales","C0018186F_01",NA,NA,NA,NA
"47","2019-07-15 10:38:38-03","F","FMNH-BRYOPHYTES","C0334610F","PreservedSpecimen","Plantae","Marchantiophyta","Arnelliaceae","Gongylanthus","liebmanianus","Gongylanthus liebmanianus","(Lindenb. & Gottsche) Steph.","R. Grolle","B. Oberwinkler et al.","69-105","South America","Venezuela","Mérida",NA,NA,"C0334610F","Sierra de Santo Domingo, Páramo de Mucuchíes, surroundings of Laguna Negra","1969","3",NA,"3500","-70.805739","8.785987",NA,NA,NA,NA,NA,NA,NA,NA,"Jungermanniopsida","Jungermanniales","C0334610F_01","Lectotype",NA,NA,NA
"48","2018-02-28 16:59:27-03","MNHN","RECOLNAT_MNHN_PC","PC0728250","PreservedSpecimen",NA,NA,"Arnelliaceae","Gongylanthus","liebmannianus","Gongylanthus liebmannianus","(Lindenb. & Gottsche) Steph.","Peralta","Vital, D.M.|Buck, W.R.",NA,NA,"Brésil","Minas Gerais","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0728250' target='other'> <mi>dwc_moreinfo</mi></a>","PC0728250","Brasil, Minas Gerais, Caparao Novo, Parque Nacional do Caparao, Along the road from Park entrance to end of road (Tronqueira)","1984","9","15","1000",NA,NA,"1970",NA,NA,NA,NA,NA,NA,"11599",NA,NA,NA,NA,NA,NA,NA
