"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","barcode","order","imagecode","class","relatedCatalogItem","fieldNumber","typeStatus","sex"
"20","2021-03-15 16:37:00-03","NY","NYBG","789054","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","J. W. Grimes",NA,NA,NA,"R. M. Harley","1974","02","19","Brazil","Bahia",NA,"Serra de Itiuba, about 6km E of Itiuba.",NA,NA,"500","500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795876' target='other'> <mi>dwc_moreinfo</mi></a>","-39.8","-10.68",NA,NA,"16181","South America","sheet",NA,"NY00789054","Selaginellales","NY00789054_01",NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02478949","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"P. H. Labiak E.","2007","07","11","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Trilha na margem direita do rio Timbuí.",NA,NA,"800","800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690349' target='other'> <mi>dwc_moreinfo</mi></a>","-40.6031","-19.8967",NA,NA,"4037","South America","sheet",NA,"NY02478949","Selaginellales","NY02478949_01",NA,NA,NA,NA,NA
"22","2016-09-29 18:47:00-03","NY","NYBG","789050","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,"M. de F. Agra",NA,NA,NA,"M. de F. Agra","1993","03","24","Brazil","Paraíba","Itaporanga","Serra Agua Branca.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795850' target='other'> <mi>dwc_moreinfo</mi></a>","-38.1503","-7.3044",NA,NA,"1723","South America","sheet",NA,"NY00789050","Selaginellales","NY00789050_01",NA,NA,NA,NA,NA
"23","2016-09-29 18:47:00-03","NY","NYBG","789057","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,NA,NA,NA,NA,"B. J. Pickel","1933","09","14","Brazil","Pernambuco",NA,"Tapera.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795891' target='other'> <mi>dwc_moreinfo</mi></a>","-35.18","-8.12",NA,NA,"58","South America","sheet",NA,"NY00789057","Selaginellales","NY00789057_01",NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02703339","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"M. M. Arbo","1992","12","05","Brazil","Espírito Santo",NA,"Sitio Sturr. Feixe de Pedras, 6 km ESE de Pancas camino a Colatina.",NA,NA,"180","180",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3002166' target='other'> <mi>dwc_moreinfo</mi></a>","-40.77","-19.25",NA,NA,"5591","South America","sheet",NA,"NY02703339","Selaginellales","NY02703339_01",NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","789058","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","A. H. G. Alston",NA,NA,NA,"J. N. Rose","1915","06","07","Brazil","Bahia",NA,"Barrhina.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795895' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"19796","South America","sheet",NA,"NY00789058","Selaginellales","NY00789058_01",NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","3843959","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"M. H. Nee","1990","12","05","Bolivia","Santa Cruz","Andrés Ibáñez","8 km. ESE of Comunidad Don Lorenzo",NA,NA,"310",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131567' target='other'> <mi>dwc_moreinfo</mi></a>","-62.8","-17.82",NA,NA,"40196","South America","sheet",NA,"NY03843959","Selaginellales",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","921360","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","T. Reeves",NA,NA,NA,"W. R. Anderson","1973","03","12","Brazil","Goiás","Monte Alegre de Goiás","Serra da Atalaia, ca. 25 km by road SW of Monte Alegre de Goiás",NA,NA,"600","800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993332' target='other'> <mi>dwc_moreinfo</mi></a>","-47.23","-13.47",NA,NA,"6904","South America","sheet",NA,"NY00921360","Selaginellales","NY00921360_01",NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1551357","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","C. M. Mynssen",NA,NA,NA,"C. M. Mynssen","2011","03","30","Brazil","Rio de Janeiro","Santa Maria Madalena","Estrada para Cachoeira das Flores.",NA,NA,"595",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1158553' target='other'> <mi>dwc_moreinfo</mi></a>","-41.8844","-21.8106",NA,NA,"1246","South America","sheet",NA,"NY01551357","Selaginellales","NY01551357_02",NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","789060","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","L. Arroyo P.",NA,NA,NA,"L. Arroyo P.","1991","07","15","Bolivia","Santa Cruz","Andrés Ibáñez","Loc. La Bola.",NA,NA,"315","315",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795900' target='other'> <mi>dwc_moreinfo</mi></a>","-62.83","-17.87",NA,NA,"42","South America","sheet",NA,"NY00789060","Selaginellales","NY00789060_01",NA,NA,NA,NA,NA
"30","2016-09-30 03:16:00-03","NY","NYBG","1039015","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,"C. M. Mynssen",NA,NA,NA,"J. M. A. Braga","2004","11","10","Brazil","Rio de Janeiro","Campos dos Goytacazes","Distrito de Morro do Coco, pedra Lisa, Fazenda Pedra Lisa, Morro do Baú.",NA,NA,"175",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479236' target='other'> <mi>dwc_moreinfo</mi></a>","-41.3878","-21.3406",NA,NA,"7652","South America","sheet",NA,"NY01039015","Selaginellales","NY01039015_01",NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","3843962","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"T. J. Killeen","1985","05","16","Bolivia","Santa Cruz","Ñuflo de Chávez","Rancho Zapocoz, 80 km SE of Concepcion",NA,NA,"450",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131570' target='other'> <mi>dwc_moreinfo</mi></a>","-61.63","-16.48",NA,NA,"937","South America","sheet",NA,"NY03843962","Selaginellales",NA,NA,NA,NA,NA,NA
"32","2016-09-29 21:45:00-03","NY","NYBG","921362","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,NA,NA,NA,NA,"Mrs. Walter H. Webb",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993372' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"s.n.","South America","sheet",NA,"NY00921362","Selaginellales","NY00921362_01",NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","3843960","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"J. Guillen","1997","01","22","Bolivia","Santa Cruz","José Miguel de Velasco","Camino hacia las Mechitas, a 5 Km. del aseradero Cerro Pelao sobre el cerro",NA,NA,"500",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131568' target='other'> <mi>dwc_moreinfo</mi></a>","-61.4978","-14.5403",NA,NA,"233","South America","sheet",NA,"NY03843960","Selaginellales","NY03843960_01",NA,NA,NA,NA,NA
"34","2016-09-29 18:47:00-03","NY","NYBG","789049","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta",NA,"I. A. Valdespino",NA,NA,NA,"J. A. Kallunki","1993","01","18","Brazil","Espírito Santo","Piúma","Roadside at base of Morro do Agá, ca. 5km S of Piúma on Rod. ES-60.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795845' target='other'> <mi>dwc_moreinfo</mi></a>","-40.77","-20.87",NA,NA,"331","South America","sheet",NA,"NY00789049","Selaginellales","NY00789049_01",NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02674813","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","R. C. Moran",NA,NA,NA,"P. da C. Gadelha Neto","2013","08","01","Brazil","Paraíba","Piancó","Serra de Santo Antônio",NA,NA,"407","407",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3677123' target='other'> <mi>dwc_moreinfo</mi></a>","-37.893056","-7.244722",NA,NA,"3660","South America","Sheet",NA,"NY02674813","Selaginellales","NY02674813_01",NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","789051","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","R. C. Moran",NA,NA,NA,"M. M. Arbo","1997","01","19","Brazil","Bahia",NA,"15km S de Xique-Xique, camino a Santo Inácio.",NA,NA,"400","500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795852' target='other'> <mi>dwc_moreinfo</mi></a>","-42.68","-10.97",NA,NA,"7512","South America","sheet",NA,"NY00789051","Selaginellales","NY00789051_01",NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","719812","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"E. L. M. Assis","2012","11","13","Brazil","Bahia","Muquém","Muqué de São Francisco. Estrada Ibotirama - Barreiras (BR242), proximo a localidade de Javi.",NA,NA,"477",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520346' target='other'> <mi>dwc_moreinfo</mi></a>","-43.6722","-12.2033",NA,NA,"1075","South America","sheet",NA,"NY00719812","Selaginellales","NY00719812_01",NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","3843965","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"I. G. Vargas Caballero","1994","10","22","Bolivia","Santa Cruz","Chiquitos","Valle de Tucabaca; 10 km al SW del Rio Tucabaca (15 km al NE de Santiago de Chiquitos).",NA,NA,"250",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131573' target='other'> <mi>dwc_moreinfo</mi></a>","-59.5133","-18.2633",NA,NA,"3442","South America","sheet",NA,"NY03843965","Selaginellales",NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1522541","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","P. G. Windisch",NA,NA,NA,"C. N. Fraga","2010","10","20","Brazil","Rio de Janeiro","Rio de Janeiro","Itanahgá, Morro do Focinho do Cavalo. Estrada Barra da Tijuca em frente a Ponte Velha. Área do emboque do tunel do metrô da linha 4 do Metro Rio-Barra, material proveniente do resgate da flora para instalação do túnel.",NA,NA,"40",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753448' target='other'> <mi>dwc_moreinfo</mi></a>","-43.3028","-23.0061",NA,NA,"3136","South America","sheet",NA,"NY01522541","Selaginellales","NY01522541_01",NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","686914","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","R. C. Moran",NA,NA,NA,"W. W. Thomas","2001","10","24","Brazil","Bahia","Jequié","Fazenda of Marcus Ludovico and Joao Andrade--W on BR 330 14.7 km from junction with BR 116 in Jequié, then S on dirt road to Prainha Lomanto for 5.9 km to fazenda road; right on fazenda road 3 km to fazenda entrance",NA,NA,"310","310",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=418314' target='other'> <mi>dwc_moreinfo</mi></a>","-40.265133","-13.8225",NA,NA,"12573","South America",NA,NA,"NY00686914","Selaginellales","NY00686914_01",NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","3843961","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring",NA,NA,NA,NA,"T. J. Killeen","1987","03","01","Bolivia","Santa Cruz","Ñuflo de Chávez","Rancho Puesto Nuevo, 40km S of Concepcion",NA,NA,"700",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4131569' target='other'> <mi>dwc_moreinfo</mi></a>","-62","-16.42",NA,NA,"2346","South America","sheet",NA,"NY03843961","Selaginellales",NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1054412","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellaceae","Selaginella","convoluta","Selaginella convoluta","(Arn.) Spring","W. R. Buck",NA,NA,NA,"D. M. Vital","1991","07","18","Brazil","Bahia","Brumado","Km 121 on BA 262 between Vitória da Conquista and Brumado, 15 km SE of Brumado",NA,NA,"445","445",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202934' target='other'> <mi>dwc_moreinfo</mi></a>","-41.25","-14.27",NA,NA,"20351","South America","packeted",NA,"NY01054412","Selaginellales","NY01054412_01",NA,NA,NA,NA,NA
