"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"13","2021-03-15 16:37:00-03","NY","NYBG","00925510","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","H. S. Irwin","16960","1966","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925510","Magnoliophyta","Poales","R.Br.","G. C. Tucker","Mato Grosso","Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.92","NY00925510_01",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00925507","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","G. G. Hatschbach","23875","1970","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925507","Magnoliophyta","Poales","R.Br.","T. M. Koyama","Mato Grosso do Sul",NA,"-54.8603","-20.4422","NY00925507_01","Terenos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 11:31:00-03","NY","NYBG","668630","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","T. M. Pedersen","3208","1955","01","31","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668630","Magnoliophyta","Poales","(Link) C.B.Clarke","T. M. Pedersen","Misiones","Estancia La Soledad. Santiago.",NA,NA,NA,NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","622461","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","R. M. Klein","3254","1962","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622461","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Santa Catarina","Curitibanos.","-50.617613","-27.287336","NY00622461_01",NA,"900","900","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 11:31:00-03","NY","NYBG","668629","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","T. M. Pedersen","4509","1957","03","19","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668629","Magnoliophyta","Poales","(Link) C.B.Clarke",NA,"Corrientes","Paso Crucecita.",NA,NA,NA,"Concepción",NA,NA,"bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","622459","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","L. B. Smith","9136","1956","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622459","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Santa Catarina","52 km west of Caçador near the eastern edge of the campos of Palmas.","-51.0147","-26.7756","NY00622459_01","Caçador","1000","1200","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","622460","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","L. B. Smith","14268","1965","01","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622460","Magnoliophyta","Poales","(Link) C.B.Clarke","L. B. Smith","Santa Catarina","Near Encruzilhada de Boava, 8 km south of Sao Joaquim.","-49.93","-28.33","NY00622460_01","Sao Joaquim","1300","1300","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","622462","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","R. Reitz","14009","1962","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622462","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Santa Catarina","Morro do Pinheiro Sêco, Lajes","-50.3258","-27.8161","NY00622462_01","Lages","950","950","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","668628","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","B. Rambo","36650","1938","01","26","South America","Brazil","sheet",NA,"Ex Herb. M. Barros <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668628","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Rio Grande do Sul","Porto Alegre, Cambara.","-50","-29","NY00668628_01",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 11:31:00-03","NY","NYBG","668630","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","T. M. Pedersen","3208","1955","01","31","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668630","Magnoliophyta","Poales","(Link) C.B.Clarke","T. M. Pedersen","Misiones","Estancia La Soledad. Santiago.",NA,NA,NA,NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","622461","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","R. M. Klein","3254","1962","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622461","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Santa Catarina","Curitibanos.","-50.617613","-27.287336","NY00622461_01",NA,"900","900","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 11:31:00-03","NY","NYBG","668629","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","T. M. Pedersen","4509","1957","03","19","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668629","Magnoliophyta","Poales","(Link) C.B.Clarke",NA,"Corrientes","Paso Crucecita.",NA,NA,NA,"Concepción",NA,NA,"bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","622459","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","L. B. Smith","9136","1956","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622459","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Santa Catarina","52 km west of Caçador near the eastern edge of the campos of Palmas.","-51.0147","-26.7756","NY00622459_01","Caçador","1000","1200","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","622460","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","L. B. Smith","14268","1965","01","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622460","Magnoliophyta","Poales","(Link) C.B.Clarke","L. B. Smith","Santa Catarina","Near Encruzilhada de Boava, 8 km south of Sao Joaquim.","-49.93","-28.33","NY00622460_01","Sao Joaquim","1300","1300","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","622462","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","R. Reitz","14009","1962","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622462","Magnoliophyta","Poales","(Link) C.B.Clarke","M. Barros","Santa Catarina","Morro do Pinheiro Sêco, Lajes","-50.3258","-27.8161","NY00622462_01","Lages","950","950","bromoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:51:58-03","EAO","IAN","162505","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Killeen, TJ","2254","1986","11","26",NA,"Bolívia",NA,NA,"Caespitose perennial; common in savanna marsh.","IAN162505","Monocotiledônea",NA,"R.Br.","Tucker, GC",NA,"Santa Cruz, Nuflo de Chaez, Est. La Pachanga, 5 km S of Concepción. Eroded tertiary planation surface overlying precambrian shield; mosaic of semideciduous forest, wooded savanna and savanna wetland.","-62.083333","-16.133333",NA,NA,"500","500",NA,"1989","-62.083333","-16.133333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-02 16:28:49-03","CPAN-UFMS","COR","12002","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3943","2005","12","09",NA,"Brasil",NA,NA,"Erva Habito: Erva",NA,NA,NA,"R.Br.","Silva, L. P.","Mato Grosso do Sul","Fazenda Princesinha; banhado do rio Perdido","-56.834167","-21.086111",NA,"Bonito","546","546",NA,"2018","56º50'3''W","21º5'10''S","11","23",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383547","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Pedersen TM",NA,"1969","11","30","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383547 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383547",NA,"Poales","R.Br.",NA,NA,"Paraguayenses, Swamp, Estancia 'Carumbé', Distr. Lima, Dep. San Pedro.",NA,NA,"NL-L1383547",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"31","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383548","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Ule EHG",NA,"1909","09","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383548",NA,"Poales","R.Br.",NA,NA,"in ! bei ober Serra de Mel, Rio Branco, Surumu. *.",NA,NA,"NL-L1383548",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"32","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1239031","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Oldenburger FHF; Norde R; Schulz JP",NA,"1968","12","30","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1239031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1239031",NA,"Poales","R.Br.","Tucker GC",NA,NA,NA,NA,"NL-U1239031",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0070623",NA,NA,NA,NA,NA
"33","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1239032","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Oldenburger FHF; Norde R; Schulz JP",NA,"1968","09","06","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1239032 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1239032",NA,"Poales","R.Br.","Tucker GC",NA,NA,NA,NA,"NL-U1239032",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0070624",NA,NA,NA,NA,NA
"34","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1239033","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Geijskes DC",NA,"1952","05","02","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1239033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1239033",NA,"Poales","R.Br.","Tucker GC",NA,NA,NA,NA,"NL-U1239033",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0070627 | 105688 B",NA,NA,NA,NA,NA
"35","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1239034","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Oldenburger FHF; Norde R; Schulz JP",NA,"1970","01","29","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1239034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1239034",NA,"Poales","R.Br.","Tucker GC",NA,NA,NA,NA,"NL-U1239034",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0070626",NA,NA,NA,NA,NA
"36","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1239035","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Donselaar J van",NA,"1966","08","27","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1239035 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1239035",NA,"Poales","R.Br.","Tucker GC",NA,NA,NA,NA,"NL-U1239035",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0070625",NA,NA,NA,NA,NA
"37","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1299330","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Pedersen TM",NA,"1972","01","07","Southern America","Argentina",NA,NA,"Low generally flooded ground.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1299330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1299330",NA,"Poales","R.Br.",NA,"Corrientes","Carambola. Dep. Concepción. Prov. Corrientes.",NA,NA,"NL-U1299330",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0249828",NA,NA,NA,NA,NA
"38","2020-02-08 10:13:39-03","NBC","NL-BOTANY","WAG.1767672","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides","Killeen TJ",NA,"1984","11","17","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1767672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1767672",NA,"Poales","R.Br.",NA,NA,"Bolivia. Santa Cruz, Nuflo de Chavez, Concepción, outskirts of pueblo.","-62","-16.033333","NL-WAG1767672",NA,NA,NA,NA,NA,"-62.0","-16.033333",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"39","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383549","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","Reitz R; Klein RM",NA,"1962","12","17","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383549",NA,"Poales","(Link)",NA,NA,"Santa Catarina, Morro do Pinheiro Sêco, Lajes, Campo úmido.",NA,NA,"NL-L1383549",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"40","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383550","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","Klein RM",NA,"1962","12","05","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383550",NA,"Poales","(Link)",NA,NA,"Santa Catarina, Curitibanos, Banhado de campo.",NA,NA,"NL-L1383550",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383551","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","Herb Lugd Batav",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383551",NA,"Poales","(Link)",NA,NA,"Bracilia, prov. Cavalente to Porto Real. *.",NA,NA,"NL-L1383551",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"42","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383549","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","Reitz R; Klein RM",NA,"1962","12","17","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383549",NA,"Poales","(Link)",NA,NA,"Santa Catarina, Morro do Pinheiro Sêco, Lajes, Campo úmido.",NA,NA,"NL-L1383549",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"43","2020-02-08 10:13:39-03","NBC","NL-BOTANY","L.1383550","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","unioloides","Cyperus unioloides bromoides","Klein RM",NA,"1962","12","05","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383550",NA,"Poales","(Link)",NA,NA,"Santa Catarina, Curitibanos, Banhado de campo.",NA,NA,"NL-L1383550",NA,NA,NA,"bromoides",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
