"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"18","2021-03-15 16:37:00-03","NY","NYBG","01462593","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","B. M. Torke","605","2009","05","30","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320299' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462593","Magnoliophyta","Myrtales","(Aubl.) Naudin","F. A. Michelangeli","La Paz","Pampas del Madidi area of the middle reaches of the Rio Madidi basin: Campamento Malanoche on the N shore of the Rio Enatahua (Rio Inambari according to one guide), ca. 3.5 linear km NE of the confluence of the Enatahua with the Rio Madidi, 1.5-3 km inland from camp","-67.79614","-12.92378","175","175","NY01462593_01","Abel Iturralde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","909903","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","R. R. de Santos","R.1645","1968","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909903","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Mato Grosso","Rio Turvo, c. 200 km N. of Xavantina on the Xavantina-São Felix road.","-51.8242","-12.9419",NA,NA,"NY00909903_01","Ribeirão Cascalheira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","909892","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","H. S. Irwin","17471","1966","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909892","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Mato Grosso","Ca. 70 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.25","-15.27","500","500","NY00909892_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","909899","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","D. R. Hunt","5598","1966","05","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909899","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Mato Grosso","Xavantina-Cachimbo road, 215 km from Xavantina, at end of abandoned strecht near present end of road.","-51.8242","-12.9419","600","1000","NY00909899_01","Ribeirão Cascalheira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","909897","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","M. Macedo","1546","1980","06","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909897","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Mato Grosso do Sul","Cabeceira Grande, Bandeirante, Campo Grande",NA,NA,NA,NA,"NY00909897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","478083","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","J. C. Solomon","16792","1987","05","25","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478083","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","El Beni","Prov. Vaca Diez. Riberalta","-66.07","-11","170","170","NY00478083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1289655","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","R. Spruce","339 or 656 probably the latter","1849","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759102' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289655","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Pará","In vicinibus Santarém.","-54.740486","-2.449614",NA,NA,"NY01289655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02713554","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","T. D. McDowell","2765","1990","05","23","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016482' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713554","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Cuyuni-Mazaruni","Camp at Utshe, 0.3 km N of utshe R.","-61.13","5.75","975",NA,"NY02713554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01856113","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","M. J. R. Rocha","839","2012","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190362' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856113","Magnoliophyta","Myrtales","(Aubl.) Naudin","M. J. R. Rocha","Roraima","Vila Tepequém. RR 203, ca de 1 Km após o SESC","-61.7211","3.7633",NA,"684","NY01856113_01","Amajari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","02713553","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","T. D. McDowell","1766","1990","01","22","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016481' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713553","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Demerara-Mahaica","Sand track to St. Cuthbert's Mission, +- 4 mi E of highway,","-58.23","6.32","40",NA,"NY02713553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","909902","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","H. S. Irwin","5415","1964","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909902","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Distrito Federal","Ca. 35 km E. of Brasília.","-47.7","-15.62","700","1000","NY00909902_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","02713544","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","G. Davidse","15847","1979","02","27","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3016472' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713544","Magnoliophyta","Myrtales","(Aubl.) Naudin",NA,"Apure","Distrito Pedro Camejo, Cano ( or Morichal) El Caballo, 16 airline km NW of Mata de Guanabana, between the Rio Meta and the Rio Cinaruco","-68.32","6.32","75",NA,"NY02713544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-26 23:46:00-03","NY","NYBG","1289657","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","N. A. Rosa","3061","1979","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289657","Magnoliophyta","Myrtales",NA,"M. G. da Silva","Roraima","Fazenda Canada margem direita do rio Uraricuera, campo alagado temporariamente.",NA,NA,NA,NA,"NY01289657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02423734","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","R. Goldenberg","1686","2013","09","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2676455' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423734","Magnoliophyta","Myrtales","(Aubl.) Naudin","R. Goldenberg","Rondônia","Estrada para Alvorada, Linha 7, Cerrado.","-62.0603","-11.2428","202",NA,"NY02423734_01","Presidente Médici",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-26 23:48:00-03","NY","NYBG","1289668","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","J. M. Pires","51162","1961","09","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289668","Magnoliophyta","Myrtales",NA,"S. S. Renner","Amapá","Rio Araguari. downriver from Porto Platón",NA,NA,NA,NA,"NY01289668_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00749733","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","P. Fiaschi","2470","2004","07","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749733","Magnoliophyta","Myrtales","(Aubl.) Naudin","F. S. Meyer","Bahia","Estrada de Umburanas para Delfino, ca. 31,3 km. Ramal à esqueda. Acesso à Serra da Empreitada, Construçao abandonada no fim da estrada, a ca. 14 km do início do ramal","-41.3225","-10.4030556","975","975","NY00749733_01","Umburanas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 14:02:00-03","NY","NYBG","1289656","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","L. Coradin","975","1977","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759103' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289656","Magnoliophyta","Myrtales",NA,NA,"Roraima","Along Boa Vista - Mucajaí road (BR-174), Km 6",NA,NA,NA,NA,"NY01289656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","478089","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","W. R. Anderson","36502","1972","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478089","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Bahia","Espigao Mestre; Serra ca. 30 km W of Barreiras","-44.99","-12.15","700","700","NY00478089_01","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01856149","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","M. J. R. Rocha","772","2012","10","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190462' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856149","Magnoliophyta","Myrtales","(Aubl.) Naudin","M. J. R. Rocha","Roraima","Parque Nacional do Viruá. Estrada de acesso à sede do Parna, borda de mata","-60.9736","-1.4783",NA,"79","NY01856149_01","Caracaraí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1289665","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","M. L. Kawasaki","119","1987","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289665","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Amazonas","Rio Tuari (afluente do rio Negro), Lago Uirauaçu (= pássaro Grande em Língua Geral)","-67.333333","0.333333",NA,NA,"NY01289665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1289654","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","B. Maguire","40216","1954","12","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759101' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289654","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Roraima","Vista Geral, Río Cotinga",NA,NA,"720","720","NY01289654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","909891","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","H. S. Irwin","17000","1966","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909891","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Mato Grosso","Ca. 30 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.92","400","400","NY00909891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00748834","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","H. S. Irwin","15768","1966","05","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=884124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748834","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Distrito Federal","Côrrego Landim, ca. 20 km N.E. of Brasília","-47.78472222","-15.6555","900","900","NY00748834_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","478084","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","G. T. Prance","4541","1967","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478084","Magnoliophyta","Myrtales","(Aubl.) Naudin","J. J. Wurdack","Roraima","Plateau of Serra Tepequem","-61.726002","3.785408","1200","1200","NY00478084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","909905","PreservedSpecimen","Plantae","Melastomataceae","Desmoscelis","villosa","Desmoscelis villosa","J. M. Pires","16198","1978","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909905","Magnoliophyta","Myrtales","(Aubl.) Naudin","M. G. da Silva","Goiás","Rod. Belém-Brasília, perto do Igarapé do Boi.",NA,NA,"180","180","NY00909905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
