"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","month","day","yearIdentified","locality","decimalLongitude","decimalLatitude","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","infraspecificEpithet","individualCount","class","relatedCatalogItem","sex"
"11","2013-12-11 17:55:57-02","MNHN","RECOLNAT_MNHN_P","P02429035","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Blanchet, J.S.",NA,"1838",NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429035' target='other'> <mi>dwc_moreinfo</mi></a>","P02429035","P02429035_01",NA,NA,NA,"Mont de la Jacobine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2576",NA,NA,NA,NA,NA
"12","2015-09-05 08:59:19-03","MNHN","RECOLNAT_MNHN_P","P05562428","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Riedel",NA,"1832",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05562428' target='other'> <mi>dwc_moreinfo</mi></a>","P05562428","P05562428_01","10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1037",NA,NA,NA,NA,NA
"13","2015-09-05 08:59:19-03","MNHN","RECOLNAT_MNHN_P","P05562429","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Riedel",NA,"1832",NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05562429' target='other'> <mi>dwc_moreinfo</mi></a>","P05562429","P05562429_01","10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1037",NA,NA,NA,NA,NA
"14","2015-09-05 08:59:19-03","MNHN","RECOLNAT_MNHN_P","P05562430","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Glaziou, A.",NA,"1876",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05562430' target='other'> <mi>dwc_moreinfo</mi></a>","P05562430","P05562430_01","10","12",NA,"Belém a Queimados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8587",NA,NA,NA,NA,NA
"15","2015-09-05 08:59:19-03","MNHN","RECOLNAT_MNHN_P","P05562431","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Vauthier",NA,NA,NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05562431' target='other'> <mi>dwc_moreinfo</mi></a>","P05562431","P05562431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-05 08:59:19-03","MNHN","RECOLNAT_MNHN_P","P05562432","PreservedSpecimen",NA,NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Glaziou, A.",NA,"1876",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05562432' target='other'> <mi>dwc_moreinfo</mi></a>","P05562432","P05562432_01","10","12",NA,"Belém a Queimados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8587",NA,NA,NA,NA,NA
"17","2020-12-11 11:37:28-03","UFMG","BHCB","31246","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,NA,"s.n.",NA,"Southern America","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"Ligaão da Rod BR 101 a Ponta do Ipiranga","-39.8588981628418","-18.716100692749",NA,NA,"São Mateus","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2011-06-17 17:02:00-03","MO","MOBOT","2550636","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteria","sellowiana","Banisteria sellowiana","A. Juss.","fide Foster's cards","José Steinbach","Steinbach G. 6530",NA,"South America","Bolivia","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,"Buenavista","-63.75","-17.6",NA,NA,"Sara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2011-06-17 17:02:00-03","MO","MOBOT","2550638","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteria","sellowiana","Banisteria sellowiana blanchetiana","(A. Juss.) Nied.","fide Foster's cards","José Steinbach","Steinbach G. 6495",NA,"South America","Bolivia","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,"Buenavista","-63.75","-17.6",NA,NA,"Sara",NA,NA,NA,NA,NA,NA,"blanchetiana",NA,NA,NA,NA
"20","2010-08-24 09:25:00-03","MO","MOBOT","100201855","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates",NA,"F. Sellow","Sellow s.n.","1814","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"21","2020-07-10 09:47:07-03","MBML","MBML-HERBARIO","10992",NA,"Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(Adr.Juss.) B.Gates","W. R. Anderson/1995","G. Hatschbach; et al","58040","1992",NA,"Brasil","Espírito Santo",NA,"Trepadeira lenhosa. Flor amarela. Orla da mata de mussununga.","MBML010992",NA,"10","14",NA,"Ligação Rod. BR-101 a Ponta do Ipiranga","-39.8588981628418","-18.716100692749",NA,NA,"São Mateus","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-25 10:12:49-03","CVRD","CVRD","1337","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates","William R. Anderson","Folli, D.A.","611","1986","América do Sul","BRASIL","ES",NA,"<ll>dwc_commonname:</ll> Juari","CVRD001337",NA,"09","24","1998",NA,"-40.0722007751465","-19.3910999298096","12","22","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"23","2021-02-25 10:12:49-03","CVRD","CVRD","2359","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates","William R. Anderson","Menandro, M.S.","164","1989","América do Sul","BRASIL","ES",NA,"Folíolos discolores com face ventral mais clara. <ll>dwc_commonname:</ll> Juari","CVRD002359","CVRD002359","09","04","1998","Cipó em beira de estrada.","-40.0722007751465","-19.3910999298096","12","22","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"24","2021-02-25 10:12:49-03","CVRD","CVRD","2940","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates","William R. Anderson","Menandro, M.S.","278","1990","América do Sul","BRASIL","ES",NA,"Cipó c/ folhas disc. c/ face dorsal mais esc. e brilh.; Flores c/ cálice verde-claro, corola amar. c/ efigur. verm. internamente e estigmas brancos; Heliof. trep. <ll>dwc_commonname:</ll> Juari","CVRD002940","CVRD002940","10","13","1998","Estrada que sai detrás da Apicultura, à 300m da casa de mel.","-40.0722007751465","-19.3910999298096","12","22","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA
"25","2020-09-12 05:00:02-03","US","US","703497","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates",NA,"L. Riedel","1037","1832","South America - Neotropics","Brazil",NA,NA,NA,"US01870817","US01870817_01 US01870817_02","10",NA,NA,"Locis arenosis maritimis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"26","2020-09-12 05:00:02-03","US","US","703495","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates",NA,"L. Riedel","s.n.","1832","South America - Neotropics","Brazil",NA,NA,NA,"US01870819","US01870819_01 US01870819_02","10",NA,NA,"Locis arenosis maritimis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"27","2020-09-12 05:00:02-03","US","US","703496","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A. Juss.) B. Gates",NA,"L. Riedel","1037","1832","South America - Neotropics","Brazil",NA,NA,NA,"US01870818","US01870818_01 US01870818_02","10",NA,NA,"Locis arenosis maritimis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"28","2019-10-07 09:31:42-03","UEFS","HUEFS","210823","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates",NA,"Barros, P.H.D.","227","2013",NA,"Brasil","Espírito Santo",NA,NA,"HUEFS0210823","HUEFS0210823","08","28",NA,"Campus da UFES-Goiabeiras. Próximo ao CCJE, ao lado do mangue. Área aterrada.","-40","-20",NA,NA,"Vitória",NA,NA,"40W","20S",NA,NA,NA,NA,"Rosanae",NA,NA
"29","2019-09-04 19:04:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Banisteria","sellowiana","Banisteria sellowiana blanchetiana",NA,NA,"J. S. Blanchet","2576",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"blanchetiana",NA,"Dicotyledoneae",NA,NA
"30","2019-09-04 18:45:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Banisteria","sellowiana","Banisteria sellowiana typica",NA,NA,"F. Sellow",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"typica",NA,"Dicotyledoneae",NA,NA
"31","2015-03-13 18:44:46-03","F","FMNH-SEEDPLANTS","V0219794F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0219794F","V0219794F_01",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"32","2015-03-13 18:44:46-03","F","FMNH-SEEDPLANTS","V0219795F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0219795F","V0219795F_01",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"33","2020-07-23 12:10:41-03","CEPLAC","CEPEC","130202","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,"A. M. Amorim","J. A. N. Souza","553","2009",NA,"Brasil","Pernambuco",NA,NA,NA,NA,"11","21",NA,"Usina São José. Piedade. Habitat borda.","-34.994444","-7.840833",NA,NA,"IGARASSÚ",NA,NA,"34W59'40","7S50'27",NA,NA,NA,NA,NA,"30/12/2010",NA
"34","2020-07-23 12:10:41-03","CEPLAC","CEPEC","146307","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,"R.F.Almeida","G.S. Siqueira","579",NA,NA,"Brasil",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-07-23 12:10:41-03","CEPLAC","CEPEC","57976","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,"R. F. Almeida","O. J. Pereira","339","1995",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"10","02",NA,"Sem informação.",NA,NA,NA,NA,"MANGUINHOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/09/2012",NA
"36","2020-07-23 12:10:41-03","CEPLAC","CEPEC","101451","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,"W. R. Anderson","D. A. Folli","611","1986",NA,"Brasil","Espírito Santo",NA,"<ll>dwc_commonname:</ll> Juari",NA,NA,"09","24",NA,"Reserva Natural da CVRD. Estrada Mantegueira, Km 0,05.","-40.0722007751465","-19.3910999298096",NA,NA,"LINHARES","48094","auto",NA,NA,NA,NA,NA,NA,NA,"22/12/1998",NA
"37","2020-07-23 12:10:41-03","CEPLAC","CEPEC","68367","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,"W. R. Anderson","G. Hatschbach","58040","1992",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"10","14",NA,"Ligação Rod. BR-101 a Ponta do Ipiranga.","-39.8588981628418","-18.716100692749",NA,NA,"SÃO MATEUS","56510","auto",NA,NA,NA,NA,NA,NA,NA,"30/12/1995",NA
"38","2020-07-23 12:10:41-03","CEPLAC","CEPEC","78455","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana",NA,"A. M. Amorim","J. Fontellah","2612","1988",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"01","01",NA,"A 15Km d aponte sobre o Rio Roncador, a 4Km da estrada Amaral Peixotoe a 100m da Lagoa de Maricá.","-42.8185997009277","-22.9193992614746",NA,NA,"MARICÁ","20726","auto",NA,NA,NA,NA,NA,NA,NA,"20/03/1991",NA
"39","2020-11-19 09:29:30-03","IBt","SP","329055","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Mamede, MCH","Queiroz, LP; Lemos, MJS; Lôbo, G","1054","1986",NA,"Brasil","Bahia",NA,"Cipó lenhoso, folhas semicoriáceas, discolores; flores de cálice e glândulas verdes, pétalas amarelas, uma delas com nervuras vermelhas","SP013381","SP013381","11","14","2002","Serra da Pioneira","-39.4725","-12.853056",NA,NA,"Santa Terezinha",NA,NA,"-39.4725","-12.853056",NA,NA,NA,NA,NA,NA,NA
"40","2020-11-19 09:29:30-03","IBt","SP","329055a","Extra","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Mamede, MCH","Queiroz, LP; Lemos, MJS; Lôbo, G","1054","1986",NA,"Brasil","Bahia",NA,"Cipó lenhoso, folhas semicoriáceas, discolores; flores de cálice e glândulas verdes, pétalas amarelas, uma delas com nervuras vermelhas","SP013382","SP013382","11","14","2002","Serra da Pioneira","-39.4725","-12.853056",NA,NA,"Santa Terezinha",NA,NA,"-39.4725","-12.853056",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:08:03-03","IBt","SP","446497","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Almeida, RF","Folli, DA","3249","1998",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"09","16","2012","Reserva Natural da CVRD, estrada Boleira","-40.0722007751465","-19.3910999298096","09",NA,"Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:08:03-03","IBt","SP","445362A","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Anderson, WR","Menandro, MS","164","1989",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"09","04","1998","Reserva Natural da Vale do Rio Doce","-40.0722007751465","-19.3910999298096","12","22","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:08:03-03","IBt","SP","445363A","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Anderson, WR","Folli, DA","611","1986",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"09","24","1998","Reserva Natural da Vale do Rio Doce, Estrada Mantegueira","-40.0722007751465","-19.3910999298096","12","22","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 10:08:03-03","IBt","SP","445358A","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","sellowiana","Banisteriopsis sellowiana","(A.Juss.) B.Gates","Anderson, WR","Menandro, MS","278","1990",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"10","13","1998","Reserva Natural da Vale do Rio Doce, Estrada que sai detrás da Apicultura, a 300 m da casa de mel","-40.0722007751465","-19.3910999298096","12","22","Linhares","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2010-08-16 16:43:24-03","A","HU-HERB","A 00045014","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteria","sellowiana","Banisteria sellowiana grandifolia","Niedenzu",NA,"J. Steinbach","6530","1924","South America","Bolivia","Santa Cruz","Sheet",NA,NA,NA,"10","1",NA,"Buenavista, 450 m.",NA,NA,NA,NA,"Sara",NA,NA,NA,NA,"Isotype","6530","grandifolia",NA,NA,NA,"undetermined"
