"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","infraspecificEpithet","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"30","2021-03-15 16:37:00-03","NY","NYBG","797724","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"L. Riedel","16","1825","11",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Iter Brasiliense 1824-29 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797724","NY00797724_01","Pr. Campinas",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","860246","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"Helmreichen","43",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860246","NY00860246_01","Brasilia",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","797695","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"P. K. H. Dusén","168","1901","12","29","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797695","NY00797695_01","Ilha Paquetá",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","797744","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"G. G. Hatschbach","21242","1969","03","10","Brazil","Paraná","Ponta Grossa","-50.012929","-25.234872",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797744","NY00797744_01","Parque Vila Velha","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","797722","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"L. Riedel","1865","1834","01",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Iter Brasiliense 1833-35 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797722","NY00797722_01","St. Carlos",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","860708","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"J. B. E. Pohl","271",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860708","NY00860708_01","Ad Padre Luiz Fari [? ureadble]","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","797704","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"M. Kawall","274","1992","12","08","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797704","NY00797704_01","Perus, Empresa de Mineraçao Territorial Sao Paulo",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-29 11:53:00-03","NY","NYBG","797735","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum",NA,"K. A. Freitas",NA,NA,NA,"T. M. Pedersen","7690","1965","12","28","Paraguay","Misiones",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797735",NA,"Estancia La Soledad. Santiago",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","797741","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"J. C. Lindeman","3795","1966","12","24","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797741","NY00797741_01","Ca. 12 km N. of Curitiba","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","797699","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,NA,"20","1934","11",NA,"Brazil","São Paulo","Sorocaba","-47.45","-23.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797699","NY00797699_01","Sorocaba",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","797706","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"L. Riedel","226","1832",NA,NA,"Brazil","Rio de Janeiro",NA,"-43.448386","-22.913514",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797706","NY00797706_01","Rio Janeiro","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","797708","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum","(Less.) G.Sancho","K. A. Freitas",NA,NA,NA,"L. Riedel","1865","1834","01",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"L. Riedel: Iter Brasiliense 1821-1836 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797708","NY00797708_01","Brasilia. St. Carlos",NA,"South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","797742","PreservedSpecimen","Plantae","Asteraceae","Moquiniastrum","polymorphum","Moquiniastrum polymorphum floccosum","(Cabrera) G.Sancho","K. A. Freitas",NA,NA,NA,"G. G. Hatschbach","47581","1984","03","08","Brazil","Paraná","Palmeira","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797742","NY00797742_01","Rod. BR-277, descida rio Capivara","floccosum","South America","sheet",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
