"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"16","2020-01-15 20:29:24-03","FPS","FPS","2711","MachineObservation","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares, R.C.","2019","01","09","Schwirkowski, P.","2139","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin.","-49.224649","-26.290754","-49.224649","-26.290754",NA,NA,"FPS02711,FURB55472","FPS02711_v01 FPS02711_v02 FPS02711_v03 FPS02711_v04 FPS02711_v05 FPS02711_v06 FPS02711_v07 FPS02711_v08 FURB55472",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Eupatório",NA,NA,"voucher","FURB 55472",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:28:01-03","IAP","PACA-AGP","65286","PreservedSpecimen","Plantae","Compositae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Reitz, R.","6451","1958","02","05","Brasil","SC","Campo Alegre","Morro do Itaquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"PACA065286",NA,"Magnoliophyta","Asterales",NA,NA,"HBR 23022 Habitat: no campo","37493","auto",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"18","2021-03-01 16:25:24-03","UNICAMP","UEC","163454","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares, R","2020","01","15","Souza, RPM; Castanho, GG; Drezza, TR; Vidal, CY; Floriani, MMP; Silveira, ALP","77","2007","04","05","Brazil","Santa Catarina",NA,"Limite entre Painel e Urupema. Fazenda Farofa, trilha do Rio Caveiras.","-49.87","-27.918889","-49.87","-27.918889","1360","1360","UEC028087","UEC028087","Magnoliopsida",NA,NA,NA,"Arbusto.; Vegetação de Floresta Ombrófila Mista Paludosa drenada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:25:24-03","UNICAMP","UEC","200312","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Monge, M",NA,NA,NA,"Monge, M; Braga, JO; Carneiro, RG","3389","2018","02","13","Brazil","Paraná","Pontal do Sul","Área de preservação Municipal. Área de preservação Municipal.","-48.602386","-25.9768","-48.602386","-25.9768","1","1","UEC190371","UEC190371","Magnoliopsida",NA,NA,NA,"Arbusto, 1,5 m, flores velhas.; Restinga, herbácea e arbustiva. Área úmida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:25:24-03","UNICAMP","UEC","49450","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Gomes, JML","138","1987","09","11","Brazil","Espírito Santo","Guarapari",NA,"-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"UEC071454","UEC071454","Magnoliopsida",NA,NA,NA,"Flor esverdeada, com 2m de altura. Folhas com brilho.","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:25:24-03","UNICAMP","UEC","49449","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Gomes, JML","02","1987","04","29","Brazil","Espírito Santo","Guarapari","Jabarai-Guarapari","-40.5110015869141","-20.6580009460449",NA,NA,NA,NA,"UEC071455","UEC071455","Magnoliopsida",NA,NA,NA,"Altura 2m.","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:25:24-03","UNICAMP","UEC","137713","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Arzolla, FARDP; Paula, GCR; Condez, TH","473","2004","02","13","Brazil","São Paulo","Campos do Jordão","São José dos Alpes.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"UEC071456","UEC071456","Magnoliopsida",NA,NA,NA,"Arbusto, com flores.","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:25:24-03","UNICAMP","UEC","158350","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Machado, CG","s.n.","1995","02","16","Brazil","São Paulo","Ribeirão Grande","Ao lado da casa de pesquisa da sede.","-48.3600006103516","-24.0900001525879",NA,NA,NA,NA,"UEC015451","UEC015451","Magnoliopsida",NA,NA,NA,"Arbusto 3m, ramos próximo as inflorescencias avermelhados. Flores vináceas, anteras brancas, levemente rosadas na base. Visitada por <em>Amazilia versicolor</em>","25028","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:25:24-03","UNICAMP","UEC","168857","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Godoy, JRL; Sugiyama, M; Mariano Neto, E","17","1996","01","29","Brazil","São Paulo","Santo André","Campo Grande, Morro da Antena., divisa com a Reserva de Paranapiacaba.","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"UEC048580","UEC048580","Magnoliopsida",NA,NA,NA,"Arbusto, flores creme, estigma lilás. Escrube próximo da caixa d'água.; Topo de morro.","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:25:24-03","UNICAMP","UEC","104848","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Freitas, L; San Martin-Gajardo, I","67","1997","12","29","Brazil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"UEC048547","UEC048547","Magnoliopsida",NA,NA,NA,"Corola e estigma branco, estames violeta, brácteas lilás. Folha com secreção pegajosa.; Campo de altitude.","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:25:24-03","UNICAMP","UEC","96849","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Hattori, EKO","2012","08",NA,"Freitas, L; San Martin-Gajardo, I","67","1997","12","29","Brazil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"UEC132684","UEC132684","Magnoliopsida",NA,NA,NA,"Corola e estigma branco, estames violeta, brácteas lilás. Folha com secreção pegajosa.; Campo de altitude.","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-10-14 09:59:25-03","FURB","FURB","17213","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Korte, A.; Kniess, A.","694","2009","11","05","Brasil","Santa Catarina","Leoberto Leal","Rio Feijão.","-49.2305556","-27.4502778","-49.2305556","-27.4502778","850","850","FURB18656","FURB18656",NA,NA,NA,NA,"Florística IFFSC 384 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbustiva; flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-10-14 09:59:25-03","FURB","FURB","19368","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Korte, A.; Kniess, A.","1098","2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","Soldadinho.","-49.4108333","-27.6291667","-49.4108333","-27.6291667","772","772","FURB18664","FURB18664 FURB18664_1",NA,NA,NA,NA,"Florística IFFSC 310 (Arbusto) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbustiva; flor roxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-10-14 09:59:25-03","FURB","FURB","42415","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Gasper, A.L. de; Funez, L.A. & Kassner-Filho, A.","3156","2013","10","22","Brasil","Santa Catarina","Santa Terezinha","Ponto do IFFSC 797.","-49.9502778","-26.7297223","-49.9502778","-26.7297223","549","549","FURB18661","FURB18661",NA,NA,NA,NA,"Projeto REFLORA FAPESC 14843/2011-1. Habitat: borda da mata Habito: erva terrícola; flor rosada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-10-14 09:59:25-03","FURB","FURB","48778","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Oliveira, AA de","2015","11","11","Oliveira, A.A. de","2721","2015","11","11","Brasil","Santa Catarina","São Joaquim","Campo do Gado.","-49.8616667","-28.2605556","-49.8616667","-28.2605556","1430","1430","FURB48778","FURB48778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-10-14 09:59:25-03","FURB","FURB","49354","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Schwirkowski, P.","1286","2015","11","11","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Ao lado do manancial de captação de água do SAMAE.","-49.3247223","-26.2802778","-49.3247223","-26.2802778","750","750","FURB49354","FURB49354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-10-14 09:59:25-03","FURB","FURB","49393","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Schwirkowski, P.","1325","2015","11","14","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin.","-49.2147222","-26.2947222","-49.2147222","-26.2947222","1050","1050","FURB49393","FURB49393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-27 12:51:34-03","FURB","FURB","50453","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Funez, L.A.; Gasper, A.L. de; Kemmelmeier, K. & Zermiani, A.E.","3757","2015","02","20","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","-48.9544444","-26.0391666","1200","1200","FURB50453","FURB50453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-27 12:51:34-03","FURB","FURB","50454","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Funez, L.A.; Gasper, A.L. de; Kemmelmeier, K. & Zermiani, A.E.","3775","2015","02","20","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","-48.9544444","-26.0391666","1200","1200","FURB50454","FURB50454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-10-14 09:59:25-03","FURB","FURB","50993","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Funez, L.A.; Schwirkowski, P.","5146","2015","11","17","Brasil","Santa Catarina","São Bento do Sul","Minas de Caulim.","-49.2163889","-26.2927777","-49.2163889","-26.2927777","948","948","FURB50993","FURB50993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 09:59:25-03","FURB","FURB","55472","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Schwirkowski, P.","2139","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin. Próximo às minas de caulim.","-49.2247223","-26.2908333","-49.2247223","-26.2908333","950","950","FURB55472","FURB55472",NA,NA,NA,NA,"Campo de altitude com capões de FOM Altomontana Habitat: Campo de altitude Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-18 10:23:29-03","FURB","FURB","65679","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Bones, F.L.V.","2020",NA,NA,"Kassner-Filho, A.","1749","2017","04","27","Brasil","Santa Catarina","São José do Cerrito",NA,"-50.8491666","-27.5391666","-50.8491666","-27.5391666","850","850","FURB65679","FURB65679",NA,NA,NA,NA,"Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 09:59:25-03","FURB","FURB","9698","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Gasper, A.L. de; Brogni, E.","1412","2008","01","26","Brasil","Santa Catarina","Caçador","Estrada Geral para Serra Azul.","-51.0149993896484","-26.7752990722656",NA,NA,NA,NA,"FURB18659","FURB18659",NA,NA,NA,NA,"Coleta Extra IFFSC. Habitat: Floresta Ombrófila Mista; Estágio Avançado; beira de estrada Habito: arbórea; flor branca","38516","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 12:39:39-03","FURB","FURB","5892","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","Colares. R.","2019","01","09","Vieira, F.C.S.","652","2004","11","25","Brasil","Santa Catarina","Joinville","Castelo dos Bugres.","-48.8456001281738","-26.3043994903564",NA,NA,"900","900","FURB18655","FURB18655",NA,NA,NA,NA,NA,"37150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-16 17:51:11-03","UCS","HUCS","37334","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L. Rob.","Schneider, A.A.",NA,NA,NA,"Grings, M.","985","2009","12","27","Brasil","Rio Grande do Sul","São José dos Ausentes","Cachoeirão dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,NA,NA,"Angiospermae","Asterales",NA,NA,"Herbario ICN 163242; Em sub-bosque de mata com araucária de encosta","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-16 17:51:11-03","UCS","HUCS","30893","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L. Rob.","Ribas, O.S.","2005",NA,NA,"Ribas, O.S.","6683","2005","02","12","Brasil","Santa Catarina","Campo Alegre","Serra dp Quiriri","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,NA,NA,"Angiospermae","Asterales",NA,NA,"Herbario MBM; Matinha nebular do alto do morro","37493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-08-16 08:38:39-03","UTFPR","HCF","4628","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","E.K.O. Hattori","2011",NA,NA,"A.R. Silva","135","2006","11","18","Brasil","PR","Piraquara","Mananciais da Serra","-48.981111","-25.497778","48°58'52 W","25°29'52 S","1021","1021",NA,NA,NA,NA,NA,NA,"arbusto heliófito, ca. 1,5m de altura, com flores brancas de aroma adocicado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-08-16 08:38:39-03","UTFPR","HCF","19081","S","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","B.L.Rob.","P. Ferreira","2015","01","16","J.M. Silva","8693","2014","12","03","Brasil","PR","Quatro Barras","Estrada da Graciosa, Rio do Corvo","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"arbusto de 2 m, capítulos alvacentos. Transição entre Floresta Ombrófila Densa para Floresta Ombrófila Mista.","17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:17:25-03","MBM","MBM","385903","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","H. Rob.","Cordeiro, J.; Larocca, P.","2012",NA,NA,"Larocca, P.; Felitto, G.; Felitto, G.","09","2012","06","24","Brazil","Paraná","Quatro Barras","Morro Anhagava","-49.005367","-25.386325","-49.005367","-25.386325","1270","1270","MBM385903","MBM385903",NA,NA,"Southern America",NA,"Subarbusto, 1,7m, caopitulos alvos.; Floresta Ombrófila Densa Montana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:17:25-03","MBM","MBM","394926","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","H. Rob.","Ferreira, P.","2015","01","16","Silva, J.M.; Motta, J.T.; Motta, J.T.","8693","2014","12","03","Brazil","Paraná","Quatro Barras","Estrada da Graciosa, Rio do Corvo","-48.913056","-25.330556","-48.913056","-25.330556","893","893","MBM394926","MBM394926",NA,NA,"Southern America",NA,"Arbusto de 2m, capítulos alvacentos.; Transição de Floresta Ombrófila Densa para Floresta Ombrófila Mista.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-21 16:17:25-03","MBM","MBM","406216","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","lymansmithii","Symphyopappus lymansmithii","H. Rob.","Ferreira, P.C.","2016","02","25","Ferreira, P.C.; Ariati, V.; Pfeffer, R.A.; Ariati, V.; Pfeffer, R.A.","89","2016","02","06","Brazil","Paraná","Tijucas do Sul","Serra do Araçatuba, Entre Confloresta e Moréia","-48.985278","-25.913333","-48.985278","-25.913333","1490","1490","MBM406216","MBM406216",NA,NA,"Southern America",NA,"Arbusto, 2,00m;capítulos alvos.; Refúgio Vegetacional Altomontano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
