"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","occurrenceRemarks","individualCount","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","day","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class"
"11","2021-03-31 13:36:31-03","MN","R","105120","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Leme, E.M.C.","1989","02",NA,NA,"Vidal, J.","1952","07","Brasil","Rio de Janeiro","Magé","Fazenda do Cortume","-43.040599822998","-22.6527996063232","20531","auto","II - 3529",NA,NA,"R010006686",NA,NA,NA,NA,NA,"20","20",NA,NA
"12","2021-03-31 13:36:31-03","MN","R","107575","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Leme, E.M.C.","1989","02",NA,NA,"Vidal, J.","1952","07","Brasil","Rio de Janeiro","Magé","Fazenda do Cortume","-43.040599822998","-22.6527996063232","20531","auto","II - 3411",NA,NA,"R010006685",NA,NA,NA,NA,NA,"20","20",NA,NA
"13","2021-01-14 15:25:59-03","MN","R","192993","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Valente, A.","1998","04",NA,NA,"Figueiredo, C.","1997","10","Brasil","Minas Gerais","Juiz de Fora","Parque Estadual do Ibitipoca","-43.3502998352051","-21.7642002105713","36144","auto","20",NA,NA,"R010006684",NA,"25",NA,NA,"28",NA,NA,NA,NA
"14","2016-02-02 14:37:51-02","BGBM","B","B 10 0244726","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule",NA,NA,NA,"I <a href=http://herbarium.bgbm.org/object/B100244726 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"E. H. G. Ule","1899","06","Brazil",NA,NA,"Rio de Janeiro: Im Restingawald bei Maná.",NA,NA,NA,NA,"4867","Middle and South America",NA,"B100244726","B100244726",NA,NA,NA,NA,NA,NA,"holotype",NA
"15","2016-02-02 14:37:51-02","BGBM","B","B 10 0244727","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule",NA,NA,NA,"II; E. Ule Herbarium Brasiliense <a href=http://herbarium.bgbm.org/object/B100244727 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"E. H. G. Ule","1899","06","Brazil",NA,NA,"Estado Rio de Janeiro: Im Restingawald bei Maná.",NA,NA,NA,NA,"4867","Middle and South America",NA,"B100244727","B100244727",NA,NA,NA,NA,NA,NA,"holotype",NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","2453343","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Üle",NA,NA,NA,NA,NA,"Foster","1939","8","Brazil","Paraná",NA,"Alto da Serra.",NA,NA,NA,NA,"Foster 402","South America",NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA
"17","2020-05-30 04:37:00-03","MO","MOBOT","3013393","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Üle",NA,NA,NA,NA,NA,"Ernst Üle","1899",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Üle 4867","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-09-04 19:43:09-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum",NA,NA,NA,NA,NA,NA,"E. H. G. Ule","1899","6","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"4867","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","Monocotyledoneae"
"19","2014-10-09 13:58:14-03","UHH","HBG","514421","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule","Ule, E.",NA,NA,"E. Ule Herbarium Brasiliense (label); Herbarium E. Ule Brasilien (stamp); Bg. 1 Herbarium Hamburgense Evacuated and inaccessible 1943-1992",NA,"Ule, E.","1899","06","Brazil",NA,NA,"Estado de Rio de Janeiro, im Restingawald bei Mauá",NA,NA,NA,NA,"4867","South America",NA,"HBG514421",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA
"20","2014-10-09 13:58:14-03","UHH","HBG","514422","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","rosulatum","Nidularium rosulatum","Ule",NA,NA,NA,"Herbarium E. Ule Brasilien (stamp); Bg. 2 Herbarium Hamburgense Evacuated and inaccessible 1943-1992",NA,"Ule, E.","1899","06","Brazil",NA,NA,"Estado de Rio de Janeiro, im Restingawald bei Mauá",NA,NA,NA,NA,"4867","South America",NA,"HBG514422",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA
