"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","640675","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","G. Davidse","R. B. Foster","1989","10","01","Peru","Madre de Dios","Manú","Parque Nacional Manu, Zona Reservada Rio Manu; Cocha Juarez; North end of lake","-71.07","-12.08",NA,NA,"350","350","NY00640675",NA,"Magnoliophyta","Poales","13291","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207240' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 14:26:00-02","NY","NYBG","640673","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,"J. R. Swallen","R. M. Klein","1955","04","14","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081",NA,NA,"10","10","NY00640673","NY00640673_01","Magnoliophyta","Poales","1307","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207242' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1147086","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","E. C. Tenório","G. T. Prance","1971","06","25","Brazil","Amazonas",NA,"Rio Purus south of Lago Preto 2 Km north of Lábrea. Lake margin.",NA,NA,NA,NA,NA,NA,"NY01147086","NY01147086_01","Magnoliophyta","Poales","13666","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401418' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-11-01 14:26:00-02","NY","NYBG","640672","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,"J. R. Swallen","R. Reitz","1959","03","14","Brazil","Santa Catarina",NA,"Riachuelo, Lontras, Rio do Sul",NA,NA,NA,NA,"350","350","NY00640672","NY00640672_01","Magnoliophyta","Poales","8648","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207243' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-30 02:19:00-03","NY","NYBG","1147087","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,NA,"G. Davidse","1980","04","09","Brazil","Pará","Capanema","Rio Quatipuru, in vicinity of Miraselvas, ca. 30 km by road west of Braganca","-46.98","-1.07",NA,NA,"50","50","NY01147087","NY01147087_01 NY01147087_02","Magnoliophyta","Poales","18114","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400814' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","865691","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","E. C. Tenório","P. J. M. Maas","1971","05","19","Brazil","Acre","Porto Walter","Near Periguilo","-72.7439","-8.2686",NA,NA,NA,NA,"NY00865691","NY00865691_01","Magnoliophyta","Poales","P13159","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207249' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-11-01 14:26:00-02","NY","NYBG","764166","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,"I. I. Boldrini","M. Borgo","2000","02","09","Brazil","São Paulo","Iguape","Rio Momuna","-47.55","-24.7",NA,NA,NA,NA,"NY00764166","NY00764166_01","Magnoliophyta","Poales","621","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207244' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02618127","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"S. R. Hill","1983","07","09","Brazil","Amazonas",NA,"Ilha Tupinambarana, paraná Urariá, white water, between rio Abacaxis and rio Paraconi, varzea","-58.5","-3.83",NA,NA,NA,NA,"NY02618127",NA,"Magnoliophyta","Poales","13032","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2911064' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-28 16:24:00-03","NY","NYBG","640674","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,"T. Sendulsky","N. Imaguire","1973","03","19","Brazil","Santa Catarina",NA,"Fazenda da Barra, Ilhota",NA,NA,NA,NA,"1","5","NY00640674","NY00640674_01","Magnoliophyta","Poales","10","South America","sheet","collector Imaguire <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207247' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-28 16:24:00-03","NY","NYBG","640676","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia",NA,"F. O. Zuloaga","G. J. Schwarz","1945","04","11","Argentina","Misiones","Candelaria","Arroyo Bonito",NA,NA,NA,NA,NA,NA,"NY00640676",NA,"Magnoliophyta","Poales","966","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207250' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","583554","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","G. Davidse","M. Silveira","1996","05","04","Brazil","Acre","Mâncio Lima","Bacia do Alto Juruá, Rio Moa, entre igarapé Sao Pedro e Rio Azul.","-73.5678","-7.4686",NA,NA,NA,NA,"NY00583554","NY00583554_01","Magnoliophyta","Poales","1207","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207239' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02618126","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"C. A. Cid Ferreira","1979","08","16","Brazil","Amazonas","Itapiranga","Rio Uatumã, 30 minutos de motor de popa, acima da cachoeira Balbina, lado direito do rio Uatumã, próximo ao igarapé Sta. Luzia","-58.021900177002","-2.7488899230957",NA,NA,NA,NA,"NY02618126",NA,"Magnoliophyta","Poales","387","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2911063' target='other'> <mi>dwc_moreinfo</mi></a>","144800","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","414027","PreservedSpecimen","Plantae","Poaceae","Panicum","paludicola","Panicum paludicola","Nees",NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00414027","NY00414027_01","Magnoliophyta","Poales","104","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=364279' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:53:29-03","EAO","IAN","85460","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Bouças, PRP","Black, GA; Vincent","1954","11","09","Guiana Francesa",NA,NA,"Rio Cassa, campo.",NA,NA,NA,NA,NA,NA,"IAN085460",NA,"Monocotiledônea",NA,"17659",NA,NA,"Flutuante.",NA,NA,NA,"1977","08",NA,NA,NA,NA,NA
"25","2021-03-30 12:53:29-03","EAO","IAN","154226","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Bouças, PRP; Pinheiro, GS","1977","07",NA,"Brasil",NA,NA,"Levantamento de Ervas invasoras na Várzea do Rio Guamá, irrigação.",NA,NA,NA,NA,NA,NA,"IAN154226",NA,"Monocotiledônea",NA,"213","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:53:29-03","EAO","IAN","157688","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Davidse, G; Ramamoorthy, TP","1976","03","28","Brasil","Minas Gerais",NA,"Ca. 10 km of the Rio Doce at Governador valadares. Typha marsh.",NA,NA,NA,NA,"200","200","IAN157688",NA,"Monocotiledônea",NA,"11457","Southern America",NA,"Inflorescences nodding; culm bases creeping and rooting at the nodes; plantes to 2 1/2 m long.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:53:29-03","EAO","IAN","158358","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Cordeiro, MR","Dantas, M","1982","03","11","Brasil","Amapá",NA,"Rio araguarí. Margem esquerda. Várzea. Solo argiloso.",NA,NA,NA,NA,NA,NA,"IAN158358",NA,"Monocotiledônea",NA,"890","Southern America",NA,"Capim. Erecta. Fruto verde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:53:29-03","EAO","IAN","53865","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Black, GA","1949","10","11","Brasil","Amapá",NA,"Igarapé Taparabou, ca. 20km ao E de Oiapoque. Canarana dos vastos campos de São Sebastião de um lado só do igarapé.","-52.916667","-0.916667","-52.916667","-0.916667",NA,NA,"IAN053865",NA,"Monocotiledônea",NA,"8521","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:53:29-03","EAO","IAN","20306","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Swallen, JR","Black, GA; Schultes, RE","1946","09","11","Colômbia",NA,NA,"Rapidol, Rio Putumayo.",NA,NA,NA,NA,NA,NA,"IAN020306","IAN020306 IAN020306_e","Monocotiledônea",NA,"82",NA,NA,"1 1/2 - 2 m. Parece ser boa forrageira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:53:29-03","EAO","IAN","20348","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Swallen, JR","Black, GA; Schultes, RE","1946","09","29","Colômbia",NA,NA,"Beira do Rio Loreto-Yaco. Roça. Em um canal que liga no lago Dolphus.",NA,NA,NA,NA,NA,NA,"IAN020348","IAN020348 IAN020348_e","Monocotiledônea",NA,"128",NA,NA,"Planta herbácea de 1,5 - 2 m, com rizoma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:53:29-03","EAO","IAN","43936","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Swallen, JR","1944","06","04","Brasil","Pará",NA,"River bank. Below Lobata, Ilha Marajó.",NA,NA,NA,NA,NA,NA,"IAN043936",NA,"Monocotiledônea",NA,"6983","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:53:29-03","EAO","IAN","54750","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Black, GA; Ledoux, PVD","1950","07","18","Brasil","Pará",NA,"Lagos, Bernardino e Jacaré.",NA,NA,NA,NA,NA,NA,"IAN054750",NA,"Monocotiledônea",NA,"9884","Southern America",NA,"Canarana frequente; folha grosseira, robusta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:53:29-03","EAO","IAN","55465","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Black, GA; Lobato, LCB","1950","04","16","Brasil","Amapá",NA,"São Joaquim, Rego Fundo. À beira do lago.",NA,NA,NA,NA,NA,NA,"IAN055465",NA,"Monocotiledônea",NA,"9417","Southern America",NA,"Flutuante.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:53:29-03","EAO","IAN","65324","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Cabrera, I","1932","11","01","Argentina",NA,NA,"La Plata.",NA,NA,NA,NA,NA,NA,"IAN065324",NA,"Monocotiledônea",NA,"2439","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:53:29-03","EAO","IAN","67297","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Kuhlmann, M","1919","04",NA,"Brasil",NA,NA,"R. Manuel Correira; Cab. principal do Rio São Miguel.",NA,NA,NA,NA,NA,NA,"IAN067297",NA,"Monocotiledônea",NA,"2461","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:53:29-03","EAO","IAN","74017","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Carmo, NAS do","Black, GA; Ledoux, PVD","1952","04","26","Brasil","Pará",NA,"Fazenda Tuiuiú, Rio Ararí; Ilha do Marajó.",NA,NA,NA,NA,NA,NA,"IAN074017",NA,"Monocotiledônea",NA,"14289","Southern America",NA,"Planta aquática, robusta.",NA,NA,NA,"1977",NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:53:29-03","EAO","IAN","75366","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Black, GA; Cordeiro, E","1952","06","04","Brasil","Rondônia",NA,"Rio Mamoré, 8 km acima de Guajará-Mirim.",NA,NA,NA,NA,NA,NA,"IAN075366",NA,"Monocotiledônea",NA,"14699","Southern America",NA,"Flutuante, muito abundante.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:53:29-03","EAO","IAN","77309","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Black, GA","1952","07","05","Brasil","Pará",NA,"Cacaual Grande; baixio do lado do Canal Fernando Costa.",NA,NA,NA,NA,NA,NA,"IAN077309",NA,"Monocotiledônea",NA,"15430","Southern America",NA,"Inflorescência abertas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:29-03","EAO","IAN","77975","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Bouças, PRP","Silva, JF da","1952","08","11","Brasil","Rondônia",NA,"Rio Yata; campo.",NA,NA,NA,NA,NA,NA,"IAN077975",NA,"Monocotiledônea",NA,"355","Southern America",NA,"Capim.",NA,NA,NA,"1977","08",NA,NA,NA,NA,NA
"40","2021-03-30 12:53:29-03","EAO","IAN","77981","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Silva, JF da","1952","08","11","Brasil","Rondônia",NA,"Rio Yata; campo.",NA,NA,NA,NA,NA,NA,"IAN077981",NA,"Monocotiledônea",NA,"349","Southern America",NA,"Capim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:29-03","EAO","IAN","77985","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Silva, JF da","1952","08","11","Brasil","Rondônia",NA,"Rio Yata; campo.",NA,NA,NA,NA,NA,NA,"IAN077985",NA,"Monocotiledônea",NA,"343","Southern America",NA,"Capim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-08 17:45:20-03","EAO","IAN","95059","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Hoock, J","sc","1956","01","18","Guiana Francesa",NA,NA,"Route Kamy, entre C 4 et C 5.",NA,NA,NA,NA,NA,NA,"IAN095059",NA,"Monocotiledônea",NA,"s.n.",NA,NA,NA,NA,NA,NA,"1957","12",NA,NA,NA,NA,NA
"43","2021-03-30 12:53:29-03","EAO","IAN","158376","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Cordeiro, MR","Dantas, M; Cordeiro, MR","1982","03","15","Brasil","Amapá","Macapá","BR-156 a 3 km do Rio Areguarí, após Ferreira Gomes. Várzea. Solo argiloso.","-51.0663986206055","-0.366667002439499",NA,NA,NA,NA,"IAN158376",NA,"Monocotiledônea",NA,"908","Southern America",NA,"Capim. Fruto verde.","225229","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:29-03","EAO","IAN","88421","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Macêdo, A","1955","12","15","Brasil","Minas Gerais","Capinópolis","Localidade Chácara.","-49.5696983337402","-18.6819000244141",NA,NA,NA,NA,"IAN088421",NA,"Monocotiledônea",NA,"4069","Southern America",NA,"Do brejo, em touceiras de 2 m de altura.","20483","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:29-03","EAO","IAN","115159","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Bouças, PRP","Oliveira, E","1963","01","23","Brasil","Pará","Belém","Bairro da Pedreira; terreno baixo e alagado.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"IAN115159",NA,"Monocotiledônea",NA,"2373","Southern America",NA,NA,"48462","auto",NA,"1977","08",NA,NA,NA,NA,NA
"46","2021-03-30 12:53:29-03","EAO","IAN","73710","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Lima, RP de","1951","11",NA,"Brasil","Pará","Belém","Capoeira do I.A.N.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"IAN073710",NA,"Monocotiledônea",NA,"155","Southern America",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-30 12:53:29-03","EAO","IAN","84382","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Black, GA","1954","10","07","Brasil","Pará","Belém","I.A.N. Cultivado no late F-15 do graminetum.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"IAN084382",NA,"Monocotiledônea",NA,"16999","Southern America",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-30 12:53:29-03","EAO","IAN","71151","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Guedes, TN","1950","12","18","Brasil","Pará","Belém","I.A.N., dreno.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"IAN071151",NA,"Monocotiledônea",NA,"s.n.","Southern America",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-30 12:53:29-03","EAO","IAN","37629","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,"Andrade-Lima, D de","1948","08","22","Brasil","Pará","São Miguel do Guamá","Rio Guamá e Irituia. Beira do rio, igapó.","-47.4832992553711","-1.62667000293732",NA,NA,NA,NA,"IAN037629","IAN037629 IAN037629_e","Monocotiledônea",NA,"3135","Southern America",NA,"1,5 a 2 m de altura; inflorescência de panícula constringida em panículas estreitas de 50 a mais ramos.","53234","auto",NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-03-30 12:53:29-03","EAO","IAN","54570","PreservedSpecimen","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Carmo, NAS do","Black, GA; Lobato, JJ","1950","03","20","Brasil","Pará","Soure","Beira do Rio Cambú.","-48.5233001708984","-0.716666996479034",NA,NA,NA,NA,"IAN054570",NA,"Monocotiledônea",NA,"9300","Southern America",NA,"Folha verde, mais escura, ampla.","69952","auto",NA,"1977",NA,NA,NA,NA,NA,NA
