"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordedBy","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","typeStatus","fieldNumber","class"
"11","2015-09-03 21:20:18-03","MNHN","RECOLNAT_MNHN_P","P01641820","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brésil","Minas Gerais",NA,"Brésil. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,". . Voyage d´ Auguste de Saint-Hilaire, de 1816 à 1821 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01641820' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,NA,NA,"hb","P01641820","P01641820_01",NA,NA,"B2 2134",NA
"12","2020-12-11 11:43:57-03","UFMG","BHCB","178310","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brasil","Minas Gerais","Serro","Monumento Natural Estadual Várzea do Lajeado, Lajeado de Milho Verde","-43.4899","-18.469842","-43.4899","-18.469842",NA,"Campo rupestre encharcado, capítulos brancos, abundantes na região.",NA,"Augsten, M; Viana, PL; Hattori, EKO; Paula, LFA de; Cardoso, D; Salas, R","1","2009","11","01","Southern America","1078","1078",NA,"BHCB031426",NA,NA,NA,NA,NA
"13","2020-12-11 11:43:57-03","UFMG","BHCB","178337","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brasil","Minas Gerais","Serro","Monumento Natural Estadual Várzea do Lajeado, Lajeado de Milho Verde","-43.4899","-18.469842","-43.4899","-18.469842",NA,NA,NA,"Augsten, M; Mota, NFO; Souza, PG; Martins, LC; Astigarraga, RG; Jorge, TB","570","2010","07","16","Southern America","1078","1078",NA,"BHCB031428",NA,NA,NA,NA,NA
"14","2015-06-16 11:37:00-03","MO","MOBOT","3038775","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","M. L. O. Trovó (RFA)",NA,NA,"Brazil","Minas Gerais",NA,"Trinta Reis (mun. Pres. Kubitschek)",NA,NA,NA,NA,NA,NA,NA,"Gert G. Hatschbach|J.M. Silva","Hatschbach 50253","1985","11","27","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-13 11:19:24-03","USP","SPF","227126","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Costa, FN","2011","09","Brasil","Minas Gerais","Serro","Pico do Imbé.","-43.368861","-18.390361","-43.368861","-18.390361",NA,NA,NA,"Costa, FN","1295","2010","04","23",NA,"1362","1362",NA,"SPF00227126",NA,NA,NA,NA,NA
"16","2019-11-13 11:19:24-03","USP","SPF","230378","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Ramos, R","2017","07","Brasil","Minas Gerais","Diamantina","Milho Verde.","-43.464167","-18.461389","-43.464167","-18.461389",NA,NA,NA,"Martinelli, G","18224","2014","02","12",NA,"1210","1210",NA,"SPF00230378",NA,NA,NA,NA,NA
"17","2019-11-13 11:19:24-03","USP","SPF","227094","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Sano, PT; Almeida, RB","2019","09","Brasil","Minas Gerais","Datas",NA,"-43.679722","-18.516111","-43.679722","-18.516111",NA,NA,NA,"Quaresma, AS","437","2012","09","23",NA,"1155","1155",NA,"SPF00227094",NA,NA,NA,NA,NA
"18","2019-10-07 09:21:05-03","UEFS","HUEFS","139971","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","R.Ramos","2017","01","Brasil","Minas Gerais","Serro","Estrada Real para Diamantina, ca. 2,5 km de Três Barras.","-43.438056","-18.538056","43W26'17''","18S32'17''",NA,"Campo rupestre.",NA,"Rapini, A.","1743","2008","02","06",NA,"1020","1020",NA,"HUEFS0139971","HUEFS0139971",NA,NA,NA,"Lilianae"
"19","2019-10-07 09:21:05-03","UEFS","HUEFS","193104","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","R.Ramos","2017","01","Brasil","Minas Gerais","Datas","Estrada de Poço Fundo para Engenho da Bilia.","-43.679722","-18.516111","43W40'47''","18S30'58''",NA,"Campo rupestre.",NA,"Quaresma, A.S.","437","2012","09","23",NA,"1155","1155",NA,"HUEFS0193104","HUEFS0193104",NA,NA,NA,"Lilianae"
"20","2019-10-07 09:21:05-03","UEFS","HUEFS","44947","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","A.M.Giulietti","2000","05","Brasil","Minas Gerais","Milho Verde","Distrito do Serra. Distrito do Serra, próximo à Cachoeira do Moinho.",NA,NA,NA,NA,NA,"Solo arenoso próximo a um afloramento rochoso ao lado da referida cachoeira.",NA,"Chaves, A.L.F.",NA,"1996","02","28",NA,NA,NA,NA,"HUEFS0044947","HUEFS0044947",NA,NA,NA,"Lilianae"
"21","2019-10-07 09:21:05-03","UEFS","HUEFS","84920","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brasil","Minas Gerais","Diamantina","A cerca de 15 Km na estrada para Mendanha.","-43.6002998352051","-18.2493991851807",NA,NA,"101169","Campo rupestre.","auto","Andrade, M.J.G.","544","2004","04","06",NA,NA,NA,NA,"HUEFS0084920","HUEFS0084920",NA,NA,NA,"Lilianae"
"22","2019-10-07 09:21:05-03","UEFS","HUEFS","155929","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brasil","Minas Gerais","Diamantina","Estr. Diamantina - Milho Verde, a 33 Km de Diamantina.","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,"auto","Hensold, N.","SPF21932","1981","12","03",NA,NA,NA,NA,"HUEFS0155929","HUEFS0155929",NA,NA,NA,"Lilianae"
"23","2020-11-27 11:33:31-03","UFU","HUFU","70207","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Echternacht, L.; Stutzel, T.","2015","03","Brasil","Minas Gerais","Capivari","Trilha para o pico do Itambé","-43.385556","-18.394722","-43.385556","-18.394722",NA,"População abundante por toda a região, composta por milhares de indivíduos. Floração em período intermediário.; Campo rupestre; vegetação herbácea, rala, solo arenoso quartzoso branco.",NA,"Echternacht, L.; et al.","2624","2015","03","03",NA,NA,NA,NA,"HUFU00029062","HUFU00029062","03",NA,NA,NA
"24","2019-05-06 11:55:19-03","UFU","HUFU","71308","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano",NA,NA,NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro Mata, ca. 12 Km sul de Diamantina","-43.684444","-18.274444","-43.684444","-18.274444",NA,"Planta ca. 0,4m. Brácteas nigrescentes, capítulos alvos.; Campo Rupestre",NA,"Romero, R.; Versiane, A.F.A.; Vital, L.P.; Serra, A.C.; Silva, L.C. & Rosa, B.B.","8793","2015","10","07",NA,"1409","1409",NA,"HUFU00052876","HUFU00052876",NA,NA,NA,NA
"25","2019-05-06 11:55:19-03","UFU","HUFU","70150","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","ciliatus","Actinocephalus ciliatus","(Bong.) Sano","Echternacht, L.","2015","03","Brasil","Minas Gerais","Serro","Baú","-43.3793983459473","-18.604700088501",NA,NA,"37754","Herbácea, Sempre Viva, Folhas ou pêlo branco na base da folhas, peciolo floral piloso, inflorescência branca 3 eatames, sepalas brancas petalas sem pêlo.; Campo rupestre, solo arenoso.","auto","Resende, J.L.P.","s.n.","2013","10","14",NA,NA,NA,NA,"HUFU00029063","HUFU00029063","25",NA,NA,NA
"26","2021-03-03 15:27:39-03","MN","R-TIPOS","180897a","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ciliatus","Paepalanthus ciliatus","Silveira",NA,NA,NA,"Brasil","Minas Gerais",NA,"inter Serro et Diamantina",NA,NA,NA,NA,NA,NA,NA,"Silveira, A.A.","HS - 774","1925","06",NA,NA,NA,NA,NA,"R000180897a","R000180897a_001",NA,"Isotypus",NA,NA
